title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Model Name,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Usage,Dial Material,Ideal For,Compatible OS,Brand Strap Color,Closure,Sensor,Notification,Notification Type,Battery Type,Charge Time,Battery Life,Rechargeable Battery,Charger Type,Other Features,Call Function,Bluetooth,Wi-Fi,GPS,Messaging Support,Bluetooth Version,Operating Range,Call Features,Third Party App Support,Display Resolution,Display Size,Display Type,Other Camera Features,Backlight Display,Scratch Resistant,Other Display Features,Calorie Count,Step Count,Heart Rate Monitor,Altimeter,Other Fitness Features,Date & Time Display,Compass,Calendar,Alarm Clock,Chronograph,Language,Number of Buttons,Other Watch Functions,Speaker,Microphone,Audio Features,Gesture Control,Voice Control,Other Multimedia Features,Width,Height,Thickness,Weight,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Dial Color,Maximum Operating Altitude,Compatible Device,Talk time,Stand By Time,Operating System,RAM,Internal Memory,Email Support,Other Connectivity Features,Flash,Supported Audio Format,Speaker Volume,International Warranty,Number of Cores,Processor Name,Other Dimensions,Processor Speed,Compatible Operating System,Primary Camera,Diameter,Video Features,Expandable Memory,Supported Video Format,HD Recording,HD Playback
"Boult Trail Pro 2.01''3D Curved Display, 600Nits, 250+ ...","₹1,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/l/d/s/-original-imah8nz4fh3j3hm9.jpeg?q=70,https://www.flipkart.com/boult-trail-pro-2-01-3d-curved-display-600nits-250-watch-faces-health-track-ip68-smartwatch/p/itm437d5e5150301?pid=SMWH82VTFFZTCZUV&lid=LSTSMWH82VTFFZTCZUVRZDDMW&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_3_105&otracker=search&fm=organic&iid=7b6eaba0-fbeb-42d1-abcd-eff84367ae22.SMWH82VTFFZTCZUV.SEARCH&ppt=None&ppn=None&ssid=hyc9ichfn40000001738524685745&qH=87968ec020b2016b,2025-02-02 20:31:25,"Smartwatch, User Manual, Charging Cable, Warranty Card",BA-FK-Trail Pro-Black,"Trail Pro 2.01''3D Curved Display, 600Nits, 250+ Watch Faces, Health Track, IP68",Square,Black,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,,Men & Women,Android & iOS,Black,,"Real Heart Rate, SPO2, Pedometer","Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,Lithium Polymer,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,"World Clock, Remote Camera, 190+ Watch Faces with Custom Watch Faces, 2.01inch Display?, 120+ Sports Modes, Health Monitor- 24 x 7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie?s Count",Yes,Yes,No,No,No,v5.3,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",,240 x 296 Pixels,51.054 mm,AMOLED,,Yes,No,"3D Curved Glass, IPS Screen",Yes,Yes,Yes,No,120+ Workout Modes,Date and Time,No,No,Yes,No,English (Default),1,"Bluetooth Calling, 2.01inch? with 240x296 display resolution, Working Crown, Complete Health Monitoring, Female Cycle Tracker, 190+ Cloud Watch faces with custom watch face, 120+ Workout Modes, Sleep Tracking, Intelligent AI Voice assistance, Weather Details, Find My Phone, Remote Camera option, Other Functions : Alarm clock, Stopwatch, Timer, DND, Flashlight & more.",Yes,Yes,,Raise to Wake,Yes,,38.1 mm,48.1 mm,12.9 mm,49.5 g,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,,,Smartphone,,,,,,No,,,,,,,,,,,,,,,,,
Fire-Boltt Ninja Calling Pro Plus 46.5mm (1.83) Display...,"₹1,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/4/q/q/-original-imahyz5xpyyg5zsr.jpeg?q=70,https://www.flipkart.com/fire-boltt-ninja-calling-pro-plus-46-5mm-1-83-display-bluetooth-calling-ai-voice-smartwatch/p/itm4ec818938bd85?pid=SMWGGZ74QGNVKG3Y&lid=LSTSMWGGZ74QGNVKG3Y6X7FL6&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_3_109&otracker=search&fm=organic&iid=7b6eaba0-fbeb-42d1-abcd-eff84367ae22.SMWGGZ74QGNVKG3Y.SEARCH&ppt=None&ppn=None&ssid=hyc9ichfn40000001738524685745&qH=87968ec020b2016b,2025-02-02 20:31:25,"1 Smartwatch, 1 Charging Cable, 1 Manual, 1 Warranty Card",BSW039,"Ninja Calling Pro Plus 46.5mm (1.83) Display Bluetooth Calling, AI Voice",Square,Gold,Silicone,Free Size,Yes,Yes,1 m,Fitness & Outdoor,,Men & Women,Android & iOS,Gold Black,Buckle,"Bluetooth Calling, SpO2, Heart Rate Sensor HRS3600, Accelerometer 3-Axis Sens, Barometer, Pedometer SC7A20","Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",Vibration & Ringer,Lithium Ion,120 minutes,Upto 5 Days,Yes,USB Cable With Metalic Charging Points - 2 Pin Magnetic Cable,,Yes,Yes,No,No,,v5.0,10 m,"Bluetooth Calling function, Dial Pad, Contacts, Call History, Recent Calls",Limited Support,240 x 286 Pixel,1.83 inch,IPS LCD,,No,Yes,,,Yes,Yes,No,"Pedometer with SC7A20 Sensor, Heart Rate Monitor with HRS3600 Sensor, SpO2 (Blood Oxygen Monitor), Sleep Monitoring, Sedentary Reminders, Breathe Monitoring",Date and Time,No,No,Yes,Yes,English,1,"• Buetooth Calling smartwatch - Make and receive calls on the go
• AI Voice Assistant in built 
• Built in Mic & Speaker for HD Calls
• High Resolution of 240*286 Pixel & 1.83 inch IPS LCD Screen covered with a 2.5D Full Lamination for best protection 
• Track 120 sports modes efficiently and analyse performance based upon saved history.
• This smartwatch can withstand dust, spills, raindrops and is sweatproof too with an IP rating IP67
• Track your blood oxygen (SpO2), Heart Rate with latest HRS3600 Technology Sensor 
• Monitor your breathing exercise every morning to lead a healthy life
• Make sure you sleep 8 hours with the sleep monitor to help you look beautiful and fresh always
• With 8 In Built Watch faces and over 100 cloud watch faces match your mood and style
• Smartphone notifications on your tips
• All new find device feature, now no need to find the phone manually
• Play Games on your wrist in your leisure time",Yes,Yes,,,No,,46 mm,36.5 mm,8.5 mm,40 g,Covers Manufacturing Defects,Contact infocare@boltt.com to Claim Warranty. Replacement will be given by the brand against Manufacturing Defects.,Manufacturing Defects,Physical & Water Damage,1 Year,Gold,,Android 5.0 & IOS 9.0 and Above,,,,,,,,,,,,,,,,,,,,,,,
"Fastrack Pro with 1.43"" Display & AOD(466x466),Function...","₹1,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/z/r/d/-original-imagywnzhh3dnqvk.jpeg?q=70,https://www.flipkart.com/fastrack-pro-1-43-display-aod-466x466-functional-crown-bt-calling-smartwatch/p/itma4744c9053b72?pid=SMWGV3ZY9YJYEYEC&lid=LSTSMWGV3ZY9YJYEYECZN6QCW&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_3_113&otracker=search&fm=organic&iid=7b6eaba0-fbeb-42d1-abcd-eff84367ae22.SMWGV3ZY9YJYEYEC.SEARCH&ppt=None&ppn=None&ssid=hyc9ichfn40000001738524685745&qH=87968ec020b2016b,2025-02-02 20:31:25,"Watch, Charging Cable, Quick Start Guide, Warranty Card",38087PP02,"Pro with 1.43"" Display & AOD(466x466),Functional Crown,BT Calling",Round,Blue,Silicone,Free Size,Yes,Yes,1.5 mm,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,Blue,Buckle,Heart Rate & SpO2,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifictaions, Other App Notification",Ring and Vibration,Lithium Polymer,150 min,Upto 5 Days,Yes,Pogo Pin Charging Cable,"Fastrack Optimus Pro with 1.43"" AMOLED Display with AOD and 466 x 466 Bright Pixel Resolution Premium Smartwatch|Functional Crown|SingleSync BT Calling|Extensive 24x7 Health Suite with Auto Stress Monitor|24x7 HRM|Sleep Monitor with REM|SpO2 and Breathe Exercise|100+ Sports Modes|Calculator|AI Voice Assistant|In-Built Games|IP68",Yes,Yes,No,No,Yes,v5.2,10 m,"Call Answer, Call Reject, Call Mute, Call Notifications, Quick Replies (Android)",,466 x 466 Pixel,1.43 inch,AMOLED,,Yes,No,,Yes,Yes,Yes,No,"Auto Stress Monitor, 24*7 HRM, SpO2, Sleep Tracker, Women's Health, Activity Tracker, 100+ Multisports with Auto Multisport Recognition",Yes,No,No,Yes,No,English,2,,Yes,Yes,,No,,,46.6 mm,46.6 mm,9.9 mm,41.8 g,1 Year Limited warranty,customer care at 1800-266-0123,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult Drift BT Calling HD Display, 140+ Watchfaces, Com...","₹1,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/t/f/b/-original-imah8mtvdugzm4yd.jpeg?q=70,https://www.flipkart.com/boult-drift-bt-calling-hd-display-140-watchfaces-complete-health-monitoring-smartwatch/p/itmfb17bcbb4e204?pid=SMWGMHUGERGB5YXD&lid=LSTSMWGMHUGERGB5YXD5XBFU7&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_3_117&otracker=search&fm=organic&iid=en_RpxPxqUXhYk0bFGkiyM3xLmmeOLnYjiCQ__Kt39EPfBUN1NVOjPHfUkiBowXvRjPSOOV-am4xky9bk8gRlgCqa8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=hyc9ichfn40000001738524685745&qH=87968ec020b2016b,2025-02-02 20:31:25,"Smartwatch, User Manual, Charging Cable, Warranty Card",Drift,"Drift BT Calling HD Display, 140+ Watchfaces, Complete Health Monitoring",Rectangle,Beige,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,ABS,Women,Android & iOS,Beige,,"Real Heart Rate, Real SPO2, Pedometer","Social Media, Messages, Incoming Calls, Emails",Vibrate,Lithium Polymer,60 min,Upto 7 Days,Yes,Magnetic Charging Cable,"Fun Mini Games, Remote Camera, Custom Watch Face Option, 150+ watch faces, 500 nits high brightness display, Multiple Sports Modes",Yes,Yes,No,No,No,v5.0,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial",,240 x 280 Pixels,1.69 Inch,TFT,,Yes,No,High Brightness,Yes,Yes,Yes,No,60 Workout Modes,Date and Time,No,No,Yes,No,English,1,"Female Cycle Tracker, Multiple Workout Modes, Sleep Tracking, Weather Details, Find Phone",1 Speaker,Yes,,,Yes,,35.78 mm,44.17 mm,11.6 mm,45 g,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,,,Smartphone,,288 Hr,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:31:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:31:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹1,999",4.3,Data not available,Image not available,URL not available,2025-02-02 20:31:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:31:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:31:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:31:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult Drift Max 2.01''HD Screen,BT Calling, Working Cro...","₹7,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/5/u/s/-original-imah8xv5bjyppg6q.jpeg?q=70,https://www.flipkart.com/boult-drift-max-2-01-hd-screen-bt-calling-working-crown-complete-health-track-ip68-smartwatch/p/itm41b5b7a847d77?pid=SMWH6PTYSTM6EEWP&lid=LSTSMWH6PTYSTM6EEWPDGY9ZJ&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_4_121&otracker=search&fm=organic&iid=en_9Qf-zisLBRPRyvN398X8Jm3zdjxWugyBt6nnQFc1Q_13eID-ffNwjuFW43FqQWj7JWrv6XLBP0IaPo1dKVWjwPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4ahwaohacw0000001738524718254&qH=87968ec020b2016b,2025-02-02 20:31:58,"Smartwatch, Charging Cable, Warranty Card, User Manual",Drift Max,"Drift Max 2.01''HD Screen,BT Calling, Working Crown, Complete Health Track, IP68",Square,Silver,Stainless steel,Free Size,Yes,Yes,1 m,Fitness & Outdoor,Zinc Alloy,Men & Women,Android & iOS,Silver,,"Real Heart rate, SPO2, Pedometer","Social Media, Messages, Incoming Calls, Emails, Water Drink reminder, sedentary reminder, Alarm Clock, Low battery reminder",Vibrate,Lithium Polymer,150 min,Upto 5 days,Yes,Magnetic Charging Cable,"Remote Camera, 150+ Watch Faces with Custom watch faces, 2.0inch 1000 Nits High Brightness Display​, 120+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie’s count",Yes,Yes,,No,No,v5.2,10 m,"Pick up incoming calls, reject incoming calls, dial, Dedicated Speaker and Mic, AI voice assistant",,240x296 Pixel,2 inch,HD,,Yes,No,1000 Nits High Brightness,Yes,Yes,Yes,No,120+ Workout modes,Date and Time,No,No,Yes,No,English,2,"Bluetooth Calling, 2.0inch 1000 Nits High Brightness Display​ with 240x296 display resolution , Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 120+ Workout Modes, Sleep Tracking, Intelligent AI Voice assistance, Weather Details, Find My Phone, Other Functions : Alarm clock, Stopwatch, Timer, DND, Flashlight & more.",1 Speaker,Yes,,Wrist to Screen Wake,Yes,,48 mm,11 mm,39 mm,50 g,1 Year Warranty from the date of purchase,Repair or Replace,Any kind of technical issue,"Physical damage, loss of smartwatch or any accessories.",1 Year,Multicolour,,Smartphone,,480 hr,,,,No,,,,,,,,,,,,,,,,,
Fastrack Revoltt X-1.83'|Blazing Fast UI|Single Sync BT...,₹999,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/m/k/3/-original-imah63b23z9upmwa.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-x-1-83-blazing-fast-ui-single-sync-bt-calling-calculator-in-built-games-smartwatch/p/itme99a889e94e21?pid=SMWH3PYKKWKBDBGX&lid=LSTSMWH3PYKKWKBDBGX3TBFKW&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_4_125&otracker=search&fm=organic&iid=e9f1b020-e7bb-4312-bf14-e03024c78fe6.SMWH3PYKKWKBDBGX.SEARCH&ppt=None&ppn=None&ssid=4ahwaohacw0000001738524718254&qH=87968ec020b2016b,2025-02-02 20:31:58,"Watch Head, Watch Strap, Charging Cable, Quick Start Guide, Product Manual",38100PP08K,Revoltt X-1.83'|Blazing Fast UI|Single Sync BT Calling|Calculator|In-built games,Square,Green,Silicone,Free Size,Yes,Yes,1 m,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,Green,Buckle,Heart Rate & SpO2,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifictaions, Other App Notification",Ring and Vibration,Lithium Polymer,150 min,Upto 5 Days,Yes,Pogo Pin Charging Cable,"Large 1.83"" UltraVU Display, SingleSync BT Calling, 85+ Multisports, Sleep Monitor, Stress Monitor, 24x7 HRM, SpO2, Womens Health, Breathe Exercise, Music & Camera Control, Calculator, Alarm, Stopwatch & Timer, IP67 Water Resistance, 100+ Watchfaces, 7 Days Battery",Yes,Yes,No,No,Yes,v5.3,10 m,"Call Answer, Call Reject, Call Mute, Call Notifications",Not Supported,240 x 286 Pixels,46.4 mm,LCD,Camera Control,Yes,No,450 Nits Brightness,Yes,Yes,Yes,No,"Stress Monitor, 24x7 HRM, SpO2, Sleep Tracker, Women's Health, Activity Tracker, 85+ Multisports",Yes,No,Yes,Yes,No,English,1,"Alarm, Stopwatch, Timer",Yes,Yes,Music Control,No,No,Music Control,37.22 mm,45.22 mm,11.34 mm,40 g,1 Year Limited warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
Fastrack Revoltt FS1-1.85''|Advanced Blazing Fast UI|Wo...,"₹1,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/f/h/d/-original-imah4nbwffswptnx.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-fs1-1-85-advanced-blazing-fast-ui-working-crown-aivoice-assistant-ip68-smartwatch/p/itm5dda5063e6432?pid=SMWH44FUVUTUKSKP&lid=LSTSMWH44FUVUTUKSKP1CRHBU&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_4_129&otracker=search&fm=organic&iid=e9f1b020-e7bb-4312-bf14-e03024c78fe6.SMWH44FUVUTUKSKP.SEARCH&ppt=None&ppn=None&ssid=4ahwaohacw0000001738524718254&qH=87968ec020b2016b,2025-02-02 20:31:58,"1 Smart Watch, Charging Cable, User Manual, Warranty Card",38152PP01K,Revoltt FS1-1.85''|Advanced Blazing Fast UI|Working Crown|AIVoice Assistant|IP68,Square,Black,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,,Men & Women,Android & iOS,Black,,"Heart Rate,�Accelerometer","Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifictaions, Other App Notification","Ring, Vibration",Lithium Polymer,120 min,5 days,Yes,Pogo Pin Charging Cable,,Yes,Yes,,,Yes,V5.3,10 m,"Call Answer, Call Reject, Call Mute, Call Notifications, Quick Replies (Android)",,240 x 284 Pixel,1.85 inch,TFT,,,,,Yes,Yes,Yes,,,,No,Yes,Yes,,English,,"Calculator, AI Voice Assistant,Functional Crown, One Click Measurement with 24x7 HRM, Auto Stress Monitor, SpO2 and Sleep Monitor with REM, Music and Camera Control, Built-In Games, Alarm, Stopwatch and Timer,Auto Multisport Recognition",Yes,Yes,,,Yes,,,,,43 g,1 Year Warranty,Carry-in,Manufacturing Defects,Physical Damages,1 Year,,,,,,,128 MB,,,,,,,,,,,,,,,,,,,
"Noise Vision 3 with 1.96"" AMOLED display with Thin Beze...","₹2,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/1/w/n/-original-imagzw979h5p5bhu.jpeg?q=70,https://www.flipkart.com/noise-vision-3-1-96-amoled-display-thin-bezel-metallic-build-smartwatch/p/itm86cb485141549?pid=SMWGPB58GERFYYJN&lid=LSTSMWGPB58GERFYYJNNMASDH&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_4_133&otracker=search&fm=organic&iid=e9f1b020-e7bb-4312-bf14-e03024c78fe6.SMWGPB58GERFYYJN.SEARCH&ppt=None&ppn=None&ssid=4ahwaohacw0000001738524718254&qH=87968ec020b2016b,2025-02-02 20:31:58,1,wrb-sw-colorfitvision3-mtl-slvr_slvr,"Vision 3 with 1.96"" AMOLED display with Thin Bezel, Metallic Build",Rectangle,Silver,Stainless steel,Regular,Yes,Yes,,Fitness & Outdoor,,Men & Women,Android & iOS,Silver,,"Heart Rate, SpO2, Accelerometer",,,,,Upto 7 days,Yes,,,Yes,Yes,,,,,10 m,,,410 x 502 pixel,49.784 mm,,,,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,,Yes,Yes,,Yes,Yes,,,,,,1 Year Warranty from the date of purchase,,Warranty is applicable on manufacturing defects for all the products for 1 Year and accessories (If any) for 3 months from the date of purchase.,"unauthorized tampering, modification or repairs ; physical damage ; water logging or any other damage due to heat, humidity or moisture doing operations",1 Year,Silver,,,,,,,,,,,,,,,,,,,,,,,,,
Sanvitraders T10 Ultra Smart Watch Smartwatch,₹759,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/2/q/p/53-t10-ultra-2-09-infinite-display-with-bluetooth-calling-original-imah6zvwgzhr4fhm.jpeg?q=70,https://www.flipkart.com/sanvitraders-t10-ultra-smart-watch-smartwatch/p/itmf755a4e2d5aae?pid=SMWH6ZVWEVCB9HGG&lid=LSTSMWH6ZVWEVCB9HGGX1ODIY&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_4_137&otracker=search&fm=organic&iid=en_9Qf-zisLBRPRyvN398X8Jm3zdjxWugyBt6nnQFc1Q_14ulKra0lsmI0bgI_ihTH9XSXcmiB97i8bpRKd_9-xRg%3D%3D&ppt=None&ppn=None&ssid=4ahwaohacw0000001738524718254&qH=87968ec020b2016b,2025-02-02 20:31:58,1 smart watch,T10 Ultra 2.09 Infinite Display with Bluetooth Calling Smartwatch (Orenge ),T10 Ultra Smart Watch,Square,Orange,Silicone,free size,Yes,Yes,10 m,Fitness & Outdoor,Aluminium,Men & Women,Android,ORENGE,na,PROXIMITY SENSOR,"CALNDER REMINDER, MISSED CALL NOTIFICATION, WHATSAPP & EMAIL NOTIFICATION",Ringer,Lithium,60 min,1 DAY,Yes,Wirless,,Yes,Yes,Yes,Yes,Yes,V3.0,10 m,"Mute Calls, Reject Calls, Take Calls",Full Support,395*460 pixel,53 mm,HD,,Yes,Yes,,Yes,Yes,Yes,Yes,"Sleep Tarcking, Movement Measurement",yes,Yes,Yes,Yes,Yes,English,,"Weather, Barometer",,,,yes,Yes,,,,,,,,,,,Moulticolor,,all Divice,,,Android @Ios,,,Yes,,,,,,na,na,,,,,,,,,,
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Z...","₹1,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/w/f/m/-original-imagrf4gvgfjj8jf.jpeg?q=70,https://www.flipkart.com/boult-crown-1-95-screen-bt-calling-working-crown-zinc-alloy-frame-900-nits-spo2-smartwatch/p/itme4d41a7681606?pid=SMWGPHT4WMGGHGGC&lid=LSTSMWGPHT4WMGGHGGC7NH1PB&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_4_141&otracker=search&fm=organic&iid=en_9Qf-zisLBRPRyvN398X8Jm3zdjxWugyBt6nnQFc1Q_2niKwZpl3MskdoMyIr8MmJJ9G00zZ85ZmpZjkb8tsvzIE8waCTrWcncKeK_ydPfoM%3D&ppt=None&ppn=None&ssid=4ahwaohacw0000001738524718254&qH=87968ec020b2016b,2025-02-02 20:31:58,"User Manual, Smartwatch, Charging Cable,Warranty Card",Crown,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Square,Orange,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,,Men & Women,Android & iOS,Orange,,"Real Heart rate, SPO2, Pedometer","Social Media, Messages, Incoming Calls, Emails, Water Drink reminder, sedentary reminder, Alarm Clock, Low battery reminder",,Lithium Polymer,150 min,Upto 5 Days,,,"Remote Camera, 150+ Watch Faces with Custom watch faces, 1.95inch 900 Nits High Brightness Display, 100+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie's count",Yes,Yes,No,,No,v5.2,10 m,"Pick up incoming calls, reject incoming calls, dial, Dedicated Speaker and Mic, AI voice assistant",,240 x 283 Pixel,49.53 mm,TFT,,Yes,No,,Yes,Yes,Yes,,100+ Workout modes,Date and Time,No,No,Yes,No,"English (default), Chinese, Traditional Chinese, German, Korean, Spanish, Japanese, French, Russian, Arabic, Ukrainian, Italian, Portuguese",,,Yes,Yes,,,,,,6 mm,,,1 Year Warranty from the date of purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any kind of technical issue,"Physical damage, loss of smartwatch or any accessories.",1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
