title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Model Name,Dial Color,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Usage,Dial Material,Ideal For,Compatible OS,Brand Strap Color,Closure,Sensor,Compatible Device,Notification,Notification Type,Charge Time,Battery Life,Rechargeable Battery,Charger Type,Call Function,Bluetooth,Messaging Support,Email Support,Operating Range,Call Features,Display Resolution,Display Size,Scratch Resistant,Calorie Count,Step Count,Heart Rate Monitor,Date & Time Display,Calendar,Alarm Clock,Speaker,Microphone,Gesture Control,Voice Control,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Water Resistance Depth,Maximum Operating Altitude,Talk time,Battery Type,Stand By Time,Other Features,Operating System,RAM,Number of Cores,Processor Name,Processor Speed,Internal Memory,Expandable Memory,Wi-Fi,GPS,Bluetooth Version,Third Party App Support,Other Connectivity Features,Display Type,Flash,Primary Camera,Other Camera Features,Backlight Display,Other Display Features,Altimeter,Other Fitness Features,Compass,Chronograph,Language,Number of Buttons,Other Watch Functions,Audio Features,Supported Audio Format,Video Features,Supported Video Format,Speaker Volume,HD Recording,HD Playback,Other Multimedia Features,Width,Height,Thickness,Diameter,Weight,Other Dimensions,International Warranty,Compatible Operating System
"DOPEWOPE T500 Ultra Bluetooth calling,sports 5G speed S...",₹551,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/p/x/o/49-ultra-t500-pro-ts-46-android-ios-dopewope-yes-original-imah8mm9fvhhhfgh.jpeg?q=70,https://www.flipkart.com/dopewope-t500-ultra-bluetooth-calling-sports-5g-speed-smartwatch/p/itm1d3c477677922?pid=SMWH8MM957MN3WTD&lid=LSTSMWH8MM957MN3WTDIM4N63&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_33&otracker=search&fm=organic&iid=731b3078-e2f8-440b-bf71-91ff6fd61526.SMWH8MM957MN3WTD.SEARCH&ppt=None&ppn=None&ssid=38fz4n4icg0000001738368814082&qH=87968ec020b2016b,2025-02-01 01:13:36,smartwatch,Ultra T500 Pro Ts-45,"T500 Ultra Bluetooth calling,sports 5G speed Smartwatch",Black,Rectangle,Black,Silicone,Free Size,Yes,Yes,Fitness & Outdoor,Aluminium,Men & Women,Android & iOS,Black,Clip-on,"Accelerometer,Gyroscope,Proximity","Samsung,Oneplus,Oppo,Vivo","Take calls,Reject Calls,Mute calls",Ringer,46 min,2years,Yes,Usb Cable,Yes,Yes,Yes,Yes,10 m,"mute calls,Take calls,Reject calls",320x320 pixel,49 mm,Yes,Yes,Yes,Yes,Digital After connecting with phone,Yes,Yes,1,1,"Change music,Take calls,mute calls,Reject calls",Yes,Only Replacement,Only Replacement within 7 Days,Manufacturing Defects,"Physical Damage,Water Damage",0 Months,10 m,1000 m,48 hr,Lithium Ion,96 hr,Bluetooth Voice calling,"Anroid,Ios",1 GB,Dual Core,AT-785,601,1 GB,1 GB,No,No,v5.2,Hiwatch,na,HD,NA,0.1 MP,NA,Yes,Raise to wake,Yes,"Step count,Sleep Tracking",Yes,Yes,English,2,"Weather Updates,Sleep Tracking,Heart Rate sensor",mp3,mp3,na,na,100 dB,na,na,music control,49 mm,44 mm,14 mm,49 mm,100 g,57 g,0 Months,
"Boult Trail 2.01"" 3D Curved HD Display, Working Crown, ...","₹1,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/l/z/v/-original-imahyxqdgfwwsdgz.jpeg?q=70,https://www.flipkart.com/boult-trail-2-01-3d-curved-hd-display-working-crown-190-watch-faces-health-track-smartwatch/p/itm69268aeb3e215?pid=SMWHYJMVCQB29Y66&lid=LSTSMWHYJMVCQB29Y6671LUJZ&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_37&otracker=search&fm=organic&iid=en_F22S1NYkWpAkVXlLJknehfp9JfScFGbiyERbvC4P0w50Ye4HuCztdzqwrqq19yolN_c-JxDdHuR54fjI2X8iOEhz9c-MSIoFe8xMxkfU6dM%3D&ppt=None&ppn=None&ssid=38fz4n4icg0000001738368814082&qH=87968ec020b2016b,2025-02-01 01:13:36,"Smartwatch, Charging Cable, Warranty Card, User Manual",Trail,"Trail 2.01"" 3D Curved HD Display, Working Crown, 190+ Watch Faces, Health Track",,Square,Green,Silicone,Free Size,Yes,Yes,Fitness & Outdoor,,Men & Women,Android & iOS,Jade Green,,"Real Heart Rate, SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,Yes,Yes,No,No,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",240 x 296 Pixel,51.054 mm,No,Yes,Yes,Yes,Date and Time,No,Yes,Yes,Yes,Raise to Wake,Yes,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,1.5 m,,,Lithium Polymer,,"World Clock, Remote Camera, 190+ Watch Faces with Custom Watch Faces, 2.01 inch Display?, 120+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calories Count",,,,,,,,No,No,v5.3,,,IPS HD,,,,Yes,"3D Curved Glass, IPS Screen",No,120+ Workout Modes,No,No,English (Default),1,"Bluetooth Calling, 2.01inch? with 240 x 296 Display Resolution, Working Crown, Complete Health Monitoring, Female Cycle Tracker, 190+ Cloud Watch Faces with Custom Watch Face, 120+ Workout Modes, Sleep Tracking, Intelligent AI Voice Assistance, Weather Details, Find My Phone, Remote Camera Option, Other Functions : Alarm Clock, Stopwatch, Timer, DND, Flashlight & More",,,,,,,,,38.1 mm,48.1 mm,12.9 mm,,49.5 g,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 01:13:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 01:13:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,₹279,3.3,Data not available,Image not available,URL not available,2025-02-01 01:13:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 01:13:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 01:14:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 01:14:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult Drift Max 2.01''HD Screen,BT Calling, Working Cro...","₹1,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/5/u/s/-original-imah8xv5bjyppg6q.jpeg?q=70,https://www.flipkart.com/boult-drift-max-2-01-hd-screen-bt-calling-working-crown-complete-health-track-ip68-smartwatch/p/itm41b5b7a847d77?pid=SMWH6PTYSTM6EEWP&lid=LSTSMWH6PTYSTM6EEWPDGY9ZJ&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_41&otracker=search&fm=organic&iid=en_7ebrRADclSHUVwYasLuHfZDwiOojZs9YqSslK-PHfHw--eJpsWG1jVvZLedo3nFxRNtcHuQi7-UvglZ2KXretPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=6wew70ljy80000001738368865936&qH=87968ec020b2016b,2025-02-01 01:14:31,"Smartwatch, Charging Cable, Warranty Card, User Manual",Drift Max,"Drift Max 2.01''HD Screen,BT Calling, Working Crown, Complete Health Track, IP68",Multicolour,Square,Silver,Stainless steel,Free Size,Yes,Yes,Fitness & Outdoor,Zinc Alloy,Men & Women,Android & iOS,Silver,,"Real Heart rate, SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink reminder, sedentary reminder, Alarm Clock, Low battery reminder",Vibrate,150 min,Upto 5 days,Yes,Magnetic Charging Cable,Yes,Yes,No,No,10 m,"Pick up incoming calls, reject incoming calls, dial, Dedicated Speaker and Mic, AI voice assistant",240x296 Pixel,2 inch,No,Yes,Yes,Yes,Date and Time,No,Yes,1 Speaker,Yes,Wrist to Screen Wake,Yes,1 Year Warranty from the date of purchase,Repair or Replace,Any kind of technical issue,"Physical damage, loss of smartwatch or any accessories.",1 Year,1 m,,,Lithium Polymer,480 hr,"Remote Camera, 150+ Watch Faces with Custom watch faces, 2.0inch 1000 Nits High Brightness Display​, 120+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie’s count",,,,,,,,,No,v5.2,,,HD,,,,Yes,1000 Nits High Brightness,No,120+ Workout modes,No,No,English,2,"Bluetooth Calling, 2.0inch 1000 Nits High Brightness Display​ with 240x296 display resolution , Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 120+ Workout Modes, Sleep Tracking, Intelligent AI Voice assistance, Weather Details, Find My Phone, Other Functions : Alarm clock, Stopwatch, Timer, DND, Flashlight & more.",,,,,,,,,48 mm,11 mm,39 mm,,50 g,,,
Fastrack Revoltt XR1-1.38|BT Calling|Fast Charge|100+ S...,"₹1,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/9/j/1/-original-imagx8nhebmyh8yu.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-xr1-1-38-bt-calling-fast-charge-100-sports-mode-ip68-calculator-fashion-smartwatch/p/itm6de298b960d2d?pid=SMWGWT49N2FKR7GT&lid=LSTSMWGWT49N2FKR7GTBG3LDS&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_45&otracker=search&fm=organic&iid=0f29e2ba-6d21-49e2-a661-75dff4d7eb98.SMWGWT49N2FKR7GT.SEARCH&ppt=None&ppn=None&ssid=6wew70ljy80000001738368865936&qH=87968ec020b2016b,2025-02-01 01:14:31,"Watch, Charging Cable, Quick Start Guide",38088PP03,Revoltt XR1-1.38|BT Calling|Fast Charge|100+ Sports Mode|IP68|Calculator|Fashion,,Round,Green,Silicone,Free Size,Yes,Yes,Fitness & Outdoor,,Men & Women,Android & iOS,Green,Buckle,Heart Rate & SpO2,,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifictaions, Other App Notification",Ring and Vibration,120 min,Upto 5 Days,Yes,Pogo Pin Charging Cable,Yes,Yes,,,10 m,"Call Answer, Call Reject, Call Mute, Call Notifications, Quick Replies (Android)",240 x 240 Pixel,34.9 mm,No,,Yes,,Yes,No,Yes,,Yes,,,1 Year Limited warranty,customer care at 1800-266-0123 or email us at customercaren.co.in,Manufacturing Defects,Physical Damage,,1.5 mm,,,Lithium Polymer,,,,,,,,,,,,v5.3,,,LCD,,,,,,,"One Click Measurement, 24*7 HRM, Auto Stress, SpO2, Sleep Tracker, Women's Health, Activity Tracker, Breathe Exercise, 100+ Multisports",No,,,1,,,,,,,,,,,52.5 mm,,,45 G,,,
"boAt Storm Call 3 Plus w/ Turn by Turn Navigation, QR T...","₹1,249",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/e/m/6/-original-imah4d2pycdgab4j.jpeg?q=70,https://www.flipkart.com/boat-storm-call-3-plus-w-turn-navigation-qr-tray-4-97cm-1-96-hd-display-smartwatch/p/itmab70b64070c99?pid=SMWH3Z2TGG7E4VBG&lid=LSTSMWH3Z2TGG7E4VBGOIFBMQ&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_49&otracker=search&fm=organic&iid=0f29e2ba-6d21-49e2-a661-75dff4d7eb98.SMWH3Z2TGG7E4VBG.SEARCH&ppt=None&ppn=None&ssid=6wew70ljy80000001738368865936&qH=87968ec020b2016b,2025-02-01 01:14:31,"1 x Smartwatch, 1 x Charging Cable, 1 x User Manual",Storm Call 3 Plus,"Storm Call 3 Plus w/ Turn by Turn Navigation, QR Tray, 4.97cm(1.96'') HD Display",,Rectangle,Black,Silicone,Free Size,Yes,Yes,Fitness & Outdoor,,Men & Women,Android & iOS,Active Black,,"Heart Rate, SpO2, G Sensor",,,,,Upto 7 days,,,Yes,Yes,,,,,240 x 284 Pixels,49.7 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fire-Boltt Spectre Stainless Steel Luxury, 33.5mm (1.32...","₹1,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/m/a/l/-original-imah2gtaam6g6kfy.jpeg?q=70,https://www.flipkart.com/fire-boltt-spectre-stainless-steel-luxury-33-5mm-1-32-inch-display-360-360-px-high-res-smartwatch/p/itma4eb918a59605?pid=SMWGTR5ZHHMVHPUM&lid=LSTSMWGTR5ZHHMVHPUMNGTKC1&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_53&otracker=search&fm=organic&iid=0f29e2ba-6d21-49e2-a661-75dff4d7eb98.SMWGTR5ZHHMVHPUM.SEARCH&ppt=None&ppn=None&ssid=6wew70ljy80000001738368865936&qH=87968ec020b2016b,2025-02-01 01:14:31,"1 Smartwatch, 1 Charging Cable, 1 Manual, 1 Warranty Card",BSW164,"Spectre Stainless Steel Luxury, 33.5mm (1.32 inch) Display, 360*360 Px High Res",,Round,Black,Stainless steel,Free Size,Yes,Yes,Fitness & Outdoor,Zinc Alloy,Men & Women,Android & iOS,Black,Buckle,"SpO2, Heart Rate Sensor",,"Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",Vibration,120 min,Upto 5 Days,Yes,USB Cable With Metalic Charging Points,Yes,Yes,,,10 m,,360 x 360 Pixel,33.53 mm,,Yes,Yes,Yes,Yes,No,,Yes,Yes,Wrist Wake Function,,Covers Manufacturing Defects,Contact infocare@boltt.com to Claim Warranty. Replacement will be given by the brand against Manufacturing Defects.,,Physical & Water Damage,,1 m,,,Lithium Ion,,,,,,,,,,No,No,v5.0,,,TFT LED,,,,,,Yes,"Automatic Motion Recognition360 Health Cover – SpO2, Heart Rate & Sleep Monitoring, Breathe MonitoringSmart Alarm, Sedentary Reminder Notifications",No,Yes,English,,,,,,,,,,,,,12 mm,,50 g,,,
JOKIN T800 Ultra smartwatch Bluetooth Call Fitness Brac...,₹649,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/i/0/n/1-99-android-ios-t800-ultra-biggest-display-smart-watch-with-bt-original-imagppngk3nfwv7n.jpeg?q=70,https://www.flipkart.com/jokin-t800-ultra-smartwatch-bluetooth-call-fitness-bracelet-magnetic-charging-g4/p/itm3f3dd6ee2c869?pid=SMWGQMWQCG3TGCJP&lid=LSTSMWGQMWQCG3TGCJPIWLBBH&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_57&otracker=search&fm=organic&iid=en_7ebrRADclSHUVwYasLuHfZDwiOojZs9YqSslK-PHfHyi-OE3ZWzcxRwyDejoiSJqFHcqTMO4bPfSHG_1E6W8tw%3D%3D&ppt=None&ppn=None&ssid=6wew70ljy80000001738368865936&qH=87968ec020b2016b,2025-02-01 01:14:31,"1 Smartwatch, Strap, 1 Wireless Charger",T800 Ultra smartwatch Bluetooth Call Fitness Bracelet Magnetic Charging G4,T800 Ultra smartwatch Bluetooth Call Fitness Bracelet Magnetic Charging G4,Silver,Square,Orange,Silicone,Free Size,Yes,No,"Fitness & Outdoor, Health & Medical, Notifier, Watchphone",Metal,Men & Women,Android & iOS,Orange,,"Accelerometer, Gyroscope, Proximity Sensor",,yes,Vibrate,120 min,3 days,Yes,Wireless Charger,Yes,Yes,Yes,,10 m,BT Calling,1080 pixel,49 mm,Yes,Yes,Yes,Yes,yes,Yes,Yes,yes,yes,,Yes,,,,,,10 m,,,Lithium Ion,,,,,,,,,,,,4,,"Multi-functions: Step counting, distance measurement, calorie consumption management, sleep monitoring, time display, incoming call reminder, intelligent alarm clock, heart rate, blood pressure, blood oxygen, intelligent remote control camera, prevent the loss, information push (WeChat, QQ, SMS, Facebook, Twitter), event reminder.",HD,,,,Yes,"1.99 inch Large TFT screen with 320*386 pixels offers a very clear display with super bright colors., Bright Screen Time Setting: Support, Set in the App. Can set 5s, 10s, and 15s to automatically turn off the screen.",,,Yes,,Multi Language,3,,,,,,,,,,,,,,,,,
Fastrack Revoltt X-1.83'|Blazing Fast UI|Single Sync BT...,₹999,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/t/v/z/-original-imah63b2hzuzehaf.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-x-1-83-blazing-fast-ui-single-sync-bt-calling-calculator-in-built-games-smartwatch/p/itm94d55d2118343?pid=SMWH3PYKY7UFNZCW&lid=LSTSMWH3PYKY7UFNZCWF5XA3W&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_61&otracker=search&fm=organic&iid=en_7ebrRADclSHUVwYasLuHfZDwiOojZs9YqSslK-PHfHzrVRVx5iTqk_jZzcIcFtL93g79CtQGQ_19sgWIJlDpS04IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=6wew70ljy80000001738368865936&qH=87968ec020b2016b,2025-02-01 01:14:31,"Watch Head, Watch Strap, Charging Cable, Quick Start Guide, Product Manual",38100PP06K,Revoltt X-1.83'|Blazing Fast UI|Single Sync BT Calling|Calculator|In-built games,,Square,Black,Silicone,Free Size,Yes,Yes,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,Black,Buckle,Heart Rate & SpO2,,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifictaions, Other App Notification",Ring and Vibration,150 min,Upto 5 Days,Yes,Pogo Pin Charging Cable,Yes,Yes,Yes,,10 m,"Call Answer, Call Reject, Call Mute, Call Notifications",240 x 286 Pixels,46.4 mm,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1 Year Limited warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,Physical Damage,1 Year,1 m,,,Lithium Polymer,,"Large 1.83"" UltraVU Display, SingleSync BT Calling, 85+ Multisports, Sleep Monitor, Stress Monitor, 24x7 HRM, SpO2, Womens Health, Breathe Exercise, Music & Camera Control, Calculator, Alarm, Stopwatch & Timer, IP67 Water Resistance, 100+ Watchfaces, 7 Days Battery",,,,,,,,No,No,v5.3,Not Supported,,LCD,,,Camera Control,Yes,450 Nits Brightness,No,"Stress Monitor, 24x7 HRM, SpO2, Sleep Tracker, Women's Health, Activity Tracker, 85+ Multisports",No,No,English,1,"Alarm, Stopwatch, Timer",Music Control,,,,,,,Music Control,37.22 mm,45.22 mm,11.34 mm,,40 g,,,
"Noise Crew 1.38"" Round Display with Bluetooth Calling, ...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/g/e/l/-original-imah6s6p747bvmxh.jpeg?q=70,https://www.flipkart.com/noise-crew-1-38-round-display-bluetooth-calling-metallic-finish-ip68-rating-smartwatch/p/itmd8d386d4779d2?pid=SMWGKXEEBEFMGJQY&lid=LSTSMWGKXEEBEFMGJQYKKT8MC&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_65&otracker=search&fm=organic&iid=0f29e2ba-6d21-49e2-a661-75dff4d7eb98.SMWGKXEEBEFMGJQY.SEARCH&ppt=None&ppn=None&ssid=6wew70ljy80000001738368865936&qH=87968ec020b2016b,2025-02-01 01:14:31,"Smartwatch,User Manual, Warranty Card",wrb-sw-crew-std-slvr_blu,"Crew 1.38"" Round Display with Bluetooth Calling, Metallic finish, IP68 Rating",Silver,Round,Blue,Silicone,Regular,Yes,Yes,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,Blue,Buckle,"Heart Rate, Sp02, Sleep Monitor, Stress",,Smart Notification,Vibration,,7 Days,Yes,Magnetic Charger,Yes,Yes,Yes,Yes,10 m,,240 x 240 pixel,35.052 mm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,1 Year Manufacturer Warranty,Contact - help@nexxbase.com | support.gonoise.in | +91 8882132132,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fire-Boltt 4G Pro Volte Calling- 2.02"" TFT Display, 4G ...","₹1,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/t/f/a/51-3-bsw217-android-ios-fire-boltt-yes-original-imah4rb8wuyaj77b.jpeg?q=70,https://www.flipkart.com/fire-boltt-4g-pro-volte-calling-2-02-tft-display-nano-sim-gps-smartwatch/p/itm16a3716f7398e?pid=SMWH4D8VMYVV962Z&lid=LSTSMWH4D8VMYVV962ZIFYMEQ&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_69&otracker=search&fm=organic&iid=0f29e2ba-6d21-49e2-a661-75dff4d7eb98.SMWH4D8VMYVV962Z.SEARCH&ppt=None&ppn=None&ssid=6wew70ljy80000001738368865936&qH=87968ec020b2016b,2025-02-01 01:14:31,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW217,"4G Pro Volte Calling- 2.02"" TFT Display, 4G Nano-SIM GPS",,Square,Blue,Silicone,Free Size,Yes,Yes,"Fitness & Outdoor, Health & Medical",Zinc Alloy,Men & Women,Android & iOS,Blue,Buckle,"Heart Rate, SpO2, Pedometer",,"Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",Vibrate,180 Hr,5 Days,Yes,USB Cable,Yes,Yes,No,No,10 m,"Reject Calls, Take Calls",240 x 296 Pixels,51.3 mm,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,,Yes,Covers Manufacturing Defects,Customer Support,Manufacturing Defects,Physical & Water Damage,1 Year,1 m,,,Lithium Ion,720 Hr,,,,,,,,,No,No,,,Android 6.0 or iOS 12.0 Supporting Bluetooth 5.0 Mobile Phones with System Version and Above,HD,,,,No,"2.02"" Square Display with 240 x 296 px High Resolution",No,"SPO2, Heart Rate Tracking, Sports Data Analysis, Sleep Tracking, Step Count, Calorie Count",No,No,,1,,,,,,,,,,33 mm,9.8 mm,9.8 mm,51.308 mm,56.1 g,,,
GameSir S9 Ultra 24K Golden with Extra Strap Bluetooth ...,"₹1,111",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/y/6/r/44-new-s9-black-box-b-android-ios-gamesir-yes-original-imah7ffh9vwcgy84.jpeg?q=70,https://www.flipkart.com/gamesir-s9-ultra-24k-golden-extra-strap-bluetooth-calling-health-sport-fashion-smartwatch/p/itm4a42a13c4b533?pid=SMWGWGYFUKYH2XQY&lid=LSTSMWGWGYFUKYH2XQYCMXZF3&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_73&otracker=search&fm=organic&iid=0f29e2ba-6d21-49e2-a661-75dff4d7eb98.SMWGWGYFUKYH2XQY.SEARCH&ppt=None&ppn=None&ssid=6wew70ljy80000001738368865936&qH=87968ec020b2016b,2025-02-01 01:14:31,Smartwatch,New S9 Black Box-B,"S9 Ultra 24K Golden with Extra Strap Bluetooth calling, Health, Sport, Fashion",Gold,Rectangle,Gold,"Stainless steel, Silicone",Free Size,Yes,Yes,"Fitness & Outdoor, Notifier, Watchphone, Health & Medical",Super Amoled,Men,Android & iOS,"Golden, Black, Orange",Buckle lock,Fitness Health Sports G-sensor,Smartphone and iOS,"Call, SMS, Health and fitness, SOS, Alert, App notifications",Vibrate and ringing,100 min,3 Days after proper use and Normal Use 7 Days,Yes,wireless,Yes,Yes,No,No,10 m,"Take call, make calls, mute calls, reject calls, SOS calls, Speed dial calls",420*420 pixel,44 mm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Make Calls, Answer Calls, Mute Rejects Calls, Missed calls show, Contacts",Yes,3 month warranty,"Carry on warranty
Contact no - bellstartrading2012@gmail.com",Manufacturing Defects,Physical Damage,3 Months,0.5 m,10 m,5 hr,Lithium Polymer,50 hr,25+ Apps always on display feature Music Camera Operate,Android and ios,1 GB,,,,2 GB,,No,No,5.0,,App and Bluetooth,AMOLED,Yes,,Remote access camera,Yes,"Sunlight Proof display, 2 Inch Large Display, All words & apps clearly view no small app no small word, Amoled display",No,"Heart rate, Blood pressure, Blood oxygen, Time display, Step counting,Calories Distance, with game",No,No,English,3,"Heart rate, Blood pressure, Blood oxygen, Time display, Step counting,Calories Distance,, BT call?Play music?Messages reminder?Pedometer?Distance?Calories?Sleep monitoring?Heart rate?Calendar?Raise-to-wake?Intelligent
voice?Call records?SMS?Alarm?Remote camera?Dial?Phone book?Calculator?Clock?Ringtone settings,body temperature monitor
Waterproof: IP67 Waterproof",,,,,100 dB,,,Music playbackMaking and receiving callFind my phoneApp Notifications,,,,,100 g,Standard,0 Months,
