title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Model Name,Dial Color,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Usage,Ideal For,Compatible OS,Brand Strap Color,Sensor,Compatible Device,Notification,Notification Type,Battery Type,Charge Time,Battery Life,Rechargeable Battery,Charger Type,Stand By Time,Other Features,Call Function,Bluetooth,Wi-Fi,GPS,Messaging Support,Email Support,Operating Range,Call Features,Display Resolution,Display Size,Display Type,Backlight Display,Scratch Resistant,Other Display Features,Calorie Count,Step Count,Heart Rate Monitor,Altimeter,Other Fitness Features,Date & Time Display,Compass,Calendar,Alarm Clock,Chronograph,Language,Other Watch Functions,Speaker,Microphone,Voice Control,Width,Height,Thickness,Weight,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Dial Material,Closure,Gesture Control,Bluetooth Version,Third Party App Support,Other Connectivity Features,Number of Buttons,Diameter,Maximum Operating Altitude,Talk time,Operating System,RAM,Internal Memory,Flash,Other Camera Features,Audio Features,Supported Audio Format,Speaker Volume,Other Multimedia Features,International Warranty,Video Features,Supported Video Format,HD Recording,HD Playback,Compatible Operating System,Processor Name
"Boult Trail Pro 2.01''3D Curved Display, 600Nits, 250+ ...","₹1,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/7/j/s/-original-imah8nz3pptay2dd.jpeg?q=70,https://www.flipkart.com/boult-trail-pro-2-01-3d-curved-display-600nits-250-watch-faces-health-track-ip68-smartwatch/p/itm316c457451d80?pid=SMWH82VTDGR5F5DH&lid=LSTSMWH82VTDGR5F5DHN07SJH&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_33&otracker=search&fm=organic&iid=601d1595-d6c1-465d-a54d-07181143265b.SMWH82VTDGR5F5DH.SEARCH&ppt=None&ppn=None&ssid=ltjo2u6h340000001739031350985&qH=87968ec020b2016b,2025-02-08 17:15:55,"Smartwatch, User Manual, Charging Cable, Warranty Card",BA-FK-Trail Pro-Jet Black,"Trail Pro 2.01''3D Curved Display, 600Nits, 250+ Watch Faces, Health Track, IP68",,Square,Black,Stainless steel,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Men & Women,Android & iOS,Jet Black,"Real Heart Rate, SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,Lithium Polymer,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,,"World Clock, Remote Camera, 190+ Watch Faces with Custom Watch Faces, 2.01inch Display?, 120+ Sports Modes, Health Monitor- 24 x 7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie�s Count",Yes,Yes,No,No,No,No,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",240 x 296 Pixels,51.054 mm,AMOLED,Yes,No,"3D Curved Glass, IPS Screen",Yes,Yes,Yes,No,120+ Workout Modes,Date and Time,No,No,Yes,No,English (Default),"Bluetooth Calling, 2.01inch? with 240x296 display resolution, Working Crown, Complete Health Monitoring, Female Cycle Tracker, 190+ Cloud Watch faces with custom watch face, 120+ Workout Modes, Sleep Tracking, Intelligent AI Voice assistance, Weather Details, Find My Phone, Remote Camera option, Other Functions : Alarm clock, Stopwatch, Timer, DND, Flashlight & more.",Yes,Yes,Yes,38.1 mm,48.1 mm,12.9 mm,49.5 g,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,,,Raise to Wake,v5.3,,,1,,,,,,,,,,,,,,,,,,,
"Boult Drift Max 2.01''HD Screen,BT Calling, Working Cro...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/a/j/3/-original-imah8xv5wv5avhmg.jpeg?q=70,https://www.flipkart.com/boult-drift-max-2-01-hd-screen-bt-calling-working-crown-complete-health-track-ip68-smartwatch/p/itm714e3e018ced6?pid=SMWH6PTYRPC3N3NJ&lid=LSTSMWH6PTYRPC3N3NJOPQSPW&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_37&otracker=search&fm=organic&iid=en_ZDnZWtBGII0W_7hSvVnomiz8kt0eJjQ7BQ-Af_hsFF8VchvspRwb9S7zf9qkoMpPcEKHxJlU7ZyhNmjHFz20xp2-SIbIDZ6lLvgRS75Tj4w%3D&ppt=None&ppn=None&ssid=ltjo2u6h340000001739031350985&qH=87968ec020b2016b,2025-02-08 17:15:55,"Smartwatch, Charging Cable, Warranty Card, User Manual",Drift Max,"Drift Max 2.01''HD Screen,BT Calling, Working Crown, Complete Health Track, IP68",Multicolour,Square,Black,Silicone,Free Size,Yes,Yes,1 m,Fitness & Outdoor,Men & Women,Android & iOS,Pure Black,"Real Heart rate, SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink reminder, sedentary reminder, Alarm Clock, Low battery reminder",Vibrate,Lithium Polymer,150 min,Upto 5 days,Yes,Magnetic Charging Cable,480 hr,"Remote Camera, 150+ Watch Faces with Custom watch faces, 2.0inch 1000 Nits High Brightness Display​, 120+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie’s count",Yes,Yes,,No,No,No,10 m,"Pick up incoming calls, reject incoming calls, dial, Dedicated Speaker and Mic, AI voice assistant",240x296 Pixel,2 inch,HD,Yes,No,1000 Nits High Brightness,Yes,Yes,Yes,No,120+ Workout modes,Date and Time,No,No,Yes,No,English,"Bluetooth Calling, 2.0inch 1000 Nits High Brightness Display​ with 240x296 display resolution , Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 120+ Workout Modes, Sleep Tracking, Intelligent AI Voice assistance, Weather Details, Find My Phone, Other Functions : Alarm clock, Stopwatch, Timer, DND, Flashlight & more.",1 Speaker,Yes,Yes,48 mm,11 mm,39 mm,50 g,1 Year Warranty from the date of purchase,Repair or Replace,Any kind of technical issue,"Physical damage, loss of smartwatch or any accessories.",1 Year,Zinc Alloy,,Wrist to Screen Wake,v5.2,,,2,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:15:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:15:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹1,499",4,Data not available,Image not available,URL not available,2025-02-08 17:15:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:15:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:17:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:17:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/e/e/p/-original-imah8mtwtmmxa47x.jpeg?q=70,https://www.flipkart.com/boult-drift-bluetooth-calling-1-85-hd-500nits-brightness-150-watchfaces-spo2-smartwatch/p/itm9aab07df7f268?pid=SMWGMH4JA69PG4TF&lid=LSTSMWGMH4JA69PG4TF75UAZN&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_41&otracker=search&fm=organic&iid=en_ZN0AqXwmNLogaczUwefVcxNM6UqsU_wV9XwODTGH2oolfQQMFR6GcKh9KbqVnnMUDkJiK0KAyVoBicHEcdhZWQ%3D%3D&ppt=None&ppn=None&ssid=dcw5riu8nk0000001739031434935&qH=87968ec020b2016b,2025-02-08 17:17:20,"Smartwatch, User Manual, Charging Cable, Warranty Card",Drift +,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Multicolour,Rectangle,Black,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Men & Women,Android & iOS,Jet Black,"Real Heart Rate, Real SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,Lithium Ion,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,600 Hr,"Remote Camera, 150+ Watch Faces with Custom watch faces, 1.85inch 500 Nits High Brightness Display, 100+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie count",Yes,Yes,No,No,No,No,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",240 x 280 Pixels,1.85 inch,TFT,Yes,No,High Brightness,Yes,Yes,Yes,No,100+ Workout Modes,Date and Time,No,No,Yes,No,"English (Default), Chinese, Traditional Chinese, German, Korean, Spanish, Japanese, French, Russian, Arabic, Ukrainian, Italian, Portuguese","Bluetooth Calling, 1.85inch 500 Nits High Brightness Display, Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 100+ Workout Modes, Sleep Tracking, Weather Details, Find My Phone, Multiple Fun Mini Games",1 Speaker,Yes,Yes,37.28 mm,10.75 mm,44.17 mm,42 g,1 Year Warranty from the Date of Purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Allo...","₹1,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/h/0/t/-original-imagxp8vawtgnhyf.jpeg?q=70,https://www.flipkart.com/boult-crownr-pro-1-43-hd-amoled-bt-calling-zinc-alloy-frame-ip67-spo2-tracking-smartwatch/p/itm471c0855c0c44?pid=SMWGSVWZDVCRFH4C&lid=LSTSMWGSVWZDVCRFH4CFR3RV3&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_45&otracker=search&fm=organic&iid=a42c0103-bf78-4a6d-907a-499e104010ee.SMWGSVWZDVCRFH4C.SEARCH&ppt=None&ppn=None&ssid=dcw5riu8nk0000001739031434935&qH=87968ec020b2016b,2025-02-08 17:17:20,"Smartwatch, User Manual, Charging Cable, Warranty Card",Crown R Pro,"CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking",Multicolour,Round,Black,Stainless steel,Free Size,Yes,Yes,1 m,Fitness & Outdoor,Men & Women,Android & iOS,Jet Black,"Real Heart Rate, Real SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,Lithium Polymer,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,,"Remote Camera, 150+ Watch Faces with Custom watch faces, 1.43inch 600 Nits High Brightness Display, 120+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie's Count",Yes,Yes,No,No,No,No,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",466 x 466 Pixels,36.32 mm,AMOLED,Yes,No,High Brightness,Yes,Yes,Yes,No,120+ Workout modes,Date and Time,No,No,Yes,No,English,"Bluetooth Calling, 1.43inch 600 Nits High Brightness with 466 x 466 display resolution & providing Always on display, Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 120+ Workout Modes, Sleep Tracking, Intelligent AI Voice assistance, Weather Details, Find My Phone, Other Functions : Alarm clock, Stopwatch, Timer, DND, Flashlight & more.",1 Speaker,Yes,Yes,47 mm,46 mm,13 mm,56.5 g,1 Year Warranty from the Date of Purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,Zinc Alloy,,Wrist Wake,v5.2,,,2,,,,,,,,,,,,,,,,,,,
"boAt Storm call 3 w/TBT Navigation,Watch Face Studio,1....","₹1,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/p/3/t/-original-imahy7fhzhwbugaf.jpeg?q=70,https://www.flipkart.com/boat-storm-call-3-w-tbt-navigation-watch-face-studio-1-83-4-6-cm-hd-display-qr-tray-smartwatch/p/itm586335e08aa88?pid=SMWGXWZDAAFJXCXB&lid=LSTSMWGXWZDAAFJXCXBJAG2M1&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_49&otracker=search&fm=organic&iid=a42c0103-bf78-4a6d-907a-499e104010ee.SMWGXWZDAAFJXCXB.SEARCH&ppt=None&ppn=None&ssid=dcw5riu8nk0000001739031434935&qH=87968ec020b2016b,2025-02-08 17:17:20,"Storm Call 3, ?User Manual, Warranty Card, USB Magnetic Charging Cable",Storm call 3,"Storm call 3 w/TBT Navigation,Watch Face Studio,1.83''(4.6 cm)HD Display,QR Tray",,Rectangle,Black,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,Men & Women,Android & iOS,Active Black,"HR, SpO2 & G-sensor",,"Text, Call and Social media",,,,Upto 7 days,Yes,,,,Yes,Yes,,,,,,,240 x 284 Pixel,46.48 mm,,,,,Yes,Yes,Yes,,100+ Sports Modes,,,Yes,Yes,,,,,,,,,,,1 year warranty from the date of purchase,,Manufacturing Defects,Physical Damages,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOL...","₹1,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/i/2/2/-original-imagzvhswuuzay6x.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-fs1-pro-world-s-first-1-96-super-amoled-highest-resolution-bt-calling-smartwatch/p/itmc42d5fa51a930?pid=SMWGZ835PYX4HJGR&lid=LSTSMWGZ835PYX4HJGRCFZKL9&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_53&otracker=search&fm=organic&iid=a42c0103-bf78-4a6d-907a-499e104010ee.SMWGZ835PYX4HJGR.SEARCH&ppt=None&ppn=None&ssid=dcw5riu8nk0000001739031434935&qH=87968ec020b2016b,2025-02-08 17:17:20,"Watch Head, Watch Strap, Charging Cable, Quick Start Guide, Product Manual",38086PP01,"Revoltt FS1 Pro|World's First,1.96"" Super AMOLED|Highest Resolution|BT Calling",,Square,Black,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Men & Women,Android & iOS,Black,Heart Rate & SpO2,,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifications, Other App Notification",Ring and Vibration,Lithium Polymer,60 min,Upto 5 Days,Yes,Pogo Pin Charging Cable,,"1.96"" Super AMOLED Display with 410 x 502 High Pixel Resolution, SingleSync BT Calling, 110+ Multisports, Sleep Monitor with REM Sleep, Auto Stress Monitor, 24*7 HRM, SpO2, Women's Health, Music & Camera Control, In-Built Alarm, Stopwatch & Timer, In-Built Games, Multiple Menu Styles, IP68 Water Resistance, 200+ Watchfaces, 7 Days Battery",Yes,Yes,No,No,Yes,,10 m,"Call Answer, Call Reject, Call Mute, Call Notifications",410 x 502 Pixels,1.96 inch,Super AMOLED,Yes,No,,Yes,Yes,Yes,No,"Auto Stress Monitor, 24*7 HRM, SpO2, Sleep Tracker, Women's Health, Activity Tracker, 110+ Multisports",Yes,No,No,Yes,No,English,"In-Built Alarm, Stopwatch, Timer",Yes,Yes,Yes,39.4 mm,46.6 mm,13 mm,46 g,1 Year Limited warranty,Customer Care At 1800-266-0123 or E-Mail Us At customercare@tco.in,Manufacturing Defects,Physical Damage,1 Year,Polycarbonate,Buckle,No,V5.2,Not Supported,NA,1,,,,,,,,Camera Control,Music Control,NA,,Music Control,,NA,NA,NA,NA,,
"Noise Crew Go with 1.39"" Display, BT Calling with Metal...","₹1,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/z/f/6/-original-imah759hrk24uyjw.jpeg?q=70,https://www.flipkart.com/noise-crew-go-1-39-display-bt-calling-metal-strap-7-days-battery-life-smartwatch/p/itm0e03c14e438f7?pid=SMWGZW3CCRQGAWW7&lid=LSTSMWGZW3CCRQGAWW7EFOBHP&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_57&otracker=search&fm=organic&iid=en_ZN0AqXwmNLogaczUwefVcxNM6UqsU_wV9XwODTGH2oona-LHb7xtmXLpgWy551V8shvC7ixeYb7JbEhsU0zmTQ%3D%3D&ppt=None&ppn=None&ssid=dcw5riu8nk0000001739031434935&qH=87968ec020b2016b,2025-02-08 17:17:20,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-crewgo-meshmtl-gld_gld,"Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life",Gold,Round,Gold,Stainless steel,Regular,Yes,Yes,1 m,Fitness & Outdoor,Women,Android & iOS,Gold Link,"Heart Rate, Accelerometer",,Yes,,,,Up to 7 Days,Yes,,,,Yes,Yes,,,,,10 m,,240 x 240 pixel,35.306 mm,TFT,,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,Yes,Yes,,,,,,1 Year Warranty from the date of purchase,Contact - help@nexxbase.com | support.gonoise.com | 02268056040,Warranty is applicable on manufacturing defects for all the products for 1 Year and accessories (If any) for 3 months from the date of purchase.,"unauthorized tampering, modification or repairs ; physical damage ; water logging or any other damage due to heat, humidity or moisture doing operations",1 Year,Metal,,,v5.3,,,,,,,,,,,,,,,,,,,,,,
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/b/z/c/-original-imah8mtxng4azdhe.jpeg?q=70,https://www.flipkart.com/boult-drift-bluetooth-calling-1-85-hd-500nits-brightness-150-watchfaces-spo2-smartwatch/p/itm299eb0c3ef1a6?pid=SMWGMH4J3PWYQTRH&lid=LSTSMWGMH4J3PWYQTRHXA01MF&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_61&otracker=search&fm=organic&iid=en_ZN0AqXwmNLogaczUwefVcxNM6UqsU_wV9XwODTGH2ooKXtuqAthbNqwneaGlDZOun6A_6BL6mvJZW1hFFVTt3g%3D%3D&ppt=None&ppn=None&ssid=dcw5riu8nk0000001739031434935&qH=87968ec020b2016b,2025-02-08 17:17:20,"Smartwatch, User Manual, Charging Cable, Warranty Card",Drift +,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Multicolour,Rectangle,Black,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Men & Women,Android & iOS,Black Coffee,"Real Heart Rate, Real SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,Lithium Ion,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,600 Hr,"Remote Camera, 150+ Watch Faces with Custom watch faces, 1.85inch 500 Nits High Brightness Display, 100+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie count",Yes,Yes,No,No,No,No,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",240 x 280 Pixels,1.85 inch,TFT,Yes,No,High Brightness,Yes,Yes,Yes,No,100+ Workout Modes,Date and Time,No,No,Yes,No,"English (Default), Chinese, Traditional Chinese, German, Korean, Spanish, Japanese, French, Russian, Arabic, Ukrainian, Italian, Portuguese","Bluetooth Calling, 1.85inch 500 Nits High Brightness Display, Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 100+ Workout Modes, Sleep Tracking, Weather Details, Find My Phone, Multiple Fun Mini Games",1 Speaker,Yes,Yes,37.28 mm,10.75 mm,44.17 mm,42 g,1 Year Warranty from the Date of Purchase,Contact : Ph : Ph ; +919555602502 / Mail : support@boultaudio.com,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
Fastrack Revoltt X-1.83'|Blazing Fast UI|Single Sync BT...,"₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/p/t/m/-original-imah63b2nnxmwzft.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-x-1-83-blazing-fast-ui-single-sync-bt-calling-calculator-in-built-games-smartwatch/p/itm71262b1d20193?pid=SMWH3PYKQRHB4HBM&lid=LSTSMWH3PYKQRHB4HBMSR1AMW&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_65&otracker=search&fm=organic&iid=a42c0103-bf78-4a6d-907a-499e104010ee.SMWH3PYKQRHB4HBM.SEARCH&ppt=None&ppn=None&ssid=dcw5riu8nk0000001739031434935&qH=87968ec020b2016b,2025-02-08 17:17:20,"Watch Head, Watch Strap, Charging Cable, Quick Start Guide, Product Manual",38100PP09K,Revoltt X-1.83'|Blazing Fast UI|Single Sync BT Calling|Calculator|In-built games,,Square,Maroon,Silicone,Free Size,Yes,Yes,1 m,Fitness & Outdoor,Women,Android & iOS,Wine Red,Heart Rate & SpO2,,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifictaions, Other App Notification",Ring and Vibration,Lithium Polymer,150 min,Upto 5 Days,Yes,Pogo Pin Charging Cable,,"Large 1.83"" UltraVU Display, SingleSync BT Calling, 85+ Multisports, Sleep Monitor, Stress Monitor, 24x7 HRM, SpO2, Womens Health, Breathe Exercise, Music & Camera Control, Calculator, Alarm, Stopwatch & Timer, IP67 Water Resistance, 100+ Watchfaces, 7 Days Battery",Yes,Yes,No,No,Yes,,10 m,"Call Answer, Call Reject, Call Mute, Call Notifications",240 x 286 Pixels,46.4 mm,LCD,Yes,No,450 Nits Brightness,Yes,Yes,Yes,No,"Stress Monitor, 24x7 HRM, SpO2, Sleep Tracker, Women's Health, Activity Tracker, 85+ Multisports",Yes,No,Yes,Yes,No,English,"Alarm, Stopwatch, Timer",Yes,Yes,No,37.22 mm,45.22 mm,11.34 mm,40 g,1 Year Limited warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,Physical Damage,1 Year,Polycarbonate,Buckle,No,v5.3,Not Supported,,1,,,,,,,,Camera Control,Music Control,,,Music Control,,,,,,,
Fire-Boltt Hunter 51.1mm (2.01) HD Display Buetooth Cal...,"₹1,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/z/s/7/-original-imah45fgfph7qh2g.jpeg?q=70,https://www.flipkart.com/fire-boltt-hunter-51-1mm-2-01-hd-display-buetooth-calling-single-chipset-metal-body-smartwatch/p/itma91fd174d9560?pid=SMWGZKABBXNQ9SQ9&lid=LSTSMWGZKABBXNQ9SQ9EEHL6J&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_69&otracker=search&fm=organic&iid=a42c0103-bf78-4a6d-907a-499e104010ee.SMWGZKABBXNQ9SQ9.SEARCH&ppt=None&ppn=None&ssid=dcw5riu8nk0000001739031434935&qH=87968ec020b2016b,2025-02-08 17:17:20,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW127,"Hunter 51.1mm (2.01) HD Display Buetooth Calling with Single Chipset, Metal Body",Silver,Square,Grey,Silicone,Free Size,Yes,Yes,1 m,"Fitness & Outdoor, Health & Medical",Men & Women,Android & iOS,Grey,"Bluetooth Calling, SpO2, Heart Rate Sensor HRS3600, Accelerometer 3-Axis Sens, Barometer, Pedometer SC7A20",Mobile Phones,"Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion","Vibration, Ringer",Lithium Ion,180 min,Upto 5 Days,Yes,USB Cable With Metalic Charging Points,360 Hr,"First Ever Largest 2.01"" Square Display
This is a Single Chip Bluetooth Connection Smartwatch
The watch comes with a 240*296 pixel high resolution
This watch is a Bluetooth calling watch 
The watch supports making and receiving calls on the go
It comes with an inbuilt mic & speaker for best calling experience
The watch supports AI Voice Assistant and helps to better know and get things done
The watch has 120+ sports modes, track yoga, swimming and much more
Track accurate Heart Rate with the HX3600 sensor
The watch supports tracking SpO2, Sleep and other health parameters
Remote Control your music + camera to have the best pictures and listen to purest songs
There are multiple watch faces for you to change and style each day",Yes,Yes,No,Yes,No,No,10 m,"Reject Calls, Take Calls, Speed Dial, Save Contacts, Call History, Can Take Calls with inbuilt Mic and Speaker",240 x 296 Pixels,2.01 inch,TFT,No,Yes,"2.01"" Large Square Display with 240*296"" resolution
OGS capacitive full touch screen",Yes,Yes,Yes,No,"Pedometer, Heart Rate Monitor with HX3600 Sensor, SpO2 (Blood Oxygen Monitor), Sleep Monitoring, Sedentary Reminders, 120+ Sports Modes, Breathe Monitor",Date & Time,No,No,Yes,Yes,English,"First Ever Largest 2.01"" Square Display
This is a Single Chip Bluetooth Connection Smartwatch
The watch comes with a 240*296 pixel high resolution
This watch is a Bluetooth calling watch 
The watch supports making and receiving calls on the go
It comes with an inbuilt mic & speaker for best calling experience
The watch supports AI Voice Assistant and helps to better know and get things done
The watch has 120+ sports modes, track yoga, swimming and much more
Track accurate Heart Rate with the HX3600 sensor
The watch supports tracking SpO2, Sleep and other health parameters
Remote Control your music + camera to have the best pictures and listen to purest songs
There are multiple watch faces for you to change and style each day",Yes,Yes,Yes,39 mm,9.8 mm,9.8 mm,36.8 g,Covers Manufacturing Defects,Contact infocare@boltt.com to Claim Warranty. Replacement will be given by the brand against Manufacturing Defects.,Manufacturing Defects,Physical & Water Damage,1 Year,"ABS+PC 
Zinc alloy, vacuum plating",Buckle,Wrist Wake,v5.0,Limited Support,,1,51.308 mm,,,,,,,Remote control your camera functions through the watch,,,,,,,,,,,
