title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Model Name,Dial Color,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Usage,Dial Material,Ideal For,Compatible OS,Brand Strap Color,Sensor,Compatible Device,Notification,Notification Type,Battery Type,Charge Time,Battery Life,Rechargeable Battery,Charger Type,Stand By Time,Other Features,Call Function,Bluetooth,GPS,Messaging Support,Bluetooth Version,Email Support,Operating Range,Call Features,Display Resolution,Display Size,Display Type,Backlight Display,Scratch Resistant,Other Display Features,Calorie Count,Step Count,Heart Rate Monitor,Altimeter,Other Fitness Features,Date & Time Display,Compass,Calendar,Alarm Clock,Chronograph,Language,Number of Buttons,Other Watch Functions,Speaker,Microphone,Gesture Control,Voice Control,Width,Height,Thickness,Weight,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Closure,Wi-Fi,Third Party App Support,Other Connectivity Features,Other Camera Features,Audio Features,Diameter,Maximum Operating Altitude,Talk time,Operating System,RAM,Internal Memory,Flash,Speaker Volume,International Warranty,Other Multimedia Features,Number of Cores,Supported Audio Format,Other Dimensions,Processor Name,Processor Speed,Compatible Operating System,Video Features,Supported Video Format,HD Recording,HD Playback,Primary Camera,Expandable Memory
"Boult CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Allo...","₹1,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/i/h/0/-original-imagz95fv2engvhx.jpeg?q=70,https://www.flipkart.com/boult-crownr-pro-1-43-hd-amoled-bt-calling-zinc-alloy-frame-ip67-spo2-tracking-smartwatch/p/itmf5f0707221ff6?pid=SMWGQ2R434FUUF29&lid=LSTSMWGQ2R434FUUF2973BPQX&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_5_197&otracker=search&fm=organic&iid=en_fRMelfIU_Jlj-tNBE5WxQJIJ0VWf0uVHL2YOcaPh-Q5Hs6FguXIZPkDZ77atDFgw8JodCInQGhHHPGkffyUzoEhz9c-MSIoFe8xMxkfU6dM%3D&ppt=None&ppn=None&ssid=dpyjz5rvmo0000001738686618271&qH=87968ec020b2016b,2/5/2025 17:28,"Smartwatch, User Manual, Charging Cable, Warranty Card",Crown R Pro,"CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking",Multicolour,Round,Black,Silicone,Free Size,Yes,Yes,1 m,Fitness & Outdoor,Zinc Alloy,Men & Women,Android & iOS,Black,"Real Heart Rate, Real SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,Lithium Polymer,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,,"Remote Camera, 150+ Watch Faces with Custom watch faces, 1.43inch 600 Nits High Brightness Display, 120+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie's Count",Yes,Yes,No,No,v5.2,No,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",466 x 466 Pixels,36.32 mm,AMOLED,Yes,No,High Brightness,Yes,Yes,Yes,No,120+ Workout modes,Date and Time,No,No,Yes,No,English,2,"Bluetooth Calling, 1.43inch 600 Nits High Brightness with 466 x 466 display resolution & providing Always on display, Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 120+ Workout Modes, Sleep Tracking, Intelligent AI Voice assistance, Weather Details, Find My Phone, Other Functions : Alarm clock, Stopwatch, Timer, DND, Flashlight & more.",1 Speaker,Yes,Wrist Wake,Yes,47 mm,46 mm,13 mm,56.5 g,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 17:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 17:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹2,799",4.2,Data not available,Image not available,URL not available,2/5/2025 17:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 17:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 17:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 17:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fastrack Revoltt FS1-1.83''|BT Calling|Fast Charge|110+...,"₹1,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/y/a/o/-original-imagvpakxrhuxywz.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-bt-calling-fast-charge-110-sports-mode-200-watchfaces-ip68-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_6_201&otracker=search&fm=organic&iid=c5c77bec-9669-4457-9716-230f0bc80dde.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=xdj5b4oksg0000001738686645998&qH=87968ec020b2016b,2/5/2025 17:28,Watch Head::Watch Strap::Charging Cable::Quick Start Guide::Product Manual,38083PP04,Revoltt FS1-1.83''|BT Calling|Fast Charge|110+ Sports Mode|200+ WatchFaces|IP68,,Square,Green,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,Green,"Heart Rate,�Accelerometer",,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifictaions, Other App Notification",Ring and Vibration,Lithium Polymer,45 min,5 days,Yes,Pogo Pin Charging Cable,,"1.83"" UltraVU Display with 500 nits Brightness, SingleSync BT Calling, 110+ Multisports, Sleep Monitor with REM Sleep, Stress Monitor, 24*7 HRM, SpO2, Women's Health, Music & Camera Control, In-Built Alarm, Stopwatch & Timer, In-Built Games, Multiple Menu Styles, IP68 Water Resistance, Upto 7 Days Battery",Yes,Yes,No,Yes,v5.2,,10 m,"Call Answer, Call Reject, Call Mute, Call Notifications",240*284 Pixel,1.83 inch,LCD,Yes,No,,Yes,Yes,Yes,No,"Stress Monitor, 24*7 HRM, SpO2, Sleep Tracker, Women's Health, Activity Tracker, 110+ Multisports",Yes,No,No,Yes,No,English,1,,Yes,Yes,No,Yes,50.8 mm,37.9 mm,10.6 mm,41.9 g,1 Year Manufacturer Warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,Physical Damage,1 Year,Buckle,No,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cellecor HYPE 1.50"" HD IPS Display with 500 NITS | BT-C...",₹999,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/k/e/l/43-8-e2-hype-android-ios-cellecor-yes-original-imah46zgmfqgxsbe.jpeg?q=70,https://www.flipkart.com/cellecor-hype-1-50-hd-ips-display-500-nits-bt-calling-voiceassistant-smartwatch/p/itm3fe3e6dedab6b?pid=SMWH46ZGBJURBKBX&lid=LSTSMWH46ZGBJURBKBXP2F5LF&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_6_205&otracker=search&fm=organic&iid=c5c77bec-9669-4457-9716-230f0bc80dde.SMWH46ZGBJURBKBX.SEARCH&ppt=None&ppn=None&ssid=xdj5b4oksg0000001738686645998&qH=87968ec020b2016b,2/5/2025 17:28,"1U Smartwatch, 1 Charging Cable, 
User Manual, Warranty Card",E2 HYPE,"HYPE 1.50"" HD IPS Display with 500 NITS | BT-Calling | VoiceAssistant",Blue,Round,Blue,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,,Men & Women,Android & iOS,Blue,"Heart Rate, SPo2, Accelerometer, Barometer, Gyro Sensor, Light Sensor",,"Calling & Message,App notifications,sleep monitor & drink reminder available",,Lithium Polymer,120 min,"Long Lasting 7 Days Backup with Calling, 15 Days without calling, Standby time - 35 Days",Yes,Magnetic Charger,840 hr,"BLUETOOTH CALLING - Break free from cords, embrace the future – Bluetooth calling revolutionizes communication, one wireless conversation at a time.
SCREEN SIZE - The 1.50"" display offers a compact yet visually stunning viewing experience. With its crystal-clear clarity and vibrant colors, this display brings your content to life with impressive detail and immersion.
HD SCREEN RESOLUTION - It comes with 360 x 360 Screen resolution.
VOICE ASSISTANT - Seamless Voice Control at Your Fingertips.
RADIANT CLARITY (500 Nits) - Brighten up your visuals with 500 NITS of brilliance.
AI GENERATED WATCH FACES - Unlock a world of possibilities with a watch face that captures your imagination.
BATTERY LIFE - Long Lasting 7 Days Backup with Calling, 15 Days without calling, Standby time - 35 Days",Yes,Yes,,,V4.0,,15 m,"Mute Calls, Reject Calls, Take Calls, Calls Reminder",360 x 360 pixel,43.8 mm,IPS HD,Yes,Yes,AOD - Always on Display,Yes,Yes,Yes,,"Indoor running, outdoor running, outdoor cycling, walking, free exercise, elliptical machine, mountain climbing, yoga, basketball, football, tennis, badminton",,No,No,Yes,,"English,German,Spanish,french,Italian",,"G-Sensor, Heart rate sensor, Vibrator, Multi-Language support, Sleep monitor, Pedometer, Remote Camera, Music control, Find Phone app, Call Dialing through watch, Quick View, DIY Watch Face, Do Not Disturb mode, Flashlight, Stop watch
Female Cycle Tracker,",,,,Yes,,,,43.8 g,1 Year Manufacturer Warranty,,Manufacturing Defects,Physical Damage,1 Year,,,CO-FIT,,,,,,,,,,,,,,,,,,,,,,,,,
"Cellecor STEW 1.83"" BT Calling, 500 NITS, AI Voice Assi...",₹899,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/9/q/i/46-482-m1-android-ios-cellecor-yes-original-imah8fuzvehvvhdq.jpeg?q=70,https://www.flipkart.com/cellecor-stew-1-83-bt-calling-500-nits-ai-voice-assistant-spo2-hr-split-screen-smartwatch/p/itmd3cba5b776f15?pid=SMWGVWS5ZYSBFHQC&lid=LSTSMWGVWS5ZYSBFHQCICL72M&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_6_209&otracker=search&fm=organic&iid=c5c77bec-9669-4457-9716-230f0bc80dde.SMWGVWS5ZYSBFHQC.SEARCH&ppt=None&ppn=None&ssid=xdj5b4oksg0000001738686645998&qH=87968ec020b2016b,2/5/2025 17:28,"1U Smartwatch, 1 Charging Cable, 
User Manual, Warranty Card",M1,"STEW 1.83"" BT Calling, 500 NITS, AI Voice Assistant,SPo2,HR, Split Screen",,Square,Blue,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,,Men & Women,Android & iOS,Blue,"Heart Rate, SPo2, Accelerometer, Barometer, Gyro Sensor, Light Sensor",,"Calling & Message,App notifications,sleep monitor & drink reminder available",,Lithium Polymer,120 min,"Long Lasting 5 Days Backup with Calling, 15 Days without calling, Standby time - 35 Days",Yes,Magnetic Charger,840 hr,"Bluetooth Calling: Stay connected effortlessly with the M1 smartwatch, featuring seamless Bluetooth calling compatibility with both Android and Apple devices.
Bright Display: Enjoy a vibrant viewing experience with its luminous display boasting a 1.83-inch full touch screen, 240*284 resolution, and 500 nits brightness.
Fitness and Vital Monitor: Enhance your fitness journey with the M1's comprehensive health monitoring capabilities, including heart rate sensing, guided breathing, sleep tracking, and hydration SpO2.
120+ Sports Mode: With over 120 sports modes available, the M1 empowers you to conquer your fitness goals.
Sleek and Lightweight: Combining lightweight construction and a sleek design, the M1 smartwatch adds a touch of style to your daily attire while ensuring comfort throughout the day.
Rotating Crown: The rotating crown of the M1 Smartwatch epitomizes elegance, elevating every interaction to a seamless and luxurious experience. It's an ideal choice for the discerning fashion enthusiast who values both style and practicality",Yes,Yes,,,V5.1,,15 m,"Mute Calls, Reject Calls, Take Calls, Calls Reminder",240 x 284 pixel,46.482 mm,HD,Yes,Yes,,Yes,Yes,Yes,,"Indoor running, outdoor running, outdoor cycling, walking, free exercise, elliptical machine, mountain climbing, yoga, basketball, football, tennis, badminton",,No,No,Yes,,"English,German,Spanish,french,Italian",,"G-Sensor, Heart rate sensor, Vibrator, Multi-Language support, Sleep monitor, Pedometer",,,,Yes,110 mm,110 mm,90 mm,45 g,1 year warranty by manufacturer,,Manufacturing Defects,Physical Damage,1 Year,,,CO-FIT,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult Drift BT Calling HD Display, 140+ Watchfaces, Com...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/z/q/r/-original-imah8mtwg2mckp23.jpeg?q=70,https://www.flipkart.com/boult-drift-bt-calling-hd-display-140-watchfaces-complete-health-monitoring-smartwatch/p/itmac37e7f2f1e18?pid=SMWGZSX5XGH2WYMA&lid=LSTSMWGZSX5XGH2WYMAYCSPMX&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_6_213&otracker=search&fm=organic&iid=c5c77bec-9669-4457-9716-230f0bc80dde.SMWGZSX5XGH2WYMA.SEARCH&ppt=None&ppn=None&ssid=xdj5b4oksg0000001738686645998&qH=87968ec020b2016b,2/5/2025 17:28,"Smartwatch, Charging Cable, User Manual",Drift,"Drift BT Calling HD Display, 140+ Watchfaces, Complete Health Monitoring",Multicolour,Rectangle,Orange,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,ABS,Women,Android & iOS,Peach,"Real Heart Rate, Real SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails",Vibrate,Lithium Polymer,150 Min,Upto 7 Days,Yes,Magnetic Charging Cable,288 Hr,,Yes,Yes,No,No,v5.0,Yes,10 m,"Pick up incoming calls, reject incoming calls, dial",240 x 280 Pixel,1.69 Inch,TFT,Yes,No,,Yes,Yes,Yes,No,60 Workout modes,Date and Time,No,No,Yes,No,"English (default), Chinese, Traditional Chinese, German, Korean, Spanish, Japanese, French, Russian, Arabic, Ukrainian, Italian, Portuguese",1,"Female Cycle Tracker, Multiple Workout Modes, Sleep Tracking, Weather Details, Find Phone",Yes,Yes,,,35.78 mm,44.17 mm,11.6 mm,45 g,Repair or Replace,Repair or Replace,Any kind of technical issue,"Physical damage, loss of smartwatch or any accessories.",1 Year,,No,,,,,,,,,,,,,,,,,,Goodix 5515-64M,,,,,,,,
Titan Zeal-1.85''|AMOLED|700 Nits|AOD|Premium Design|Fu...,"₹3,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/2/g/y/-original-imagwezgfzfthgyc.jpeg?q=70,https://www.flipkart.com/titan-zeal-1-85-amoled-700-nits-aod-premium-design-functional-crown-ai-coach-fashion-smartwatch/p/itmac827af7e0ba1?pid=SMWGV2W5RXSXM6BC&lid=LSTSMWGV2W5RXSXM6BCSKWEWM&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_6_217&otracker=search&fm=organic&iid=c5c77bec-9669-4457-9716-230f0bc80dde.SMWGV2W5RXSXM6BC.SEARCH&ppt=None&ppn=None&ssid=xdj5b4oksg0000001738686645998&qH=87968ec020b2016b,2/5/2025 17:28,"Watch Head, Watch Strap, Charging Cable, Quick Start Guide, Warranty Card",90196AM02,Zeal-1.85''|AMOLED|700 Nits|AOD|Premium Design|Functional Crown|AI Coach|Fashion,,Rectangle,Black,Stainless steel,Free Size,Yes,Yes,,Fitness & Outdoor,Aluminium,Men & Women,Android & iOS,Black,Accelerometer,,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifictaions, Other App Notification",Ring and Vibration,Lithium Polymer,150 min,Upto 7 Days,Yes,Pogo Pin Charging Cable,,"Titan Zeal with 1.85"" AMOLED Display with AOD, Industry Best 390x450 Pixel Resolution, Rotatory Encoder, SingleSync BT Calling, 100+ Sports Modes with AI Coach and Auto Multisport Recognition, Auto Stress, 24x7 HRM, SpO2, Sleep Monitor with REM, Calculator, Calendar, In-built Games, AI Voice Assistant, 100+ Watchfaces, Music and Camera Control, Smart Notifications, Weather Display",Yes,Yes,No,Yes,v5.3,,,,390 x 450 Pixel,46.99 mm,AMOLED,Yes,No,,Yes,Yes,Yes,No,"Auto Stress and Mood Monitor, 24*7 HRM, SpO2, Sleep Tracker, Women's Health, Activity Tracker, Multiple Sports Modes",Yes,No,Yes,,No,English,1,,Yes,Yes,No,,43.95 mm,37.58 mm,10.62 mm,85.4 g,1 Year Limited warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,Physical Damage,,Buckle,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Fastrack Revoltt FS2+|2.01'' Display|Functional Crown|B...,"₹1,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/1/f/v/-original-imah5hztadyhzzzs.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-fs2-2-01-display-functional-crown-bt-calling-ai-voice-assistance-ip68-smartwatch/p/itmf558b9cf91ea3?pid=SMWH32R2TCNCZYYK&lid=LSTSMWH32R2TCNCZYYKDUHSW5&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_6_221&otracker=search&fm=organic&iid=c5c77bec-9669-4457-9716-230f0bc80dde.SMWH32R2TCNCZYYK.SEARCH&ppt=None&ppn=None&ssid=xdj5b4oksg0000001738686645998&qH=87968ec020b2016b,2/5/2025 17:28,"Smartwatch, Charging Cable, Quick Start Guide, Warranty Card",38139PP03K,Revoltt FS2+|2.01'' Display|Functional Crown|BT Calling|AI Voice Assistance|IP68,,Square,Green,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,Green,Heart Rate & SpO2,,"Call Notifications, Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifications, Other App Notification",Ring and Vibration,Lithium Polymer,120 min,Upto 5 Days,Yes,Pogo Pin Charging Cable,,"2.01"" LED Display with 240 x 286 Pixel Resolution, SingleSync BT Calling, AI Voice Assistant, 100+ Sports Modes and Watchfaces, Upto 5 Day Battery, In-bulit Games, IP68",Yes,Yes,No,No,v5.2,,10 m,"Call Answer, Call Reject, Call Mute, Call Notifications, Quick Replies (Android)",240 x 286 Pixels,51 mm,TFT,Yes,Yes,,Yes,Yes,Yes,No,"24x7 HRM, Auto Stress, SpO2, Sleep Tracker, Women's Health, Activity Tracker, Breathe Exercise, 100+ Multisports",Yes,No,Yes,Yes,No,English,1,"Calendar with Event Reminder, AI Voice Assistant, 100+ Sports Modes, Multiple Menu Styles, In-built Games, Stress Monitor, Alarm, Stopwatch, Timer, 100+ Watchfaces",Yes,Yes,No,Yes,40.2 mm,48.8 mm,12.2 mm,48 g,1 Year Limited Warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,Physical Damage,1 Year,Buckle,No,,,Camera Control,Music Control,,,,,,,,,,Music Control,,,,,,,,,,,,
Fire-Boltt Hunter 51.1mm (2.01) HD Display Buetooth Cal...,"₹1,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/l/y/y/-original-imah45fgkhmhyz6q.jpeg?q=70,https://www.flipkart.com/fire-boltt-hunter-51-1mm-2-01-hd-display-buetooth-calling-single-chipset-metal-body-smartwatch/p/itmeab306171d720?pid=SMWGZKABZQDUSDMP&lid=LSTSMWGZKABZQDUSDMPKNZSL5&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_6_225&otracker=search&fm=organic&iid=c5c77bec-9669-4457-9716-230f0bc80dde.SMWGZKABZQDUSDMP.SEARCH&ppt=None&ppn=None&ssid=xdj5b4oksg0000001738686645998&qH=87968ec020b2016b,2/5/2025 17:28,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW127,"Hunter 51.1mm (2.01) HD Display Buetooth Calling with Single Chipset, Metal Body",Silver,Square,Blue,Silicone,Free Size,Yes,Yes,1 m,"Fitness & Outdoor, Health & Medical","ABS+PC 
Zinc alloy, vacuum plating",Men & Women,Android & iOS,Dark Blue,"Bluetooth Calling, SpO2, Heart Rate Sensor HRS3600, Accelerometer 3-Axis Sens, Barometer, Pedometer SC7A20",Mobile Phones,"Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion","Vibration, Ringer",Lithium Ion,180 min,Upto 5 Days,Yes,USB Cable With Metalic Charging Points,360 Hr,"First Ever Largest 2.01"" Square Display
This is a Single Chip Bluetooth Connection Smartwatch
The watch comes with a 240*296 pixel high resolution
This watch is a Bluetooth calling watch 
The watch supports making and receiving calls on the go
It comes with an inbuilt mic & speaker for best calling experience
The watch supports AI Voice Assistant and helps to better know and get things done
The watch has 120+ sports modes, track yoga, swimming and much more
Track accurate Heart Rate with the HX3600 sensor
The watch supports tracking SpO2, Sleep and other health parameters
Remote Control your music + camera to have the best pictures and listen to purest songs
There are multiple watch faces for you to change and style each day",Yes,Yes,Yes,No,v5.0,No,10 m,"Reject Calls, Take Calls, Speed Dial, Save Contacts, Call History, Can Take Calls with inbuilt Mic and Speaker",240 x 296 Pixels,2.01 inch,TFT,No,Yes,"2.01"" Large Square Display with 240*296"" resolution
OGS capacitive full touch screen",Yes,Yes,Yes,No,"Pedometer, Heart Rate Monitor with HX3600 Sensor, SpO2 (Blood Oxygen Monitor), Sleep Monitoring, Sedentary Reminders, 120+ Sports Modes, Breathe Monitor",Date & Time,No,No,Yes,Yes,English,1,"First Ever Largest 2.01"" Square Display
This is a Single Chip Bluetooth Connection Smartwatch
The watch comes with a 240*296 pixel high resolution
This watch is a Bluetooth calling watch 
The watch supports making and receiving calls on the go
It comes with an inbuilt mic & speaker for best calling experience
The watch supports AI Voice Assistant and helps to better know and get things done
The watch has 120+ sports modes, track yoga, swimming and much more
Track accurate Heart Rate with the HX3600 sensor
The watch supports tracking SpO2, Sleep and other health parameters
Remote Control your music + camera to have the best pictures and listen to purest songs
There are multiple watch faces for you to change and style each day",Yes,Yes,Wrist Wake,Yes,39 mm,9.8 mm,9.8 mm,36.8 g,Covers Manufacturing Defects,Contact infocare@boltt.com to Claim Warranty. Replacement will be given by the brand against Manufacturing Defects.,Manufacturing Defects,Physical & Water Damage,1 Year,Buckle,No,Limited Support,,Remote control your camera functions through the watch,,51.308 mm,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG Galaxy Watch FE, 40mm BT, Sapphire Crystal Disp...","₹9,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/o/w/1/-original-imah5asakrf95vjr.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-watch-fe-40mm-bt-sapphire-crystal-display-sleep-coach-fall-detection/p/itmdedae16b71143?pid=SMWH4YYB5FJHAVPM&lid=LSTSMWH4YYB5FJHAVPMGLRG5Z&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_6_229&otracker=search&fm=organic&iid=c5c77bec-9669-4457-9716-230f0bc80dde.SMWH4YYB5FJHAVPM.SEARCH&ppt=None&ppn=None&ssid=xdj5b4oksg0000001738686645998&qH=87968ec020b2016b,2/5/2025 17:28,"Smartwatch, Silicone Strap, Wireless Charger, Quick Start Guide",SM-R861NZSAINS,"Galaxy Watch FE, 40mm BT, Sapphire Crystal Display, Sleep Coach, Fall Detection",,Round,Blue,Silicone,Small,Yes,Yes,50 m,Fitness & Outdoor,Aluminum,Men & Women,Android,Silver,"Accelerometer, Barometer, Bioelectrical Impedance Analysis Sensor, Electrical Heart Sensor, Gyro Sensor, Geomagnetic Sensor, Light Sensor, Optical Heart Rate Sensor",Android Smartphone,,,Lithium Ion,107 min,Upto 40 Hours,Yes,Type C Wireless Charger,,,Yes,Yes,Yes,Yes,v5.3,Yes,10 m,"Answer, Mute, Reject Calls, Speed Dial",396 x 396 Pixels,40 mm,Super AMOLED,,Yes,,Yes,Yes,Yes,,"Accelerometer, Barometer, Bioelectrical Impedance Analysis Sensor, Electrical Heart Sensor, Gyro Sensor, Geomagnetic Sensor, Light Sensor, Optical Heart Rate Sensor",Date & Time,Yes,Yes,Yes,,,2,"Blood Pressure Monitor, ECG, IHRN, Activity Tracker, Always On Display, Contactless Payments",Yes,Yes,,Yes,40.4 mm,39.3 mm,9.8 mm,26.6 mm,,,,,1 Year,Hook Buckle,Yes,Full Support,Bluetooth,,,,,,Android,,16 GB,,,,,2,,,Exynos W920 (5nm),1.18 GHz,,,,,,,
Apple Watch Series 9 GPS 45mm Aluminium Case with Sport...,"₹44,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/h/c/3/-original-imagte4syszvbmt2.jpeg?q=70,https://www.flipkart.com/apple-watch-series-9-gps-45mm-aluminium-case-sport-band-s-m/p/itm73c98221ecacf?pid=SMWGTC2YHGBG5WZ4&lid=LSTSMWGTC2YHGBG5WZ4JKLN1A&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_6_233&otracker=search&fm=organic&iid=c5c77bec-9669-4457-9716-230f0bc80dde.SMWGTC2YHGBG5WZ4.SEARCH&ppt=None&ppn=None&ssid=xdj5b4oksg0000001738686645998&qH=87968ec020b2016b,2/5/2025 17:28,"Smartwatch, Strap, Magnetic Fast Charging USB-C Cable, User Manual",MR993HN/A,Watch Series 9 GPS 45mm Aluminium Case with Sport Band - S/M,,Rectangle,Grey,Fluoroelastomer,Free Size,Yes,Yes,50 m,Fitness & Outdoor,,Men & Women,iOS,Midnight,"Sleep Tracker, Heart Rate Monitor, SPO2, Accelorometer, Gyroscope",iPhone Xs or Later with iOS 17 or later,Yes,,Lithium Ion,,Upto 18 hours (Based on Usage),Yes,,,"Double tap gesture, Faster on-device Siri, Precision Finding for iPhone",Yes,Yes,Yes,,v5.3,,,,396 x 484 Pixel,45 mm,Retina Display,,,"Always-On Retina LTPO OLED display, up to 2000 nits",Yes,Yes,Yes,,"Blood Oxygen, ECG, High and Low Heart Rate Notifications, Irregular Heart Rhythm Notification, Fall Detection, Temperature Sensing, Ovulation Estimates",Yes,Yes,Yes,Yes,,English,2,,Yes,Yes,,,38 mm,,,47.8 g,1 Year Manufacturer Warranty,bangalore_adminom 918040455150,Manufacturing Defects,Physical Damage,1 Year,,Yes,,Wi-Fi 4 (802.11n),,,,,,watchOS 10,,64 GB,,,,,,,,S9 SiP with 64-bit Dual-core Processor,,iOS,,,,,,
