Category,Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
Graphics Cards,Nvidia 256MB Video Graphics VGA Card For Toshiba Tecra M10 P10 FGGNM1 P000506620,$22.75,Nvidia,N/A,N/A,NVIDIA GeForce 8400 GS,VGA,2025-01-28 17:44:06
Graphics Cards,AMD Radeon Pro WX7100 8GB GDDR5 PCI-E 16x 4x Display Port Graphics Video Card,US $81.99,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:43:30
Graphics Cards,"Zotac GeForce GTX 1070 8GB Mini Graphics Card GPU | 1yr Warranty, Fast Ship!",$119.95/ea,Zotac,8 GB,GDDR5,Nvidia GeForce GTX 1070,"DisplayPort, HDMI",2025-01-28 17:46:37
Graphics Cards,MSI Mech Radeon RX 6500 XT 4GB GDDR6 PCIe 4.0 Video Graphics Card GPU,$99.99,MSI,4GB,GDDR6,Radeon RX 6500 XT,N/A,2025-01-28 17:45:03
Graphics Cards,NVIDIA Titan V Volta 12GB HBM2 Video Graphics Card 900-1G500-2500-000,$354.99,NVIDIA,12GB,HBM2,NVIDIA GeForce GTX Titan V,3x Display Port 1x HDMI,2025-01-28 17:45:18
Graphics Cards,Lot Of 6 Graphics Video Cards Various Models Not Working For Parts,EUR 60.00,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:44:32
Graphics Cards,ASUS Geforce RTX 3070 8GB SI GDDR6 DUAL-RTX3070-8G-SI Video Graphics Card GPU,$349.99,ASUS,8GB,GDDR6,NVIDIA GeForce RTX 3070,HDMI,2025-01-28 17:44:09
Graphics Cards,PNY VCNRTXA400ATX-B NVIDIA RTX A400 4GB GDDR6 Graphics Card Board Only,$159.99,PNY,N/A,N/A,N/A,N/A,2025-01-28 17:46:22
Graphics Cards,PNY NVIDIA RTX A5000 24GB GDDR6 VRAM Workstation Graphics Card - VCNRTXA5000-PB,"$1,399.99",PNY,24GB,GDDR6,A5000,"DisplayPort, DisplayPort 1.4a",2025-01-28 17:45:52
Graphics Cards,PNY NVIDIA RTX A400 VCNRTXA400ATX-PB 4 GB GDDR6 PCIe Gen 4 Graphics Card,$182.99,PNY,N/A,N/A,N/A,N/A,2025-01-28 17:44:49
Graphics Cards,Lot Of 6 Graphics Video Cards Various Models Not Working For Parts,$62.95,Various,n/a,GDDR5X,Various,"DisplayPort, DVI-D, HDMI",2025-01-28 17:45:44
Graphics Cards,Gigabyte NVIDIA GeForce GTX 980 4 GB GDDR5 Video Graphics Card Windforce 3X OC,$69.99,GIGABYTE,4 GB,GDDR5,NVIDIA GeForce GTX 980,"DisplayPort, DVI, HDMI",2025-01-28 17:43:30
Graphics Cards,Vintage Diamond Stealth 64 Video VRAM PCI Card 4MB VRAM + RARE UPGRADE - TESTED!,$149.95,Diamond Multimedia,4 MB,VRAM,S3 Vision,VGA,2025-01-28 17:43:43
Graphics Cards,MSI LP GeForce RTX 3050 6GB GDDR6 PCI Express 4.0 x8 ATX Video Card RTX 3050 LP,$188.49,MSI,6GB,GDDR6,GeForce RTX 3050,N/A,2025-01-28 17:44:59
Graphics Cards,Lot Of 6 Graphics Video Cards Various Models Not Working For Parts,$62.95,Various,n/a,GDDR5X,Various,"DisplayPort, DVI-D, HDMI",2025-01-28 17:46:17
Graphics Cards,EVGA NVIDIA GeForce GTX 1080 8GB GDDR5X Graphics Card (08GP46284KR),$120.00,EVGA,8 GB,GDDR5X,NVIDIA GeForce GTX 1080,"DisplayPort, DVI, DVI-D, HDMI",2025-01-28 17:46:19
Graphics Cards,MSI GeForce RTX 3060 AERO ITX 12G OC 12GB GDDR6 Graphics Card Video Card HDMI,$330.00,MSI,12 GB,N/A,MSI GeForce RTX 3060 AERO ITX OC,DisplayPortHDMI,2025-01-28 17:43:41
Graphics Cards,*NO BRACKET* PNY NVIDIA GeForce RTX 2080 Ti 11GB PCI-E 3 Graphics Video Card GPU,$239.99,PNY,11 GB,GDDR6,NVIDIA GeForce RTX 2080 Ti,N/A,2025-01-28 17:43:32
Graphics Cards,NVIDIA GeForces RTX 4060 8GB GDDR6 Graphics Card - Lenovo OEM FRU 5V11K41546,$299.94,Lenovo,8 GB,GDDR6,Nvidia GeForce RTX 4060,"DisplayPort, HDMI",2025-01-28 17:43:16
Graphics Cards,USED - ASUS Turbo GeForce RTX 2070 SUPER 8GB GDDR6 (TURBO-RTX2070S-8G-EVO),$190.00,ASUS,8 GB,GDDR6,NVIDIA GeForce RTX 2070,N/A,2025-01-28 17:45:25
Graphics Cards,"GIGABYTE Radeon RX 7800 XT GAMING OC 16GB Graphics Card, 3x WINDFORCE Fans GPU",$513.49,GIGABYTE,16 GB,GDDR6,AMD Radeon RX 7800 XT,"DisplayPort, HDMI",2025-01-28 17:43:16
Graphics Cards,AMD Radeon RX 640 4GB GPU VRAM Low Profile Video Graphics Card,$40.00,AMD,4 GB,VRAM,AMD Radeon RX 640,"1x DisplayPort, 2x Mini DisplayPort",2025-01-28 17:46:44
Graphics Cards,MSI GeForce RTX 3060 Ti AERO ITX 8G OC LHR GDDR6 Graphics Card Video Card,$377.75,MSI,8 GB,GDDR6,OC LHR,DisplayPortHDMI,2025-01-28 17:46:09
Graphics Cards,GIGABYTE Radeon RX 5700 XT GAMING OC GDDR6 Graphics Card - 8GB,$155.00,GIGABYTE,8 GB,GDDR6,GIGABYTE Radeon RX 5700 XT GAMING OC,"DisplayPort 1.4, HDMI",2025-01-28 17:46:08
Graphics Cards,Nvidia 1080 Ti Video Card 8GB,$140.00,EVGA,8 GB,N/A,NVIDIA GeForce GTX 1080 Ti,N/A,2025-01-28 17:46:13
Graphics Cards,SAPPHIRE PULSE Radeon RX 7900 XT 20GB GDDR6 PCI 4.0 ATX Video Graphics Card GPU,$680.99,SAPPHIRE,20 GB,GDDR6,AMD Radeon RX 7900 XT,"DisplayPort, HDMI",2025-01-28 17:45:23
Graphics Cards,MSI Nividia Geforce GTX 980 Gaming 4G GDDR5 Graphics Video Card GPU,$79.99,NVIDIA,4 GB,GDDR5,NVIDIA GeForce GTX 980,N/A,2025-01-28 17:43:42
Graphics Cards,GIGABYTE WINDFORCE GeForce RTX 3050 6GB GDDR6 PCI Express 4.0 x8 ATX Video Card,$177.99,GIGABYTE,6GB,GDDR6,GeForce RTX 3050,N/A,2025-01-28 17:45:16
Graphics Cards,PowerColor Red Devil AMD Radeon RX 6900 XT Ultimate 16GB GDDR6 Graphics Card,$460.00,PowerColor,16 GB,GDDR6,AMD Radeon RX 6900 XT,"DisplayPort, HDMI, USB-C",2025-01-28 17:45:29
Graphics Cards,Used Gaming gpu graphics card lot/nvidia/AMD,$560.00,NVIDIA,N/A,N/A,NVIDIA GeForce GTX 1080 Ti,N/A,2025-01-28 17:45:51
Graphics Cards,NVIDIA GeForce RTX 3070 Founders Edition 8GB GDDR6 Graphics Card,$319.99,NVIDIA,8 GB,GDDR6,NVIDIA GeForce RTX 3070,"DisplayPort, HDMI",2025-01-28 17:46:06
Graphics Cards,Dell AMD Radeon HD8490 1GB DDR3 Graphics Video Card,$9.00,Dell,1 GB,DDR3,AMD Radeon HD 8490,"DisplayPort, DVI, DVI-I",2025-01-28 17:43:26
Graphics Cards,Nvidia Tesla M40 24GB GPU GDDR5 PCI-E 3.0 x16 Accelerator Graphics Video Card,US $209.00,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:44:07
Graphics Cards,"GIGABYTE GeForce RTX 3050 OC Low Profile 6G Graphics Card, 2x WINDFORCE Fans, 6G",$188.49,GIGABYTE,6GB,GDDR6,GeForce RTX 3050,N/A,2025-01-28 17:45:06
Graphics Cards,PNY NVIDIA RTX A4000 16GB GDDR6 PCIe 4.0 x16 Graphics Card - Fast Shipping ✈️,C $879.99,Lenovo,16 GB,GDDR6,NVIDIA RTX A4000,DisplayPort,2025-01-28 17:46:30
Graphics Cards,ASRock Radeon RX 6600 8GB GDDR6 PCI Express 4.0 Video Graphics Card GPU,$209.49,ASRock,8GB,GDDR6,Radeon RX 6600,"HDMI, DisplayPort",2025-01-28 17:43:45
Graphics Cards,XFX AMD R9-280X-TD 3GB DDR5 Graphics Card GPU,$43.98,XFX,3 GB,DDR5,AMD Radeon R9 280X,N/A,2025-01-28 17:46:32
Graphics Cards,EVGA GeForce GTX 780 3GB GDDR5 HDMI/DP/DVI Graphics/Video card *tested*,$49.99,EVGA,3 GB,GDDR5,NVIDIA GeForce GTX 780,HDMI,2025-01-28 17:45:58
Graphics Cards,VisionTek Radeon R9 Nano - USED,$90.00,VisionTek,4 GB,HBM,AMD Radeon R9 Nano,HDMI,2025-01-28 17:44:55
Graphics Cards,MSI NVIDIA GeForce GTX 1650 VENTUS XS 4G Graphics Card PCI-Ex16 GDDR5 128-Bit,$119.99/ea,MSI,4 GB,GDDR5,Not Specified,"DisplayPort, HDMI",2025-01-28 17:45:02
Graphics Cards,GUNNIR Intel Arc B580 Index 12G 2670MHz GDDR6 PCIE4.0 Graphics Card Gaming GPU,US $369.99,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:43:39
Graphics Cards,AMD Radeon Pro WX3100 4GB PCI-E Dual M.D.Port/D.Port Video Card 102D0910100 HH,$30.00,AMD,N/A,N/A,Radeon Pro WX 3100,N/A,2025-01-28 17:43:21
Graphics Cards,MSI MECH AMD Radeon RX 5700 XT 8GB GDDR6 Graphics Card *READ DESCRIPTION*,$130.00,MSI,8 GB,GDDR6,AMD Radeon RX 5700 XT,HDMI,2025-01-28 17:46:18
Graphics Cards,ASUS  GeForce GTX 1660 SUPER ZAKU II EDITION GDDR6 TUF GAMING X3 Video Card,$199.99,ASUS,6 GB,GDDR6,GTX 1660 SUPER ZAKU II,"DisplayPort, DVI, HDMI",2025-01-28 17:46:24
Graphics Cards,"5 lb Bulk Graphics Cards - GT 520, GT 610, GT 640, GT 720, HD 3450, HD 5450",$29.99/ea,NVIDIA,2 GB,GDDR5,NVIDIA GeForce GT 1030,"DVI, HDMI, VGA",2025-01-28 17:44:50
Graphics Cards,Dell NVIDIA GeForce GTX 1660 SUPER 6GB GDDR6 Graphics Video Card GPU HDMI DP DVI,$100.00,Dell,6 GB,GDDR6,NVIDIA GeForce GTX 1660 Super,HDMI,2025-01-28 17:46:16
Graphics Cards,Graphics Card GPU Holder Support Telescopic Video Card Sag Bracket Accessories,$6.02,Unbranded,N/A,N/A,NO,N/A,2025-01-28 17:43:45
Graphics Cards,"Galax Nvidia P104-100 8GB Mining GPU (GTX 1080 Hashrate) | Fast Ship, US Seller!",$39.94/ea,Galax,8 GB,GDDR5X,P104-100,N/A,2025-01-28 17:46:29
Graphics Cards,ASRock MD Radeon RX 5700 XT 8GB GDDR6 Graphics Card (RX5700XT) - USED FAN BROKEN,$120.00,ASRock,8GB,GDDR6,AMD Radeon RX 5700 XT,DisplayPort,2025-01-28 17:43:28
Graphics Cards,NEW nVidia GTX 980M 8G MXM N16E-GX-A1 video Graphics card Alienware MSI Clevo HP,$135.00,NVIDIA,8GB,GDDR5,GTX980M,N/A,2025-01-28 17:46:12
Graphics Cards,Yamaha V6355D-F 8 bit ISA MGA CGA Video Graphics Card NEW OLD STOCK,$19.90,Yamaha,N/A,N/A,V6355D-F,"Composite (RCA), D-Sub",2025-01-28 17:43:36
Graphics Cards,AMD Radeon RX 550 RX550 4GB GDDR5 PCIe DP 2 x Mini DP Graphics Card 6J78X,$59.88,AMD,4 GB,N/A,ATI Radeon,DVI,2025-01-28 17:45:28
Graphics Cards,MSI Ventus GeForce RTX 3050 6GB GDDR6 PCI Express 4.0 x8 ATX Video Card RTX 3050,$188.49,MSI,6GB,GDDR6,GeForce RTX 3050,N/A,2025-01-28 17:43:44
Graphics Cards,NVIDIA GeForce GTX 980 Ti,US $80.00/ea,EVGA,6 GB,GDDR5,NVIDIA GeForce GTX 980 Ti,N/A,2025-01-28 17:44:06
Graphics Cards,"ASUS Dual NVIDIA GeForce RTX 3050 6GB Gaming Graphics Card - PCIe 4.0, 6GB GDDR6",$177.99,ASUS,6GB,GDDR6,GeForce RTX 3050,N/A,2025-01-28 17:46:37
Graphics Cards,AMD FirePro S7150 x2 16GB GDDR5 PCIe3.0 VDI vGPU SERVER GPU ACCELERATOR,$30.00,AMD,N/A,N/A,FirePro S7150,N/A,2025-01-28 17:46:30
Graphics Cards,PNY NVIDIA Quadro P5000 16GB GDDR5X PCIE Graphics Card  GPU 699-5G413-0500-112,US $249.98,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:46:05
Graphics Cards,Low-Profile Nvidia Tesla P4 8GB GPU Graphics Card GDDR5 Supermicro PCI-E,$105.00,NVIDIA,N/A,N/A,NVIDIA Tesla P4,N/A,2025-01-28 17:43:00
Graphics Cards,GIGABYTE GeForce GTX 1660 SUPER OC GDDR6 Graphics Card - 6GB,$110.00,GIGABYTE,6GB,GDDR6,GIGABYTE GeForce GTX 1660 SUPER OC,"DisplayPort 1.4, HDMI",2025-01-28 17:43:27
Graphics Cards,"Nvidia GeForce RTX 3060 Ti 8GB Dell OEM GPU | 1yr Warranty, Fast Ship!",$259.97/ea,Dell,8 GB,GDDR6,NVIDIA GeForce RTX 3060 Ti,"DisplayPort, HDMI",2025-01-28 17:45:59
Graphics Cards,1pcs Nvidia Tesla Graphics Card Fan Cooler for Tesla P4 T4 M4,US $10.99,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:46:30
Graphics Cards,NVIDIA GeForce GTX TITAN XP Star Wars 12GB GDDR5X GPU Read Decription,$189.99,NVIDIA,12GB,GDDR5X,NVIDIA GeForce GTX TITAN Xp Jedi Order,1x HDMI 3x Display Port,2025-01-28 17:43:34
Graphics Cards,AMD RADEON RX550 4GB GDDR5 DISPLAYPORTS OPGA14 109-D09187-00-02-0NDRG5,US $54.98,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:44:43
Graphics Cards,GIGABYTE WINDFORCE GeForce RTX 3050 6GB GDDR6 PCI Express 4.0 x8 ATX Video Card,$200.59,GIGABYTE,Standard,N/A,Does not apply,N/A,2025-01-28 17:44:16
Graphics Cards,MSI Radeon RX 580 8GB PCI Express x16 CrossFireX Support Video Card RX 580,$60.00,MSI,8 GB,GDDR5,AMD Radeon RX 580,"DisplayPort, DVI, DVI-D, HDMI",2025-01-28 17:42:59
Graphics Cards,Brand New In Box Nvidia Tesla P4 8GB GPU Graphics Card and Turbo Cooling Fan,$125.00,NVIDIA,8 GB,N/A,NVIDIA Tesla P4,N/A,2025-01-28 17:44:10
Graphics Cards,HP Nvidia Quadro K6000 12GB GPU Very Good,US $89.95,HP,12 GB,GDDR5,NVIDIA Quadro K6000,"DisplayPort, DVI",2025-01-28 17:43:01
Graphics Cards,AMD Radeon Pro WX 2100 2GB GDDR5 Graphics Card Low Profile. SKU221076,$29.29,AMD RADEON,2100,N/A,Does not apply,N/A,2025-01-28 17:42:41
Graphics Cards,NVIDIA QUADRO RTX 4000 8GB GDDR6 Turing Workstation Graphics Card,$229.90,Graphics,8 GB,GDDR6,NVIDIA Quadro 4000,N/A,2025-01-28 17:43:40
Graphics Cards,AMD Radeon Instinct MI50 102D1631410 16GB PCI Express 4.0 x16 HBM2 Graphics Card,$165.00,AMD,16 GB,HBM2,AMD Radeon Instinct MI50,N/A,2025-01-28 17:46:32
Graphics Cards,ZOTAC Gaming GeForce RTX 2070 Super Mini 8GB GDDR6 Graphics Card,$165.50,ZOTAC,8 GB,GDDR6,NVIDIA GeForce RTX 2070,"DisplayPort, HDCP, HDMI, USB-C",2025-01-28 17:45:23
Graphics Cards,Nvidia Tesla C2070 6GB GDDR5 Graphics Card Computing Processor GPU Accelerator,$27.00,NVIDIA,6 GB,GDDR5,NVIDIA Tesla C2070,N/A,2025-01-28 17:45:20
Graphics Cards,AMD SAPPHIRE NITRO+ RX 5700 XT OC GDDR6 8GB Graphics Card GPU-Fast Shipping ️‍🔥,US $194.99,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:43:34
Graphics Cards,PCI VGA Video Graphics Card ATI Rage XL 8MB For Desktop PC,$14.99/ea,Unbranded,8 MB,N/A,ATI Rage XL,VGA,2025-01-28 17:43:36
Graphics Cards,ASUS ENGTS250 DK/DI/1GD3/WW GeForce GTS 250 1GB GDDR3 Graphics Card W/ 2 Discs,$55.66,ASUS,1 GB,GDDR3,NVIDIA GeForce GTS 250,"DVI, DVI-I, HDMI, VGA",2025-01-28 17:45:57
Graphics Cards,NVIDIA RTX A4000 16GB GDDR6 PCIExpress 4.0 Graphics Card 699-5G190-0510-700,$619.00,Nvdia,16 GB,GDDR6,NVIDIA RTX A4000,DisplayPort,2025-01-28 17:46:05
Graphics Cards,EVGA NVIDIA GeForce GTX 980 Ti 6GB GDDR5 Graphics Card - 06G-P4-4995-KR,$89.99,EVGA,6 GB,GDDR5,NVIDIA GeForce GTX 980 Ti,N/A,2025-01-28 17:46:14
Graphics Cards,GTX10 Series GTX1650 4GB Half Height Single-slot Low Profile Graphics Card GPU,$176.70,Unbranded,4 GB,N/A,GTX10,N/A,2025-01-28 17:46:17
Graphics Cards,AMD Radeon R5-430 00F8PX 2GB Low Profile Graphics Card,GBP 20.99,N/A,N/A,N/A,N/A,N/A,2025-01-28 17:44:23
Graphics Cards,SAPPHIRE NITRO+ Radeon RX7900XTX 24GB GDDR6 PCIe 4.0x16 Video Graphics Card GPU,$963.49,SAPPHIRE,24 GB,GDDR6,AMD Radeon RX 7900 XTX,"DisplayPort, HDCP, HDMI",2025-01-28 17:42:41
Graphics Cards,MSI Radeon AMD RX 570 4GB GDDR5 Gaming Graphics Card,$35.00,Graphics,4 GB,GDDR5,AMD Radeon RX 570,"DisplayPort, DVI, HDMI",2025-01-28 17:45:36
Graphics Cards,"AMD Radeon R9 255 2GB GDDR5 (288-1E278-100A8) Graphics Card, Used",$20.94,AMD,2 GB,GDDR5,AMD Radeon R9 255,"DisplayPort, DVI, HDMI",2025-01-28 17:43:46
Graphics Cards,XFX AMD Radeon RX 480 GDDR5 8GB Graphics Card (RX480P8DBA6),$33.00,XFX,8 GB,GDDR5,AMD Radeon RX 480,"DisplayPort, DVI, DVI-D, HDMI",2025-01-28 17:46:23
Graphics Cards,"Evga 06g-p4-1163-kr Geforce Graphics Cards, Gtx 1660, Xc Gaming",$152.99,EVGA,6GB,GDDR5,NVIDIA GeForce GTX 1660,"DisplayPort, DVI, HDMI",2025-01-28 17:45:53
Graphics Cards,NVIDIA GeForce RTX 3070 Founders Edition 8GB GDDR6 Graphics Card - Dark...,US $344.00,NVIDIA,8 GB,GDDR6,NVIDIA GeForce RTX 3070,"DisplayPort, HDMI",2025-01-28 17:43:37
Graphics Cards,"VisionTek Radeon HD 6850 1GB GDDR5 Graphics Card - DisplayPort, HDMI, DVI",$17.09/ea,VisionTek,1 GB,GDDR5,AMD Radeon HD 6850,"DVI, DVI-D, DVI-I, DisplayPort, HDMI",2025-01-28 17:45:04
