Category,Title,Price,Brand,Memory Size,Memory Type,Chipset/GPU Model,Connectors,Collection Date
Graphics Cards,"Placa de Vídeo Gráfica Apple Mac Pro 3,1 4,1 5,1 nVidia GTX 680 2GB Mojave (Metal)-","GBP 74,95",N/A,N/A,N/A,N/A,N/A,2025-01-27 12:02:24
Graphics Cards,"Apple Mac Pro 1,1 2,1 3,1 4,1 5,1 2006-2012 Radeon HD 5870 1GB Graphics card","€ 200,00",N/A,N/A,N/A,N/A,N/A,2025-01-27 12:02:09
Graphics Cards,"Placa de Vídeo GAINWARD NVIDIA GeForce GTX 660 Ti 2GB GDDR5, USADA","EUR 11,20",Gainward,2 GB,GDDR5,NVIDIA GeForce GTX 660 Ti,"DisplayPort, DVI, HDMI",2025-01-27 12:02:23
Graphics Cards,GIGABYTE RADEON R9 290 WINDFORCE 4GBGV-R929WF3-4GD  GDDR5 Graphics Card,"€ 60,00",GIGABYTE,4 GB,GDDR5,GV-R929WF3-4GD,"DisplayPort, DVI, HDMI",2025-01-27 12:04:14
Graphics Cards,Placa de Vídeo GIGABYTE WINDFORCE GeForce RTX 3050 6GB GDDR6 PCI Express 4.0 x8 ATX-,"US $177,99",N/A,N/A,N/A,N/A,N/A,2025-01-27 12:02:08
Graphics Cards,Placa de Vídeo MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit Ampere OC,"EUR 94,31",MSI,12 GB,GDDR6,NVIDIA GeForce RTX 3060,HDMI,2025-01-27 12:04:30
Graphics Cards,Placa de Vídeo MSI AMD Radeon RX 5700 MECH GP OC 8GB GDDR6-,"US $149,00 por unidade",N/A,N/A,N/A,N/A,N/A,2025-01-27 12:04:18
Graphics Cards,GPU AMD Radeon RX 6300 PG4018 HF 2GB GDDR6 SFF PCIe slot único,"EUR 38,11",AMD,2 GB,GDDR6,Radeon RX 6300,N/A,2025-01-27 12:04:03
Graphics Cards,"ASUS NVIDIA GeForce GTX 660 Ti (GTX660 TI-DC2T-2GD5) 2GB GDDR5, USADO","EUR 14,26",ASUS,2 GB,GDDR5,NVIDIA GeForce GTX 660 Ti,"DisplayPort, DVI, HDMI",2025-01-27 12:02:08
Graphics Cards,Placa de Vídeo PowerColor AMD Radeon RX Vega 56 Red Devil 8GB HBM2 com Caixa,"EUR 95,27",PowerColor,8 GB,HBM2,Devil RX Vega 64,N/A,2025-01-27 12:02:24
Graphics Cards,Placa de Vídeo MSI TWIN FROZR GAMING RADEON R9 280X OC | 3GB GDDR5,"EUR 46,67",MSI,3 GB,GDDR5,AMD Radeon R9 280X,N/A,2025-01-27 12:04:06
Graphics Cards,EVGA GeForce RTX 3090 FTW3 ULTRA 24GB GDDR6X Graphics Card / Excellent Condition,"EUR 689,73",EVGA,24 GB,GDDR6X,NVIDIA GeForce RTX 3090,"DisplayPort, HDMI",2025-01-27 12:04:24
Graphics Cards,Placa de vídeo MSI Ventus GeForce RTX 3050 6GB GDDR6 PCI Express 4.0 x8 ATX RTX 3050,"EUR 179,57",MSI,6GB,GDDR6,GeForce RTX 3050,N/A,2025-01-27 12:04:09
Graphics Cards,"GPU de Mineração Galax Nvidia P104-100 8GB (GTX 1080 Hashrate) | Frete Rápido, Vendedor dos EUA!","EUR 38,05",Galax,8 GB,GDDR5X,P104-100,N/A,2025-01-27 12:03:46
Graphics Cards,Placa de Vídeo PNY NVIDIA RTX A4000 16GB GDDR6 PCIe 4.0 x16 - Frete Rápido ✈️-,"C $879,99",Lenovo,16 GB,GDDR6,NVIDIA RTX A4000,DisplayPort,2025-01-27 12:04:34
Graphics Cards,Placa de vídeo gráfica GPU MSI NVIDIA GEFORCE GTX 1070 ARMOR 8G OC,"EUR 66,69",MSI,N/A,N/A,NVIDIA GeForce GTX 1070,N/A,2025-01-27 12:03:18
Graphics Cards,"Placa de Vídeo Gainward Nvidia GeForce GTX 660 Ti 2GB GDDR5, Usada","EUR 12,12",Gainward,2 GB,GDDR5,NVIDIA GeForce GTX 660 Ti,"DisplayPort, DVI, HDMI",2025-01-27 12:02:09
Graphics Cards,Placa de vídeo MSI NVIDIA P106-100 MINER 6GB,"EUR 39,06",MSI,6 GB,GDDR5,MSI NVIDIA P106-100,N/A,2025-01-27 12:04:08
Graphics Cards,Placa de vídeo PNY Nvidia Quadro P4000 8GB GDDR5 PCIE slot único GPU 00FC970-,"US $169,98",N/A,N/A,N/A,N/A,N/A,2025-01-27 12:04:24
Graphics Cards,Dell Precision 5520 7720 Graphics Card 0RD3JG NVIDIA Quadro M1200 GM107,"€ 99,00",N/A,N/A,N/A,N/A,N/A,2025-01-27 12:04:44
Graphics Cards,GPU Support Bracket Graphics Card Video Card Sags Holder Bracket GPU Stand,"EUR 3,37",Unbranded,N/A,N/A,See description,N/A,2025-01-27 12:01:32
Graphics Cards,NVIDIA RTX 5000 ADA 32GB GDDR6 - 900-5G132-0040-000 GPU Graphics Card,"EUR 2 799,00",N/A,N/A,N/A,N/A,N/A,2025-01-27 12:02:04
Graphics Cards,Placa de Vídeo Gráfica AMD Dell Radeon R5 340X 2GB GDDR3 PCI-Express Display Port,"EUR 11,33",Dell,2 GB,GDDR3,Radeon R5 340X,"DisplayPort, DVI",2025-01-27 12:03:09
Graphics Cards,Placa de Vídeo GIGABYTE Vision GeForce RTX 3060-,"GBP 240,00",N/A,N/A,N/A,N/A,N/A,2025-01-27 12:04:12
Graphics Cards,Placa de Vídeo para Estação de Trabalho PNY NVIDIA RTX A5000 24GB GDDR6 VRAM - VCNRTXA5000-PB,"EUR 1 333,70",PNY,24GB,GDDR6,A5000,"DisplayPort, DisplayPort 1.4a",2025-01-27 12:03:56
Graphics Cards,ASUS Dual Geforce RTX3060-08g OC 8GB GDDR6 PCIe 4.0,"EUR 218,16",ASUS,8 GB,GDDR6,NVIDIA GeForce RTX 3060,"DisplayPort, HDMI",2025-01-27 12:04:19
Graphics Cards,Placa de vídeo nVidia GeForce 8800 GTX PCI-E com postagem gratuita DVI 768MB,"EUR 23,77",Nvdia,768 MB,GDDR3,NVIDIA GeForce 8800 GTX,DVI,2025-01-27 12:04:09
Graphics Cards,nVidia GTX980M 8G MXM SLI N16E-GX-A1 video Graphics card for notebook laptop,"€ 159,00",N/A,N/A,N/A,N/A,N/A,2025-01-27 12:01:41
Graphics Cards,Placa de Vídeo AMD Radeon Instinct MI50 102D1631410 16GB PCI Express 4.0 x16 HBM2,"EUR 157,19",AMD,16 GB,HBM2,AMD Radeon Instinct MI50,N/A,2025-01-27 12:02:24
Graphics Cards,Placa de Vídeo XFX AMD Radeon RX 590 8GB 2304sp GDDR5,"EUR 87,64",XFX,8 GB,DDR5,AMD Radeon RX 590,"DisplayPort, DVI, HDMI",2025-01-27 12:02:03
Graphics Cards,Placa de vídeo DVI Dell AMD Radeon R7 250 2GB GDDR3 PCI-E x16,"EUR 28,47",AMD,2 GB,GDDR3,AMD,"DisplayPort, DVI, HDMI, VGA",2025-01-27 12:03:58
Graphics Cards,Placa de vídeo Dell AMD Radeon R7 250 2GB DDR3 PCI Express x16 altura total 9C8C0-,"US $14,99",N/A,N/A,N/A,N/A,N/A,2025-01-27 12:04:26
Graphics Cards,Placa de Vídeo Lenovo Radeon HD 7450 1 GB DDR3 PCI Express x16,"EUR 12,63",Lenovo,1 GB,DDR3,AMD Radeon HD 7450,"DisplayPort, DVI",2025-01-27 12:04:14
Graphics Cards,NVIDIA TESLA K80 24GB GDDR5 PCI EXPRESS 3.0 X16 384-BIT ACELERADOR DE GPU HHCJ6,"EUR 43,81",Dell,24 GB,GDDR5,NVIDIA Tesla K80,N/A,2025-01-27 12:04:07
Graphics Cards,Placa gráfica de vídeo ATI Rage XL 8MB PCI VGA desktop PC para computador desktop,"EUR 3,66",GCSUPERMARKET,N/A,N/A,NO,N/A,2025-01-27 12:02:24
Graphics Cards,Graphics Card GPU Holder Support Telescopic Video Card Sag Bracket Accessories,"EUR 4,08",N/A,N/A,N/A,N/A,N/A,2025-01-27 12:03:13
Graphics Cards,Placa de vídeo GT 710 1Gb ASUS - resfriamento passivo - perfil baixo GT 710-1-SL,"EUR 21,40",ASUS,1 GB,GDDR5,NVIDIA GeForce GT 710,HDMI,2025-01-27 12:02:06
Graphics Cards,MSI GeForce RTX3060 Ventus 2x 8G OC 8GB GDDR6 PCI Express Gen 4,"EUR 218,16",MSI,8 GB,GDDR6,NVIDIA® GeForce RTX™ 3060,Display Port/ HDMI,2025-01-27 12:04:02
Graphics Cards,Placa de vídeo AMD Radeon C872 DDR3 R7 350X 4GB,"EUR 23,81",Dell,4 GB,DDR3,AMD Radeon R7 350X,"DisplayPort, DVI",2025-01-27 12:03:29
Graphics Cards,Placa de Vídeo MSI Gaming X Radeon RX 6700 XT 12GB GDDR6,"EUR 266,74",MSI,12 GB,GDDR6,AMD Radeon RX 6700 XT,"DisplayPort, HDMI",2025-01-27 12:04:04
Graphics Cards,Placa de vídeo GIGABYTE GTX 1050 Ti OC perfil baixo GV-N105TOC-4GL versão OEM em massa,"EUR 142,89",GIGABYTE,4 GB,GDDR5,NVIDIA GeForce GTX 1050 Ti,N/A,2025-01-27 12:04:08
Graphics Cards,Dell NVidia Quadro RTX 3000 0RY4MY 6GB GDDR6 Graphics Card für Dell 7740 NEU,"€ 239,00",N/A,N/A,N/A,N/A,N/A,2025-01-27 12:01:20
Graphics Cards,Placa de Vídeo GPU MSI AMD Radeon RX 480 Gaming (RX480GAMINGX8G) 8GB,"EUR 56,21",MSI,8GB,GDDR5,AMD Radeon RX 480 Gaming,"DisplayPort Output, Hdmi Standard Output, DVI Output",2025-01-27 12:02:25
Graphics Cards,Placa de Vídeo 102-D05318-02 AMD V340L Radeon PRO 16GB PCI-e x16 HBM2,"EUR 60,97",AMD,16 GB,HBM2,AMD Radeon PRO,N/A,2025-01-27 12:03:25
Graphics Cards,Placa de vídeo GPU AMD FirePro W8100 8GB GDDR5 PCIe 3.0 x16 4 x DisplayPort,"EUR 66,67",AMD,8 GB,GDDR5,AMD FirePro W8100,DisplayPort,2025-01-27 12:03:38
Graphics Cards,Placa de Vídeo AMD RADEON ATI-102-C09003 (B)GDDR3 512MB,"EUR 17,23",AMD,512 MB,GDDR3,AMD Radeon HD 6350,DMS-59 Output,2025-01-27 12:03:35
Graphics Cards,Placa de Vídeo Gráfica HP Radeon R5 520 2GB GDDR5 PCIe 109-D03457-00A L09404-001-,"US $25,00",N/A,N/A,N/A,N/A,N/A,2025-01-27 12:01:21
Graphics Cards,Placa de Vídeo Sapphire Pulse AMD Radeon RX 6400 4GB GDDR6,"EUR 183,56",SAPPHIRE,4 GB,GDDR6,AMD Radeon RX 6400,N/A,2025-01-27 12:04:26
Graphics Cards,Placa de Vídeo HP AMD MXM Radeon Pro WX 3200 4GB GDDR5 L59367-001 para Z2 Mini G4 G5,"EUR 29,52",HP,4 GB,GDDR5,MXM Radeon Pro WX 3200 4GB,None,2025-01-27 12:04:19
Graphics Cards,Placa de Vídeo Lenovo NVIDIA Quadro P400 2GB GDDR5 PCIe FRU P/N: 00FC959 Testada,"EUR 30,48",Lenovo,2 GB,GDDR5,Nvidia Quadro P400,Mini DisplayPort,2025-01-27 12:03:57
Graphics Cards,Placa de Vídeo ZOTAC NVIDIA GeForce GT 710 1GB DDR3 (ZT7130120L),"EUR 16,19",ZOTAC,1 GB,DDR3,NVIDIA GeForce GT 710,"VGA, DVI-I, DVI, DVI-D, HDMI",2025-01-27 12:04:24
Graphics Cards,Placa de Vídeo HP NVIDIA RTX 3060 12GB GDDR6 HP Omen M41998-002,"EUR 237,21",HP,12 GB,GDDR6,Nvidia RTX 3060 Omen,N/A,2025-01-27 12:04:00
Graphics Cards,Placa de Vídeo EVGA NVIDIA GeForce RTX 2080 Ti PRETA 11GB GDDR5 e EVGA POWERLINK,"EUR 338,19",EVGA,11 GB,GDDR6,NVIDIA GeForce RTX 2080 Ti,"DisplayPort, HDMI, USB-C",2025-01-27 12:03:38
Graphics Cards,Versão no exterior da placa gráfica Gtx1050Ti desktop peça de computação autônoma,"EUR 51,45",Unbranded,N/A,N/A,As the description shows,N/A,2025-01-27 12:04:00
Graphics Cards,"Placa de Vídeo XFX Radeon R7 370 4GB GDDR5 PCIe x16 DisplayPort, DVI, HDMI","EUR 57,15",XFX,4 GB,GDDR5,AMD Radeon R7 370,"DisplayPort, DVI, HDMI",2025-01-27 12:01:16
Graphics Cards,Placa de Vídeo XFX Speedster SWFT 210 AMD Radeon RX 6600 XT GDDR6 8GB,"EUR 228,64",XFX,8 GB,GDDR6,AMD Radeon RX 6600 XT,"DisplayPort, HDMI",2025-01-27 12:04:10
Graphics Cards,MSI Nvidia GeForce GTX 760 2GB GDDR5 Graphics Card N760-2GD5/OC,"€ 69,00",N/A,N/A,N/A,N/A,N/A,2025-01-27 12:02:17
Graphics Cards,Nvidia Tesla P4 8GB GPU Card graphics card GDDR5 Supermicro 900-2G414-6300-000,"€ 106,88",N/A,N/A,N/A,N/A,N/A,2025-01-27 12:03:58
Graphics Cards,Placa de vídeo 4GB DDR5 PC 128 bits 650MHz/1000MHz slot PCI-E 3.0 A2TF,"EUR 47,72",GCSUPERMARKET,N/A,N/A,For AMD Chip,N/A,2025-01-27 12:04:17
Graphics Cards,Placa de vídeo Dell NVIDIA GeForce M302N GTX745 0TC2P0 PCIe 4GB com HDMI+VGA+DVI,"EUR 48,58",Dell,4 GB,GDDR3,NVIDIA GeForce GTX 745,"DVI, HDMI, VGA",2025-01-27 12:03:59
Graphics Cards,NVIDIA G86-603-A2 Laptop GPU - Fully Functional LS-3582P 128MB Graphics Card,"€ 20,00",NVIDIA,128 MB,DDR3,G86-603-A2,VGA,2025-01-27 12:04:11
Graphics Cards,HP Original Quadro FX4600 Graphics Card 768M 384bit,"EUR 43,34",Unbranded,N/A,N/A,1,N/A,2025-01-27 12:02:24
Graphics Cards,Placa de vídeo desktop AMD Radeon R5 430 2 GB GDDR5 PCI Express x16,"EUR 14,28",AMD,2 GB,GDDR5,AMD Radeon R5 430,"DisplayPort, DVI",2025-01-27 12:04:18
Graphics Cards,Placa de Vídeo MSI GeForce RTX 3060 VENTUS 2X 12G OC 12GB-,"US $250,00",N/A,N/A,N/A,N/A,N/A,2025-01-27 12:03:59
Graphics Cards,Placa de Vídeo Gráfica GPU HP AMD Radeon R9 255 2GB GDDR5 - 767485-001 767071-001,"EUR 57,09",HP / AMD,2 GB,GDDR5,RadeonR9 255,N/A,2025-01-27 12:01:58
Graphics Cards,Dell NVidia GeForce GTX 745 4GB Graphics Card 128Bit PCIE 3.0 GDDR3 GTX745,"€ 59,88",N/A,N/A,N/A,N/A,N/A,2025-01-27 12:02:30
Graphics Cards,GPU Holder ARGB Brace Graphics Card GPU Support Video Card Holder Bracket Decor,"€ 15,19",N/A,N/A,N/A,N/A,N/A,2025-01-27 12:01:57
Graphics Cards,Placa aceleradora NVIDIA Tesla K40m 12GB GDDR5 passiva CUDA GPU PCI-e 3.0 x16,"EUR 28,53",NVIDIA,12GB,GDDR5,Tesla K40,N/A,2025-01-27 12:04:36
Graphics Cards,Placa de Vídeo Gráfica Dell Optiplex 160L 210L NVIDIA PCI-E x1 + Cabo Divisor VGA,"EUR 57,05",NVIDIA,N/A,DDR2 SDRAM,nVIDIA Quadro NVS,"DMS-59 Output, VGA",2025-01-27 12:02:03
Graphics Cards,Novo HP NVIDIA GTX1050 Placa gráfica de vídeo 3GB HP # L52789-001,"EUR 66,69",HP,3 GB,N/A,L52789-001,VGA,2025-01-27 12:04:21
Graphics Cards,Placa de vídeo NVIDIA RTX 4000 20GB SFF GPU ADA Generation Founders Edition,"EUR 1 352,77",PNY,GDDR6,20GB,PNY NVIDIA RTX 4000,N/A,2025-01-27 12:03:52
Graphics Cards,Placa de vídeo gráfica Dell Precision 7520 nVIDIA Quadro M2200 4GB 7024K 07024K,"EUR 66,64",Dell,4 GB,N/A,nVIDIA Quadro M2200,N/A,2025-01-27 12:02:09
