title,price,rating,reviews,image_url,product_url,collection_date,Model Name,Series,Color,Display,Backlight,Panel Type,Resolution,Screen Resolution Type,Processor,Sales Package,Screen Form Factor,HD Standard,Display Screen Coating,Number of Colors,Maximum Refresh Rate,Aspect Ratio,Contrast Ratio,Horizontal Viewing Angle,Vertical Viewing Angle,Response Time,Brightness,Pixel Pitch,Color Gamut,Horizontal Scanning Frequencies,Other Display Features,Touchscreen Support,Touch Accuracy,Touch Capabilities,Other Touchscreen Features,Speakers,Headphone Jack,Microphone Jack,Inbuilt Speaker,Number of Speakers,Other Audio Features,Power Output Per Speaker,Power Requirement,Power Consumption,Other Power Features,HDMI,VGA,Display Port,USB,Audio Out,Audio In,Other Connectivity Features,Operating Temperature,Non Operating Temperature,Storage Temperature,Other Operating Requirements,Stand,Stand Tilt,Stand Swivel,Wall Mounting,Wall Mount Standard,Security Lock Slot,Other Mounting Features,Inbuilt Webcam,Controls,Plug and Play,HDCP Support,System Requirements,Other Features,Width With Stand,Height With Stand,Depth With Stand,Weight With Stand,Width Without Stand,Height Without Stand,Depth Without Stand,Weight Without Stand,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,DVI,Audio Jacks,Maximum 3D Refresh Rate,Touch Response Time,Operating Humidity Range,OSD Languages Supported,3D,Part Number
"BenQ GW2490T 60.96 cm (24 inch) Full HD LED Backlit IPS Panel with 99% sRGB, Height Adjustable, Eye-ca...","₹10,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/s/c/o/gw2490t-full-hd-24-2024-gw2490t-benq-original-imahfcc9fh5g3hua.jpeg?q=70,https://www.flipkart.com/benq-gw2490t-60-96-cm-24-inch-full-hd-led-backlit-ips-panel-99-srgb-height-adjustable-eye-careu-dual-hdmi-display-port-bezel-less-eyesafe-vesa-mediasync-brightness-intelligence-low-blue-light-speakers-wall-mountable-monitor-gw2490t/p/itme87365c8d5519?pid=MONHF3W79PAZGMFC&lid=LSTMONHF3W79PAZGMFCG8TP8S&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_96&otracker=search&otracker1=search&fm=organic&iid=bf92b358-44a2-4d0b-aa35-05988574a393.MONHF3W79PAZGMFC.SEARCH&ppt=None&ppn=None&ssid=up5s6tn6m80000001739030111282&qH=08b5411f848a2581,2025-02-08 16:55:11,GW2490T,GW2490T,Black,60.96 cm (24 inch) LED Display,LED Backlit Backlight,IPS Panel,1920 x 1080 pixels,Full HD,,"1 Monitor, Power Cord, HDMI Signal Cable, Quick Service Guide, Warranty Card",Flat,1080p,Anti-glare,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",16:09,20000000:1 (Dynamic),,,5 ms,250 nits (2D),,"sRGB, 99%",,,,,,,"Yes, 2 Speakers  with 2 W Power Output Per Speaker",Yes,,Yes,2,,2,AC 100 - 240 V,35 W (Operational),,"Yes, 2",,Yes,,,,,,,,,,,,100 x 100 mm,VESA,,,No,,Yes,,,,,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:55:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:55:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,4.4,Data not available,https://rukminim2.flixcart.com/image/300/300/xif0q/monitor/5/t/s/-original-imagppc6tyfe3jxf.jpeg?q=90,URL not available,2025-02-08 16:55:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:55:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:56:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontech - 43.18 cm (17 inch) HD LED Backlit VA Panel Monitor (MON-0065),"₹2,469",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/r/y/p/mon-0065-hd-17-2023-mon-0065-frontech-original-imah8nybhchfkhmy.jpeg?q=70,https://www.flipkart.com/frontech-43-18-cm-17-inch-hd-led-backlit-va-panel-monitor-mon-0065/p/itmbc6d42fed6553?pid=MONGS24EAHXVJZMQ&lid=LSTMONGS24EAHXVJZMQACRRSN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_97&otracker=search&otracker1=search&fm=organic&iid=en_y9mGHa4L4EKQRopH0TTUZhYgQCW6pSDFJpp-tFNtEfWtrpk9Gi7GUqvVwnUwgRyQCqRom06340VzckKR3kW-3w%3D%3D&ppt=None&ppn=None&ssid=ovctd1cads0000001739030190119&qH=08b5411f848a2581,2025-02-08 16:56:35,MON-0065,-,Black,43.18 cm (17 inch) LED Display,LED Backlit Backlight,VA Panel,1280x1024 pixels,HD,-,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Stand, 1 Manual",Flat,1080p,-,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",5:4,"1000000:1, 1000000:1 (Dynamic)",130° (2D),90° (2D),5 ms,250 nits (2D),0.264 mm,sRGB,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mount","No, Supported by - with -",-,-,-,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,No,0,NA,0,AC 180 - 255V,18 W (Operational),-,"Yes, 1 x 1.4 Port","Yes, 15 Pin",Yes,0 x 0 Port,No,No,-,-,-,-,-,Yes,3-12 Degree,-,215 x 205 x 165 mm,Yes,-,-,No,"Auto, Menu, Up, Down, Power",Yes,No,"Windows 10, Windows 8, Windows 7",-,370 mm,375 mm,370 mm,2.8 kg,200 mm,370 mm,370 mm,2.7 kg,1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,,,,,,,,
"DELL S Series 60.45 cm (23.8 inch) Full HD IPS Panel with 3-Years warranty, 99% sRGB, Low Blue Light t...","₹9,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/n/r/g/-original-imagyr8vrpzzgrac.jpeg?q=70,https://www.flipkart.com/dell-s-series-60-45-cm-23-8-inch-full-hd-ips-panel-3-years-warranty-99-srgb-low-blue-light-technology-hdmi-x2-tilt-adjustment-ultra-thin-bezel-monitor-s2421hnm-s2421hn/p/itm60f8947b5f259?pid=MONGYDFQTN8ZTEHG&lid=LSTMONGYDFQTN8ZTEHGUGWX0A&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_98&otracker=search&otracker1=search&fm=organic&iid=en_y9mGHa4L4EKQRopH0TTUZhYgQCW6pSDFJpp-tFNtEfXOD06K2YLmcMb8U5EKz22O5Jhvu4aKkdI0LkNu8K9IvPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ovctd1cads0000001739030190119&qH=08b5411f848a2581,2025-02-08 16:56:35,S2421HNM / S2421HN,S Series,Grey,60.45 cm (23.8 inch) LED Display,,IPS Panel,1920 x 1080 pixels,Full HD,,"1 Monitor, HDMI Cable",Flat,1080p,Anti Glare,,"75 Hz (Analog), 75 Hz (Digital)",16:09,,178° (2D),178° (2D),4 ms,,0.3114 mm,,,,No,,,,No,Yes,,No,,,,,,,"Yes, 2 x HDMI 1.4 Port",,,,,,Audio Line-out,,,,,,,,,,Yes,,No,,No,No,,"LED Edgelight System, 72% NTSC (CIE 1931) Colour Gamut, BFR/PVC-free, Mercury Free, Arsenic-free Glass, Dell Easy Arrange, Dell Comfort View, Low Blue Light Technology, 3-sided Bezel Less",,,,5 kg,,,,6 kg,3 Years Warranty,Manufacturing Defects,Physical Damage,3 Year,,,,,,,,
"LG 73.66 cm (29 inch) WFHD LED Backlit IPS Panel with HDR 10, Black Stabilizer, Dynamic Action Sync, D...","₹14,219",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/0/d/i/-original-imahy9g2yn9fhzmv.jpeg?q=70,https://www.flipkart.com/lg-73-66-cm-29-inch-wfhd-led-backlit-ips-panel-hdr-10-black-stabilizer-dynamic-action-sync-dual-controller-onscreen-control-immersive-ultrawide-monitor-29wl500/p/itm9e5588cf9adc8?pid=MONGYJU8UGHXZ7FZ&lid=LSTMONGYJU8UGHXZ7FZZMCAGO&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_99&otracker=search&otracker1=search&fm=organic&iid=a3db29b2-2395-43f6-b4dd-5fc3fc34e466.MONGYJU8UGHXZ7FZ.SEARCH&ppt=None&ppn=None&ssid=ovctd1cads0000001739030190119&qH=08b5411f848a2581,2025-02-08 16:56:35,29WL500,,Black,73.66 cm (29 inch) LED Display,LED Backlit Backlight,IPS Panel,2560 x 1080 pixels,WFHD,No,"1 Monitor, Stand, Power Cable, Connectivity Cable",Flat,,"Anti-glare, 3H",,"75 Hz (Analog), 75 Hz (Digital)",21:09,5000000:1 (Dynamic),,,5 ms,250 nits (2D),0.263 mm,"sRGB, 99%",30 - 90 kHz (Digital),,,,,,No,Yes,No,No,,,,"AC 100 - 240 V, 50 - 60 Hz",,,"Yes, 2 x HDMI 2.0 Port",No,No,,,,,,,,,"Base Detachable, Tilt",5 - 15 Degree,,100 x 100 mm,VESA,Anti Theft Stand Lock Slot,Table Mount,,,,Yes,,,698.1 mm,410.9 mm,209.4 mm,4.9 kg,698.1 mm,4.4 kg,76.9 mm,4.7 kg,3 Years Warranty Provided by the Manufacturer from Date of Purchase,Manufacturing Defects,Physical Damages,3 Year,,,,,,,No,
Enter 48.26 cm (19 inch) SXGA Monitor (19 INCH LED MONITOR),"₹2,555",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/4/r/d/19-inch-led-monitor-sxga-19-e-mo-ao1-enter-original-imaghunbfdsy9dxc.jpeg?q=70,https://www.flipkart.com/enter-48-26-cm-19-inch-sxga-monitor-inch-led-monitor/p/itme87a61575c6dc?pid=MONGHUNBXGQUZNZJ&lid=LSTMONGHUNBXGQUZNZJGMT7KV&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_100&otracker=search&otracker1=search&fm=organic&iid=a3db29b2-2395-43f6-b4dd-5fc3fc34e466.MONGHUNBXGQUZNZJ.SEARCH&ppt=None&ppn=None&ssid=ovctd1cads0000001739030190119&qH=08b5411f848a2581,2025-02-08 16:56:35,19 INCH LED MONITOR,,Black,48.26 cm (19 inch) LED Display,,,1440X990 pixels,SXGA,,"1 LED MONITOR; 1 LED STAND; 1 POWER CABLE; 1 HDMI CABLE , USER MANUAL",Flat,,,,"60 Hz (Analog), 60 Hz (Digital)",16:7,,130° (2D),110° (2D),5 ms,250 nits (2D),0.259 mm,,,,No,,,,No,No,No,No,,,,,12 W (Operational),,"Yes, 1 x YES Port",Yes,No,,No,No,,,,,,,,,,,,,No,,Yes,,,,,,,,,,,,1 year by brand,Manufacturing defects only,Physical damage and burnt,1 Year,No,,,,,,,
"Lenovo L-Series 55.88 cm (22 inch) Full HD LED Backlit IPS Panel with 99% sRGB, HDMI 1.4, VGA, 2X3W Sp...","₹7,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/v/y/i/l22i-40-full-hd-22-2023-67aekacbin-lenovo-original-imagxhhwprz7bxwn.jpeg?q=70,https://www.flipkart.com/lenovo-l-series-55-88-cm-22-inch-full-hd-led-backlit-ips-panel-99-srgb-hdmi-1-4-vga-2x3w-speakers-tilt-stand-home-office-use-ultraslim-monitor-l22i-40/p/itm3390f94a0fbda?pid=MONGXF42N5QQZCXE&lid=LSTMONGXF42N5QQZCXEQ357OC&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_101&otracker=search&otracker1=search&fm=organic&iid=en_y9mGHa4L4EKQRopH0TTUZhYgQCW6pSDFJpp-tFNtEfVZVmaGtTBDz84AnE_u76sZ1KxT31QcftqSlq16hFCa_A%3D%3D&ppt=None&ppn=None&ssid=ovctd1cads0000001739030190119&qH=08b5411f848a2581,2025-02-08 16:56:35,L22i-40,L-Series,Cloud Grey,55.88 cm (22 inch) LCD Display,LED Backlit Backlight,IPS Panel,,Full HD,,"1 Monitor, HDMI Cable, Power Cable, Stand, User Guide",Flat,,Anti-glare,,"75 Hz (Analog), 75 Hz (Digital)",16:09,,,,4 ms,250 nits (2D),,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,VESA,,,,,Yes,,,,,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,,,,,
"DELL 60.96 cm (24 inch) Full HD IPS Panel 99% sRGB, 250 nits brightness , 3H Hardness, Gray-To-Gray (F...","₹14,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/a/4/u/-original-imah96c4bamxhdsz.jpeg?q=70,https://www.flipkart.com/dell-60-96-cm-24-inch-full-hd-ips-panel-99-srgb-250-nits-brightness-3h-hardness-gray-to-gray-fast-mode-1x-hdmi-1-4-1x-dp-1-2-vga-5x-usb-3-2-gen1-ports-tilt-swivel-pivot-height-adjustment-monitor-p2425h/p/itme067b244349c6?pid=MONH2MW23XTGFZGD&lid=LSTMONH2MW23XTGFZGDUSUUHN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_102&otracker=search&otracker1=search&fm=organic&iid=en_y9mGHa4L4EKQRopH0TTUZhYgQCW6pSDFJpp-tFNtEfXoQq_ovID1BbyzzOFXj7lPBdrMO4Rk8Rpr4kHoK1JN3vUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ovctd1cads0000001739030190119&qH=08b5411f848a2581,2025-02-08 16:56:35,P2425H,,Black,60.96 cm (24 inch) LCD Display,Non LED Backlit Backlight,IPS Panel,,Full HD,,"1 Monitor, Power Cable, Stand, User Manual",Flat,,,,"100 Hz (Analog), 100 Hz (Digital)",16:09,,,,5 ms,250 nits (2D),,,,,No,,,,No,,,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,,,,,
Acer 54.61 cm (21.5 inch) Full HD LED Backlit VA Panel Monitor (V226HQL),"₹8,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/e/n/a/-original-imagkgjdgujh447j.jpeg?q=70,https://www.flipkart.com/acer-54-61-cm-21-5-inch-full-hd-led-backlit-va-panel-monitor-v226hql/p/itmd4f93d51da433?pid=MONG6ZFPZHCQDPZP&lid=LSTMONG6ZFPZHCQDPZP666PIW&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_103&otracker=search&otracker1=search&fm=organic&iid=a3db29b2-2395-43f6-b4dd-5fc3fc34e466.MONG6ZFPZHCQDPZP.SEARCH&ppt=None&ppn=None&ssid=ovctd1cads0000001739030190119&qH=08b5411f848a2581,2025-02-08 16:56:35,V226HQL,,Black,54.61 cm (21.5 inch) LED Backlit Display,LED Backlit Backlight,VA Panel,1920 x 1080 pixels,Full HD,,"LCD Monitor 1N, Power cable 1N, User manual 1N.",Flat,1080p,,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",16:09,"1000:1, 100000000:1 (Dynamic)",178° (2D),178° (2D),5 ms,250 nits (2D),0.248 mm,72%,30 - 80 Hz (Digital),,No,,,,"Yes, 2 Speakers  with 4 W Power Output Per Speaker",No,No,Yes,2,,4,,"19.5 W (Operational), 0.5 W (Standby)",,"Yes, 1 x HDMI 1.4 Port","Yes, D-Sub",No,0,No,Yes,,,,,,Detachable,-5 Degrees to 25 Degrees,No,100 x 100 mm,VESA,,,No,,Yes,,,,500 mm,386 mm,207 mm,3.5 kg,500 mm,303 mm,51 mm,2 kg,3 Years On-site,Manufacturing Defects,Physical Damage,3 Year,No,Audio In,,,,,No,
"Acer NITRO VG1 series 68.58 cm (27 inch) WQHD IPS Panel with DCI-P3 95%, HDR10 support, 2X2W Inbuilt S...","₹14,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/q/m/d/-original-imagy55j2mg3pztr.jpeg?q=70,https://www.flipkart.com/acer-nitro-vg1-series-68-58-cm-27-inch-wqhd-ips-panel-dci-p3-95-hdr10-support-2x2w-inbuilt-speakers-display-widget-visioncare-tilt-able-stand-gaming-monitor-vg271u-m3/p/itme6fa3745e4cc3?pid=MONGTFA3VKJRNVPG&lid=LSTMONGTFA3VKJRNVPG0JV1BZ&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_104&otracker=search&otracker1=search&fm=organic&iid=a3db29b2-2395-43f6-b4dd-5fc3fc34e466.MONGTFA3VKJRNVPG.SEARCH&ppt=None&ppn=None&ssid=ovctd1cads0000001739030190119&qH=08b5411f848a2581,2025-02-08 16:56:35,VG271U M3,NITRO VG1 series,Black,68.58 cm (27 inch) LED Display,,IPS Panel,,WQHD,,"1 Monitor, Stand, Power Cord, Manual, HDMI Cable",Flat,,,,"180 Hz (Analog), 180 Hz (Digital)",,,,,1 ms,250 nits (2D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,,,,,
"Frontech Ultima Series 81.28 cm (32 inch) Full HD LED Backlit VA Panel Monitor (1920x1080 Pixels,16.7M...","₹12,069",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/n/f/h/1920x1080-pixels-16-7m-slim-stylish-wall-mountable-bezel-less-original-imah8s5sp5sgrcku.jpeg?q=70,https://www.flipkart.com/frontech-ultima-series-81-28-cm-32-inch-full-hd-led-backlit-va-panel-monitor-1920x1080-pixels-16-7m-slim-stylish-wall-mountable-bezel-less-hdmi-vga-port/p/itm5859e4bb558dd?pid=MONGWNHVMWZKNAHY&lid=LSTMONGWNHVMWZKNAHYYGVMO9&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_105&otracker=search&otracker1=search&fm=organic&iid=a3db29b2-2395-43f6-b4dd-5fc3fc34e466.MONGWNHVMWZKNAHY.SEARCH&ppt=None&ppn=None&ssid=ovctd1cads0000001739030190119&qH=08b5411f848a2581,2025-02-08 16:56:35,"1920x1080 Pixels,16.7M|Slim & Stylish|Wall Mountable|Bezel Less|HDMI & VGA Port",Ultima Series,"White, Silver",81.28 cm (32 inch) LED Display,LED Backlit Backlight,VA Panel,1920 X 1080 pixel pixels,Full HD,,"1 Unit Monitor, 1 Unit Stand, 1 Unit Power Cable, 1 Unit Signal Cable, 1 Unit Manual",Flat,1080p,,17 m Colors,"75 Hz (Analog), 75 Hz (Digital)",16:9,"20000000:1, 20000000:1 (Dynamic)",178° (2D),178° (2D),8 ms,250 nits (2D),0.3637 mm,SRGB 99%,,"Ultra Slim Design, Bezel Less Design, Support Wall Mount",No,,,,"Yes, 2 Speakers  with 2 W Power Output Per Speaker",,,Yes,2,,2,DC 12V,"42 W (Operational), 36 W (Standby)",,"Yes, 1 x 1.4 Port","Yes, 15 Pin",No,1,No,No,,,,,,Yes,3-12 Degree,-,215 x 205 x 165 mm,Yes,,,No,"Auto, Menu, Up, Down, Power",Yes,No,"Windows 11, Windows 10, Windows 8.1, Windows 8, Mac OS",,716.1 mm,82 mm,514.4 mm,6.15 kg,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,3 Year,No,,,,,,,
LG Ultra-Gear 68.58 cm (27 inches) Full HD LED Backlit VA Panel Gaming Monitor (27GQ50F-BD.CTRVMV),"₹14,500",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/2/f/t/27gq50f-b-atrq-full-hd-27-8806091661210-lg-electronics-original-imaghbd8jyg4ey9a.jpeg?q=70,https://www.flipkart.com/lg-ultra-gear-68-58-cm-27-inches-full-hd-led-backlit-va-panel-gaming-monitor-27gq50f-bd-ctrvmv/p/itm5f8c353e8c279?pid=MONGH8YDEKDZGFM2&lid=LSTMONGH8YDEKDZGFM2WGJEDA&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_106&otracker=search&otracker1=search&fm=organic&iid=a3db29b2-2395-43f6-b4dd-5fc3fc34e466.MONGH8YDEKDZGFM2.SEARCH&ppt=None&ppn=None&ssid=ovctd1cads0000001739030190119&qH=08b5411f848a2581,2025-02-08 16:56:35,27GQ50F-BD.CTRVMV,Ultra-Gear,Black,68.58 cm (27 inches) LCD Display,LED Backlit Backlight,VA Panel,1920 x 1080 pixels,Full HD,,"?1 Unit of Monitor, Power Cord and Cable",Flat,,,,"165 Hz (Analog), 165 Hz (Digital)",16:9,"1800:1 (Min.), 3000:1 (Typ.)",178° (2D),,5 ms,,,NTSC 72% (CIE1931) - Typ,,,"No, Supported by NA",,,,No,,,No,,,,"AC 100 - 240 V, 50/60 Hz","48 W (Operational), 0.5 W (Standby)","AC 100 - 240 V, 50/60 Hz","Yes, 2",,Yes,,Yes,No,,,,,,Yes,Yes,,Yes mm,100 x 100,,,,,,,,"FHD (1920 x 1080) VA Display, HDMI/Display Port, 3-Side Virtually Borderless Display, 165 Hz Refresh Rate",614 mm,456 mm,202 mm,,614 mm,364 mm,39 mm,3.25 kg,3 Year Parts and Labor,Manufacturing Defects,Physical Damages,3 Year,No,Audio Out,,,,,,
Enter 39.12 cm (15.4 inch) SVGA Monitor (E-MO-A07),"₹2,398",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/kr6oeq80/monitor/8/t/t/e-mo-a06-15-4-is13252-enter-original-imag5f2bkvgx8cqz.jpeg?q=70,https://www.flipkart.com/enter-39-12-cm-15-4-inch-svga-monitor-e-mo-a07/p/itm54c47f0e26f2f?pid=MONG54BREATYSAYD&lid=LSTMONG54BREATYSAYD5MU61B&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_107&otracker=search&otracker1=search&fm=organic&iid=a3db29b2-2395-43f6-b4dd-5fc3fc34e466.MONG54BREATYSAYD.SEARCH&ppt=None&ppn=None&ssid=ovctd1cads0000001739030190119&qH=08b5411f848a2581,2025-02-08 16:56:35,E-MO-A07,,BALECK,39.12 cm (15.4 inch) 15.4 Display,,,,SVGA,,LED||POWAR CABAL||STANDE||VGA CABAL,Flat,,,,"75 Hz (Analog), 75 Hz (Digital)",,,,,3 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,NO,NO,,,,,,,,,
Enter 39.12 cm (15.4 inch) HD Monitor (E-M16A),"₹2,500",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/k3670cw0/monitor/v/8/s/e-m16a-e-m16a-enter-original-imafa97fpe6j53vf.jpeg?q=70,https://www.flipkart.com/enter-39-12-cm-15-4-inch-hd-monitor-e-m16a/p/itma49ebee93a50a?pid=MONFMCWTM2ZCCV8S&lid=LSTMONFMCWTM2ZCCV8SOJSAFK&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_108&otracker=search&otracker1=search&fm=organic&iid=a3db29b2-2395-43f6-b4dd-5fc3fc34e466.MONFMCWTM2ZCCV8S.SEARCH&ppt=None&ppn=None&ssid=ovctd1cads0000001739030190119&qH=08b5411f848a2581,2025-02-08 16:56:35,E-M16A,,Black,39.12 cm (15.4 inch) LED Display,,,1920*1080 pixels,HD,,"1 MONITOR, 1 VGA CABLE, 1 POWER CABLE, LED STAND, USER MANUAL",Flat,,,,"60 Hz (Analog), 60 Hz (Digital)",16:09,800:01:00,80° (2D),60° (2D),4 ms,,,,,,,,,,,,,,,,,AC 110~240V II 50/60Hz,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 YEAR, By BRAND","DEFECTS,NOT WORKING",DAMAGE & BURNT,1 Year,,,,,,,No,
Enter 43.43 cm (17.1 inch) HD LED Backlit Monitor (E-M0-A02),"₹2,450",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/kulk9zk0/monitor/i/f/k/e-m0-a02-hd-17-1-e-m0-a02-enter-original-imag7zr5ztyarztk.jpeg?q=70,https://www.flipkart.com/enter-43-43-cm-17-1-inch-hd-led-backlit-monitor-e-m0-a02/p/itmcca7f7589a070?pid=MONG7ZR5ZVDUVVAD&lid=LSTMONG7ZR5ZVDUVVADRFO3TY&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_109&otracker=search&otracker1=search&fm=organic&iid=a3db29b2-2395-43f6-b4dd-5fc3fc34e466.MONG7ZR5ZVDUVVAD.SEARCH&ppt=None&ppn=None&ssid=ovctd1cads0000001739030190119&qH=08b5411f848a2581,2025-02-08 16:56:35,E-M0-A02,,Black,43.43 cm (17.1 inch) LED Display,LED Backlit Backlight,,1280×1024 pixels,HD,,"1 LED MONITOR, 1 VGA CABLE, 1 POWER CABLE, 1 LED STAND, USER MANUAL",Flat,,,,"60 Hz (Analog), 60 Hz (Digital)",16:7,800:1,150° (2D),130° (2D),4 ms,,,,,,,,,,,,,,,,,AC 110~240V II 50-60Hz,,,"Yes, 1",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 YEAR, By BRAND","DEFECTIVE, NOT WORKING","DAMAGE, BROKEN AND BURNT",1 Year,,,,,,,No,
"ZEBRONICS 80.01 cm (31.5 inch) Curved WQHD VA Panel with HDR10, 1800R Curvature, 280 Nits Brightness, ...","₹18,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/n/i/q/zeb-s32a-165hz-31-5-80-cm-2560-x-1440-pixels-wide-quad-hd-original-imahy75khjtywu24.jpeg?q=70,https://www.flipkart.com/zebronics-80-01-cm-31-5-inch-curved-wqhd-va-panel-hdr10-1800r-curvature-280-nits-brightness-hdmi-dp-built-in-speakers-wall-mountable-bezel-less-gaming-monitor-zeb-s32a/p/itm98f2ae8aad657?pid=MONGZJF3VEEYZBSN&lid=LSTMONGZJF3VEEYZBSNWD7V5E&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_110&otracker=search&otracker1=search&fm=organic&iid=a3db29b2-2395-43f6-b4dd-5fc3fc34e466.MONGZJF3VEEYZBSN.SEARCH&ppt=None&ppn=None&ssid=ovctd1cads0000001739030190119&qH=08b5411f848a2581,2025-02-08 16:56:35,ZEB-S32A,,Black,80.01 cm (31.5 inch) LED Display,,VA Panel,,WQHD,,"Monitor - 1 Unit, Base - 1 Unit, Stem- 1 Unit, HDMI cable - 1 unit, Power cord - 1 unit, User Manual - 1 Unit, Power adapter - 1 Unit",Curved,,,,"180 Hz (Analog), 165 Hz (Digital)",16:9,10000000:1 (Dynamic),178° (2D),178° (2D),1 ms,280 nits (2D),,,,,,,,,Yes,Yes,,Yes,,,,,,,"Yes, 2",,Yes,,,,,,,,,,,,,,,,,,,,,,835 mm,163 mm,534 mm,6.5 kg,,,,,3 years carry into service center,Manufacturing Defect,Any physical damage or accessories,3 Year,,,,,,,,
