title,price,rating,reviews,image_url,product_url,collection_date,Model Name,Series,Color,Display,Backlight,Panel Type,Resolution,3D,Screen Resolution Type,Processor,Sales Package,Screen Form Factor,HD Standard,Display Screen Coating,Number of Colors,Maximum Refresh Rate,Maximum 3D Refresh Rate,Aspect Ratio,Contrast Ratio,Horizontal Viewing Angle,Vertical Viewing Angle,Response Time,Brightness,Pixel Pitch,Color Gamut,Horizontal Scanning Frequencies,Other Display Features,Touchscreen Support,Touch Response Time,Touch Accuracy,Touch Capabilities,Other Touchscreen Features,Speakers,Headphone Jack,Microphone Jack,Inbuilt Speaker,Number of Speakers,Other Audio Features,Power Output Per Speaker,Power Requirement,Power Consumption,HDMI,DVI,VGA,Display Port,USB,Audio Out,Audio In,Operating Temperature,Non Operating Temperature,Storage Temperature,Operating Humidity Range,Other Operating Requirements,Stand,Stand Tilt,Stand Swivel,Wall Mounting,Wall Mount Standard,Security Lock Slot,Other Mounting Features,Inbuilt Webcam,Controls,OSD Languages Supported,Plug and Play,HDCP Support,System Requirements,Other Features,Width With Stand,Height With Stand,Depth With Stand,Weight With Stand,Width Without Stand,Height Without Stand,Depth Without Stand,Weight Without Stand,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Other Connectivity Features,Audio Jacks,Other Power Features,Part Number
"Acer 80.01 cm (31.5 inch) WQHD LED Backlit IPS Panel with HDR10, VGA, HDMI, 2X1W Inbuilt Speakers, Fli...","₹16,468",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/f/8/a/-original-imah2phgtcgfwm82.jpeg?q=70,https://www.flipkart.com/acer-80-01-cm-31-5-inch-wqhd-led-backlit-ips-panel-hdr10-vga-hdmi-2x1w-inbuilt-speakers-flicker-less-blue-light-shield-ecodisplay-visioncare-tilt-able-stand-vesa-wall-mount-ultra-thin-monitor-sa322q-u/p/itm60ab043bb9091?pid=MONH225ZPESYD8PS&lid=LSTMONH225ZPESYD8PSYQD2OK&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_115&otracker=search&otracker1=search&fm=organic&iid=7ec93be2-4ab1-438c-8596-372b5046fc03.MONH225ZPESYD8PS.SEARCH&ppt=None&ppn=None&ssid=ow5may0aio0000001738685709638&qH=08b5411f848a2581,2/5/2025 17:11,SA322Q U,,Black,80.01 cm (31.5 inch) LCD Display,LED Backlit Backlight,IPS Panel,,,WQHD,,"1 Monitor, Stand, Power Cord, User Manual, HDMI Cable",Flat,,,16.7 m Colors,"75 Hz (Analog), 75 Hz (Digital)",,16:09,,,,1 ms,300 nits (2D),,72%,,,,,,,,"Yes, 2 Speakers  with 1 W Power Output Per Speaker",,,Yes,2,,1,,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,
"DELL 60.96 cm (24 inch) Full HD LED Backlit IPS Panel 99% sRGB, 250 nits brightness , 3H Hardness, Gra...","₹14,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/p/j/7/p2425h-full-hd-24-2024-k21w5-dell-original-imah34r7b635z7cf.jpeg?q=70,https://www.flipkart.com/dell-60-96-cm-24-inch-full-hd-led-backlit-ips-panel-99-srgb-250-nits-brightness-3h-hardness-gray-to-gray-fast-mode-1x-hdmi-1-4-1x-dp-1-2-vga-5x-usb-3-2-gen1-ports-tilt-swivel-pivot-height-adjustment-monitor-p2425h/p/itme067b244349c6?pid=MONH2MW23XTGFZGD&lid=LSTMONH2MW23XTGFZGDUSUUHN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_116&otracker=search&otracker1=search&fm=organic&iid=7ec93be2-4ab1-438c-8596-372b5046fc03.MONH2MW23XTGFZGD.SEARCH&ppt=None&ppn=None&ssid=ow5may0aio0000001738685709638&qH=08b5411f848a2581,2/5/2025 17:11,P2425H,,Black,60.96 cm (24 inch) LED Display,LED Backlit Backlight,IPS Panel,,,Full HD,,"1 Monitor, Power Cable, Stand, User Manual",Flat,,,,"100 Hz (Analog), 100 Hz (Digital)",,16:09,,,,5 ms,250 nits (2D),,,,,No,,,,,No,,,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,
"Lenovo 63.5 cm (25 inch) Full HD VA Panel 99% sRGB, 90% DCI-P3, 2x3W Inbuilt Speakers, 2xHDMI 2.1, 1xD...","₹13,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/1/3/x/legion-r25f-30-full-hd-25-2023-67b8gacbin-lenovo-original-imagybdykfdzzfyq.jpeg?q=70,https://www.flipkart.com/lenovo-63-5-cm-25-inch-full-hd-va-panel-99-srgb-90-dci-p3-2x3w-inbuilt-speakers-2xhdmi-2-1-1xdp-tilt-swivel-pivot-height-adjustable-stand-gaming-monitor-legion-r25f-30/p/itm6bb2c32266b3b?pid=MONGXWYSUG2AACXF&lid=LSTMONGXWYSUG2AACXF9LYCQV&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_117&otracker=search&otracker1=search&fm=organic&iid=7ec93be2-4ab1-438c-8596-372b5046fc03.MONGXWYSUG2AACXF.SEARCH&ppt=None&ppn=None&ssid=ow5may0aio0000001738685709638&qH=08b5411f848a2581,2/5/2025 17:11,Legion R25f-30,,Black,63.5 cm (25 inch) LED Display,,VA Panel,1920 x 1080 pixels,,Full HD,,"1 Monitor, Power Cable, DP Cable, User Manual, Warranty Card, 4 Screws",Flat,1080P,Anti-glare,16.7 m Colors,"280 Hz (Analog), 280 Hz (Digital)",,16:09,,,,0.5 ms,"380 nits (2D), 178 nits (3D)",0.283 mm,"99% sRGB, 90% DCI-P3",,,No,,,,,"Yes, 2 Speakers",Yes,Yes,Yes,2,,,AC 100 - 240 V,19 W (Operational),"Yes, 2 x HDMI 2.1 Port",Yes,No,Yes,,Yes,,,,,,,Tilt,,,,VESA,,,No,,,Yes,,"Windows 10, Windows 11",,,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,Audio Out,,
Enter 43.43 cm (17.1 inch) SXGA Monitor (VGA led Monitor),"₹2,400",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/l12h1u80/monitor/e/y/a/vga-led-monitor-sxga-17-1-e-mo-ao2-enter-original-imagcq6a82tskvw2.jpeg?q=70,https://www.flipkart.com/enter-43-43-cm-17-1-inch-sxga-monitor-vga-led-monitor/p/itma8dc42c1071fd?pid=MONGCQ6AC8GXBZ9J&lid=LSTMONGCQ6AC8GXBZ9JBR28AA&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_118&otracker=search&otracker1=search&fm=organic&iid=7ec93be2-4ab1-438c-8596-372b5046fc03.MONGCQ6AC8GXBZ9J.SEARCH&ppt=None&ppn=None&ssid=ow5may0aio0000001738685709638&qH=08b5411f848a2581,2/5/2025 17:11,VGA led Monitor,,Black,43.43 cm (17.1 inch) LED Display,,,1280X1024 pixels,,SXGA,,"1 LED MONITOR; 1 LED STAND; 1 POWER CABLE; 1 HDMI CABLE , USER MANUAL",Flat,,,,"60 Hz (Analog), 60 Hz (Digital)",,16:07,,150° (2D),130° (2D),5 ms,220 nits (2D),0.259 mm,,,,No,,,,,No,No,No,No,,,,,12 W (Operational),"Yes, 1 x YES Port",No,Yes,No,,No,No,,,,,,,,,,,,,No,,,Yes,,,,,,,,,,,,1 year by brand,Manufacturing defects only,Physical damage and burnt,1 Year,,,,
"Enter 39.12 cm (15.4 inch) HD TN Panel Monitor (Black HD LED Backlit 15.4"" inch Monitor with HDMI and ...","₹2,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/l12h1u80/monitor/e/y/a/vga-led-monitor-sxga-17-1-e-mo-ao2-enter-original-imagcq6a82tskvw2.jpeg?q=70,https://www.flipkart.com/enter-39-12-cm-15-4-inch-hd-tn-panel-monitor-black-led-backlit-15-4-inch-hdmi-vga/p/itma8dc42c1071fd?pid=MONGCWB248VVED3E&lid=LSTMONGCWB248VVED3EEI1QHX&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_119&otracker=search&otracker1=search&fm=organic&iid=7ec93be2-4ab1-438c-8596-372b5046fc03.MONGCWB248VVED3E.SEARCH&ppt=None&ppn=None&ssid=ow5may0aio0000001738685709638&qH=08b5411f848a2581,2/5/2025 17:11,"Black HD LED Backlit 15.4"" inch Monitor with HDMI and VGA",,Black,39.12 cm (15.4 inch) HD Display,,TN Panel,,,HD,,1,Flat,,,,"60 Hz (Analog), 60 Hz (Digital)",,,,,,3 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,manufacturing defcet,physical damage & burnt,,,,,
"Lenovo G-Series 81.28 cm (32 inch) Curved Quad HD LED Backlit VA Panel with 99% sRGB, 2XHDMI 2.0, DP, ...","₹23,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/g/e/k/g32qc-30-full-hd-32-2022-66f2gac1in-lenovo-original-imagxhgtg9qshvnm.jpeg?q=70,https://www.flipkart.com/lenovo-g-series-81-28-cm-32-inch-curved-quad-hd-led-backlit-va-panel-99-srgb-2xhdmi-2-0-dp-height-tilt-adjustable-stand-vesa-mountable-gaming-monitor-g32qc-30/p/itmf1f0f539d0859?pid=MONGXF42UGSKG6Y7&lid=LSTMONGXF42UGSKG6Y7J2YRHS&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_5_120&otracker=search&otracker1=search&fm=organic&iid=7ec93be2-4ab1-438c-8596-372b5046fc03.MONGXF42UGSKG6Y7.SEARCH&ppt=None&ppn=None&ssid=ow5may0aio0000001738685709638&qH=08b5411f848a2581,2/5/2025 17:11,G32qc-30,G-Series,Raven Black,81.28 cm (32 inch) LED Display,LED Backlit Backlight,VA Panel,,,Quad HD,,"1 Monitor, DP Cable, Power Cable, Stand, User Guide",Curved,,Anti-glare,,"165 Hz (Analog), 165 Hz (Digital)",,16:09,,,,0.5 ms,350 nits (2D),,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,VESA,,,,,,Yes,,,,,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 17:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 17:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,4.5,Data not available,https://rukminim2.flixcart.com/image/300/300/l1b1oy80/monitor/y/y/s/ls32bm701uwxxl-uhd-32-ls32bm701uwxxl-samsung-original-imagcwkrhujjhpuc.jpeg?q=90,URL not available,2/5/2025 17:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 17:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 17:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0054),"₹3,154",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/0/5/k/mon-0054-hd-20-2023-mon-0054-frontech-original-imahyrryap3ccunb.jpeg?q=70,https://www.flipkart.com/frontech-50-8-cm-20-inch-hd-led-backlit-va-panel-monitor-mon-0054/p/itm8713072821479?pid=MONGS24B7UGXAKTX&lid=LSTMONGS24B7UGXAKTXPSDLVN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_6_121&otracker=search&otracker1=search&fm=organic&iid=en_76woagZDE38uOSmHmHjt_cOK8fPRSUMs2QCn_ZtJ2MLlCdNIzJX8oDPWlz8bz_XMT7e8OSLGtSPID8Nt_NS0_w%3D%3D&ppt=None&ppn=None&ssid=4s2t902b1s0000001738685764646&qH=08b5411f848a2581,2/5/2025 17:11,MON-0054,-,Black,50.8 cm (20 inch) LED Display,LED Backlit Backlight,VA Panel,1600 x 900 pixels,No,HD,-,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Stand, 1 Manual",Flat,1080p,-,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",0 Hz,16:09,"1000000:1, 1000000:1 (Dynamic)","130° (2D), 160° (3D)","90° (2D), 0° (3D)",5 ms,"250 nits (2D), 0 nits (3D)",0.276 mm,86%,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mountable","No, Supported by - with -",0 ms,-,-,NA,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,No,0,NA,0,AC 180V - 255V,"24 W (Operational), 0 W (Standby)","Yes, 1 x 1.3 Port",Yes,"Yes, 15 Pin",Yes,0 x 0 Port,No,No,0 - 50° C,0 - 0° C,20 - 60° C,20 - 60 %,NA,Yes,-3 to 12 Degree,0,215 x 205 x 165 mm,No,-,NA,No,"Auto, Menu, Up, Down, Power",15 Languages,Yes,No,"Windows 11, Windows 10, Windows 8.1, Windows 8",NA,220 mm,360 mm,471 mm,3.25 kg,220 mm,356 mm,471 mm,3 kg,1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,,,,
"BenQ GW2490 60.96 cm (24 inch) Full HD LED Backlit IPS Panel 99% sRGB, Eye-careU, Dual HDMI, Display P...","₹8,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/i/x/5/gw2490-full-hd-24-2024-gw2490-benq-original-imagy6vfbvxjjhpu.jpeg?q=70,https://www.flipkart.com/benq-gw2490-60-96-cm-24-inch-full-hd-led-backlit-ips-panel-99-srgb-eye-careu-dual-hdmi-display-port-bezel-less-eyesafe-vesa-mediasync-brightness-intelligence-low-blue-light-speakers-2wx2-wall-mountable-monitor-gw2490/p/itm4af37e8d586ae?pid=MONGXXF4ETTSY3NK&lid=LSTMONGXXF4ETTSY3NKREMWFH&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_6_122&otracker=search&otracker1=search&fm=organic&iid=en_76woagZDE38uOSmHmHjt_cOK8fPRSUMs2QCn_ZtJ2MJE9ONzZNwsVzMfvIUNVJ5_VSF0xFXubkRCbrvoC9GPnvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4s2t902b1s0000001738685764646&qH=08b5411f848a2581,2/5/2025 17:11,GW2490,GW2490,Black,60.96 cm (24 inch) LED Display,LED Backlit Backlight,IPS Panel,1920 x 1080 pixels,,Full HD,,"1 Monitor, 1.5 m Power Cord, HDMI Signal Cable, User Manual, Warranty Card",Flat,1080p,Anti-glare,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",,16:09,,,,5 ms,250 nits (2D),0.274 mm,99% sRGB,,,No,,,,,"Yes, 2 Speakers",Yes,,Yes,2,,,"AC 100 - 240 V, 50/60 Hz",35 W (Operational),"Yes, 2",,No,Yes,,No,Yes,,,,,,,,,,VESA,Kensington Lock,,No,,18 Languages,Yes,Yes,,,,,,,,,,,39 Months Warranty,Manufacturing Defects,Physical Damages,39 Months,,Audio In,,
Frontech Ultima Series 60.96 cm (24 inch) Full HD LED Backlit IPS Panel Monitor (MON-0062-White),"₹6,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/k/6/p/mon-0062-white-full-hd-24-2023-mon-0062w-frontech-original-imah8r8mxkhebk2d.jpeg?q=70,https://www.flipkart.com/frontech-ultima-series-60-96-cm-24-inch-full-hd-led-backlit-ips-panel-monitor-mon-0062-white/p/itm49914c59b6a18?pid=MONGUNQZZGQYTDXW&lid=LSTMONGUNQZZGQYTDXWOGXDOH&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_6_123&otracker=search&otracker1=search&fm=organic&iid=b408a3aa-e3f3-4139-a090-fd7381549159.MONGUNQZZGQYTDXW.SEARCH&ppt=None&ppn=None&ssid=4s2t902b1s0000001738685764646&qH=08b5411f848a2581,2/5/2025 17:11,MON-0062-White,Ultima Series,White-Inbuilt Speaker,60.96 cm (24 inch) LED Display,LED Backlit Backlight,IPS Panel,1920 x 1080 pixels,No,Full HD,NA,"1 Monitor, Stand, Power Cable, HDMI Cable, Quick Setup Guide, Warranty Card",Flat,1080p,NA,16.7 m Colors,"75 Hz (Analog), 75 Hz (Digital)",0 Hz,16:09,"10000000:1, 10000000:1 (Dynamic)","178° (2D), 178° (3D)","178° (2D), 0° (3D)",2 ms,"250 nits (2D), 0 nits (3D)",0.283 mm,sRGB 99%,"75 kHz (Analog), 75 kHz (Digital)","Slim Design, Metallic Stand","No, Supported by NA with NA",0 ms,NA,NA,0,"Yes, 2 Speakers  with 2 W Power Output Per Speaker",Yes,No,Yes,2,NA,2,AC 185 - 255V,25 W (Operational),"Yes, 1 x 1.4 Port",No,"Yes, 15",Yes,0 x NA Port,Yes,Yes,-,-,-,,-,Yes,3-12 Degree,NA,215 x 205 x 165 mm,Yes,NA,NA,No,"Auto, Menu, Up, Down, Power",,Yes,No,"Windows10, Windows7, Windows8, Windows8.1",-,540 mm,395 mm,8 mm,2.5 kg,146 mm,407 mm,541 mm,3.4 kg,3 Years Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,3 Year,VGA,"Audio In, Audio Out",NA,
MarQ by Flipkart 81.28 cm (32 inch) Full HD LED Backlit VA Panel Gaming Monitor (32FHDMMQTT9G),"₹11,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/e/w/p/gaming-monitor-full-hd-32-2024-32fhdmmqtt9g-marq-by-flipkart-original-imahfqfg4b9uvruu.jpeg?q=70,https://www.flipkart.com/marq-flipkart-81-28-cm-32-inch-full-hd-led-backlit-va-panel-gaming-monitor-32fhdmmqtt9g/p/itm191a89a5256f7?pid=MONGYS8DGQHDFEZY&lid=LSTMONGYS8DGQHDFEZYHBRBRT&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_6_124&otracker=search&otracker1=search&fm=organic&iid=b408a3aa-e3f3-4139-a090-fd7381549159.MONGYS8DGQHDFEZY.SEARCH&ppt=None&ppn=None&ssid=4s2t902b1s0000001738685764646&qH=08b5411f848a2581,2/5/2025 17:11,32FHDMMQTT9G,,Black,81.28 cm (32 inch) LCD Display,LED Backlit Backlight,VA Panel,1920 x 1080 pixels,,Full HD,,"Monitor, Stand, Base, HDMI Cable, Power Adapter, User Manual",Flat,,,16.7 m Colors,"165 Hz (Analog), 165 Hz (Digital)",,16:09,,178° (2D),,1 ms,300 nits (2D),,,,"Anti-glare, Anti-flicker",No,,,,,Yes,Yes,No,Yes,,,,,,"Yes, 2 x HDMI 2 Port",No,No,Yes,,Yes,No,,,,,,,,,,VESA,,,No,,,,,,,,,,,,,,,1 Year Warranty,Manufacturing Defects,Physical Damages,,,Audio Out,,
"DELL 68.58 cm (27 inch) Full HD IPS Panel Anti-Glare With 3H Hardness, Gray-To-Gray (Fast mode), Ports...","₹16,899",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/i/n/f/-original-imahfefd3asnh3zs.jpeg?q=70,https://www.flipkart.com/dell-68-58-cm-27-inch-full-hd-ips-panel-anti-glare-3h-hardness-gray-to-gray-fast-mode-ports-1x-hdmi-1x-dp-1-2-1x-vga-5x-usb-3-2-gen1-tilt-swivel-pivot-height-adjustment-monitor-p2725h/p/itmdf71a116e8141?pid=MONHYTHJZDGMPHYQ&lid=LSTMONHYTHJZDGMPHYQJWTDG9&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_6_125&otracker=search&otracker1=search&fm=organic&iid=b408a3aa-e3f3-4139-a090-fd7381549159.MONHYTHJZDGMPHYQ.SEARCH&ppt=None&ppn=None&ssid=4s2t902b1s0000001738685764646&qH=08b5411f848a2581,2/5/2025 17:11,P2725H,,Black,68.58 cm (27 inch) LED Display,,IPS Panel,,,Full HD,,"1 Monitor, Stand Riser, Stand Base, Quick Setup Guide Safety, Environmental and Regulatory Information, Factory Calibration Report, Power Cable, Display Port Cable 1.8 m, USB Type-C to USB Type-C Gen 2 Cable 1 m, USB Type-A to USB Type-C Gen 2 Cable 1 m",Flat,1080p,,,"100 Hz (Analog), 100 Hz (Digital)",,16:09,,178° (2D),178° (2D),5 ms,300 nits (2D),,,,,No,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Years Warranty,Manufacturing Defects,Physical Damages,5 Year,,,,
Enter 39.12 cm (15.4 inch) HD LED Backlit Monitor (E-M0-AO8),"₹2,400",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/kw3v0cw0/monitor/h/c/g/e-m0-ao8-hd-15-4-e-m0-ao8-enter-original-imag8upgw84ypbwc.jpeg?q=70,https://www.flipkart.com/enter-39-12-cm-15-4-inch-hd-led-backlit-monitor-e-m0-ao8/p/itma8dc42c1071fd?pid=MONG8UPGUZMWZREH&lid=LSTMONG8UPGUZMWZREH4UJMSV&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_6_126&otracker=search&otracker1=search&fm=organic&iid=b408a3aa-e3f3-4139-a090-fd7381549159.MONG8UPGUZMWZREH.SEARCH&ppt=None&ppn=None&ssid=4s2t902b1s0000001738685764646&qH=08b5411f848a2581,2/5/2025 17:11,E-M0-AO8,,Black,39.12 cm (15.4 inch) LED Display,LED Backlit Backlight,,,,HD,,"1 POWER CABLE, 1 VGA CABLE, 1 LED STAND, USER MANUAL",Flat,,,,"60 Hz (Analog), 60 Hz (Digital)",,,,,,5 ms,,,,,,,-1 ms,,,,,,,,,,,,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 YEAR,Manufacturing defect,Physical damage,1 Year,,,,
"DELL S Series 68.58 cm (27 inch) Full HD IPS Panel with 5-Years warranty, 99% sRGB, Low Blue Light tec...","₹11,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/v/t/u/-original-imagysfvjzxaegke.jpeg?q=70,https://www.flipkart.com/dell-s-series-68-58-cm-27-inch-full-hd-ips-panel-5-years-warranty-99-srgb-low-blue-light-technology-hdmi-x2-tilt-adjustment-3-sided-bezel-less-monitor-s2721hnm-s2721hn/p/itme14d367b6a471?pid=MONGYDFQE2JJHNF3&lid=LSTMONGYDFQE2JJHNF3HYP52D&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_6_127&otracker=search&otracker1=search&fm=organic&iid=en_76woagZDE38uOSmHmHjt_cOK8fPRSUMs2QCn_ZtJ2MJncC17i7k5EYb7PdRxZXS02BSnNnHYNifIX1cxQWCNO_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4s2t902b1s0000001738685764646&qH=08b5411f848a2581,2/5/2025 17:11,S2721HNM / S2721HN,S Series,Grey,68.58 cm (27 inch) LED Display,,IPS Panel,1920 x 1080 pixels,,Full HD,,"1 Monitor, HDMI Cable",Flat,1080p,Anti Glare,,"75 Hz (Analog), 75 Hz (Digital)",,,,178° (2D),178° (2D),4 ms,300 nits (2D),0.3114 mm,,,,No,,,,,No,Yes,,No,,,,,,"Yes, 2 x HDMI 1.4 Port",,,,,,,,,,,,,-5 - 21 Degrees,,100 x 100 mm,VESA,Yes,,No,,,No,Yes,,"LED Edgelight System, 72% NTSC (CIE 1931) Colour Gamut, BFR/PVC-free, Mercury Free, Arsenic-free Glass, Dell Easy Arrange, Dell Comfort View, Low Blue Light Technology, 3-sided Bezel Less",,,,6.5 kg,,,,7.6 kg,5 Years Warranty,Manufacturing Defects,Physical Damage,5 Year,Audio Line-out,,,
Frontech - 43.18 cm (17 inch) HD LED Backlit VA Panel Monitor (MON-0065),"₹2,469",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/r/y/p/mon-0065-hd-17-2023-mon-0065-frontech-original-imah8nybhchfkhmy.jpeg?q=70,https://www.flipkart.com/frontech-43-18-cm-17-inch-hd-led-backlit-va-panel-monitor-mon-0065/p/itmbc6d42fed6553?pid=MONGS24EAHXVJZMQ&lid=LSTMONGS24EAHXVJZMQACRRSN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_6_128&otracker=search&otracker1=search&fm=organic&iid=en_76woagZDE38uOSmHmHjt_cOK8fPRSUMs2QCn_ZtJ2MLWHgYEH-o7l3N1k2DPwwQIMoGOPdCZQBxIap-hzmLn1g%3D%3D&ppt=None&ppn=None&ssid=4s2t902b1s0000001738685764646&qH=08b5411f848a2581,2/5/2025 17:11,MON-0065,-,Black,43.18 cm (17 inch) LED Display,LED Backlit Backlight,VA Panel,1280x1024 pixels,,HD,-,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Stand, 1 Manual",Flat,1080p,-,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",,5:04,"1000000:1, 1000000:1 (Dynamic)",130° (2D),90° (2D),5 ms,250 nits (2D),0.264 mm,sRGB,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mount","No, Supported by - with -",,-,-,-,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,No,0,NA,0,AC 180 - 255V,18 W (Operational),"Yes, 1 x 1.4 Port",,"Yes, 15 Pin",Yes,0 x 0 Port,No,No,-,-,-,,-,Yes,3-12 Degree,-,215 x 205 x 165 mm,Yes,-,-,No,"Auto, Menu, Up, Down, Power",,Yes,No,"Windows 10, Windows 8, Windows 7",-,370 mm,375 mm,370 mm,2.8 kg,200 mm,370 mm,370 mm,2.7 kg,1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,-,,-,
Enter 39.12 cm (15.4 inch) HD Monitor (EN_-MO-A06(N)),"₹2,340",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/kqpj4i80/monitor/n/u/w/led-monitor-15-4-inch-a06-n-hdmi-vga-contrast-800-1-15-e-mo-a06-original-imag4nv8jtywzv87.jpeg?q=70,https://www.flipkart.com/enter-39-12-cm-15-4-inch-hd-monitor-en-mo-a06-n/p/itma8dc42c1071fd?pid=MONGD7FT7EQXAFAG&lid=LSTMONGD7FT7EQXAFAGZKQPUA&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_6_129&otracker=search&otracker1=search&fm=organic&iid=b408a3aa-e3f3-4139-a090-fd7381549159.MONGD7FT7EQXAFAG.SEARCH&ppt=None&ppn=None&ssid=4s2t902b1s0000001738685764646&qH=08b5411f848a2581,2/5/2025 17:11,EN_-MO-A06(N),,Black,39.12 cm (15.4 inch) HD Display,,,,,HD,,1,Flat,,,,"60 Hz (Analog), 60 Hz (Digital)",,,,,,6 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Year, by Brand",,Damage And Burn,1 Year,,,,
