title,price,rating,reviews,image_url,product_url,collection_date,Model Name,Color,Display,Panel Type,Resolution,Screen Resolution Type,Sales Package,Screen Form Factor,Number of Colors,Maximum Refresh Rate,Aspect Ratio,Contrast Ratio,Horizontal Viewing Angle,Vertical Viewing Angle,Response Time,Brightness,Pixel Pitch,Power Consumption,HDMI,VGA,Width With Stand,Height With Stand,Depth With Stand,Weight With Stand,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Touch Response Time,Speakers,Headphone Jack,Inbuilt Speaker,Series,Backlight,Processor,HD Standard,Display Screen Coating,Color Gamut,Horizontal Scanning Frequencies,Other Display Features,Touchscreen Support,Touch Accuracy,Touch Capabilities,Other Touchscreen Features,Microphone Jack,Number of Speakers,Other Audio Features,Power Output Per Speaker,Power Requirement,Other Power Features,Display Port,USB,Audio Out,Audio In,Other Connectivity Features,Operating Temperature,Non Operating Temperature,Storage Temperature,Other Operating Requirements,Stand,Stand Tilt,Stand Swivel,Wall Mounting,Wall Mount Standard,Security Lock Slot,Other Mounting Features,Inbuilt Webcam,Controls,Plug and Play,HDCP Support,System Requirements,Other Features,Width Without Stand,Height Without Stand,Depth Without Stand,Weight Without Stand,DVI,3D,Maximum 3D Refresh Rate,Operating Humidity Range,OSD Languages Supported,Audio Jacks,Part Number
"Acer 60.45 cm (23.8 inch) Full HD IPS Panel with-Visioncare, VGA, HDMI, Ergonomic Stand, Flicker-Free ...","₹6,656",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/4/h/5/-original-imagxpgpcnpyqmyj.jpeg?q=70,https://www.flipkart.com/acer-60-45-cm-23-8-inch-full-hd-ips-panel-with-visioncare-vga-hdmi-ergonomic-stand-flicker-free-monitor-ek240y/p/itme973196ea99d8?pid=MONGWVAUEKTXSNWG&lid=LSTMONGWVAUEKTXSNWGVY9ZEW&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_2_44&otracker=search&otracker1=search&fm=organic&iid=bf7f6146-c119-488a-bfb0-73e43d2e48a7.MONGWVAUEKTXSNWG.SEARCH&ppt=None&ppn=None&ssid=dbuxfaw7xc0000001738523939576&qH=08b5411f848a2581,2025-02-02 20:18:59,EK240Y,Black,60.45 cm (23.8 inch) LED Display,IPS Panel,,Full HD,"1 Monitor, Stand, Power Cord, User Manual, HDMI Cable",Flat,,"100 Hz (Analog), 100 Hz (Digital)",16:09,,,,1 ms,250 nits (2D),,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontech - 55.88 cm (22 inch) HD LED Backlit VA Panel Monitor (MON-0060),"₹3,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/7/0/z/mon-0060-hd-22-2023-mon-0060-frontech-original-imah6f6tz8fmb3dj.jpeg?q=70,https://www.flipkart.com/frontech-55-88-cm-22-inch-hd-led-backlit-va-panel-monitor-mon-0060/p/itm92baa00cd08c8?pid=MONGS24DWUAHPVAG&lid=LSTMONGS24DWUAHPVAGAPCCHR&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_2_45&otracker=search&otracker1=search&fm=organic&iid=bf7f6146-c119-488a-bfb0-73e43d2e48a7.MONGS24DWUAHPVAG.SEARCH&ppt=None&ppn=None&ssid=dbuxfaw7xc0000001738523939576&qH=08b5411f848a2581,2025-02-02 20:18:59,MON-0060,Black 1,55.88 cm (22 inch) LED Display,VA Panel,1920 x 1080 pixels,HD,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Unit Stand, 1 Unit Manual",Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",16:10,"5000000:1, 5000000:1 (Dynamic)","130° (2D), 0° (3D)","90° (2D), 0° (3D)",3 ms,"250 nits (2D), 0 nits (3D)",0.282 mm,"21 W (Operational), 0 W (Standby)","Yes, 1 x 1.4 Port","Yes, 15 Pin",31 mm,400 mm,512 mm,3.5 kg,1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,0 ms,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,-,LED Backlit Backlight,-,1080p,-,sRGB,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mount","No, Supported by - with -",-,-,-,No,0,NA,0,180-255,-,Yes,0 x 0 Port,No,No,VGA,0 - 0° C,0 - 0° C,-,NA,Yes,3-12 Degree,-,215 x 205 x 165 mm,Yes,-,-,No,"Auto, Menu, Up, Down, Power",Yes,No,"Windows10, Windows7, Windows8, Windows8.1",-,31 mm,362 mm,512 mm,3.2 kg,No,No,0 Hz,0 - 0 %,,,
"Acer NITRO 68.58 cm (27 inch) Full HD IPS Panel with sRGB 99%, HDR10 Support, 2X2W Inbuilt Speakers, A...","₹11,390",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/q/m/o/-original-imagy55jq646frhh.jpeg?q=70,https://www.flipkart.com/acer-nitro-68-58-cm-27-inch-full-hd-ips-panel-srgb-99-hdr10-support-2x2w-inbuilt-speakers-display-widget-visioncare-2-0-tilt-able-stand-gaming-monitor-vg270-m3/p/itmcfac8b651bb52?pid=MONGTFA39SRSH43K&lid=LSTMONGTFA39SRSH43KEUK3O8&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_2_46&otracker=search&otracker1=search&fm=organic&iid=bf7f6146-c119-488a-bfb0-73e43d2e48a7.MONGTFA39SRSH43K.SEARCH&ppt=None&ppn=None&ssid=dbuxfaw7xc0000001738523939576&qH=08b5411f848a2581,2025-02-02 20:18:59,VG270 M3,Black,68.58 cm (27 inch) LED Display,IPS Panel,,Full HD,"1 Monitor, Stand, Power Cord, Manual, HDMI Cable",Flat,,"180 Hz (Analog), 180 Hz (Digital)",,,,,1 ms,250 nits (2D),,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,,NITRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LG 80.01 cm (31.5 inch) Full HD IPS Panel with webOS, Apple AirPlay 2, HomeKit compatibility, 5Wx2 spe...","₹15,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/2/w/r/-original-imagzhae3tbkdzhh.jpeg?q=70,https://www.flipkart.com/lg-80-01-cm-31-5-inch-full-hd-ips-panel-webos-apple-airplay-2-homekit-compatibility-5wx2-speakers-magic-remote-compatible-smart-monitor-32sr50f-wa-atremsn/p/itme9cd4eda1325b?pid=MONGW5FWZZKBG5ZC&lid=LSTMONGW5FWZZKBG5ZCV4MQFJ&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_2_47&otracker=search&otracker1=search&fm=organic&iid=bf7f6146-c119-488a-bfb0-73e43d2e48a7.MONGW5FWZZKBG5ZC.SEARCH&ppt=None&ppn=None&ssid=dbuxfaw7xc0000001738523939576&qH=08b5411f848a2581,2025-02-02 20:18:59,32SR50F-WA.ATREMSN,White,80.01 cm (31.5 inch) LED Display,IPS Panel,,Full HD,"1 Monitor, Remote, Power Cord, HDMI Cable, Stand Body, Stand Base, Adapter, User Manual, Warranty Card",Flat,,"60 Hz (Analog), 60 Hz (Digital)",,,,,5 ms,,,,Yes,,,,,,3 Years Warranty,Manufacturing Defects,Physical and Water Damages,3 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZEBRONICS 60.96 cm (24 inch) Full HD IPS Panel with 280 Nits Brightness, Built-in Speakers, HDR10, 99%...","₹7,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/y/r/3/zeb-igm-101-zeb-n24a-full-hd-24-2024-zeb-igm-101-zeb-n24a-original-imah4baybwhnqbge.jpeg?q=70,https://www.flipkart.com/zebronics-60-96-cm-24-inch-full-hd-ips-panel-280-nits-brightness-built-in-speakers-hdr10-99-srgb-1-x-dp-hdmi-3-5mm-anti-glare-display-gaming-monitor-zeb-igm-101-zeb-n24a/p/itmcf135a8a1902e?pid=MONH3NTUYYAFMSRH&lid=LSTMONH3NTUYYAFMSRHXEDQDG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_2_48&otracker=search&otracker1=search&fm=organic&iid=bf7f6146-c119-488a-bfb0-73e43d2e48a7.MONH3NTUYYAFMSRH.SEARCH&ppt=None&ppn=None&ssid=dbuxfaw7xc0000001738523939576&qH=08b5411f848a2581,2025-02-02 20:18:59,"ZEB-IGM 101, ZEB-N24A",Black,60.96 cm (24 inch) LED Display,IPS Panel,1920x1080 pixels,Full HD,"Monitor - 1U, Base - 1U, Stem - 1U, HDMI Cable - 1U, User Manual - 1U, Power Adapter - 1U",Flat,16.7 m Colors,"180 Hz (Analog), 180 Hz (Digital)",16:9,"1000000:1, 1000000:1 (Dynamic)","178° (2D), 178° (3D)","178° (2D), 178° (3D)",1 ms,"280 nits (2D), 280 nits (3D)",0.2745 mm,"42 W (Operational), 42 W (Standby)",Yes,,544 mm,403 mm,160 mm,2.75 kg,3 Year Carry into service center,Any manufacturing defect,Any Physical damage or accessories,,1 ms,"Yes, with 42 W Power Output Per Speaker",Yes,Yes,,,,,,,,,,,,,,,,42,,,Yes,1,Yes,,,,,,,,,,,,,,,,,,,,544 mm,325 mm,12.3 mm,2.57 kg,,No,180 Hz,,,Audio Out,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:18:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:18:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,3.7,Data not available,https://rukminim2.flixcart.com/image/300/300/xif0q/monitor/7/0/z/mon-0060-hd-22-2023-mon-0060-frontech-original-imah6f6tz8fmb3dj.jpeg?q=90,URL not available,2025-02-02 20:18:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:18:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:19:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:19:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enter 48.26 cm (19 inch) HD LED Backlit TN Panel Monitor (19 inch HD LED Monitor),"₹2,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/k/3/z/19-inch-hd-led-monitor-hd-19-2023-e-mo-a01-enter-original-imah5mtggqt8thzx.jpeg?q=70,https://www.flipkart.com/enter-48-26-cm-19-inch-hd-led-backlit-tn-panel-monitor-inch-monitor/p/itm9b3e76625be19?pid=MONGS2XEPKGYZGAH&lid=LSTMONGS2XEPKGYZGAHZPWN5P&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_3_49&otracker=search&otracker1=search&fm=organic&iid=70be052a-967a-4f38-b674-6a3878af926f.MONGS2XEPKGYZGAH.SEARCH&ppt=None&ppn=None&ssid=w89nkhmbcw0000001738523999088&qH=08b5411f848a2581,2025-02-02 20:19:59,19 inch HD LED Monitor,Black,48.26 cm (19 inch) HD Display,TN Panel,1440 x 900 pixels,HD,led stand and cabel,Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",16:09,"5000000:1, 5000000:1 (Dynamic)","130° (2D), 0° (3D)","110° (2D), 0° (3D)",5 ms,"2502 nits (2D), 0 nits (3D)",0.2835 mm,"0 W (Operational), 21 W (Standby)","Yes, 1 x 1.4 Port","Yes, 15 Pin",358 mm,220 mm,438 mm,2.23 kg,"1 Year, by Brand",manufacturing defcet,physical damage & burnt,1 Year,0 ms,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,,LED Backlit Backlight,,,.,sRGB,"75 kHz (Analog), 80 kHz (Digital)",,"No, Supported by 0 with 0",0,0,0,No,0,0,0,AC 180 - 255V,,Yes,0 x 0 Port,No,No,na,0 - 50° C,0 - 0° C,20 - 60° C,-,na,3-12 Degree,0,215 x 205 x 165 mm,Yes,,na,No,"Auto, Menu, Up, Down, Power",Yes,No,"Windows 10, Windows 8, Windows 7, Windows 11",NA,358 mm,200 mm,438 mm,2.1 kg,No,No,0 Hz,20 - 60 %,0 Languages,,
"SAMSUNG 68.58 cm (27 inch) Curved Full HD VA Panel with 1800R Curvature, HDMI, Audio Ports, Flicker Fr...","₹10,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/u/t/y/-original-imah5c9cw6bpkwee.jpeg?q=70,https://www.flipkart.com/samsung-68-58-cm-27-inch-curved-full-hd-va-panel-1800r-curvature-hdmi-audio-ports-flicker-free-slim-design-monitor-ls27c360eawxxl-ls27c366eawxxl/p/itm3a880975b48a9?pid=MONGZ75ZWH7QJW88&lid=LSTMONGZ75ZWH7QJW889T121H&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_3_50&otracker=search&otracker1=search&fm=organic&iid=70be052a-967a-4f38-b674-6a3878af926f.MONGZ75ZWH7QJW88.SEARCH&ppt=None&ppn=None&ssid=w89nkhmbcw0000001738523999088&qH=08b5411f848a2581,2025-02-02 20:19:59,LS27C360EAWXXL/LS27C366EAWXXL,Black,68.58 cm (27 inch) LED Backlit Display,VA Panel,1920 x 1080 pixels,Full HD,"1 Unit Monitor, Power Cable, HDMI Cable",Curved,,"75 Hz (Analog), 75 Hz (Digital)",16:9,,,,4 ms,250 nits (2D),,,Yes,,,,,,3 Years Domestic Warranty,Manufacturing Defects Only,Physical Damages will Not Covered in Warranty,3 Year,,,,,,,,,,,,,,,,,,,,,AC 100 - 240 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG 60.96 cm (24 inch) Full HD IPS Panel Flicker-Free, HDMI, Display Port, Bezel-less Design Flat ...","₹7,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/q/6/9/-original-imah8pwhvz2tzucv.jpeg?q=70,https://www.flipkart.com/samsung-60-96-cm-24-inch-full-hd-ips-panel-flicker-free-hdmi-display-port-bezel-less-design-flat-monitor-ls24c330gawxxl/p/itm242e33dfe21e9?pid=MONGYYQGKSZJTEBP&lid=LSTMONGYYQGKSZJTEBPM0MVH1&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_3_51&otracker=search&otracker1=search&fm=organic&iid=en_wcAWbGB1Ql91P9bLZrISGMtbq8RODbrA8A8L13dDB6GCc-m1hxc6Co7jrfIU17U48kzA3ptjAdN2jJ3eHMy0Y_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=w89nkhmbcw0000001738523999088&qH=08b5411f848a2581,2025-02-02 20:19:59,LS24C330GAWXXL,Black,60.96 cm (24 inch) LED Display,IPS Panel,,Full HD,"1 Monitor, Accessory included, Power Cable (1.5M), HDMI Cable, User Manual",Flat,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",16:09,,178° (2D),178° (2D),4 ms,250 nits (2D),,,Yes,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,,,,,,,72%,,,,,,,,,,,AC 100 - 240 V,,Yes,,,,,,,,,,,,,,,,,,,Yes,Windows 10,,,,,,,,,,,,
ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel Wall Mountable Monitor (ZEB -AC32FHD LED),"₹11,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/d/s/x/zeb-ac32fhd-led-full-hd-32-2022-zeb-ac32fhd-zebronics-original-imagydzpqfy3tvaq.jpeg?q=70,https://www.flipkart.com/zebronics-81-28-cm-32-inch-curved-full-hd-va-panel-wall-mountable-monitor-zeb-ac32fhd-led/p/itmd0bf3471b1e6f?pid=MONGD4AF6HGGRHCT&lid=LSTMONGD4AF6HGGRHCTBR05JC&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_3_52&otracker=search&otracker1=search&fm=organic&iid=en_wcAWbGB1Ql91P9bLZrISGMtbq8RODbrA8A8L13dDB6EwnT-rYxflk4pcqYG1eRZwhNi0Of-DZyGCQYwXsaXa1g%3D%3D&ppt=None&ppn=None&ssid=w89nkhmbcw0000001738523999088&qH=08b5411f848a2581,2025-02-02 20:19:59,ZEB -AC32FHD LED,White,81.28 cm (32 inch) LED Display,VA Panel,1920x1080 pixels,Full HD,Monitor-1 unit,Curved,16.7 m Colors,"75 Hz (Analog), 75 Hz (Digital)",16:9,500000:1 (Dynamic),178° (2D),178° (2D),8 ms,250 nits (2D),0.3637 mm,50 W (Standby),Yes,Yes,715 mm,515 mm,8 mm,5 kg,Three year carry into service centre,Manufacturing defect,Any physical damage or accessories,3 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZEBRONICS 39.62 cm (15.6 inch) Full HD IPS Panel with 180-degree Adjustable Stand, 16:9 Aspect Ratio, ...","₹9,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/d/t/m/zeb-pixigo-a16-zeb-kpm-2-full-hd-15-6-2024-zeb-pixigo-a16-zeb-original-imah8mhubfkxh5eg.jpeg?q=70,https://www.flipkart.com/zebronics-39-62-cm-15-6-inch-full-hd-ips-panel-180-degree-adjustable-stand-16-9-aspect-ratio-300nits-brightness-16-7m-colors-dual-input-type-c-mini-hdmi-built-in-speakers-portable-monitor-zeb-pixigo-a16-zeb-kpm-2/p/itmc6a4627a657b1?pid=MONH7BV6AG8FMXD3&lid=LSTMONH7BV6AG8FMXD3IV2K5K&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_3_53&otracker=search&otracker1=search&fm=organic&iid=70be052a-967a-4f38-b674-6a3878af926f.MONH7BV6AG8FMXD3.SEARCH&ppt=None&ppn=None&ssid=w89nkhmbcw0000001738523999088&qH=08b5411f848a2581,2025-02-02 20:19:59,(Zeb-Pixigo A16 (Zeb-KPM 2)),Black,39.62 cm (15.6 inch) LED Display,IPS Panel,1920 x1080 pixels,Full HD,"Monitor - 1unit, Mini HDMI Cable - 1unit, Type C DP Cable - 1unit, Power Adapter - 1unit, User Manual - 1unit",Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",16:9,,,,25 ms,300 nits (2D),,,,,35.5 mm,22.2 mm,1.7 mm,0.804 kg,1 year carry into service center,Any manufacturing defect,Any physical damage or accessories,,25 ms,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontech 48.26 cm (19 inch) HD LED Backlit Monitor (MON-0071),"₹2,530",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/f/a/a/mon-0071-hd-19-mon-0071-frontech-original-imagkzpdcusja4e7.jpeg?q=70,https://www.flipkart.com/frontech-48-26-cm-19-inch-hd-led-backlit-monitor-mon-0071/p/itmc58a12ba96b96?pid=MONFBDDAKZ8ZZMCE&lid=LSTMONFBDDAKZ8ZZMCEVZMB0P&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_3_54&otracker=search&otracker1=search&fm=organic&iid=70be052a-967a-4f38-b674-6a3878af926f.MONFBDDAKZ8ZZMCE.SEARCH&ppt=None&ppn=None&ssid=w89nkhmbcw0000001738523999088&qH=08b5411f848a2581,2025-02-02 20:19:59,MON-0071,Black,48.26 cm (19 inch) LED Wide Screen Display,,1440×900 pixels,HD,"HDMI Cable= 1UNIT, Stand= 1 Unit, Power Cable= 1 Unit, LED Monitor= 1 Unit",Flat,16.7 M Colors,"60 Hz (Analog), 60 Hz (Digital)",,,,,3 ms,250 nits (2D),0.2835 mm,,,,,,,,Manufacturing Defect,1 Years Manufacturing,"Any Product, On Which The Serial Number Has Been Defaced, Modified Or Removed Or Any Physical Damage. Damages, Deterioration or Malfunction Resulting From Accident, Misuse, Neglect, Fire, Water, Lightning, Other Acts of Nature, Unauthorized Product Modification, failure to Follow Instructions Supplied With the Product, Any Damage Of The Product Due To Shipment, Normal Wear And Tear",,,,,,,LED Backlit Backlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,
"SAMSUNG M5 68.58 cm (27 inch) Full HD VA Panel with Mouse & Keyboard Control, OTT Apps, IoT Hub, Offic...","₹14,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/m/4/u/-original-imahfes3epqp8ahr.jpeg?q=70,https://www.flipkart.com/samsung-m5-68-58-cm-27-inch-full-hd-va-panel-mouse-keyboard-control-ott-apps-iot-hub-office-365-workout-tracker-multiple-ports-speakers-remote-bluetooth-smart-monitor-ls27dm500ewxxl/p/itm0efd9b1ef153d?pid=MONHF2H9WHBHGFZM&lid=LSTMONHF2H9WHBHGFZM5S710R&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_3_55&otracker=search&otracker1=search&fm=organic&iid=70be052a-967a-4f38-b674-6a3878af926f.MONHF2H9WHBHGFZM.SEARCH&ppt=None&ppn=None&ssid=w89nkhmbcw0000001738523999088&qH=08b5411f848a2581,2025-02-02 20:19:59,LS27DM500EWXXL,Black,68.58 cm (27 inch) LED Display,VA Panel,1920 x 1080 pixels,Full HD,"1 Monitor, Remote Controller, Power Cable, HDMI Cable, Warranty Card, User Manual",Flat,,"60 Hz (Analog), 60 Hz (Digital)",,3000:1,,,4 ms,250 nits (2D),,50 W (Operational),"Yes, 2",,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,Yes,No,Yes,M5,,,1080p,,72%,,,,,,,,,,,AC 100 - 240 V,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG Odyssey G3 60.96 cm (24 inch) Full HD LED Backlit VA Panel with DP, HDMI, Height/Tilt/Pivot Ad...","₹11,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/j/c/3/-original-imah5dx2akvanrgq.jpeg?q=70,https://www.flipkart.com/samsung-odyssey-g3-60-96-cm-24-inch-full-hd-led-backlit-va-panel-dp-hdmi-height-tilt-pivot-adjustable-stand-eye-saver-bezel-less-gaming-monitor-ls24dg300ewxxl/p/itmeb9b54c488f51?pid=MONH2X8G5BSMHTHX&lid=LSTMONH2X8G5BSMHTHXE4H6Z3&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_3_56&otracker=search&otracker1=search&fm=organic&iid=70be052a-967a-4f38-b674-6a3878af926f.MONH2X8G5BSMHTHX.SEARCH&ppt=None&ppn=None&ssid=w89nkhmbcw0000001738523999088&qH=08b5411f848a2581,2025-02-02 20:19:59,LS24DG300EWXXL,Black,60.96 cm (24 inch) LED Display,VA Panel,1920 x 1080 pixels,Full HD,"1 Unit Monitor, Power Cable, DP Cable, User Manual, Warranty Card",Flat,,"180 Hz (Analog), 180 Hz (Digital)",16:09,"3,000:1",178° (2D),,1 ms,250 nits (2D),,,Yes,,,,,,3 Years Warranty on the Product,Manufacturing Defects,Physical Damages,3 Year,,,,,Odyssey G3,LED Backlit Backlight,,1080p,,"sRGB, 95%",,,,,,,,,,,AC 100 - 240 V,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG 60.96 cm (24 inch) Curved Full HD VA Panel with 1800R, HDMI, Audio Ports, HDMI, Flicker Free S...","₹7,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/t/s/t/ls24c360eawxxl-full-hd-24-2023-ls24c360eawxxl-samsung-original-imagqfu5qfcbszxk.jpeg?q=70,https://www.flipkart.com/samsung-60-96-cm-24-inch-curved-full-hd-va-panel-1800r-hdmi-audio-ports-flicker-free-slim-design-monitor-ls24c360eawxxl/p/itm11e7db316afa3?pid=MONGPWDYQB4JJMAY&lid=LSTMONGPWDYQB4JJMAYXAPSO5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_3_57&otracker=search&otracker1=search&fm=organic&iid=en_wcAWbGB1Ql91P9bLZrISGMtbq8RODbrA8A8L13dDB6FKLufguhjbMZ_RYIQn8kGrp-jEMkx3dnCePSJ1RXZsTvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=w89nkhmbcw0000001738523999088&qH=08b5411f848a2581,2025-02-02 20:19:59,LS24C360EAWXXL,Black,60.96 cm (24 inch) LED Backlit Display,VA Panel,,Full HD,"1 Monitor, Power Cable, HDMI Cable",Curved,,"75 Hz (Analog), 75 Hz (Digital)",16:09,,,,4 ms,200 nits (2D),,,Yes,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,,,,,,,,,,,,,,,,,,AC 100 - 240 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
