title,price,rating,reviews,image_url,product_url,collection_date,Model Name,Color,Display,Panel Type,Screen Resolution Type,Sales Package,Screen Form Factor,Number of Colors,Maximum Refresh Rate,Aspect Ratio,Horizontal Viewing Angle,Vertical Viewing Angle,Response Time,Brightness,Color Gamut,Power Requirement,HDMI,Display Port,HDCP Support,System Requirements,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Backlight,Resolution,HD Standard,Contrast Ratio,Pixel Pitch,Speakers,Headphone Jack,Microphone Jack,Inbuilt Speaker,Power Consumption,VGA,Other Mounting Features,Plug and Play,Other Features,Width With Stand,Height With Stand,Depth With Stand,Width Without Stand,Height Without Stand,Depth Without Stand,Series,3D,Processor,Display Screen Coating,Maximum 3D Refresh Rate,Horizontal Scanning Frequencies,Other Display Features,Touchscreen Support,Touch Response Time,Touch Accuracy,Touch Capabilities,Other Touchscreen Features,Number of Speakers,Other Audio Features,Power Output Per Speaker,DVI,USB,Audio Out,Audio In,Operating Temperature,Non Operating Temperature,Storage Temperature,Operating Humidity Range,Other Operating Requirements,Stand,Stand Tilt,Stand Swivel,Wall Mounting,Wall Mount Standard,Security Lock Slot,Inbuilt Webcam,Controls,OSD Languages Supported,Weight With Stand,Weight Without Stand,Other Power Features,Other Connectivity Features,Audio Jacks,Part Number
SAMSUNG 60.96 cm (24 inch) Full HD LED Backlit VA Panel Monitor (LS24A314NHWXXL),"₹7,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/ksdjma80/monitor/1/d/x/ls24a314nhwxxl-24-ls24a314nhwxxl-samsung-original-imag5ym7hthnvgta.jpeg?q=70,https://www.flipkart.com/samsung-60-96-cm-24-inch-full-hd-led-backlit-va-panel-monitor-ls24a314nhwxxl/p/itm4518807d5e847?pid=MONG5VDFMGGYBKXC&lid=LSTMONG5VDFMGGYBKXCF53VLV&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_79&otracker=search&otracker1=search&fm=organic&iid=f88cdaaf-2c59-442e-acbd-e6a6f32f14fe.MONG5VDFMGGYBKXC.SEARCH&ppt=None&ppn=None&ssid=jdeo97o68g0000001738367683899&qH=08b5411f848a2581,2025-02-01 00:54:47,LS24A314NHWXXL,Black,60.96 cm (24 inch) LED Backlit Display,VA Panel,Full HD,"1 Monitor, Manual, Power Cable",Flat,,"60 Hz (Analog), 60 Hz (Digital)",16:09,,,9 ms,,,AC 100 - 240 V,"Yes, 1",,,,3 Year Comprehensive on Product,"Defect Arising Out of Faulty, Defective Material or Workmanship are Covered in Warranty","Warranty Does Not Cover Any External Accessories (Such as Battery, Cable, Carrying Bag), Damage Caused to the Product Due to Improper Installation by Customer, Normal Wear and Tear to Magnetic Heads, Audio, Video, Laser Pick-ups and TV Picture Tubes, Panel, Damages Caused to the Product by Accident, Lightening, Ingress of Water, Fire, Dropping or Excessive Shock, Any Damage Caused Due to Tampering of the Product by An Unauthorised Agent, Liability for Loss of Data, Recorded Images or Business Opportunity Loss",3 Year,LED Backlit Backlight,1920 x 1080 pixels,,,,,,,,,,,,,565.3 mm,430 mm,180.8 mm,565.3 mm,335 mm,53.7 mm,,No,,,,,,,,,,,,,,Yes,,,,,,,,,,,,100 x 100 mm mm,,,,,,2.8 kg,2.4 kg,,,,
"Acer 60.45 cm (23.8 inch) Full HD LED Backlit IPS Panel with Blue Light Shield, Low Dimming, Comfy Vie...","₹7,958",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/c/v/p/-original-imagwdpy6avjhsqu.jpeg?q=70,https://www.flipkart.com/acer-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-blue-light-shield-low-dimming-comfy-view-eco-display-2x1w-inbuilt-speakers-wall-mountable-ultra-thin-monitor-sa242y/p/itmb9d883c9403cb?pid=MONGTYR97NWHE2WG&lid=LSTMONGTYR97NWHE2WGOKVSLD&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_80&otracker=search&otracker1=search&fm=organic&iid=f88cdaaf-2c59-442e-acbd-e6a6f32f14fe.MONGTYR97NWHE2WG.SEARCH&ppt=None&ppn=None&ssid=jdeo97o68g0000001738367683899&qH=08b5411f848a2581,2025-02-01 00:54:47,SA242Y,White,60.45 cm (23.8 inch) LED Display,IPS Panel,Full HD,"Monitor, stand, power cord, manual, HDMI Cable",Flat,,"100 Hz (Analog), 100 Hz (Digital)",,178° (2D),178° (2D),1 ms,250 nits (2D),,,"Yes, 1",,,,3 years manufacturer warranty,Manufacturing defect only,Physical damage,,LED Backlit Backlight,1920 x 1080 Pixels pixels,,,,"Yes, 2 Speakers  with 2 W Power Output Per Speaker",,,Yes,,Yes,,,,,,,,,,,No,,,,,"Exceptional Full HD IPS 23.8 Inch Ultra Thin (7.2mm) Display : Enjoy immaculate image quality with 1920x1080 resolution and 178 degree wide viewing angles I Zero Frame Design I 250 Nits Brightness, Blazing Fast 100Hz refresh rate, it means that even when the action heats up, your gameplay will be smooth and lag-free I 1 MS Visual Response Boost for clear Blur Free Visuals, Connectivity Ports includes 1 x VGA Port, 1 x HDMI, Audio-In, Audio Out Ports, with Inbox HDMI Cable, Integreated 2W X 2 Stereo Speakers for Enhanced Multimedia Experience, Care for your eyes with Blue Light Shield, Flickerless technology along with Comfyview which helps to protect the eyes and gives comfortable viewing experience",No,,,,,2,,2,,,Yes,Yes,,,,,,,,,,,,,,,,,,"1 x VGA Port, 1 x HDMI, Audio-In, Audio Out Ports, with Inbox HDMI Cable","Audio In, Audio Out",
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0054),"₹3,154",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/0/5/k/mon-0054-hd-20-2023-mon-0054-frontech-original-imahyrryap3ccunb.jpeg?q=70,https://www.flipkart.com/frontech-50-8-cm-20-inch-hd-led-backlit-va-panel-monitor-mon-0054/p/itm8713072821479?pid=MONGS24B7UGXAKTX&lid=LSTMONGS24B7UGXAKTXPSDLVN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_81&otracker=search&otracker1=search&fm=organic&iid=en_W8n61z1czyrygmFKJqAHQpUT9X-5q4tzi1oKD2RjERydarAryGzp--gGM9-fbzjSXC82Akh87V6Y4aDoXJW6_g%3D%3D&ppt=None&ppn=None&ssid=jdeo97o68g0000001738367683899&qH=08b5411f848a2581,2025-02-01 00:54:47,MON-0054,Black,50.8 cm (20 inch) LED Display,VA Panel,HD,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Stand, 1 Manual",Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",16:09,"130° (2D), 160° (3D)","90° (2D), 0° (3D)",5 ms,"250 nits (2D), 0 nits (3D)",86%,AC 180V - 255V,"Yes, 1 x 1.3 Port",Yes,No,"Windows 11, Windows 10, Windows 8.1, Windows 8",1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,LED Backlit Backlight,1600 x 900 pixels,1080p,"1000000:1, 1000000:1 (Dynamic)",0.276 mm,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,No,"24 W (Operational), 0 W (Standby)","Yes, 15 Pin",NA,Yes,NA,220 mm,360 mm,471 mm,220 mm,356 mm,471 mm,-,No,-,-,0 Hz,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mountable","No, Supported by - with -",0 ms,-,-,NA,0,NA,0,Yes,0 x 0 Port,No,No,0 - 50° C,0 - 0° C,20 - 60° C,20 - 60 %,NA,Yes,-3 to 12 Degree,0,215 x 205 x 165 mm,No,-,No,"Auto, Menu, Up, Down, Power",15 Languages,3.25 kg,3 kg,,,,
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0074),"₹2,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/0/t/x/mon-0074-hd-20-2024-mon-0074-frontech-original-imahfcg7gfpbrean.jpeg?q=70,https://www.flipkart.com/frontech-50-8-cm-20-inch-hd-led-backlit-va-panel-monitor-mon-0074/p/itm9e337ade78a95?pid=MONH3VBQMXCYT5SQ&lid=LSTMONH3VBQMXCYT5SQF9NE5M&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_82&otracker=search&otracker1=search&fm=organic&iid=en_W8n61z1czyrygmFKJqAHQpUT9X-5q4tzi1oKD2RjERxoniA97Oyoha1_mclVkGehvaukqreWWvRkzLJ_gH71IA%3D%3D&ppt=None&ppn=None&ssid=jdeo97o68g0000001738367683899&qH=08b5411f848a2581,2025-02-01 00:54:47,MON-0074,Black,50.8 cm (20 inch) LED Display,VA Panel,HD,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Stand, 1 Manual",Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",16:09,"130° (2D), 160° (3D)","90° (2D), 0° (3D)",3 ms,"250 nits (2D), 0 nits (3D)",86%,AC 180V - 255V,"Yes, 1 x 1.3 Port",Yes,No,"Windows 11, Windows 10, Windows 8.1, Windows 8",1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,LED Backlit Backlight,1600 x 900 pixels,HD,"1000000:1, 1000000:1 (Dynamic)",0.276 mm,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,No,"24 W (Operational), 0 W (Standby)","Yes, 15 Pin",NA,Yes,NA,220 mm,360 mm,471 mm,220 mm,356 mm,471 mm,-,No,-,-,0 Hz,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mountable","No, Supported by - with -",0 ms,-,-,NA,0,NA,0,Yes,0 x 0 Port,No,No,0 - 50° C,0 - 0° C,20 - 60° C,20 - 60 %,NA,Yes,-3 to 12 Degree,0,215 x 205 x 165 mm,No,-,No,"Auto, Menu, Up, Down, Power",15 Languages,3.25 kg,3 kg,,,,
"ZEBRONICS 49.53 cm (19.5 inch) Full HD TN Panel with Slim & Glossy Design, Anti-Glare, Wall Mountable ...","₹5,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/kij6f0w0/monitor/t/x/v/zeb-a20hd-led-zeb-a20hd-led-zebronics-original-imafyazxqbttdcqa.jpeg?q=70,https://www.flipkart.com/zebronics-49-53-cm-19-5-inch-full-hd-tn-panel-slim-glossy-design-anti-glare-wall-mountable-monitor-zeb-a20hd-led/p/itmc52369b821bae?pid=MONFWSGVHGVEETXV&lid=LSTMONFWSGVHGVEETXVUB7DLH&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_83&otracker=search&otracker1=search&fm=organic&iid=f88cdaaf-2c59-442e-acbd-e6a6f32f14fe.MONFWSGVHGVEETXV.SEARCH&ppt=None&ppn=None&ssid=jdeo97o68g0000001738367683899&qH=08b5411f848a2581,2025-02-01 00:54:47,Zeb-A20HD LED,Black,49.53 cm (19.5 inch) LED Display,TN Panel,Full HD,"Monitor (1 Unit), Base (1 Unit), Stem (1 Unit), VGA cable (1 Unit), Power cord (1 Unit), User manual (1 Unit)",Flat,16.7 Millions Colors,"60 Hz (Analog), 60 Hz (Digital)",16:09,,,5 ms,300 nits (2D),,,"Yes, 1",,,,3 year carry in to service centre,Repair Under Manufacturing Defects can Be Mentioned,Any Physical Damages and Accessories are Not Covered in Warranty,1 Year,,1600 x 900 pixels,,20000:1 (Dynamic),0.27 mm,No,,,No,20 W (Standby),Yes,,,"Slim and Glossy Design, Wall Mountable",,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG ULTRAWIDE SERIES 73.66 cm (29 inch) WFHD LED Backlit IPS Panel Gaming Monitor (29WQ600),"₹17,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/d/y/p/29wq600-wfhd-29-2022-29wq600-w-lg-original-imah36yhvnwmpp5u.jpeg?q=70,https://www.flipkart.com/lg-ultrawide-series-73-66-cm-29-inch-wfhd-led-backlit-ips-panel-gaming-monitor-29wq600/p/itm557ed87c1724d?pid=MONGZZFXVHKFC6BD&lid=LSTMONGZZFXVHKFC6BDW3ZJKD&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_84&otracker=search&otracker1=search&fm=organic&iid=f88cdaaf-2c59-442e-acbd-e6a6f32f14fe.MONGZZFXVHKFC6BD.SEARCH&ppt=None&ppn=None&ssid=jdeo97o68g0000001738367683899&qH=08b5411f848a2581,2025-02-01 00:54:47,29WQ600,White,73.66 cm (29 inch) LED Display,IPS Panel,WFHD,"monitor, stand, cables",Flat,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",21:9,178° (2D),175° (2D),1 ms,250 nits (2D),99,100~240 V (50/60 Hz),"Yes, 1",Yes,,,3 YEARS LG INDIA WARRANTY,MANUFACTURING DEFECTS,PHYSICAL DAMAGE & BURNT,3 Year,LED Backlit Backlight,2560 X 1080 pixels,2560 X 1080,"1000:1, 1000:1 (Dynamic)",0.2626 mm,"Yes, with 7 W Power Output Per Speaker",Yes,No,Yes,"28 W (Operational), 0.3 W (Standby)",No,,Yes,,688.34 mm,406.4 mm,223.5 mm,688.34 mm,312.4 mm,45.7 mm,ULTRAWIDE SERIES,,,Anti-Glare 3H,,,,No,,,,,,,7,No,0,,,,,,,,,TILT,,100 X 100 mm,,,No,,,4.5 kg,4 kg,,,,
Lenovo 68.58 cm (27 inch) Full HD VA Panel with TUV Eye Care Monitor (D27-40/D27-30),"₹8,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/i/u/w/-original-imagrkynyhv7vhzd.jpeg?q=70,https://www.flipkart.com/lenovo-68-58-cm-27-inch-full-hd-va-panel-tuv-eye-care-monitor-d27-40-d27-30/p/itm20eeaca295f0b?pid=MONFXZREMZYTJGNG&lid=LSTMONFXZREMZYTJGNGYRB0VL&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_85&otracker=search&otracker1=search&fm=organic&iid=f88cdaaf-2c59-442e-acbd-e6a6f32f14fe.MONFXZREMZYTJGNG.SEARCH&ppt=None&ppn=None&ssid=jdeo97o68g0000001738367683899&qH=08b5411f848a2581,2025-02-01 00:54:47,D27-40/D27-30,Black,68.58 cm (27 inch) LED Display,VA Panel,Full HD,"1 Monitor with Stand, Power Cable (1.8m), HDMI Cable (1.8m), User Manual",Flat,,"75 Hz (Analog), 75 Hz (Digital)",16:09,178° (2D),178° (2D),4 ms,,72% NTSC,,,,,,3 Years Manufacturer Warranty,Manufacturing Defects,"Accidental Damage, Wear and Tear",3 Year,,1920 x 1080 pixels,1080p,3000:1,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LG 68.58 cm (27 Inch) Quad HD IPS Panel with HDMI, DP Ports, sRGB 99%, USB Type-C, Height / Swivel Adj...","₹19,549",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/i/q/k/-original-imagpu2tc8esvync.jpeg?q=70,https://www.flipkart.com/lg-68-58-cm-27-inch-quad-hd-ips-panel-hdmi-dp-ports-srgb-99-usb-type-c-height-swivel-adjustment-monitor-27qn880/p/itmd1fceb4a55a35?pid=MONGCGZUUGEPEKGJ&lid=LSTMONGCGZUUGEPEKGJMFJDVB&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_86&otracker=search&otracker1=search&fm=organic&iid=f88cdaaf-2c59-442e-acbd-e6a6f32f14fe.MONGCGZUUGEPEKGJ.SEARCH&ppt=None&ppn=None&ssid=jdeo97o68g0000001738367683899&qH=08b5411f848a2581,2025-02-01 00:54:47,27QN880,Black,68.58 cm (27 Inch) LED Display,IPS Panel,Quad HD,"1 Monitor, Stand, Power Cord, HDMI Cable, USB Type-C",Flat,16.7 m Colors,"75 Hz (Analog), 144 Hz (Digital)",16:09,178° (2D),178° (2D),5 ms,350 nits (2D),"sRGB, 99%","100 - 240 V, 50/60 Hz","Yes, 2",Yes,,,3 Years Warranty Parts and Labor,Manufacturing Defects Only,Physical Damages will Not Covered in Warranty,3 Year,,2560 x 1440 pixels,1440p,1000:1,0.2331 mm,"Yes, 2 Speakers",Yes,,Yes,"38 W (Operational), 0.5 W (Standby)",,,Yes,,613.5 mm,604 mm,404.5 mm,613.5 mm,363.5 mm,45.4 mm,,No,,,,,,,,,,,2,,,,2 x USB 3.0 Port,,,,,,,,Tilt,-0 Degree to 130 Degree,-280 Degree to 280 Degree,100 x 100 mm,,,No,,,8.65 kg,4.75 kg,,,,
"Lenovo L-Series 68.58 cm (27 inch) Quad HD LED Backlit IPS Panel with 99% sRGB, 90% DCI-P3, 2xHDMI 2.1...","₹20,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/p/r/8/l27q-4a-full-hd-27-2023-67bfgac6in-lenovo-original-imah5r6wzavauenr.jpeg?q=70,https://www.flipkart.com/lenovo-l-series-68-58-cm-27-inch-quad-hd-led-backlit-ips-panel-99-srgb-90-dci-p3-2xhdmi-2-1-1xdp-1-4-tilt-swivel-pivot-height-adjustable-stand-3wx2-inbuilt-speakers-customization-artery-smart-display-monitor-l27q-4a/p/itmc89d3f8c296fa?pid=MONH5P8FNVRC7FFV&lid=LSTMONH5P8FNVRC7FFVFS2ALP&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_87&otracker=search&otracker1=search&fm=organic&iid=en_W8n61z1czyrygmFKJqAHQpUT9X-5q4tzi1oKD2RjERynpbrgM1Dl9c_6l_XBcRlAhEHqf9QJgS8ipI-4xntn4w%3D%3D&ppt=None&ppn=None&ssid=jdeo97o68g0000001738367683899&qH=08b5411f848a2581,2025-02-01 00:54:47,L27q-4A,Cloud Grey,68.58 cm (27 inch) LED Display,IPS Panel,Quad HD,"1 Monitor, HDMI Cable, Power Cable, Warranty Booklet, Quick Setup Guide",Flat,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",16:09,,,1 ms,350 nits (2D),,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,LED Backlit Backlight,,,,,Yes,,,Yes,,,,,,,,,,,,L-Series,,,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo L-Series 68.58 cm (27 inch) Full HD LED Backlit IPS Panel with 99% sRGB, 1xHDMI1.4, 1xVGA, Tilt...","₹12,349",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/3/l/j/l27i-4a-full-hd-24-2023-67bekac1in-lenovo-original-imah5r6xc4hcpcra.jpeg?q=70,https://www.flipkart.com/lenovo-l-series-68-58-cm-27-inch-full-hd-led-backlit-ips-panel-99-srgb-1xhdmi1-4-1xvga-tilt-able-stand-3wx2-inbuilt-speakers-customization-artery-smart-display-monitor-l27i-4a/p/itm74ff808e8b852?pid=MONH5P8F9G6BGPVT&lid=LSTMONH5P8F9G6BGPVTEKIQRG&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_88&otracker=search&otracker1=search&fm=organic&iid=en_W8n61z1czyrygmFKJqAHQpUT9X-5q4tzi1oKD2RjERyqZf6a3IWxdOe8MXbliER5GTwZE5Q2rqhKbj-Lom52Gg%3D%3D&ppt=None&ppn=None&ssid=jdeo97o68g0000001738367683899&qH=08b5411f848a2581,2025-02-01 00:54:47,L27i-4A,Cloud Grey,68.58 cm (27 inch) LED Display,IPS Panel,Full HD,"1 Monitor, HDMI Cable, Power Cable, Warranty Booklet, Quick Setup Guide",Flat,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",16:09,,,1 ms,300 nits (2D),,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,LED Backlit Backlight,,,,,Yes,,,Yes,,,,,,,,,,,,L-Series,,,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer 60.45 cm (23.8 inch) Full HD LED Backlit IPS Panel with 6 axis Color Adjustment, 2X2W Inbuilt Spe...","₹6,549",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/h/h/d/-original-imah698hnyh3hyqv.jpeg?q=70,https://www.flipkart.com/acer-60-45-cm-23-8-inch-full-hd-led-backlit-ips-panel-6-axis-color-adjustment-2x2w-inbuilt-speakers-display-widget-visioncare-energy-star-certified-robust-stand-monitor-ka242y-e0/p/itm5ee22c9795b9c?pid=MONH47NQTMSHRZNY&lid=LSTMONH47NQTMSHRZNYD9L36S&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_89&otracker=search&otracker1=search&fm=organic&iid=f88cdaaf-2c59-442e-acbd-e6a6f32f14fe.MONH47NQTMSHRZNY.SEARCH&ppt=None&ppn=None&ssid=jdeo97o68g0000001738367683899&qH=08b5411f848a2581,2025-02-01 00:54:47,KA242Y E0,Black,60.45 cm (23.8 inch) LCD Display,IPS Panel,Full HD,"1 Monitor, Stand, Power Cord, HDMI Cable, User Manual, Warranty Card",Flat,16.7 m Colors,"100 Hz (Analog), 100 Hz (Digital)",16:09,,,1 ms,250 nits (2D),99%,,"Yes, 1",No,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,LED Backlit Backlight,1920 x 1080 pixels,1080p,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,VESA,,,,,,,,,Audio Out,
Lenovo 54.61 cm (21.5 inch) Full HD VA Panel Monitor (L22e-40),"₹6,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/i/7/m/l22e-40-full-hd-21-5-2023-67afkacbin-lenovo-original-imagqz29fzbfwhdg.jpeg?q=70,https://www.flipkart.com/lenovo-54-61-cm-21-5-inch-full-hd-va-panel-monitor-l22e-40/p/itmdf3633c4afcc0?pid=MONGQWZYZHH7CWPZ&lid=LSTMONGQWZYZHH7CWPZCQ6YYC&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_90&otracker=search&otracker1=search&fm=organic&iid=f88cdaaf-2c59-442e-acbd-e6a6f32f14fe.MONGQWZYZHH7CWPZ.SEARCH&ppt=None&ppn=None&ssid=jdeo97o68g0000001738367683899&qH=08b5411f848a2581,2025-02-01 00:54:47,L22e-40,"Grey, Silver",54.61 cm (21.5 inch) LED Display,VA Panel,Full HD,"1 Monitor, User Manual",Flat,,"60 Hz (Analog), 60 Hz (Digital)",,,,4 ms,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67AFKACBIN
Lenovo 60.45 cm (23.8 inch) Full HD VA Panel 3-Side Near Edgeless with TUV Eye Care Monitor (D24-20/D2...,"₹6,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/ko8xtow0/monitor/t/a/y/d24-20-66aekac1in-lenovo-original-imag2qwzazcdmqtb.jpeg?q=70,https://www.flipkart.com/lenovo-60-45-cm-23-8-inch-full-hd-va-panel-3-side-near-edgeless-tuv-eye-care-monitor-d24-20-d24-40/p/itm7a2d267d21c3f?pid=MONFV5HRNF4QFVG4&lid=LSTMONFV5HRNF4QFVG4ATFEMN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_91&otracker=search&otracker1=search&fm=organic&iid=en_W8n61z1czyrygmFKJqAHQpUT9X-5q4tzi1oKD2RjERzB7cRC-8P9qaPAum5TwXmlOu5x347wEAYKjIC3T-Jw2Q%3D%3D&ppt=None&ppn=None&ssid=jdeo97o68g0000001738367683899&qH=08b5411f848a2581,2025-02-01 00:54:47,D24-20/D24-40,Black,60.45 cm (23.8 inch) LED Display,VA Panel,Full HD,"1 Monitor, Power Cable, HDMI Cable,Quick Setup Guide",Flat,,"75 Hz (Analog), 75 Hz (Digital)",,,,4 ms,,,,,,,,3 Years Manufacturer Warranty,Manufacturing Defects,Physical Damage,3 Year,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontech - 43.18 cm (17 inch) HD LED Backlit VA Panel Monitor (MON-0065),"₹2,469",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/r/y/p/mon-0065-hd-17-2023-mon-0065-frontech-original-imah8nybhchfkhmy.jpeg?q=70,https://www.flipkart.com/frontech-43-18-cm-17-inch-hd-led-backlit-va-panel-monitor-mon-0065/p/itmbc6d42fed6553?pid=MONGS24EAHXVJZMQ&lid=LSTMONGS24EAHXVJZMQACRRSN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_92&otracker=search&otracker1=search&fm=organic&iid=en_W8n61z1czyrygmFKJqAHQpUT9X-5q4tzi1oKD2RjERwVEQ_NZC5kOiuNw75OrASM8zZqp3aJ9v27LQFlZASquw%3D%3D&ppt=None&ppn=None&ssid=jdeo97o68g0000001738367683899&qH=08b5411f848a2581,2025-02-01 00:54:47,MON-0065,Black,43.18 cm (17 inch) LED Display,VA Panel,HD,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Stand, 1 Manual",Flat,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",5:4,130° (2D),90° (2D),5 ms,250 nits (2D),sRGB,AC 180 - 255V,"Yes, 1 x 1.4 Port",Yes,No,"Windows 10, Windows 8, Windows 7",1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,LED Backlit Backlight,1280x1024 pixels,1080p,"1000000:1, 1000000:1 (Dynamic)",0.264 mm,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,No,18 W (Operational),"Yes, 15 Pin",-,Yes,-,370 mm,375 mm,370 mm,200 mm,370 mm,370 mm,-,,-,-,,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mount","No, Supported by - with -",,-,-,-,0,NA,0,,0 x 0 Port,No,No,-,-,-,,-,Yes,3-12 Degree,-,215 x 205 x 165 mm,Yes,-,No,"Auto, Menu, Up, Down, Power",,2.8 kg,2.7 kg,-,-,,
