title,price,image_url,product_url,Special Feature,Part Number,Package Weight,Screen Surface Description,Lighting Method,Indoor/Outdoor Usage,Color,Base Material,Brand,Recommended Uses For Product,Lamp Type,Connectivity Protocol,Style,Item Dimensions  LxWxH,Color Rendering Index (CRI),Finish Type,ASIN,Shade Material,Screen Size,Size,Total Usb Ports,Finish types,Shade Color,Country of Origin,Date First Available,Connectivity Technology,Batteries Required?,Is Waterproof,Item model number,Included Components,Item Weight,Controller Type,Batteries Included?,Voltage,Series,Manufacturer,Material,Screen Resolution,Product Dimensions,Max Screen Resolution,Department,Resolution,Number of Pieces,Water Resistance Level,Room Type,Switch Type,Number of Light Sources,Number of Items,Power Source,Control Method,Specific Uses For Product,Wattage,Is Discontinued By Manufacturer,Shape,Aspect Ratio,Installation Type,Package Dimensions,Light Source Type,Special Features,Image brightness,Mounting Type,Standing screen display size
LYMAX Computer Monitor Led Lights PC Monitor LED Bar Eye Caring Monitor Led Lights ...,"MAD 548                                                                        
                                                                            740",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4LMKEZ7WQ-raone-monitor-light-bar-flat-curved-monitor-screen-led-lights-eye-caring-pc-monitor-led-bar-space-saving-desk-lamp-with-auto-dimming-for,"‎USB- C Powered, 3 Auto Dimming Modes, 2900-6000K Color Temerature, Asymmetrical Light Source, Gravity Damper Bracket, Touch Sensor Control, Eye-friendly, Space-saving,Glare-free, Flicker-free, Anti-blue",‎Monitor-Light-Bar-D007,,,‎Adjustable,‎Indoor,‎Black,Metal,‎LYMAX,‎Reading,"desk,desk lamp",‎USB,‎Minimalist,,‎85.00,Finished,B09936H8Y4,‎Silicone,,‎Cuboid light,,‎Finished,Blue,‎China,"August 25, 2021",‎USB,‎No,‎False,‎D007,"‎Monitor Light Bar, USB-C Cable Cord, User Manual",‎1.15 pounds,‎touch,‎No,‎5 Volts,,‎Raone,‎Aluminum,,"16.5""D x 3.5""W x 1.4""H (41.9 x 8.9 x 3.6 cm)",,,,‎1,‎Not Water Resistant,‎Office,‎Touch,‎1,‎1,‎Corded Electric,‎Touch,‎Reading,‎5 watts,,‎Oval,,‎Tabletop,,‎LED,"‎USB- C Powered, 3 Auto Dimming Modes, 2900-6000K Color Temerature, Asymmetrical Light Source, Gravity Damper Bracket, Touch Sensor Control, Eye-friendly, Space-saving,Glare-free, Flicker-free, Anti-blue",,‎Tabletop,
"STGAubron 24 Inch Gaming Computer Monitor, FHD 1920 x 1080P Office PC LED Display, ...",MAD 1423,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/CDCNMZESO-stgaubron-24-inch-gaming-computer-monitor-fhd-1920-x-1080p-office-pc-led-display-99-srgb-hdmi-vga-vesa-ergonomic-tilt-adjustment,,,,Glossy,,,,,STGAubron,,,,,,,,B0C2QCP8J7,,24 Inches (61 cm),,,,,,"April 17, 2023",,,,LCD2401,,10.13 pounds (4.59 kg),,,,,STGAubron,,,7.88 x 21.51 x 17.34 inches (20 x 54.6 x 44 cm),,,1920 x 1080 Pixels,,,,,,,,,,,,,16:9,,,,,,,24 Inches (61 cm)
"SANSUI Computer Monitor 22 inch Monitor IPS FHD 1080P PC Monitor 75Hz, Monitors ...",MAD 999,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IKERR1IMC-sansui-monitor-22-inch-ips-75hz-fhd-1080p-hdmi-vga-ports-computer-monitor-ultra-thin-tilt-adjustable-vesa-mount-with-178-wide-viewing-angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Touchscreen Portable Monitor, 15.6 Inch Small PC Monitor with HDMI USB C, IPS ...",MAD 1423,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JMCMOB6QC-touchscreen-portable-monitor-15-6-inch-small-pc-monitor-with-hdmi-usb-c-ips-screen-hdr-400cd-m-fhd-1080p-99-srgb-led-monitor-for-laptop-mac,,,,有光澤,,,,,Jhcztrk,,,,,,,,B0D28WPG14,,15.6 Inches (39.6 cm),,1,,,China,"April 20, 2024",,,,Jh-15.6inch Touch Monitor (39.6 cm),,3.63 pounds (1.65 kg),,,,,"Shenzhen Kenowa Electronics Co., LTD",,,15 x 0.6 x 9.3 inches (38.1 x 1.5 x 23.6 cm),,,1920 x 1080 Pixels,,,,,,,,,,,,,16:9,,,,,350 lm,,15.6 Inches (39.6 cm)
"KTC 27 Inch QHD Computer Monitor, 2K 100Hz IPS Gaming Monitor, 1440P Frameless Eye ...","MAD 1559                                                                        
                                                                            1969",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/LTCCCQGH6-ktc-27-inch-qhd-computer-monitor-2k-100hz-ips-gaming-monitor-1440p-frameless-eye-care-pc-office-monitor-with-hdmi-dp-freesync-g-sync-hdr10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CRUA 24"" Curved Monitor, FHD1920 1080P 100HZ, 99% sRGB Color Gamut Computer ...","MAD 1149                                                                        
                                                                            1696",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/54BAZ1EBQ-crua-24-inch-curved-gaming-monitor-fhd-1920-1080p-75hz-led-ultra-thin-pc-computer-monitor-for-home-office-frameless-with,,,21 Pound,Curved,,,,,CRUA,,,,,,,,B0B17J144M,,23.8 Inches (60.5 cm),,,,,,"May 13, 2022",,,,CR240CM,,8.13 pounds (3.69 kg),,,120 Volts (AC),,CRUA,,,0.39 x 21.06 x 12.8 inches (1 x 53.5 x 32.5 cm),,,1920 x 1080 Pixels,,,,,,,,,,,No,,16:9,,,,,250 Candela,,23.8 Inches (60.5 cm)
"Touchscreen Monitor 27 Inch 2K 100Hz Gaming Monitor, QHD 2560x1440 IPS PC Monitor, ...",MAD 4429,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MX7RT2XW0-touchscreen-monitor-27-inch-2k-100hz-gaming-monitor-qhd-2560x1440-ips-pc-monitor,,,,Glossy,,,,,Pisichen,,,,,,,,B0DKXKL7V7,,27 Inches (68.6 cm),,1,,,China,"October 25, 2024",,,,27INTS-2K-100HZ,,14.87 pounds (6.74 kg),,,12 Volts (DC),,"Shenzhen Konowa Electronics Co., LTD",,,0.7 x 24 x 14.1 inches (1.8 x 61 x 35.8 cm),,,2560 x 1440 Pixels,,,,,,,,,,,,,16:9,,,,,400 Candela,,27 Inches (68.6 cm)
Touchscreen Monitor 21.5 Inch Full HD 1920x1080P 10-Point Multi Touch Screen PC ...,MAD 2516,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/LSG07X7FE-touchscreen-monitor-21-5-inch-full-hd-1920x1080p-10-point-multi-touch-screen-pc-monitor-with-hdmi-vga-usb-port-built-in-speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Touchscreen Monitor 21.5 Inch Full HD 1920x1080P 10-Point Multi Touch Screen PC ...,MAD 2516,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4JOUW4488-computer-monitor-pisichen-22-inch-pc-monitor-hd-1600x1050-gaming-monitor-with-hdmi-vga-interface-5ms-75hz-brightness-250-cd-m-computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Touchscreen Monitor 21.5 Inch Full HD 1920x1080P 10-Point Multi Touch Screen PC ...,MAD 2516,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IQ0YGDJ2I-pisichen-touchscreen-monitor-21-5-inch-full-hd-1920x1080p-10-point-multi-touch-screen-pc-monitor-with-hdmi-vga-usb-port-built-in-speakers,,,,Glossy,,,,,Pisichen,,,,,,,,B0CS324N8V,,21.5 Inches (54.6 cm),,,,,China,"January 11, 2024",,,,HD-215TS-US,,7 pounds (3.18 kg),,,,,"Shenzhen Konowa Electronics Co., LTD",,,0.78 x 20.4 x 14.9 inches (2 x 51.8 x 37.8 cm),,,1920 x 1080 Pixels,,,,,,,,,,,,,16:9,,,,,250 Candela,,21.5 Inches (54.6 cm)
"24 Inch QHD Computer Monitor,1440P Ultrawide LED Monitor,75Hz IPS Display with ...",MAD 1956,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/FBJ81TCNK-luckyfive-27-inch-2k-165hz-curved-gaming-monitor-with-built-in-speakers-1ms-response-time-wide-viewing-angle-vesa-mountable-support-hdmi-and,,,,有光澤,,,,,luckyfive,,,,,,,,B0D9B4185H,,27 Inches (68.6 cm),,1,,,China,"July 12, 2024",,,,M-27LKF1Q165,,10.9 pounds (4.94 kg),,,,,luckyfive,,,5.12 x 26.97 x 17.52 inches (13 x 68.5 x 44.5 cm),,,1920 x 1080,,,,,,,,,,,,,16:9,,,,,,,27 Inches (68.6 cm)
"CRUA 24 Inch Curved Monitor, FHD1920 1080P 100HZ 99% sRGB Computer Monitors, Narrow ...","MAD 1277                                                                        
                                                                            1505",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/FLX8LQE72-crua-24-inch-curved-monitor-fhd-1920-1080p-75hz-99-srgb-computer-monitor-led-filter-blue-light-178-wide-viewing-angle-pc-monitors-for-home,,,,Curved,,,‎White,,CRUA,,,,,‎21 x 38 x 49 inches,,,,,23.8 Inches (60.5 cm),,,,,‎China,2023-09-14 23:21:34,,,,‎CR240QA,,‎8.08 pounds,,,‎120 Volts (AC),‎CR240QA,‎CRUA,,‎1920x1080,‎21 x 38 x 49 inches,‎1920 x 1080 Pixels,‎womens,FHD 1080p,,,,,,,‎AC,,,,‎No,,16:9,,,,,,,‎23.8 Inches
KOORUI 24-inch Computer Monitor Full HD 1920 x 1080p 75Hz VA Display 30001 Contrast ...,"MAD 1559                                                                        
                                                                            2120",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4SI7XHRB2-koorui-24-inch-business-computer-monitor-full-hd-1920-x-1080p-va-display-75hz-3000-1-contrast-ratio-with-hdmi-vga-frameless-75-x-75-mm-vesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell 24 inch Monitor, P2422H Full HD 1080p Computer Monitor, Anti Glare 169 IPS ...",MAD 3131,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/G6LAOBGJG-dell-24-inch-monitor-p2422h-full-hd-1080p-computer-monitor-anti-glare-16-9-ips-computer-screen-lcd-60hz-monitor-with-slim-design-for-home-and,,,,Matte,,,,,Le Benton,,,,,,,,B0CMVCC95X,,23.8 Inches (60.5 cm),,4,,,,"November 8, 2023",,,,P2422H,,15.47 pounds (7.02 kg),,,,,Le Benton,,,7.1 x 19.2 x 19.5 inches (18 x 48.8 x 49.5 cm),,,1920 x 1080 Pixels,,,,,,,,,,,,,16:9,,,,,,,23.8 Inches (60.5 cm)
Monitor 32 inch Computer Monitor QHD 2560 x 1440 2K 1500R Curved Computer Monitors ...,"MAD 2243                                                                        
                                                                            2762",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/IEIA4O3JS-gawfolk-32-inch-computer-monitor-qhd-2560x1440p-2k-75hz-curved-monitor-va-display-hdmi-x-1-dp-port-x1-audio-port-office-monitor-with-low-blue,,,,Matte,,,,,Gawfolk,,,,,,,,B0CNGW5P7Z,,32 Inches (81.3 cm),,,,,,"November 16, 2023",,,,GF320E,,14.96 pounds (6.79 kg),,,12 Volts,,Gawfolk,,,0.5 x 27.8 x 20 inches (1.3 x 70.6 x 50.8 cm),,,2560 x 1440 Pixels,,,,,,,,,,,No,,16:9,,,,,220 Candela,,32 Inches (81.3 cm)
"24.5 Inch Gaming Monitor 180Hz, Fast IPS FHD 1080P Computer Monitor, 1ms, Adaptive ...","MAD 1423                                                                        
                                                                            1559",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/M0ODDYSY0-24-5-inch-gaming-monitor-180hz-fast-ips-fhd-1080p-computer-monitor-1ms-adaptive-sync-hdr10-118-srgb-frameless-hdmi-2-0-displayport-1-4-vesa,,,,Matte,,,,,TITAN ARMY,,,,,,,,B0D836WSX6,,24.5 Inches (62.2 cm),,,,,China,"June 26, 2024",,,,P2510*********,,8.38 pounds (3.8 kg),,,12 Volts (DC),,TITAN ARMY,,,8.5 x 21.9 x 16.6 inches (21.6 x 55.6 x 42.2 cm),,,1920 x 1080,,,,,,,,,,,,,16:9,,,,,350 lm,,24.5 Inches (62.2 cm)
"20"" PC Monitor 169 1600x900 Kitchen Monitor, LED Monitor Build in Speaker, 5Ms, 60 ...",MAD 1340,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4RLDNUGMW-thinlerain-20-inch-pc-monitor-16-9-1600x900-kitchen-monitor-cctv-monitor-build-in-speaker-5ms-60-hz-vesa-mountable-with-vga-hdmi-av-bnc-usb,,,,Glossy,,,,,Thinlerain,,,,,,,,B09J2CG8VN,,20 Inches (50.8 cm),,,,,,"October 9, 2021",,,,T-20,,6.19 pounds (2.81 kg),,,240 Volts,,Thinlerain,,,0.5 x 19.5 x 11.8 inches (1.3 x 49.5 x 30 cm),,,1600 x 900 Pixels,,,,,,,,,,,,,16:9,,,,,250 Candela,,20 Inches (50.8 cm)
14'' 4K UHD IPS 3840x1100 Stretched Bar Touch Screen Display Monitor for Laptop ...,MAD 3472,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/8RBB2FPAG-wisecoco-14-inch-uhd-ips-3840x1100-touch-screen-stretched-bar-lcd-monitor-mini-hdmi-lcd-display-for-cellphone-laptop-tv-xbox-game-ps3-4-5-os-windows,,,,Glossy,,,,,wisecoco,,,,,,,,B0BXL1NXVS,,14 Inches (35.6 cm),,,,,,"January 10, 2023",,,,R140U01T-HB,,2.18 pounds (0.99 kg),,,,,wisecoco,,,0.5 x 14 x 4.9 inches (1.3 x 35.6 x 12.4 cm),,,3480x1100,,,,,,,,,,,,,32:9,,,,,500 Candela,,14 Inches (35.6 cm)
"23.8 Inch PC Gaming Monitor QHD 2560x1440 2K 100Hz, 2ms, Built-in Speakers, HDR, ...","MAD 1559                                                                        
                                                                            1653",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/8XWFCJWRG-prechen-27-computer-monitor-business-monitor-3-sided-frameless-ips-screen-fhd-1920x1080-led-desktop-monitor-with-hdmi-vga-interface,,,,Matte,,,,,Prechen,,,,,,,,B0DDSZF9H6,,23.8 Inches (60.5 cm),,,,,China,"August 21, 2024",,,,HD-238,,10.08 pounds (4.57 kg),,,,,"Shenzhen Kenowa Electronics Co., LTD",,,0.59 x 20.8 x 12.9 inches (1.5 x 52.8 x 32.8 cm),,,2560 x 1440,,,,,,,,,,,,,16:9,,,,,,,23.8 Inches (60.5 cm)
"23.8 Inch PC Gaming Monitor QHD 2560x1440 2K 100Hz, 2ms, Built-in Speakers, HDR, ...","MAD 1423                                                                        
                                                                            1653",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MEAR59BBI-23-8-inch-pc-gaming-monitor-qhd-2560x1440-2k-100hz-2ms-built-in-speakers-hdr-99-srgb-ips-led-computer-screen-with-hdmi-dp-ports-amd-freesync,,,,Matte,,,,,Prechen,,,,,,,,B0DDSZF9H6,,23.8 Inches (60.5 cm),,,,,China,"August 21, 2024",,,,HD-238,,10.08 pounds (4.57 kg),,,,,"Shenzhen Kenowa Electronics Co., LTD",,,0.59 x 20.8 x 12.9 inches (1.5 x 52.8 x 32.8 cm),,,2560 x 1440,,,,,,,,,,,,,16:9,,,,,,,23.8 Inches (60.5 cm)
Acer 23.8  Full HD 1920 x 1080 IPS Zero Frame Home Office Computer Monitor - 178  ...,MAD 2502,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/BM64C8848-acer-23-8-full-hd-1920-x-1080-ips-zero-frame-home-office-computer-monitor-178-wide-view-angle-tilt-compatible-hdmi-vga-port,,,,Glossy,,,,,Acer,,,,,,,,B0C2BXM9PF,,23.8 Inches (60.5 cm),,2,,,,"April 13, 2023",,,,KA,,9.06 pounds (4.11 kg),,,,,Acer,,,21.26 x 8.38 x 16.63 inches (54 x 21.3 x 42.2 cm),,,1920x1800,,,,,,,,,,,,,16:9,,,,,,,23.8 Inches (60.5 cm)
