title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,MS Office Provided,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Graphic Processor,Storage Type,Operating System,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Finger Print Sensor,Keyboard,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Battery Backup,Power Supply,Chipset,Expandable Memory,RAM Frequency,Cache,RPM,Number of Cores,Expandable SSD Capacity,Supported Operating System,Mic In,HDMI Port,Multi Card Slot,Hardware Interface,Sound Chip,Sound Properties,Ethernet,Security Chip,Backlit Keyboard,Included Software,Additional Features,Domestic Warranty,Pointer Device,Battery Cell,OS Architecture,System Architecture,Inbuilt 4G LTE,Memory Slots,NFC Support,Wireless WAN,Face Recognition,Lock Port,Laptop Bag,EMMC Storage Capacity,RJ45,Refresh Rate,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,Stylus Included,S-video,Dock Port,Firewire Port,RJ11,VGA Port,Brightness,Read/Write Speed,Antivirus,Recovery Options,Other Accessories,International Warranty,TGP,Color Gamut,Certification,HDD Capacity
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ320WS Thin...,"₹37,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/i/d/-original-imah8fzgxzjamzju.jpeg?q=70,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-x1504va-nj320ws-thin-light-laptop/p/itm200184e4e0443?pid=COMGYSFGRDEFFPY6&lid=LSTCOMGYSFGRDEFFPY6UKGQGU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_66&otracker=search&fm=organic&iid=1bad4438-0269-400c-b8df-6ca61047ccee.COMGYSFGRDEFFPY6.SEARCH&ppt=None&ppn=None&ssid=uyz21hsdhc0000001738684412779&qH=312f91285e048e09,2/5/2025 16:51,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1504VA-NJ320WS,90NB10J2-M00CM0,X1504VA-NJ320WS,Vivobook 15,Cool Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,13th Gen,Yes,512 GB,8 GB,DDR4,1315U,Max Turbo Frequency up to 4.5 GHz,Intel Integrated UHD,SSD,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 220nits, 45% NTSC color gamut, Anti-glare display",Yes,Yes,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.3,359.7 x 232.5 x 17.9 mm,1.70 Kg,Not Available,720p HD camera With privacy shutter,No,Backlit Chiclet Keyboard,1 Year Onsite warranty,Onsite,Manufacturing Defects,Physical Damage,,,,,,,,,,,,1 x HDMI 1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad Slim 3 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 15IRH8 Thin a...,"₹57,725",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/f/4/-original-imah5uhr8dsgpd74.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-15irh8-thin-light-laptop/p/itm76f0e5d975817?pid=COMGVQ2YB9SU8KMF&lid=LSTCOMGVQ2YB9SU8KMF2MGQ5W&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_67&otracker=search&fm=organic&iid=1bad4438-0269-400c-b8df-6ca61047ccee.COMGVQ2YB9SU8KMF.SEARCH&ppt=None&ppn=None&ssid=uyz21hsdhc0000001738684412779&qH=312f91285e048e09,2/5/2025 16:51,"Laptop, Power Adaptor, User Guide, Warranty Documents",15IRH8,83EM0026IN,15IRH8,IdeaPad Slim 3,Arctic Grey,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,13th Gen,Yes,512 GB,16 GB,LPDDR5,13420H,Max Turbo Frequency upto 4.6GHz,Intel Integrated UHD,SSD,Windows 11 Home,"1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery and DisplayPort 1.2), 2 x USB 3.2 Gen 1",No,39.62 cm (15.6 Inch),1920 X 1080 Pixel,"Full HD, IPS 300nits Anti-glare",Yes,Yes,"Wi-Fi 6, 11ax 2x2",v5.1,359.3 x 235 x 17.9 mm,1.62 Kg,Not Available,Full HD 1080p with Privacy Shutter,No,"Backlit, English",1 Yr. Onsite + 1 Yr. Accidental Damage Protection,Carry-In,Manufacturing Defects,Physical Damage,,,,,,,,,,,,1 x HDMI 1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...","₹48,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/p/x/-original-imah2ger8fwg9raw.jpeg?q=70,https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-x1504za-nj542ws-thin-light-laptop/p/itm200184e4e0443?pid=COMH2TPS7NR6BDYW&lid=LSTCOMH2TPS7NR6BDYWPNQSZS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_68&otracker=search&fm=organic&iid=1bad4438-0269-400c-b8df-6ca61047ccee.COMH2TPS7NR6BDYW.SEARCH&ppt=None&ppn=None&ssid=uyz21hsdhc0000001738684412779&qH=312f91285e048e09,2/5/2025 16:51,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1504ZA-NJ542WS,90NB1022-M00H20,X1504ZA-NJ542WS,"Vivobook 15, with Backlit Keyboard,",Cool Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,12th Gen,Yes,512 GB,16 GB,DDR4,1235U,1.3 GHz with Turbo Boost Upto 4.4 GHz,Intel Integrated Iris Xe,SSD,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",Yes,Yes,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.3,359.7 x 232.5 x 17.9 mm,1.70 Kg,Not Available,720p HD camera With privacy shutter,,Backlit Chiclet Keyboard,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELL Inspiron Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 5430 Thin and ...,"₹51,890",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/8/p/q/inspiron-5430-thin-and-light-laptop-dell-original-imagueh3hwuj7cgk.jpeg?q=70,https://www.flipkart.com/dell-inspiron-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-5430-thin-light-laptop/p/itmd36b744a13d70?pid=COMGZMKFQTJZQZRW&lid=LSTCOMGZMKFQTJZQZRWRLPYJK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_69&otracker=search&fm=organic&iid=1bad4438-0269-400c-b8df-6ca61047ccee.COMGZMKFQTJZQZRW.SEARCH&ppt=None&ppn=None&ssid=uyz21hsdhc0000001738684412779&qH=312f91285e048e09,2/5/2025 16:51,"Laptop, Battery, AC Adapter, User Guide, Manuals",Inspiron 5430,IN5430FR0KC001ORS1,Inspiron 5430,Inspiron,Platinum Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,13th Gen,Yes,512 GB,8 GB,LPDDR5,1335U,3.40GHz Upto 4.60GHz,Intel Integrated Integrated,SSD,Windows 11 Home,"HDMI 1.4*, (1) Intel Thunderbolt 4.0, (2) USB 3.2 Gen 1 Type-A, SD card reader, (1) Universal Audio Jack**?",No,35.56 cm (14 Inch),2220 x 1080 Pixel,"14.0"" FHD+ WVA AG with CompfortView Support 250 nits",Yes,Yes,Intel Wi-Fi 6E (6GHz) AX211 2x2,v5.2,314 X 226 X 16.4 to 19.5,1.59 Kg,Not Available,HD,No,Backlit Keyboard,1 Year Onsite Hardware Service,Onsite,Manufacturing Defects,Accidental Damage,,,,16 GB,4800 MHz,12MB,,10,,Windows 11 Home,Yes,HDMI 1.4,NA,,,Waves Maxx Audio Pro,Available,,Yes,Win 11 + Office H&S 2021,54 WHr Li-ion Battery,1 Year,Keyboard,4 Cell,64 bit,64 bit,,1,,,,NA,No,,No,,,,,,No,No,No,No,,NA,McAfee,,,,,,,
Apple Apple M3 - (24 GB/512 GB SSD/macOS Sequoia) MC8P4HN/A,"₹1,43,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/q/h/-original-imagypv6prbgkfzg.jpeg?q=70,https://www.flipkart.com/apple-m3-24-gb-512-gb-ssd-macos-sequoia-mc8p4hn-a/p/itm2ea42dec44bca?pid=COMH64PY3TTXCNCH&lid=LSTCOMH64PY3TTXCNCHG5JQ5X&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_70&otracker=search&fm=organic&iid=1bad4438-0269-400c-b8df-6ca61047ccee.COMH64PY3TTXCNCH.SEARCH&ppt=None&ppn=None&ssid=uyz21hsdhc0000001738684412779&qH=312f91285e048e09,2/5/2025 16:51,"13.6 inch MacBook Air USB-C Power Adapter, USB-C to MagSafe 3 Cable (2 m)",MC8P4HN/A,MC8P4HN/A,MacBook Air,,Starlight,Thin and Light Laptop,Processing & Multitasking,No,Apple,M3,,Yes,512 GB,24 GB,Unified Memory,,,NA,SSD,macOS Sequoia,2 x Thunderbolt USB 4,No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina display, LED-backlit display with IPS technology native resolution at 224 pixels per inch, 500 nits brightness",Built-in Speakers,,Wi-Fi 6E (802.11ax),v5.3,304.1 x 215.0 x 11.3 mm,1.24 kg,Not Available,1080p FaceTime HD camera,,Backlit Magic Keyboard,1 Year Limited Warranty,Onsite,Manufacturing Defects,Physical Damage,Upto 18 Hours,,,,,,,,,,Yes,,,,,Four-speaker sound system,,,Yes,"Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather",,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP (15s-fq5007TU) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5327TU / FD00...,"₹35,955",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/i/y/-original-imah4qsetuyd8gwa.jpeg?q=70,https://www.flipkart.com/hp-15s-fq5007tu-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-15s-fq5327tu-fd0063tu-thin-light-laptop/p/itm2977a9ca00317?pid=COMGYHP5MCEYZHSV&lid=LSTCOMGYHP5MCEYZHSVOWRPFS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_71&otracker=search&fm=organic&iid=1bad4438-0269-400c-b8df-6ca61047ccee.COMGYHP5MCEYZHSV.SEARCH&ppt=None&ppn=None&ssid=uyz21hsdhc0000001738684412779&qH=312f91285e048e09,2/5/2025 16:51,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-fq5327TU / FD0063TU,9D3N6PA#ACJ,15s-fq5327TU,(15s-fq5007TU),Natural Silver,Thin and Light Laptop,Everyday Use,Yes,Intel,Core i3,12th Gen,Yes,512 GB,8 GB,DDR4,1215U,Upto 4.4 GHz,Intel Integrated UHD,SSD,Windows 11 Home,"1 x USB Type-C 5 Gbps Signaling Rate, 2 x USB Type-A 5 Gbps Signaling Rate",No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD, Micro Edge, Anti-glare, SVA, Brightness: 250 Nits, 141 PPI, Color Gamut: 45% NTSC",Dual Speakers,Integrated Dual Array Digital Microphones,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,v5.0,358 x 242 x 17.9 mm,1.69 kg,Not Available,HP True Vision 720p HD Camera with Temporal Noise Reduction,,"Full Size, Natural Silver Keyboard with Numeric Keypad",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,,16 GB,3200 MHz,10 MB,,6,,Windows 11,Yes,1 x HDMI 1.4b,1 x Multi Format SD Media Card Reader,PCIe NVMe,,,,"Energy Star Certified, EPEAT Silver Registered",,Microsoft Office Home & Student 2021,"Support Battery Fast Charge, MU-MIMO Supported",1 Year,HP Imagepad with Multi Touch Gesture Support,"3 Cell, 41 Wh Li-ion",64 bit,64 Bit,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹15,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/r/q/-original-imah3gaqg3zjgjny.jpeg?q=70,https://www.flipkart.com/chuwi-intel-celeron-dual-core-11th-gen-n4020-8-gb-256-gb-ssd-windows-11-home-herobook-pro-laptop/p/itm5e1f327988402?pid=COMGQHMZWHRXFWET&lid=LSTCOMGQHMZWHRXFWETVNWSPG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_72&otracker=search&fm=organic&iid=1bad4438-0269-400c-b8df-6ca61047ccee.COMGQHMZWHRXFWET.SEARCH&ppt=None&ppn=None&ssid=uyz21hsdhc0000001738684412779&qH=312f91285e048e09,2/5/2025 16:51,"Laptop, Charger, User Guide Manual",HeroBook Pro,CWI514,Hero Book Pro,,Grey,Laptop,"Entertainment, Everyday Use, Learning, Processing & Multitasking, Travel & Business",No,Intel,Celeron Dual Core,11th Gen,Yes,256 GB,8 GB,DDR4,N4020,2.6GHz,Intel Integrated Intel UHD Graphics,SSD,Windows 11 Home,"1 x USB 3.0, 1xUSB 2.0",No,35.81 cm (14.1 inch),1920 x 1080 pixel,Full HD,Dual Speaker,Yes,WIFI6 (802.11a/b/g/n/ac),4.2,31 x 23 x 2.1,1.39 kg,Not Available,Yes,No,"Full-Sized Keyword
(Borderless Design)",1 Year Onsite Warranty,Service Center,Manufacturing Defects,Water & Physical Damage,Up To 9 Hours,24 W AC Adapter Fast Charger,,,,,,2,,,,1 X HDMI (Mini),,,,,,,No,"WPS Office, Operating System Software",,1 Year,,,64 bit,,No,,No,,No,No,No,,,,DDR4,,No,,No,,,,250 Nits,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,4.2,Data not available,https://rukminim2.flixcart.com/image/300/300/xif0q/computer/d/v/v/gaming-a15-gaming-laptop-asus-original-imah4bzzrdd6vuve.jpeg?q=90,URL not available,2/5/2025 16:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook AIR Apple M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLY03HN/A,"₹1,00,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/n/p/-original-imagfdfew8gszzhk.jpeg?q=70,https://www.flipkart.com/apple-macbook-air-m2-8-gb-512-gb-ssd-mac-os-monterey-mly03hn-a/p/itm6533ea968a81e?pid=COMGFB2GTM7MMJYN&lid=LSTCOMGFB2GTM7MMJYNIHQHMG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_4_73&otracker=search&fm=organic&iid=c888d8b4-9803-4bdb-b87e-8fcecff56c4d.COMGFB2GTM7MMJYN.SEARCH&ppt=None&ppn=None&ssid=3vv4pkm81s0000001738684487943&qH=312f91285e048e09,2/5/2025 16:51,"MacBook Air, 35W Dual USB-C Port Power Adapter, USB-C to MagSafe 3 Cable",MLY03HN/A,MLY03HN/A,MacBook Air,MacBook AIR,Silver,Thin and Light Laptop,Processing & Multitasking,No,Apple,M2,,Yes,512 GB,8 GB,Unified Memory,Apple M2 Chip,,NA,SSD,Mac OS Monterey,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",Built-in Speakers,Three-mic Array with Directional Beamforming,802.11ax Wi-Fi 6 wireless networking,v5.0,304.1 x 215.0 x 11.3 mm,1.24 kg,Not Available,1080p FaceTime HD camera,,Backlit Magic Keyboard,1 Year Limited Warra­nty,Onsite,Manufacturing Defects,Physical Damage,Up to 18 hours,35W Dual USB-C Port Power Adapter,,,,,,8,,,Yes,,,,,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos",,,Yes,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",52.6 Watt Hour Lithium polymer Battery,1 Year,Force Touch Trackpad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomson NEO Core Series Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) IN-N15I Thin ...,"₹27,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/t/p/-original-imah3gybf8dhwpp3.jpeg?q=70,https://www.flipkart.com/thomson-neo-core-series-intel-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-in-n15i-thin-light-laptop/p/itmbc383ca17b77c?pid=COMGXXF2KBPZZPWH&lid=LSTCOMGXXF2KBPZZPWHEDRA95&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_4_74&otracker=search&fm=organic&iid=c888d8b4-9803-4bdb-b87e-8fcecff56c4d.COMGXXF2KBPZZPWH.SEARCH&ppt=None&ppn=None&ssid=3vv4pkm81s0000001738684487943&qH=312f91285e048e09,2/5/2025 16:51,"1 Laptop with Battery, 1 Adaptor, 1 User Manual, 1 Warranty Card",IN-N15I,IN-N15I512-8GR512,IN-N15I,NEO Core Series,Grey Brush,Thin and Light Laptop,Processing & Multitasking,No,Intel,Core i5,12th Gen,Yes,512 GB,8 GB,LPDDR4,1235U,Max Frequency Up to 4.4 GHz,Intel Integrated Iris Xe,SSD,Windows 11 Home,"2 x USB 3.2 Gen 1, 1 x USB Type C 3.2 Gen 1",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD,Yes,Yes,IEEE 802.11 ac,v5.0,357.4 x 233.8 x 19.9 mm,1.65 Kg,Not Available,2 Megapixel,,Backlit Keyboard,1 Year Onsite warranty,Onsite,Any kind of Manufacturing defect or any hardware problem reported by Engineer will be covered under warranty.,"Screen Damage, Water Spill, Accendental Damage, Fire Damage, Tampering ,Mishandling not covered",Upto 6 hours,,,,,,,,,,,1 x HDMI port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS TUF Gaming F17 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (16 GB/512 GB SSD/Windows 11 H...,"₹50,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/m/g/fx706hf-ny040w-gaming-laptop-asus-original-imah4bjbeve36gag.jpeg?q=70,https://www.flipkart.com/asus-tuf-gaming-f17-ai-powered-intel-core-i5-11th-gen-11400h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-70-w-fx706hf-ny040w-laptop/p/itm5b135cad5c8a9?pid=COMHY74JXH3KZRWM&lid=LSTCOMHY74JXH3KZRWMLLMJRL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_4_75&otracker=search&fm=organic&iid=c888d8b4-9803-4bdb-b87e-8fcecff56c4d.COMHY74JXH3KZRWM.SEARCH&ppt=None&ppn=None&ssid=3vv4pkm81s0000001738684487943&qH=312f91285e048e09,2/5/2025 16:51,"Laptop, Power Adaptor, User Guide, Warranty Documents",FX706HF-NY040W,90NR0HC4-M00380,FX706HF-NY040W,TUF Gaming F17 - AI Powered Gaming,Graphite Black,Gaming Laptop,Gaming,No,Intel,Core i5,11th Gen,Yes,512 GB,16 GB,DDR4,11400H,"Base Frequency 2.7 GHz, Maximum Upto 4.5 GHz",NVIDIA GeForce RTX 2050,SSD,Windows 11 Home,"1 x Thunderbolt 4 Support DisplayPort, 3 x USB 3.2 Gen 1 Type-A, 1 x Thunderbolt 4 Support DisplayPort, 1 x RJ45 LAN Port",No,43.94 cm (17.3 Inch),1920 x 1080 Pixels,"Full HD, 16:9 Aspect Ratio, 165Hz Refresh Rate, Viewing Angle: 85/85/85/85, IPS Level Panel, 300 Nits Brightness, Contrast Ratio: 1000:1, DCI-P3 %: 100%, Anti-glare Display, Adaptive Sync",Dual Speaker System,Built-in Array Microphone,Wi-Fi 6 (802.11 ax) (Dual Band) 2 x 2,v5.3,399 x 269 x 23.3 mm,2.60 kg,Not Available,720p HD Camera,,Backlit Chiclet Keyboard 1-Zone RGB,1 Year Onsite Warranty,Onsite,Manufacturing Damage,Physical Damage,,150W AC Adapter,Mobile Intel HM570 Express,32 GB,,12 MB,,6,,Windows 11,Yes,1 x HDMI 2.0b,,,,"AI Noise Canceling Technology, DTS Software, Support Microsoft Cortana Near Field/Far Field",10/100/1000 Mbps,"BIOS Administrator Password and User Password Protection, Kensington Nano Security Slot, Trusted Platform Module (Firmware TPM)",,,"48WHrs, 3S1P, Recharge From 0-50% in 30 Minutes",1 Year,,3 Cell,,,,2,,,,,,,Yes,,GDDR6,4 GB,,,,,,,,,1 Year McAfee,,,,70 W,,,
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,"₹63,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/v/v/gaming-a15-gaming-laptop-asus-original-imah4bzzrdd6vuve.jpeg?q=70,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-octa-core-7435hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-fa566ncr-hn075w-laptop/p/itm10514ecd2a794?pid=COMHFT2NY5V7RCMK&lid=LSTCOMHFT2NY5V7RCMKJW0ZPL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_4_76&otracker=search&fm=organic&iid=c888d8b4-9803-4bdb-b87e-8fcecff56c4d.COMHFT2NY5V7RCMK.SEARCH&ppt=None&ppn=None&ssid=3vv4pkm81s0000001738684487943&qH=312f91285e048e09,2/5/2025 16:51,"Laptop, Power Adaptor, User Guide, Warranty Documents",FA566NCR-HN075W,90NR0JV7-M004V0,Gaming A15,TUF Gaming A15,Graphite Black,Gaming Laptop,Gaming,No,AMD,Ryzen 7 Octa Core,,Yes,512 GB,16 GB,DDR5,7435HS,"Base Frequency 3.1 GHz, Max Frequency Upto 4.5 GHz",NVIDIA GeForce RTX 3050,SSD,Windows 11 Home,"1 x USB 3.2 Gen 2 Type-C Support DisplayPort, 3 x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD, Aspect Ratio: 16:9, Refresh Rate: 144Hz, Viewing Angle: 85/85/85/85, Value IPS Level Panel Tech, Contrast Ratio: 1000:1, Brightness: 250nits, 45% NTSC, 62.5% SRGB, 47.34% Adobe, Anti Glare Display, Adaptive-Sync",Dual Speaker System,Built-in Array Microphone,Wi-Fi 6 (802.11 ax) (Dual Band) 2 x 2,v5.3,359 x 256 x 22.8 mm,2.30 Kg,Not Available,720p HD camera,,Backlit Chiclet Keyboard 1-Zone RGB,1 Year Carry-in Warranty,Carry-in,Manufacturing Defect,Physical Damage,,180W AC Adapter,,32 GB,5600 MHz,20 MB,,8,,Windows 11,Yes,1 x HDMI 2.1 TMDS,,PCIe 4.0 NVMe M.2,,"AI Noise Canceling Technology, DTS Software, Hi-Res Certification (for Headphone)",10/100/1000 Mbps,"BIOS Administrator Password and User Password Protection, Kensington Security Slot, Trusted Platform Module (Firmware TPM)",,,"48WHrs, 3S1P, Lithium, Recharge from 0-50% in 30 Minutes",1 Year,,3 Cell,,,,2,,,,,,,Yes,,GDDR6,4 GB,,,,,,,,,,,,,,,,
