title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,Battery Backup,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Graphic Processor,Storage Type,Operating System,Mic In,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Sound Properties,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Backlit Keyboard,Included Software,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Power Supply,Processor Variant,Number of Cores,Internal Mic,Pointer Device,Additional Features,Battery Cell,Clock Speed,HDMI Port,Processor Generation,Finger Print Sensor,Cache,Supported Operating System,Expandable Memory,Expandable SSD Capacity,TGP,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,RJ45,Refresh Rate,Face Recognition,OS Architecture,Chipset,EMMC Storage Capacity,Security Chip,Memory Slots,RPM,Hardware Interface,Ethernet,Antivirus,Inbuilt 4G LTE,Stylus Included,RAM Frequency,System Architecture,S-video,Color Gamut,Brightness,NFC Support,Wireless WAN,Read/Write Speed,Recovery Options,Laptop Bag,Lock Port,Dock Port,Firewire Port,RJ11,VGA Port,Multi Card Slot,Sound Chip,Cloud Storage,Other Accessories,International Warranty,Certification,HDD Capacity
Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 - (8 GB/512 GB SSD/Windows 11 Home) 14IGL7 Thin and Lig...,"₹24,490",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/i/g/-original-imah8frtuzfe9yup.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-1-intel-celeron-dual-core-n4020-8-gb-512-gb-ssd-windows-11-home-14igl7-thin-light-laptop/p/itm146632ae84dbc?pid=COMHFYZ3CN5WHUR8&lid=LSTCOMHFYZ3CN5WHUR8OCHQME&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_60&otracker=search&fm=organic&iid=41c5a5a3-de0d-4284-a9fe-c5f939e03418.COMHFYZ3CN5WHUR8.SEARCH&ppt=None&ppn=None&ssid=sl9i4jkzi80000001738364973308&qH=312f91285e048e09,2025-02-01 00:09:37,"Laptop, Power Adaptor, User Guide, Warranty Documents",14IGL7,82V6009LIN|82V6009TIN,14IGL7,IdeaPad 1,Cloud Grey,Thin and Light Laptop,Processing & Multitasking,,Yes,Intel,Celeron Dual Core,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD,SSD,Windows 11 Home,,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)",No,35.56 cm (14 Inch),1366 x 768 Pixel,"HD, TN 220nits Anti-glare",Yes,,11ac 2x2,v5.1,325.3 x 216.5 x 17.9 mm,1.3 Kg,Not Available,HD 720p with Privacy Shutter,"Non-backlit, English",,,1 Yr. Onsite,Carry-in,Manufacturing Defects,Physical Damage,,45 W,N4020,,Yes,,,,1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz,1 x HDMI 1.4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,"₹44,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/6/q/i/a324-51-thin-and-light-laptop-acer-original-imah4bj6zhjvn8uh.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-backlit-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm4fa0fcf0e2e15?pid=COMHY24RMZ8PUDTT&lid=LSTCOMHY24RMZ8PUDTT6GAEHA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_61&otracker=search&fm=organic&iid=41c5a5a3-de0d-4284-a9fe-c5f939e03418.COMHY24RMZ8PUDTT.SEARCH&ppt=None&ppn=None&ssid=sl9i4jkzi80000001738364973308&qH=312f91285e048e09,2025-02-01 00:09:37,"Laptop, Power Adaptor, User Guide, Warranty Documents",A324-51,UN.343SI.003,A324-51,Aspire 3 Backlit,Steel Gray,Thin and Light Laptop,Everyday Use,,No,Intel,Core i5,Yes,512 GB,16 GB,DDR4,Intel Integrated Intel Graphics,SSD,Windows 11 Home,,,No,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD display with IPS (In-Plane Switching) technology, LED-backlit TFT LCD",Two built-in stereo speakers,,WIFI 6,v5.2,321.7 x 206.6 x 19.4 mm,1.45 Kg,Not Available,2M With Privacy Camera Shutter,84-key Acer backlit keyboard layout with US language,Yes,,1 Year Domestic Warranty,Onsite,Manufacturing Defects,Physical Damage,,65 W,1235U,,Yes,Touchpad,,2 cell,Max turbo frequency at 4.4 Ghz,1x HDMI Port,12th Gen,No,,,,,,,,,,No,64 bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,"₹55,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/v/v/gaming-a15-gaming-laptop-asus-original-imah4bzzrdd6vuve.jpeg?q=70,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-5-hexa-core-7535hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-fa506nc-hn083w-laptop/p/itm10514ecd2a794?pid=COMHFK2T3KCHKAFU&lid=LSTCOMHFK2T3KCHKAFUOEIOAP&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_62&otracker=search&fm=organic&iid=41c5a5a3-de0d-4284-a9fe-c5f939e03418.COMHFK2T3KCHKAFU.SEARCH&ppt=None&ppn=None&ssid=sl9i4jkzi80000001738364973308&qH=312f91285e048e09,2025-02-01 00:09:37,"Laptop, Power Adaptor, User Guide, Warranty Documents",FA506NC-HN083W,90NR0JF7-M008K0,FA506NC-HN083W,TUF Gaming A15,Graphite Black,Gaming Laptop,Gaming,,No,AMD,Ryzen 5 Hexa Core,Yes,512 GB,16 GB,DDR5,NVIDIA GeForce RTX 3050,SSD,Windows 11 Home,,"1 x USB 3.2 Gen 2 Type-C support DisplayPort, 3 x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 16:9, 144Hz, 85/85/85/85, Value IPS-level, 250nits, 1000:1, 45%, 62.5%, 47.34%, Anti-glare display",Yes,,Wi-Fi 6(802.11ax) (Dual band) 2*2,v5.3,359 x 256 x 245 mm,2.30 Kg,Not Available,720P HD camera,Backlit Chiclet Keyboard 1-Zone RGB,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,180 W,7535HS,,Yes,,,3 Cell,Up to 4.55GHz,1 x HDMI 2.1 Port,,,,,,,,GDDR6,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s-eq2305AU Thin and Light Laptop,"₹44,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/y/z/-original-imah4qsjbjkkymuk.jpeg?q=70,https://www.flipkart.com/hp-amd-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15s-eq2305au-thin-light-laptop/p/itmfad54ff933d4c?pid=COMGZC2GUZJXNHHS&lid=LSTCOMGZC2GUZJXNHHSJP0KBR&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_63&otracker=search&fm=organic&iid=41c5a5a3-de0d-4284-a9fe-c5f939e03418.COMGZC2GUZJXNHHS.SEARCH&ppt=None&ppn=None&ssid=sl9i4jkzi80000001738364973308&qH=312f91285e048e09,2025-02-01 00:09:37,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-eq2305AU,9D3N8PA,15s-eq2305AU,,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Up to 9 hours and 30 minutes,Yes,AMD,Ryzen 5 Hexa Core,Yes,512 GB,16 GB,DDR4,AMD Radeon AMD,SSD,Windows 11 Home,,"1 x USB Type-C 5Gbps signaling rate (supports data transfer only and does not support charging or external monitors), 2 x USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, 250 nits, 45% NTSC",Yes,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),v5.0,358.5 x 242 x 17.9 mm,1.69 Kg,Not Available,HP True Vision 720p HD camera with integrated dual array digital microphones,"Full-size, backlit, natural silver keyboard with numeric keypad",,,1 Year Onsite warranty,Onsite,Manufacturing Defects,Physical Damage,,,5500U,,Yes,,,,Max Frequency Upt o 4.00 GHz,1 x HDMI 1.4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad Flex 5 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) 14IRU8 2 in 1 ...,"₹81,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/r/1/-original-imahyyhuz8znjtdx.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-flex-5-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-14iru8-2-1-laptop/p/itmd4a374447028a?pid=COMGRU9ZRTYBGZ6F&lid=LSTCOMGRU9ZRTYBGZ6FTXLNZ8&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_64&otracker=search&fm=organic&iid=41c5a5a3-de0d-4284-a9fe-c5f939e03418.COMGRU9ZRTYBGZ6F.SEARCH&ppt=None&ppn=None&ssid=sl9i4jkzi80000001738364973308&qH=312f91285e048e09,2025-02-01 00:09:37,"Laptop, Power Adaptor, User Guide, Warranty Documents",14IRU8,82Y0004TIN|82Y00053IN|82Y00052IN,Flex 5,IdeaPad Flex 5,Arctic Grey,2 in 1 Laptop,Processing & Multitasking,Upto 14 Hours,Yes,Intel,Core i7,Yes,512 GB,16 GB,LPDDR4X,Intel Integrated Iris Xe,SSD,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 1 x Thunderbolt 4 / USB4 40 Gbps (Support Data Transfer, Power Delivery 3.0 and DisplayPort 1.4)",Yes,35.56 cm (14 Inch),1920 x 1200 Pixels,"WUXGA, IPS 300nits Glossy, 45% NTSC, TUV Rheinland Low Blue Light, Glass, Touch",2W Dual Front Facing Stereo Speakers,Dolby Audio,"Wi-Fi 6, 11ax 2x2",v5.1,313.1 x 224.9 x 17.4 mm,1.5 kg,Not Available,Full HD 1080p with Privacy Shutter,"Backlit, English",Yes,Microsoft Office Home & Student 2021,1 Year Carry-in Warranty,Carry-In,Manufacturing Damage,Physical Damage,1 Year,65W Round Tip (3 Pin),1355U,10,Dual Array Microphone,Lenovo Digital Pen,Integrated 52.5Wh Battery,,"Base Frequency 1.7 GHz, Max Turbo Boost at 5.0 GHz",1 x HDMI 1.4b,13th Gen,Yes,12 MB,Windows 11,,,,,,,,,,Intel SoC Platform,,Firmware TPM 2.0 Enabled,,4266,M.2 2242 PCIe 4.0 x 4 NVMe,,,,,,,,,,,,,,,,,,,,1 x 4-in-1 Card Reader,"High Definition (HD) Audio, Realtek ALC3287 Codec",,,,,
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,"₹48,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/6/c/-original-imah8gg2x4afkpxe.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itm707770fddc7e9?pid=COMH4B6CGZKHKUV3&lid=LSTCOMH4B6CGZKHKUV37HVWQK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_65&otracker=search&fm=organic&iid=41c5a5a3-de0d-4284-a9fe-c5f939e03418.COMH4B6CGZKHKUV3.SEARCH&ppt=None&ppn=None&ssid=sl9i4jkzi80000001738364973308&qH=312f91285e048e09,2025-02-01 00:09:37,"Laptop, Power Adaptor, User Guide, Warranty Documents",A324-53,UN.34RSI.004,A324-53,Aspire 3,Steel Gray,Thin and Light Laptop,Everyday Use,,No,Intel,Core i5,Yes,512 GB,16 GB,DDR4,Intel Integrated UHD,SSD,Windows 11 Home,,"2 x USB 3.2 port, 1 x USB 2.0 port, 1 x Type-C port for PD Adapter",No,35.56 cm (14 Inch),1920 x 1080 Pixel,Full HD,Two built-in stereo speakers,,WIFI 6,v5.2,321.7 x 206.6 x 19.4 mm,1.45 Kg,Not Available,Video conferencing: 2M With Privacy Camera Shutter,84-key Acer Backlit keyboard layout with US language,,,1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,,,1334U,,Yes,,,,Max Frequency Up to 4.6 GHz,,13th Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo V15 AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) v15 G4 Business Laptop,"₹39,899",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/6/m/v-series-business-laptop-lenovo-original-imah4fd93dykum8a.jpeg?q=70,https://www.flipkart.com/lenovo-v15-amd-ryzen-7-octa-core-7730u-16-gb-512-gb-ssd-windows-11-home-g4-business-laptop/p/itmdcccd5f5d1865?pid=COMGZXHQZQPQ2R8D&lid=LSTCOMGZXHQZQPQ2R8DUQDQIP&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_66&otracker=search&fm=organic&iid=41c5a5a3-de0d-4284-a9fe-c5f939e03418.COMGZXHQZQPQ2R8D.SEARCH&ppt=None&ppn=None&ssid=sl9i4jkzi80000001738364973308&qH=312f91285e048e09,2025-02-01 00:09:37,"LAPTOP, MANUAL, USER GUIDE, ADAPTOR, POWER CHORD",v15 G4,83CR000VIN,V series,V15,Iron Grey,Business Laptop,"Entertainment, Everyday Use, Performance, Travel & Business, Processing & Multitasking",Upto 8 hrs,No,AMD,Ryzen 7 Octa Core,Yes,512 GB,16 GB,DDR4,AMD Radeon AMD Radeon™ Graphics,SSD,Windows 11 Home,,3,No,39.62 cm (15.6 inch),1920 x 1080 Pixel pixel,FHD,Built-in Stereo Speakers,,YES,Yes,,1.6 kg,Not Available,Yes,Full Size Textured island-style Keyboard,No,Windows 11,1 Year,CARRY IN,Manufacturing Defects,Accidental Damage,12 Months,,7730U,8,Built-in Digital Microphone,,,,UPTO 4.50 GHz,1,,,4,Windows 11,32,1 TB,,,,Yes,4500 Hz,,64 bit,,,,2,,,YES,,,,3200 MHz,64-bit,,,250 Nits,No,YES,,,No,,,,,,,,,,,,
Acer Aspire 5 Backlit Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) A515-58M Thin ...,"₹47,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/g/z/-original-imah4zcafrvfkesy.jpeg?q=70,https://www.flipkart.com/acer-aspire-5-backlit-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-a515-58m-thin-light-laptop/p/itm4285f066ed3a8?pid=COMH46GJEQWVC7GG&lid=LSTCOMH46GJEQWVC7GG6L0KHF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=TrendingId_6bo%2Fb5g&srno=s_3_67&otracker=search&fm=organic&iid=41c5a5a3-de0d-4284-a9fe-c5f939e03418.COMH46GJEQWVC7GG.SEARCH&ppt=None&ppn=None&ssid=sl9i4jkzi80000001738364973308&qH=312f91285e048e09,2025-02-01 00:09:37,"Laptop, Power Adaptor, User Guide, Warranty Documents",A515-58M,NX.KHFSI.007,A515-58M,Aspire 5 Backlit,Steel Gray,Thin and Light Laptop,Processing & Multitasking,,Yes,Intel,Core i5,Yes,512 GB,16 GB,LPDDR5,Intel Integrated Iris Xe,SSD,Windows 11 Home,,"1 x USB 3.2 Port, 1 x USB Port with power-off charging, 1 x USB Type-C Port/Thunderbolt 4 port",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD display with IPS (In-Plane Switching) technology, Acer ComfyView LED-backlit TFT LCD",,,WIFI 6E,v5.1,362.9 x 237.5 x /17.9 mm,1.75 Kg,Not Available,"Video conferencing: UFC with T-Type USB FHD camera, Compatible with Windows, 1920 x 1080 resolution, 1080p HD video at 60 fps with Temporal Noise Reduction","99-/100-/103-key Acer backlit keyboard with international language support, with indicators of CapsLock and F4/Microphone mute",,,1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,,,1335U,,,,,,1.3 GHz with Turbo Boost Upto 4.6 GHz,,13th Gen,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP AMD Athlon Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 255 Laptop,"₹22,690",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/g/m/255-g8-laptop-hp-original-imagp22z6jwc5mfz.jpeg?q=70,https://www.flipkart.com/hp-amd-athlon-dual-core-8-gb-256-gb-ssd-windows-11-home-255-laptop/p/itmf1ca83d7a968d?pid=COMGP22PUZHZT2HG&lid=LSTCOMGP22PUZHZT2HGJGCZLO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_68&otracker=search&fm=organic&iid=41c5a5a3-de0d-4284-a9fe-c5f939e03418.COMGP22PUZHZT2HG.SEARCH&ppt=None&ppn=None&ssid=sl9i4jkzi80000001738364973308&qH=312f91285e048e09,2025-02-01 00:09:37,"Laptop, Adaptor, Manual",255,6X3B9PA,255 G8,,Black,Laptop,Everyday Use,5,No,AMD,Athlon Dual Core,Yes,256 GB,8 GB,LPDDR4,AMD Radeon AMD,SSD,Windows 11 Home,,,No,39.62 cm (15.6 inch),1024 x 768 pixel,,,,,Yes,,,Not Available,,,,,1 YEAR,ONSITE,"LAPTOP, ADAPTOR",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Ideapad Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) 15IAH8...,"₹50,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/2/0/-original-imahyyht43sagggd.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-15iah8-thin-light-laptop/p/itm76f0e5d975817?pid=COMGYSFGJKSCNDDC&lid=LSTCOMGYSFGJKSCNDDCSM4ZIU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_69&otracker=search&fm=organic&iid=41c5a5a3-de0d-4284-a9fe-c5f939e03418.COMGYSFGJKSCNDDC.SEARCH&ppt=None&ppn=None&ssid=sl9i4jkzi80000001738364973308&qH=312f91285e048e09,2025-02-01 00:09:37,"Laptop, Power Adaptor, User Guide, Warranty Documents",15IAH8,83ER00BCIN,IdeaPad Slim 3,Ideapad,Arctic Grey,Thin and Light Laptop,Everyday Use,,Yes,Intel,Core i5,Yes,512 GB,16 GB,LPDDR5,Intel Integrated UHD,SSD,Windows 11 Home,Yes,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (Support Data Transfer, Power Delivery and DisplayPort 1.2)",No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"Full HD, IPS, 300 Nits Brightness, Anti-glare",1.5W Dual User Facing Stereo Speakers,Dolby Audio,"Wi-Fi 6, 802.11 ax 2x2",v5.2,359.3 x 235 x 17.9 mm,1.62 kg,Not Available,Full HD 1080p with Privacy Shutter,"Backlit, English",,Office Home & Student 2021,1 Yr. Onsite + 1 Yr. Accidental Damage Protection,Carry-In,Manufacturing Defects,Physical Damage,1 Year,65W Round Tip (3-Pin),12450H,8,Integrated Dual Array Microphones,"Buttonless Mylar Surface Multi Touch Touchpad, Supports Precision TouchPad (PTP)",Integrated 47Wh,,"Base Frequency 2.0 GHz, Max Turbo Boost at 4.4 GHz",1 x HDMI 1.4,12th Gen,,12 MB,Windows 11,,,,,4 GB,,,,,Intel SoC Platform,,"Green Certifications (ENERGY STAR 8.0, EPEAT Silver Registered, ErP Lot 6, ErP Lot 26, RoHS Compliant), Firmware TPM 2.0 Enabled",1,2242,M.2 PCIe 4.0 x 4 NVMe,,,,,4800 MHz,,,,,,,,,,,,,,,SD Card Reader,High Definition (HD) Audio,,,,,
ASUS ExpertBook B14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) B1402CBA-NK1494WS...,"₹36,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/l/x/-original-imahfk5pgehgsg3z.jpeg?q=70,https://www.flipkart.com/asus-expertbook-b14-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-b1402cba-nk1494ws-thin-light-laptop/p/itm5558ba4200e57?pid=COMGZF9EYUYC52BH&lid=LSTCOMGZF9EYUYC52BHIWCC5H&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_70&otracker=search&fm=organic&iid=41c5a5a3-de0d-4284-a9fe-c5f939e03418.COMGZF9EYUYC52BH.SEARCH&ppt=None&ppn=None&ssid=sl9i4jkzi80000001738364973308&qH=312f91285e048e09,2025-02-01 00:09:37,"Laptop, Power Adaptor, User Guide, Warranty Documents",B1402CBA-NK1494WS,90NX05V1-M01NM0,B1402CBA-NK1494WS,ExpertBook B14,Star Black,Thin and Light Laptop,Processing & Multitasking,,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD,SSD,Windows 11 Home,,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C support power delivery, 1 x USB 3.2 Gen 2 Type-C support display / power delivery",No,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD, 16:9, Glare Anti-glare display, Color gamut NTSC: 45%, View angle(H/V) 90/65",Yes,,Wi-Fi 6(802.11ax) (Dual band) 2*2,v5.3,326.9 x 214.5 x 19.9 mm,1.49 Kg,Not Available,720p HD camera,Chiclet Keyboard,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,42 W,1215U,,Yes,,,,0.9 GHz upto Max Turbo Frequency 4.4 GHz,1 x HDMI 1.4,12th Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,"₹38,790",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/p/m/-original-imah2pf2u98xefzx.jpeg?q=70,https://www.flipkart.com/acer-aspire-lite-amd-ryzen-5-hexa-core-5625u-16-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMGXPH6V5PZNMWU&lid=LSTCOMGXPH6V5PZNMWUALJFDH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_71&otracker=search&fm=organic&iid=41c5a5a3-de0d-4284-a9fe-c5f939e03418.COMGXPH6V5PZNMWU.SEARCH&ppt=None&ppn=None&ssid=sl9i4jkzi80000001738364973308&qH=312f91285e048e09,2025-02-01 00:09:37,"Laptop, Power Adaptor, User Guide, Warranty Documents",AL15-41,UN.31ZSI.00Y,AL15-41,Aspire Lite,Steel Grey,Thin and Light Laptop,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",,No,AMD,Ryzen 5 Hexa Core,Yes,512 GB,16 GB,DDR4,AMD Radeon AMD,SSD,Windows 11 Home,,"1 x USB 3.2 Gen 1 (Type A), 2 x USB 2.0 (Type A), 1 x USB 3.2 Gen 2 (Type C)",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD,Yes,,Wi-Fi 5,v5.1,360.40 x 239.30 x 19.7 mm,1.59 Kg,Not Available,"HD webcam with 1280 x 720 resolution, 720p HD audio/video recording","100-/101-/104-key keyboard with independent numeric keypad, international language support",,,1 Year Carry-in Warranty,Onsite,Manufacturing Defects,Physical Damage,,,5625U,,Yes,,,,Max Frequency Upt o 4.00 GHz,1 x HDMI Port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,"₹35,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/e/r/-original-imah2h5h5zs2gjej.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-1-amd-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15alc7-thin-light-laptop/p/itmce54714ae1cd8?pid=COMGN2YDSFGGXYG3&lid=LSTCOMGN2YDSFGGXYG37FJUC8&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_3_72&otracker=search&fm=organic&iid=41c5a5a3-de0d-4284-a9fe-c5f939e03418.COMGN2YDSFGGXYG3.SEARCH&ppt=None&ppn=None&ssid=sl9i4jkzi80000001738364973308&qH=312f91285e048e09,2025-02-01 00:09:37,"Laptop, Power Adaptor, Quick Start Guide, Warranty Document",15ALC7,82R400ERIN/82KU0238IN,Ideapad Slim 1,IdeaPad Slim 1,Cloud Grey,Thin and Light Laptop,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",Upto 9.0 Hour,Yes,AMD,Ryzen 5 Hexa Core,Yes,512 GB,16 GB,DDR4,AMD Radeon AMD,SSD,Windows 11 Home,Yes,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (Support Data Transfer Only)",No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD, IPS, Brightness: 300 nits, Anti-glare",Built-in 1.5W Dual Stereo Speakers,Dolby Audio,802.11ac 2 x 2,v5.0,359.2 x 236.5 x 19.9 mm,1.65 kg,Not Available,HD 720p with Privacy Shutter,"Non Backlit, English",No,Microsoft Office Home & Student 2021,2 Yr Warranty,Carry-In,Manufacturing Defects,Physical Damage,1 Year,"65W Round Tip (2 Pin, Wall Mount)",5500U,6,Built-in Dual Array Microphone,,"Integrated 45Wh, Surface Treatment: IMR (In-Mold Decoration by Roller)",,"Base Frequency 2.1 GHz, Max Turbo Boost at 4.0 GHz",1 x HDMI 1.4b,,No,3 MB,Windows 11 Home,NA,NA,,,,,,,,AMD SoC Platform,,Firmware TPM 2.0,,3200,M.2 2280 PCIe 3.0 x 4 NVMe,No Onboard Ethernet,,,,3200 MHz,,,,,,,,,,,,,,,1 x Card Reader (4-in-1 Card Reader),"High Definition (HD) Audio, Realtek ALC3287 Codec",,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-01 00:09:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
