title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,MS Office Provided,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Graphic Processor,Storage Type,Operating System,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Finger Print Sensor,Keyboard,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Battery Cell,Backlit Keyboard,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,HDMI Port,Refresh Rate,Face Recognition,EMMC Storage Capacity,Battery Backup,Power Supply,Number of Cores,Mic In,Sound Properties,Pointer Device,Included Software,Additional Features,Domestic Warranty,Cache,Supported Operating System,Expandable Memory,Expandable SSD Capacity,OS Architecture,Multi Card Slot,TGP,RJ45,Chipset,Memory Slots,RPM,Hardware Interface,Ethernet,Security Chip,Antivirus,Lock Port,Inbuilt 4G LTE,Stylus Included,RAM Frequency,System Architecture,S-video,Dock Port,Firewire Port,RJ11,VGA Port,Read/Write Speed,Laptop Bag,Color Gamut,Brightness,NFC Support,Wireless WAN,Recovery Options,Sound Chip,Other Accessories,International Warranty,HDD Capacity,Certification,Cloud Storage
Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 - (8 GB/512 GB SSD/Windows 11 Home) 14IGL7 Thin and Lig...,"₹23,990",4.2,325 Ratings & 14 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/i/g/-original-imah8frtuzfe9yup.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-1-intel-celeron-dual-core-n4020-8-gb-512-gb-ssd-windows-11-home-14igl7-thin-light-laptop/p/itm146632ae84dbc?pid=COMHFYZ3CN5WHUR8&lid=LSTCOMHFYZ3CN5WHUR8KHN4RK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_137&otracker=search&fm=organic&iid=en_SEksmMNHZdfF_7LMSav1eKgKOa34EMGAVJNKo9YuKtnrPQapvOEcDGvbGLY9k5BMwtPOYOssCT1FtFPIri2Q2fUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=yh29ifbzqo0000001738109500087&qH=312f91285e048e09,1/29/2025 1:11,"Laptop, Power Adaptor, User Guide, Warranty Documents",14IGL7,82V6009LIN|82V6009TIN,14IGL7,IdeaPad 1,Cloud Grey,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Celeron Dual Core,,Yes,512 GB,8 GB,DDR4,N4020,1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz,Intel Integrated UHD,SSD,Windows 11 Home,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)",No,35.56 cm (14 Inch),1366 x 768 Pixel,"HD, TN 220nits Anti-glare",Yes,Yes,11ac 2x2,v5.1,325.3 x 216.5 x 17.9 mm,1.3 Kg,Not Available,HD 720p with Privacy Shutter,,"Non-backlit, English",1 Yr. Onsite,Carry-in,Manufacturing Defects,Physical Damage,,,,,1 x HDMI 1.4b,,,,,45 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,"₹36,990",4.2,"7,976 Ratings & 585 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/d/h/-original-imah4qscwmurxkeh.jpeg?q=70,https://www.flipkart.com/hp-amd-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15s-eq2144au-thin-light-laptop/p/itmd57b41ed8750a?pid=COMGBH9JDPVGD8BH&lid=LSTCOMGBH9JDPVGD8BHIZPQIL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_138&otracker=search&fm=organic&iid=en_SEksmMNHZdfF_7LMSav1eKgKOa34EMGAVJNKo9YuKtluTKdKSJTveG4x73PAEZpfAR2SeHBg2xW_0F899g2ztPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=yh29ifbzqo0000001738109500087&qH=312f91285e048e09,1/29/2025 1:11,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s- eq2144au,50M63PA#ACJ,15s- eq2144au,,Natural Silver,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",Yes,AMD,Ryzen 5 Hexa Core,,Yes,512 GB,8 GB,DDR4,5500U,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,AMD Radeon AMD,SSD,Windows 11 Home,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,v4.2,358 x 242 x 17.9 mm,1.69 kg,Not Available,HP True Vision 720p HD camera,No,Full-size Island-style Natural Silver Keyboard with Numeric Keypad,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,3 cell,No,,,1x HDMI 1.4b,,,,,,6,Yes,,,"Microsoft Office Home 2019 & Office 365, HP Documentation, HP SSRM, HP Smart","41 Wh Li-ion Battery, Support battery fast charge",1 Year,8,Windows 11 Home,,,64 bit,1 x card reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS Vivobook S 15 Intel Core i9 13th Gen 13900H - (16 GB/512 GB SSD/Windows 11 Home) K5504VAB-BN417WS...,"₹83,990",4.6,68 Ratings & 8 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/4/h/-original-imah4z66zfc8bh9h.jpeg?q=70,https://www.flipkart.com/asus-vivobook-s-15-intel-core-i9-13th-gen-13900h-16-gb-512-gb-ssd-windows-11-home-k5504vab-bn417ws-thin-light-laptop/p/itm0eb223e3c7544?pid=COMH3J9YUEFZSCF5&lid=LSTCOMH3J9YUEFZSCF5I3MRSV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_139&otracker=search&fm=organic&iid=722cbd4f-928d-49d7-9251-3dc2ef98478a.COMH3J9YUEFZSCF5.SEARCH&ppt=None&ppn=None&ssid=yh29ifbzqo0000001738109500087&qH=312f91285e048e09,1/29/2025 1:11,"Laptop, Power Adaptor, User Guide, Warranty Documents",K5504VAB-BN417WS,90NB0ZK2-M00RS0,K5504VAB-BN417WS,Vivobook S 15,Midnight Black,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i9,13th Gen,Yes,512 GB,16 GB,LPDDR5,13900H,Up to 5.4 GHz,Intel Integrated Iris Xe,SSD,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 300nits, 100% sRGB color gamut, Anti-glare display",Yes,Yes,Wi-Fi 6E(802.11ax) (Dual band) 2*2,v5.3,359.3 x 229.4 x 17.9 mm,1.70 Kg,Not Available,1080p FHD camera With privacy shutter,,Backlit Chiclet Keyboard,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire Lite Intel Core i5 12th Gen - (16 GB/1 TB SSD/Windows 11 Home) AL15-52H Thin and Light Lap...,"₹51,990",4.3,197 Ratings & 23 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/a/o/-original-imah7tknwg7brmfv.jpeg?q=70,https://www.flipkart.com/acer-aspire-lite-intel-core-i5-12th-gen-16-gb-1-tb-ssd-windows-11-home-al15-52h-thin-light-laptop/p/itmc262e2fa338ce?pid=COMH883AGRXJD8SB&lid=LSTCOMH883AGRXJD8SBYSNBXS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_140&otracker=search&fm=organic&iid=722cbd4f-928d-49d7-9251-3dc2ef98478a.COMH883AGRXJD8SB.SEARCH&ppt=None&ppn=None&ssid=yh29ifbzqo0000001738109500087&qH=312f91285e048e09,1/29/2025 1:11,"Laptop, Power Adaptor, User Guide, Warranty Documents",AL15-52H,UN.347SI.005,Aspire Lite,Aspire Lite,Pure Silver,Thin and Light Laptop,Processing & Multitasking,No,Intel,Core i5,12th Gen,Yes,1 TB,16 GB,LPDDR5,,,Intel Integrated UHD,SSD,Windows 11 Home,3 x USB 3.0 ports,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,,Yes,Yes,Wi-Fi 6,Yes,357.4 x 228.0 x 18.3 mm,1.77 Kg,Not Available,,No,99-/100-/103-key Acer Backlit keyboard layout with international language support,1 Year Onsite warranty,Onsite,Manufacturing Defects,Physical Damage,54 Wh,Yes,,,1 x HDMI Port,,,,,90 W,,Yes,,Multi-gesture touchpad,,,,,Windows 11 Home,,,64 bit,,,Yes,,,,,Ethernet,,,,,,,64 bit,,,,,,,No,,,,,,,,,,,
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and...,"₹34,550",4.3,"1,631 Ratings & 91 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/h/9/-original-imah8frtnf5cvhfa.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-15iau7-thin-light-laptop/p/itmdfa8fc0e85938?pid=COMGP26H8PHCAMZE&lid=LSTCOMGP26H8PHCAMZEGEC9S3&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_141&otracker=search&fm=organic&iid=en_SEksmMNHZdfF_7LMSav1eKgKOa34EMGAVJNKo9YuKtkfg1drqhaDTjsOi0VIKx4s8j69Xq7SfMfLFXejehsRxfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=yh29ifbzqo0000001738109500087&qH=312f91285e048e09,1/29/2025 1:11,"Laptop, battery, power adapter, user guide",15IAU7,82RK00VTIN,15IAU7,IdeaPad Slim 3,Arctic Grey,Thin and Light Laptop,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",Yes,Intel,Core i3,12th Gen,Yes,512 GB,8 GB,DDR4,1215U,0.9 GHz upto max turbo frequency at 4.4 Ghz,Intel Integrated UHD,SSD,Windows 11 Home,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.2)",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD TN 250nits Anti-glare,Yes,Yes,"Wi-Fi 6, 11ax 2x2",v5.1,,1.63 Kg,Not Available,HD 720p with Privacy Shutter,No,"Non-backlit, English",1 Yr. Onsite + 1 Yr. Accidental Damage Protection,Carry-in,Manufacturing Defects,Physical Damage,,No,,,,,,,Upto 10 Hours,,,,,,,,,,,16GB,NA,,,,,,,,,BR99X924BCQA,,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXY3HN/A,"₹79,990",4.7,"15,896 Ratings & 967 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/n/p/-original-imagfdfew8gszzhk.jpeg?q=70,https://www.flipkart.com/apple-macbook-air-m2-8-gb-256-gb-ssd-mac-os-monterey-mlxy3hn-a/p/itm6533ea968a81e?pid=COMGFB2GWHPVFMJW&lid=LSTCOMGFB2GWHPVFMJWCYOKC8&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_142&otracker=search&fm=organic&iid=en_SEksmMNHZdfF_7LMSav1eKgKOa34EMGAVJNKo9YuKtnW4g0cfM-OV7D76A4gdA4WHcivhbk1lvYCdn6-MgVaA6V8WX5krIChubBlraAu4CQ%3D&ppt=None&ppn=None&ssid=yh29ifbzqo0000001738109500087&qH=312f91285e048e09,1/29/2025 1:11,"MacBook Air, 30W USB-C Power Adapter, USB-C to MagSafe 3 Cable",MLXY3HN/A,MLXY3HN/A,MacBook Air,MacBook AIR,Silver,Thin and Light Laptop,Processing & Multitasking,No,Apple,M2,,Yes,256 GB,8 GB,Unified Memory,Apple M2 Chip,,NA,SSD,Mac OS Monterey,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina Display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",Built-in Speakers,Three-mic array with directional beamforming,802.11ax Wi-Fi 6 wireless networking,v5.0,304.1 x 215.0 x 11.3 mm,1.24 Kg,Not Available,1080p FaceTime HD camera,,Backlit Magic Keyboard,1 Year Limited Warra­nty,Onsite,Manufacturing Defects,Physical Damage,,Yes,,,,,,,Up to 18 hours,30 W USB-C Power Adapter,8,Yes,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos",Force Touch Trackpad,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",52.6 Watt Hour Lithium polymer Battery,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
realme Book Prime Intel Core i5 11th Gen 11320H - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin ...,"₹64,999",4.4,674 Ratings & 101 Reviews,https://rukminim2.flixcart.com/image/312/312/l1b1oy80/computer/g/y/l/book-prime-thin-and-light-laptop-realme-original-imagcwmbye2vak6g.jpeg?q=70,https://www.flipkart.com/realme-book-prime-intel-core-i5-11th-gen-11320h-16-gb-512-gb-ssd-windows-11-home-cloudpro002-thin-light-laptop/p/itm60999a5053351?pid=COMGCWBEUEYYC7WH&lid=LSTCOMGCWBEUEYYC7WHYDUYN1&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_143&otracker=search&fm=organic&iid=722cbd4f-928d-49d7-9251-3dc2ef98478a.COMGCWBEUEYYC7WH.SEARCH&ppt=None&ppn=None&ssid=yh29ifbzqo0000001738109500087&qH=312f91285e048e09,1/29/2025 1:11,"Laptop, Power Adaptor, Battery, Warranty Documents, User Guide",CloudPro002,1.3029E+11,Book Prime,Book Prime,Blue,Thin and Light Laptop,"Entertainment, Performance, Processing & Multitasking",Yes,Intel,Core i5,11th Gen,Yes,512 GB,16 GB,LPDDR4X,11320H,Base 3.2 GHz Turbo Boost Upto 4.5 GHz,Intel Integrated Iris Xe,SSD,Windows 11 Home,"1 x USB Gen 3.2 Thunderbolt 4, 1 x Type C USB 3.2 Gen 2 , 1 x Type A USB Gen 3.1 Gen 1",No,35.56 cm (14 inch),2160 x 1440 Pixel,"Quad HD, 60 Hz Refresh Rate",,,,Yes,307.21 x 228.96 x 15.55 mm,1.37 kg,Not Available,,Yes,Backlit Keyboard,1 Year Domestic Warranty,Carry-in to Realme Service Center or Reach our Customer Support,Manufacturing Defects,Physical Damage,54Wh,Yes,,,,,,,Upto 12 hours,65W Type-C Adaptor,,,,Smooth surface muilt-touch Trackpad with Gesture support,,,1 Year,8,Windows 11 Home,,,,,,,Intel i5-11320H,,,,,,,,,,4266 MHz,,,,,,,,,,,No,,,,,,,,
Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹62,990",4.4,401 Ratings & 42 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/a/z/anv15-41-gaming-laptop-acer-original-imagznanfgmdt8w7.jpeg?q=70,https://www.flipkart.com/acer-nitro-v-amd-ryzen-5-hexa-core-7535hs-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-anv15-41-gaming-laptop/p/itm6491e522f1157?pid=COMGZN7ZYP8MDPHR&lid=LSTCOMGZN7ZYP8MDPHRDVIR0H&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_144&otracker=search&fm=organic&iid=722cbd4f-928d-49d7-9251-3dc2ef98478a.COMGZN7ZYP8MDPHR.SEARCH&ppt=None&ppn=None&ssid=yh29ifbzqo0000001738109500087&qH=312f91285e048e09,1/29/2025 1:11,"Laptop, Power Adaptor, User Guide, Warranty Documents",ANV15-41,NH.QPFSI.004,ANV15-41,Nitro V,Obsidian Black,Gaming Laptop,Gaming,No,AMD,Ryzen 5 Hexa Core,,Yes,512 GB,16 GB,DDR5,7535HS,Max Turbo Frequency upto 4.55 GHz,NVIDIA GeForce RTX 3050,SSD,Windows 11 Home,"2 x USB 3.2 Gen 1 port, 1 x USB 3.2 Gen 1 port with power-off charging, 1 x USB 4 port",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD display with IPS (In-Plane Switching) technology, Acer ComfyView LED-backlit TFT LCD, 16:9 aspect ratio, supporting 144 Hz refresh rate. Wide viewing angle up to 170 degrees, Ultra-slim design, Mercury free, environment friendly",,,Wi-Fi 6 Wireless LAN,v5.1,362.3 x 239.89 x 23.5 mm,2.1 Kg,Not Available,UFC with T-Type HD camera with Blue Glass lens with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction with Dual Mic,No,99-/100-/103-key Acer keyboard layout with international language support including indicators of CapsLock and F4/Microphone mute,1 Year International Travelers Warranty (ITW),Onsite,Manufacturing Defects,Physical Damage,57 Wh 4-cell Li-ion battery,No,GDDR6,6 GB,1 x HDMI Port,,,,,135 W,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,1/29/2025 1:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,1/29/2025 1:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,4.4,Data not available,https://rukminim2.flixcart.com/image/300/300/xif0q/computer/a/k/k/-original-imagpxgru35rbzwz.jpeg?q=90,URL not available,1/29/2025 1:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,1/29/2025 1:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,1/29/2025 1:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,1/29/2025 1:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS Vivobook 15 Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) X1504VAP-NJ541WS Thin and Ligh...,"₹50,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/p/x/-original-imah2ger8fwg9raw.jpeg?q=70,https://www.flipkart.com/asus-vivobook-15-intel-core-5-120u-16-gb-512-gb-ssd-windows-11-home-x1504vap-nj541ws-thin-light-laptop/p/itm200184e4e0443?pid=COMGYSFGKTA2WBCR&lid=LSTCOMGYSFGKTA2WBCRE3AKY7&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_145&otracker=search&fm=organic&iid=5e72c224-887c-4834-8457-6a4232d23375.COMGYSFGKTA2WBCR.SEARCH&ppt=None&ppn=None&ssid=s9ws7k6q0w0000001738109562703&qH=312f91285e048e09,1/29/2025 1:12,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1504VAP-NJ541WS,90NB13Y2-M004N0,X1504VAP-NJ541WS,Vivobook 15,Cool Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core 5,,Yes,512 GB,16 GB,DDR4,120U,Max turbo frequency 5.0 GHz,Intel Integrated Intel Graphics,SSD,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",Yes,Yes,Wi-Fi 6(802.11ax) (Dual band) 1*1,v5.2,359.7 x 232.5 x 1.7.9 mm,1.70 Kg,Not Available,720p HD camera With privacy shutter,No,Backlit Chiclet Keyboard,1 Year Onsite warranty,Onsite,Manufacturing Defects,Physical Damage,,,,,1 x HDMI 1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) AL15-53 Notebook,"₹36,990",4.3,19 Ratings & 3 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/p/m/-original-imah2pf2u98xefzx.jpeg?q=70,https://www.flipkart.com/acer-aspire-intel-core-i3-13th-gen-1305u-16-gb-512-gb-ssd-windows-11-home-al15-53-notebook/p/itm1bc0bcb4598e7?pid=COMH5WHPWD7GUWGT&lid=LSTCOMH5WHPWD7GUWGTDLXKRU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_146&otracker=search&fm=organic&iid=5e72c224-887c-4834-8457-6a4232d23375.COMH5WHPWD7GUWGT.SEARCH&ppt=None&ppn=None&ssid=s9ws7k6q0w0000001738109562703&qH=312f91285e048e09,1/29/2025 1:12,"Laptop, Power Adaptor, User Guide, Warranty Documents",AL15-53,UN.34ESI.00D,Aspire Lite,Aspire,Steel Grey,Notebook,"Entertainment, Everyday Use, Performance, Processing & Multitasking",No,Intel,Core i3,13th Gen,Yes,512 GB,16 GB,DDR4,1305U,,Intel Integrated UHD,SSD,Windows 11 Home,"1 x USB 3.2 Gen1 (Type A), 2 x USB 2.0 (Type A), 1 x USB 3.2 Gen2 (Type C), 1 x DC-in Jack",No,39.62 cm (15.6 inch),1920 x 1080 Pixels,Full HD,Dual Built-in Stereo Speakers,,WiFi 5,v5.2,360.40 x 239.30 x 19.9 mm,1.59 kg,Not Available,"HD Webcam with 1280 x 720 Resolution, 720p HD Audio/Video Recording",No,"100-/101-/104-key Keyboard with Independent Numeric Keypad, International Language Support",1 Year Warranty,Carry-in,Manufacturing Defects,Physical Damage,36 Wh,No,,,1 x HDMI Port,,No,,,45W Adapter,,Yes,,"Multi Gesture Touchpad, Built-in Click Pad with Microsoft PTP Multi Gesture and Scrolling Function",,,1 Year,,Windows 11 Home,,,64 bit,,,No,,,,,,,,,,,,64 bit,,,,,,,No,,,,,,,,1 Year,,,
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXW3HN/A,"₹79,990",4.7,"15,896 Ratings & 967 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/b/n/-original-imagfdf4xnbyyxpa.jpeg?q=70,https://www.flipkart.com/apple-macbook-air-m2-8-gb-256-gb-ssd-mac-os-monterey-mlxw3hn-a/p/itmc2732c112aeb1?pid=COMGFB2GSG8EQXCQ&lid=LSTCOMGFB2GSG8EQXCQJWHH2F&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_7_147&otracker=search&fm=organic&iid=en_qL9OHeBmwE7z6TtYnlSfLQEm2bsrkoMCrwjA1UK9Zna-N5ZcPl3PgpxvJyyhZCraotgvHZOkZBaLMqSVOOJ28vUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=s9ws7k6q0w0000001738109562703&qH=312f91285e048e09,1/29/2025 1:12,"MacBook Air, 30W USB-C Power Adapter, USB-C to MagSafe 3 Cable",MLXW3HN/A,MLXW3HN/A,MacBook Air,MacBook AIR,Space Grey,Thin and Light Laptop,Processing & Multitasking,No,Apple,M2,,Yes,256 GB,8 GB,Unified Memory,Apple M2 Chip,,NA,SSD,Mac OS Monterey,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina Display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",Built-in Speakers,Three-mic array with directional beamforming,802.11ax Wi-Fi 6 wireless networking,v5.0,304.1 x 215.0 x 11.3 mm,1.24 Kg,Not Available,1080p FaceTime HD camera,,Backlit Magic Keyboard,1 Year Limited Warra­nty,Onsite,Manufacturing Defects,Physical Damage,,Yes,,,,,,,Upto 18 Hours,30 W USB-C Power Adapter,8,Yes,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos",Force Touch Trackpad,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",52.6 Watt Hour Lithium polymer Battery,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
