title,price,collection_date,brand,model_name,screen_size,color,hard_disk_size,cpu_model,ram_memory,operating_system,special_feature
"2024 MacBook Air 13-inch Laptop with M3 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, Touch ID; Starlight",,2025-01-18 13:28:44,Apple,MacBook Air,136.0,Starlight,256.0,Apple M3,16.0,Mac OS,"Fingerprint Reader, Lightweight, Backlit Keyboard"
"Laptop 14 Inch, 12GB LPDDR4 256GB SSD, Laptop Computer with Celeron J4105 CPU(Up to 2.5GHz), FHD 1920x1080 Display, 2.4G+5G WiFi, 35.52WH Battery, 2 Speakers, Portable Business Laptops.",$499.99,2025-01-18 13:28:44,jumper,Ezbook S5,14.0,,256.0,Celeron,12.0,Windows 11,HD Audio
"Clicker PowerPoint Presentation Wireless Presenter Remote, Laser Pointer for Computer Clickers, USB C A Project Power Point PPT Clicker for Mac Laptop Office, Slideshow Google Slide Advancer",$15.99,2025-01-18 13:28:44,UBUYONE,Ezbook S7MAX,136.0,Black,256.0,,16.0,Windows 11,Ergonomic
"Opal Tadpole - 4K Webcam with a Clip, Built for Laptops. 4K Sensor, VisiMic Directional Microphones, Works on Mac, PC and Tablets - White",$129.00,2025-01-18 13:28:59,Opal Camera,Ezbook S7MAX,156.0,White,256.0,,16.0,Windows 11,"4K Video Recording, Directional Microphones, VisiMic Technology"
"2025 New Laptop Screen Extender, 14"" Portable Triple Monitor with Multifunction Base for Laptop up to 17.3"", 1080P/360° Rotation/Detachable/Plug & Play Compatible with Mac, Wins, Chrome",$299.00,2025-01-18 13:28:59,sharanix,Ezbook S7MAX,14.0,,256.0,,16.0,Windows 11,HD Audio
"Laptop Screen Extender, 15.6"" Portable Triple Monitor for Laptop,IPS Ultra-Thin Zero Frame Monitor Compatible with Mac, Windows, Chrome, Fits Laptops",$399.99,2025-01-18 13:28:59,Redalf,Ezbook S7MAX,156.0,,256.0,,16.0,Windows 11,HD Audio
"Portable Monitor Touchscreen 14"" 1200P Portable Laptop Monitor FHD USB-C HDMI External Portable Screen Travel Monitor for Laptop/PC/Mac/Phone/Xbox Switch",$99.99,2025-01-18 13:28:59,HGFRTEE,Ezbook S7MAX,14.0,,256.0,,16.0,Windows 11,HD Audio
"15.6"" FHD Portable Monitor for Laptop, 100% sRGB Second Display IPS 1920x1080 HDMI USB-C Laptop Screen Extender, Carrying Sleeve 180° Kickstand for PC, Mac, Dex, Tablet, Xbox, PS4/PS5, Switch",$79.99,2025-01-18 13:28:59,Kado,Ezbook S7MAX,156.0,,256.0,,16.0,Windows 11,HD Audio
"External CD/DVD Drive for Laptop, USB 3.0 & Type-C CD Burner, Portable DVD Player, Slim External Optical Drive Compatible with Windows, Mac, Linux OS (2 in 1 USB A&C)",$14.99,2025-01-18 13:28:59,LLMHHKYK,Ezbook S7MAX,136.0,,256.0,,16.0,"Linux, Mac OS, Windows 11, Windows 10","Backward Compatible, Shock Resistant, Lightweight, Plug & Play"
"Portable Monitor 15.6inch,1080P USB-C HDMI Second External Monitor for Laptop,PC,Mac Phone,PS,Xbox,Swich,IPS Ultra-Thin Zero Frame Gaming Monitor/Premium Smart Cover",$79.99,2025-01-18 13:28:59,ForHelp,Ezbook S7MAX,156.0,,256.0,,16.0,Windows 11,HD Audio
"Laptop Screen Extender, 14"" FHD 1080P Laptop Monitor Extender, Stretchable Base and Detachable Screen, Plug & Play, Triple Screen Extender Portable Laptop Compatible with Windows, Mac, Chrome",$349.99,2025-01-18 13:28:59,UK BONITOYS,Ezbook S7MAX,14.0,,256.0,,16.0,Windows 11,HD Audio
"Laptop Screen Extender Portable Monitor, Dual 15.6"" 1080P FHD Frameless Screen, Detachable Monitor Extender for Laptop, Fit for 13-17"" Laptop,Plug & Play Compatiable with Windows/Mac/Chrome/Android",$199.00,2025-01-18 13:28:59,AetherSpark,Ezbook S7MAX,156.0,,256.0,,16.0,Windows 11,HD Audio
"Laptop Screen Extender - 15.6"" FHD 1080P Portable Monitor for Laptop, Detachable & Plug and Play Dual Laptop Monitor Extender for 13""-17.3"" Laptops, Compatible with Wins/Mac/Android/Chrome",$219.99,2025-01-18 13:28:59,Cevaton,Ezbook S7MAX,156.0,,256.0,,16.0,Windows 11,HD Audio
"Laptop Screen Extender, 14"" FHD 1080P Laptop Monitor Extender, Plug & Play, Updated Alloy Stand, Triple Monitor for 13""-16.5"" Laptop, Compatible with Windows, Mac, Chrome",$269.99,2025-01-18 13:28:59,UK BONITOYS,Ezbook S7MAX,14.0,,256.0,,16.0,Windows 11,HD Audio
"14"" Laptop Screen Extender, S3 FHD 1080P IPS Triple Portable Monitor Laptop, HDMI/USB-A/Type-C Plug and Play, Compatible with Windows/Mac/Android/Chrome/Switch/PS5",$259.99,2025-01-18 13:28:59,domyfan,Ezbook S7MAX,143.0,,256.0,,16.0,Windows 11,HD Audio
"DVD Player for Laptop, External CD Drive for Mac, USB 3.0 USB C Portable CD Burner External Disk Drive, DVD Reader Writer ROM Drive Compatible with Laptop Desktop Mac,Windows 11/10/8/7 Linux",$15.99,2025-01-18 13:28:59,Umaniy,Ezbook S7MAX,136.0,,256.0,,16.0,"Windows 11/10/8/7/XP/Vista, Mac OS, Linux","Slip Resistant, Lightweight, Plug & Play"
"Laptop Screen Extender Monitor Portable - 2.5K Triple Laptop Screen Extender, Plug and Play Multiple Screens Extended Fits 13-17.3 Inch Laptops Compatible with Mac, Windows, Chrome, Dex",$296.99,2025-01-18 13:28:59,Pitycbo,Ezbook S7MAX,141.0,,256.0,,16.0,Windows 11,HD Audio
"External CD/DVD Drive for Laptop, USB 3.0 CD DVD Player Portable +/-RW Burner CD ROM Reader Writer Disk Duplicator Compatible with Laptop Desktop PC Windows Apple Mac Pro MacBook Linux",$22.31,2025-01-18 13:28:59,Rioddas,Ezbook S7MAX,136.0,,256.0,,16.0,"Linux, Windows XP/Vista, Mac, Windows 7/8/10/11","Portable, DVD Burner, CD Burner"
"85W Mac Book Pro Charger, Replacement AC 85w 2T-Tip Connector Power Adapter,Laptop Charger Compatible with MacBook pro & Mac Book Pro 13 inch-15 inch Retina After Mid 2012",$19.99,2025-01-18 13:28:59,jumper,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,HD Audio
15.6” Laptop Screen Extender [120% sRGB FHD 1080P IPS][ 235°Rotation & Kickstand] Triple Portable Monitor with HDMI-USB Conversion Line Plug-Play Fits Laptops（Mac/Windows/Android）,$399.99,2025-01-18 13:28:59,jumper,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,HD Audio
"USB Type C Docking Station with 100W PD Charger - Supports 3 Displays | HDMI, DisplayPort, VGA, 100W PD Charging, 1Gbps Ethernet | for MacBook Pro/Air, XPS, and More (JCD543P)",$133.99,2025-01-18 13:28:59,j5create,Ezbook S7MAX,136.0,"Black, Grey",256.0,,16.0,Windows 11,HD Audio
"10FT Mac Book Air Mac Book Pro Charger Fast Charging, 2Pack 30W USB C Charger Phone Laptop Charger 10Foot Extra Long USB C Cable for MacBook Pro 16/15/14/13 Inch,MacBook Air 13 Inch/iPad Pro/iPhone 15",$29.99,2025-01-18 13:28:59,ProTVSolutions,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,Fast Charging
"Laptop Screen Extender, 14"" 1080P FHD Triple Monitor for Laptop Extension- 315°Rotate Portable Dual Monitor Screen for 13.3-16.5"" Laptops Type-C/HDMI/USB-A Plug & Play for Wins/Mac/Chro",$258.99,2025-01-18 13:29:10,QGE,Ezbook S7MAX,14.0,,256.0,,16.0,Windows 11,HD Audio
"2025 New Laptop Screen Extender, 14"" Portable Triple Monitor with Multifunction Base for Laptop up to 17.3"", 1080P/360° Rotation/Detachable/Plug & Play Compatible with Mac, Wins, Chrome",$299.00,2025-01-18 13:29:10,sharanix,Ezbook S7MAX,14.0,,256.0,,16.0,Windows 11,HD Audio
"2023 Apple MacBook Air with Apple M2 Chip (15-inch, 8GB RAM, 512GB SSD Storage) (QWERTY English) Midnight (Renewed)",,2025-01-18 13:29:10,jumper,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,HD Audio
"Student Laptop: 15.6"" Full HD, 512GB SSD, 12GB DDR4 RAM, Intel Jasper Lake N5095, Numeric Keypad, Wi-Fi 6, AMD Radeon Graphics, Windows 11, Business and Fun (Grey)",$269.00,2025-01-18 13:29:10,jumper,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,HD Audio
"Windows 11 Laptops, 15.6 Inch Laptop with 20GB ROM 128GB EMMC+1024GB, Celeron N5095 Quad-Core, 1 Year Office 365, WiFi 6, HDMI, Type-C, USB 3.2, 7000mAh, BT5.2(Green)",$791.99,2025-01-18 13:29:10,jumper,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,HD Audio
"14 Inch Laptop Computer, Gaming Laptop, 8GB RAM 256GB SSD, Intel Celeron N5095 Processors, FHD 1920 x 1080, Supports 180 Angle Opening, Windows 11 Pro",$249.99,2025-01-18 13:29:10,jumper,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,HD Audio
"Chromebook CM14 Laptop, 14"" HD Anti-Glare Display (1366x768), MediaTek Kompanio 520, 4GB RAM, 64GB eMMC, ChromeOS, Gray, CM1402CM2A-DS44, Gravity Grey",$155.88,2025-01-18 13:29:10,jumper,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,HD Audio
"15.6 Inch Laptops, 20GB DDR4, 128GB EMMC+1024GB SSD Storage, Expansion 4TB, Gray | Windows 11 Computer, Celeron N5095 Quad-Core, Office 365 1-Year, WiFi 6, HDMI, Type-C",$329.93,2025-01-18 13:29:10,jumper,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,HD Audio
"MacBook Pro 16.2"", M4 Pro Chip with 14-Core CPU and 20-Core GPU, Late 2024 - Space Black, Standard Display, 48GB, 1TB SSD",,2025-01-18 13:29:10,jumper,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,HD Audio
"2024 MacBook Air 15-inch Laptop with M3 chip: Built for Apple Intelligence, 15.3-inch Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, Touch ID; Starlight",,2025-01-18 13:29:10,jumper,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,HD Audio
"USB C Laptop Docking Station (7-in-1), USB C Hub with Screen, Multiple Built-in Apps, Docking Station with HDMI 4K@60Hz, 90W Max Power Delivery, 1 Gbps Ethernet, USB C Dock for Mac/Dell (Black)",$69.99,2025-01-18 13:29:10,Generic,Ezbook S7MAX,136.0,black,256.0,,16.0,Windows 11,HD Audio
"Laptop, 16GB RAM 1152GB Storage, Laptop Computer with Celeron N5095 CPU(Up to 2.9GHz), FHD IPS 1200P Display, 38WH Battery, 2 Speakers, HDMI, 16 Inch Business Laptops.",$999.99,2025-01-18 13:29:10,jumper,Ezbook S7MAX,16.0,Gray,1.0,Celeron,16.0,Windows 11,HD Audio
"Laptop Computer, 14 Inch Laptop 8GB RAM 128GB SSD Laptops, Quad-Core N5095 Processor, Up to 2.9 GHz, Win11 Pro, Office Pro Plus 2024, WiFi 5, BT 5.0, Webcam, Long Lasting Battery, Black",$199.00,2025-01-18 13:29:10,jumper,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,HD Audio
"2024 MacBook Air 15-inch Laptop with M3 chip: Built for Apple Intelligence, 15.3-inch Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, Touch ID; Space Gray",,2025-01-18 13:29:10,jumper,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,HD Audio
"2024 MacBook Air 15-inch Laptop with M3 chip, 16GB Unified Memory, 1TB SSD Storage, Midnight - Z1BV0006P",,2025-01-18 13:29:10,jumper,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,HD Audio
"15.6"" Windows 11 Pro Laptop, MS Office 2024, 8GB RAM 256GB Storage, Intel Celeron N4000(up to 2.6GHz) 100% sRGB Screen, 2.4G/5G Dual Band WiFi, BT4.2, USB-A, Long Battery Life, Silver",$199.99,2025-01-18 13:29:10,jumper,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,HD Audio
"Vivobook Go 15.6” FHD Slim Laptop, AMD Ryzen 3 7320U Quad Core Processor, 8GB DDR5 RAM, 128GB SSD, Windows 11 Home, Fast Charging, Webcam Sheild, Mixed Black, E1504FA-AS33",$279.99,2025-01-18 13:29:10,jumper,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,HD Audio
"Windows 11 Laptop Computer, 12GB DDR5/1TB SSD, N95 Quad-Core, MS Office 2024, 15.6 inch 1920x1080 FHD Display, Dual Band WiFi, BT5.0, Fingerprint Unlock/Physical Camera Switch (Gray)",$299.00,2025-01-18 13:29:10,jumper,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,HD Audio
"2019 Apple MacBook Pro with 2.4GHz Intel Core i9 (16-inch, 32GB RAM, 512GB SSD Storage) (QWERTY English) Space Gray (Renewed)",$569.99,2025-01-18 13:29:10,jumper,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,HD Audio
"Laptops, 15.6"" Laptops Computer, High Performance Quad-Core Celeron N5095 Processors, 12GB DDR4 1024GB SSD Computers Laptop, FHD 1920X1080 Screen, 2.4G/5G WiFi, Bluetooth 4.2, Type-C(Gray)",$169.99,2025-01-18 13:29:10,jumper,Ezbook S7MAX,136.0,,256.0,,16.0,Windows 11,HD Audio
