Category,Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
Smart Watches,"Smartwatch Android 4G HD Kamera ,Wifi Bluetooth ,Sim-Karte NEU & OVP ✅PlayStore","€ 99,00",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:59:06
Smart Watches,"Smartwatch 3+32GB 4G 2.64"" tela HD, 5MP +5MP câmeras duplas SIM GPS Android 11.0","EUR 91,45",Large 2.64”,1200mAh,4G Smart Watch,S998 Global Frequency Bands,Android 11.0,32 GB,2025-01-27 12:00:24
Smart Watches,New Zeblaze Ares 3 Plus 1.43'' HD AMOLED Display Smartwatch FLAME RED,"€ 49,00",46 mm,N/A,ZEBLAZE,Ares 3 plus,Wear OS,1 GB,2025-01-27 11:57:26
Smart Watches,Smartwatch Herren mit Telefonfunktion Lampe Armbanduhr für iPhone Samsung Huawei,"€ 289,90",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:57:35
Smart Watches,"Smartwatch 4G SIM-Karte, Kamera, Videoanruf, WhatsApp-Erinnerung","€ 48,00",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 12:00:14
Smart Watches,"Smartwatch S7 Bluetooth chamada 1,85” AMOLED tela ultra HD relógio tela sensível ao toque-","US $44,95",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:57:30
Smart Watches,Smartwatch masculino tela HD chamada Bluetooth GPS NFC frequência cardíaca SmartWatches,"EUR 42,96",other,300-450mah,Unbranded,Smart Watch,N/A,N/A,2025-01-27 11:56:41
Smart Watches,Smartwatch Damen Herren mit Telefonfunktion Armbanduhr für iPhone Samsung Huawei,"€ 69,90",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 12:00:28
Smart Watches,Smartwatch 4G Android masculino 3GB RAM 32GB GPS câmera WiFi NFC relógio feminino telefone,"EUR 65,41",N/A,N/A,LOKMAT,N/A,N/A,32 GB,2025-01-27 11:59:07
Smart Watches,Smartwatch 2024 masculino/feminino impermeável smartwatch Bluetooth iPhone Samsung,"EUR 25,43",43 mm,180 mAh,AICase,HW20,Android Wear,other,2025-01-27 11:59:56
Smart Watches,Reino Unido 2025 Novo Smartwatch Grau Médico Pressão Arterial Oxigênio Frequência Cardíaca Bluetooth,"EUR 40,42",36 mm,N/A,GUHUAVMI,Does Not Apply,Android Wear,N/A,2025-01-27 11:57:09
Smart Watches,Smartwatch militar indestrutível,"EUR 40,95",55 mm,N/A,Sharck Tech,Military Smart Watches,Android Wear,1 GB,2025-01-27 11:57:33
Smart Watches,Smartwatch Herren Damen mit Telefonfunktion Armbanduhr für iPhone Samsung Huawei,"€ 129,90",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:59:57
Smart Watches,"Relógio de pulso inteligente Samsung Galaxy Fit 3 1.6"" tela AMOLED pulseira de borracha NOVO","EUR 52,39",40 mm,N/A,Samsung,Samsung Galaxy Fit 3,Android Wear,2 GB,2025-01-27 11:57:01
Smart Watches,Smart Watch for women Bluetooth Call Sports Fitness Women Waterproof Smartwatch,"EUR 35,67",See Details,N/A,Unbranded,See Details,See Details,128MB,2025-01-27 11:59:24
Smart Watches,"Valante Fem-Fit3 Smartwatch gold, eigentlich neu","€ 1,00",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 12:00:02
Smart Watches,Smartwatch masculino feminino fitness pressão arterial frequência cardíaca relógios dourado,"EUR 23,77",42 mm,N/A,Y13,Y13,N/A,N/A,2025-01-27 11:58:46
Smart Watches,Smartwatch Apple Watch Series 9 - GPS + GSM celular 45mm - Excelente-,"US $274,99",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:57:30
Smart Watches,2024 Novo Para HUAWEI Smartwatch Masculino Esportes Ao Ar Livre Tela AMOLED NFC GPS Bússola,"EUR 41,91",1.85 inch AMOLED HD Large screen,N/A,BOXUXING,Smart Bracelet,N/A,N/A,2025-01-27 12:00:11
Smart Watches,"Smartwatch Njord Gear indestrutível, smartwatch tático robusto","EUR 9,52",5.4 * 4.3 * 1.29cm,N/A,Unbranded,does not apply,N/A,N/A,2025-01-27 11:56:24
Smart Watches,"Smartwatch 1,85"" Ultra HD GPS Bluetooth chamada fitness monitor de frequência cardíaca","EUR 28,48",40 mm,N/A,BOALZETD,Alcatel OneTouch Watch,Android Wear,256MB RAM and 256MB ROM,2025-01-27 11:58:30
Smart Watches,NOVO Smartwatch Com Câmera Bluetooth Telefone Mate Para Android iOS Samsung iPhone GSM-,"US $13,99",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:58:44
Smart Watches,"HUAWEI WATCH Ultimate PRETO 1.5"" AMOLED Bluetooth iOS Android Smartwatch NOVO","EUR 630,65",38 mm,N/A,Huawei,HUAWEI WATCH Ultimate,Watch AppGallery,N/A,2025-01-27 11:59:59
Smart Watches,Smartwatch esportivo masculino feminino pulseira impermeável lembrete inteligente pulseira,"EUR 19,90",None,N/A,Unbranded,Smart Watch,N/A,N/A,2025-01-27 11:59:37
Smart Watches,Smartwatch Pebble Classic Muy Buen Estado - ORIGINAL,"€ 34,00",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 12:00:12
Smart Watches,GT5 Pro GPS NFC Smart Watch Männer 360*360 AMOLED Bildschirm Für Huawei,"€ 55,00",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:59:27
Smart Watches,Smartwatch com fones de ouvido masculino feminino smartwatch chamada Bluetooth para iOS Android,"EUR 36,71",Does not apply,N/A,Unbranded,Does not apply,N/A,N/A,2025-01-27 12:00:02
Smart Watches,Smartwatch fitness monitor de atividade frequência cardíaca feminino masculino oxigênio BP,"EUR 6,85",N/A,N/A,Unbranded,N/A,N/A,N/A,2025-01-27 11:58:07
Smart Watches,For HUAWEI GT4Pro GPS NFC Smart Watch Men AMOLED Heart Rate Bluetooth Cal,"EUR 30,91",See Details,300-450mah,Unbranded,See Details,"Android Wear,Android OS,IOS",128MB,2025-01-27 11:57:31
Smart Watches,Frauen Smartwatch Damen Smart Uhr Bluetooth Anruf für Android iOS Herren IP67,"EUR 57,99",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:59:10
Smart Watches,Smartwatch com fones de ouvido masculino smartwatch 2 em 1 fone de ouvido sem fio para Android iOS,"EUR 35,38",Does not apply,N/A,Unbranded,Does not apply,N/A,N/A,2025-01-27 11:59:46
Smart Watches,4G Kinder Smartwatch Telefonuhr Mit GPS Videoanruf Chat Jungen&Mädchen Geschenk,"€ 33,99","1.3""",N/A,Unbranded/Generic,T5,"iOS, Android",512MB,2025-01-27 11:59:58
Smart Watches,Smartwatch masculino Xiaomi NFC chamada Bluetooth pulseira esportiva tela cheia,"EUR 16,28",36 mm,N/A,watches,watches,N/A,N/A,2025-01-27 11:59:00
Smart Watches,Smartwatch 2025 masculino/feminino impermeável smartwatch Bluetooth iPhone Samsung,"EUR 31,43",22 mm,370 mAh,Blackview,W50 Smart watch,Android Wear,1 GB,2025-01-27 12:00:00
Smart Watches,Smartwatches masculinos para iOS Android esportes fitness rastreador impermeável Wath MELANDA,"EUR 30,91",50 mm,N/A,Unbranded,Alcatel OneTouch Watch,Android Wear,1 GB,2025-01-27 11:59:04
Smart Watches,Herren Smartwatch Smart Uhr Männer Frauen hd kamera GPS SIM-Karte 4G RAM 64G ROM,"EUR 88,99",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:57:05
Smart Watches,Smartwatch militar robusto esportes ao ar livre frequência cardíaca fitness rastreador sangue NOVO,"EUR 27,62",105*105*79mm,N/A,LOKMAT,ATTACK,Android/iOS,No,2025-01-27 11:59:18
Smart Watches,Smartwatch Xiaomi 2024 carregamento sem fio smartwatch chamadas Bluetooth masculino feminino,"EUR 14,01",36 mm,N/A,watches,watches,N/A,N/A,2025-01-27 11:58:33
Smart Watches,Reino Unido 2025 Novo Smartwatch Grau Médico Pressão Arterial Oxigênio Frequência Cardíaca Bluetooth,"EUR 86,82",33 mm,N/A,Unbranded,Does Not Apply,Android Wear,N/A,2025-01-27 11:56:44
Smart Watches,Smartwatch H20 10 em 1 com 7 pulseiras e airbuds,"EUR 26,15",47 mm,N/A,Unbranded,H20 smart watch,N/A,N/A,2025-01-27 11:57:09
Smart Watches,2025 KOSPET TANK T3 Ultra2 Smartwatch Herren Smartwatch IP69K Wasserdichte Uhr,"€ 15,99",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:58:41
Smart Watches,Relógio inteligente Pressão Arterial Monitor de frequência cardíaca Fitness Tracker Para Ios Android,"EUR 33,34",45 mm,N/A,STC,Smart Watch,"Android 5.0+, IOS 9.0+",64 GB,2025-01-27 11:58:14
Smart Watches,Smart Watch Fitness Tracker Bluetooth Watch Heart Rate Men Women Sport Watches,"EUR 6,48","1.3""",N/A,Unbranded,Smart Bracelet,N/A,N/A,2025-01-27 11:57:37
Smart Watches,Smartwatch Bluetooth relógios monitor de frequência cardíaca relógio esportivo impermeável masculino,"EUR 28,57",105*105*79mm,N/A,LOKMAT,ATTACK,Android/iOS,No,2025-01-27 11:56:26
Smart Watches,2024 For HUAWEI Smart GPS NFC Smart Watch Men AMOLED Screen Heart Rate BT Call..,"EUR 51,13",See Description,300-450mah,Unbranded,N/A,"Android Wear, IOS-Apple",128MB,2025-01-27 12:00:30
Smart Watches,2024 Novo Smartwatch Masculino Militar Externo GPS 466*466 HD AMOLED Tela Coração,"EUR 40,71",36 mm,N/A,watches,watches,N/A,N/A,2025-01-27 11:59:55
Smart Watches,Smartwatch Samsung Galaxy Watch SM-R800 AMOLED 46mm aço inoxidável - Preto SR,"EUR 61,87",46 mm,N/A,Samsung,Samsung Galaxy Gear,Tizen,4 GB,2025-01-27 11:58:18
Smart Watches,"Smartwatch 2024 masculino/feminino, smartwatch à prova d'água Bluetooth iPhone Samsung-","US $13,99 por unidade",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:58:34
Smart Watches,Smartwatch Herren Damen mit Telefonfunktion Armbanduhr Sportuhr für Android IOS,"EUR 89,90",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:58:02
Smart Watches,Smartwatch 2024 masculino/feminino impermeável smartwatch Bluetooth iPhone Samsung,"EUR 21,62",45 mm,N/A,Unbranded,Smart Bracelet,Android Wear,N/A,2025-01-27 11:58:25
Smart Watches,Smartwatch impermeável modo esportivo rastreador fitness masculino feminino para iOS Android,"EUR 21,38",Does not apply,220-300mah,Other,Does not apply,N/A,N/A,2025-01-27 12:00:45
Smart Watches,Schutzhülle Cover Case für Samsung Galaxy Watch 3 41mm / 45mm TPU,"EUR 6,64",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:57:44
Smart Watches,Smartwatch masculino SK27 tela sensível ao toque NFC com 3 pulseiras para Android iPhone,"EUR 39,59",/,N/A,Unbranded,does not apply,N/A,N/A,2025-01-27 12:00:00
Smart Watches,Smartwatch Damen Herren mit Telefonfunktion Armbanduhr für iPhone Samsung Huawei,"€ 89,90",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:57:53
Smart Watches,"SOS Gesundheitsuhr KARDENA® CARE PRO 4 EKG, Schlafanalyse, Puls, Temperatur, App","€ 219,95",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:57:00
Smart Watches,Smartwatch Damen Herren mit Telefonfunktion Armbanduhr für iPhone Samsung Huawei,"€ 59,90",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 12:00:31
Smart Watches,4G Smartwatch Kinder mit GPS und Telefon Smart Watch mit WLAN Videoanruf Kamera,"€ 72,99",N/A,N/A,N/A,N/A,"iOS, Android",512MB,2025-01-27 12:00:22
Smart Watches,GPS Samsung Galaxy Watch4 44mm R870 - Bom,"EUR 47,62",44mm,N/A,Samsung,Galaxy Watch4,Wear OS,16GB,2025-01-27 11:56:53
Smart Watches,Smartwatch masculino Bluetooth chamada pressão arterial frequência cardíaca fitness rastreador Reino Unido,"EUR 47,56",26 mm,N/A,Unbranded,ASD987645,N/A,1 GB,2025-01-27 11:58:26
Smart Watches,Kinder Smartwatch 4G mit Telefonfunktion Wasserdicht 360° GPS Tracker Anruf SOS,"€ 99,90",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:59:11
Smart Watches,Smartwatch Herren smart Uhr wasserdicht HD Bildschirm xiaomi android ios Sports,"€ 49,00",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:59:16
Smart Watches,Smartwatch masculino 360*360 tela AMOLED frequência cardíaca azul para HUAWEI GT4 Pro GPS NFC,"EUR 47,62",1.53 INCH,N/A,ChiBear,GT 4,N/A,N/A,2025-01-27 11:59:40
Smart Watches,Smartwatch Herren Telefonfunktion Armbanduhr Watch für iPhone Samsung Huawei Tab,"€ 79,90",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:57:41
Smart Watches,Smartwatch masculino feminino frequência cardíaca relógios esportivos Reino Unido monitor de fitness pressão arterial,"EUR 72,55",37 mm,N/A,Unbranded,Does Not Apply,Android Wear,N/A,2025-01-27 11:59:35
Smart Watches,Smartwatch Amazfit Band 5 A2005,"EUR 29,73",N/A,N/A,Amazfit,Amazfit Band 5,N/A,N/A,2025-01-27 11:57:07
Smart Watches,Smartwatch Damen Herren mit Telefonfunktion Armbanduhr für iPhone Samsung Huawei,"€ 99,90",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:58:25
Smart Watches,4G Kinder Smartwatch WiFi Videoanruf Telefon mit GPS SOS für Kinder Geschen Neu,"€ 58,99",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:59:01
Smart Watches,Smartwatch masculino grau militar relógio esportivo pedômetro rastreador fitness alarme aplicativo,"EUR 8,30",31 mm,N/A,SEYY,Smart Watch,N/A,N/A,2025-01-27 11:59:55
Smart Watches,Smartwatch masculino meninas crianças chamada telefone GPS SOS relógio impermeável rastreador de cartão SIM,"EUR 13,23",1.44inch,N/A,Unbranded,Smart Watches,Android Wear,N/A,2025-01-27 12:00:31
Smart Watches,"Smartwatch 1,42'' HD Uhr Herren mit Bluetooth Anruf Telefon Schrittzähler SML2","EUR 84,50",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:56:53
Smart Watches,Smartwatch militar masculino (recebimento/discagem de chamadas) rastreador tático robusto fitness,"EUR 47,62","1.43"" screen",N/A,SGNics,KC86-AP-B,N/A,N/A,2025-01-27 11:58:25
Smart Watches,For Huawei Watch 4 Pro GPS Smart Watch Men GT4 PRO AMOLED NFC Bluetooth Call Men,"EUR 24,37",See Details,300-450mah,Unbranded,See Details,"Android Wear,Android OS,IOS",128MB,2025-01-27 12:00:19
Smart Watches,"Smartwatch Uomo Donna, Orologio Smartwatch 1,69'' Smart Watch Sonno Cardio","€ 17,99",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:56:24
Smart Watches,Smartwatch bússola militar masculino tela LED GPS esporte 650mAh Bluetooth chamada 2024,"EUR 38,10",45 mm,N/A,Unbranded,Military,"Android Wear,Proprietary OS,Android OS,IOS,Wear OS,Color OS,Harmo",RAM <128MB,2025-01-27 11:58:50
Smart Watches,"Denver Smartwatch SWC-156 ""gut""","€ 8,07",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:59:30
Smart Watches,"TCL Movetime Family Watch 2 MT42X Speed Blue LTE ""wie neu""","€ 93,18",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:58:39
Smart Watches,Smartwatch masculino feminino relógios femininos femininos para Android iPhone Samsung rastreador fitness.-,"GBP 14,99",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:58:57
Smart Watches,"Novo Smartwatch Ultra HD de 1,85 polegadas GPS Track Bluetooth Call 710 mAh bateria Reino Unido","EUR 35,67",52 mm,N/A,Unbranded,Smart Watch,N/A,N/A,2025-01-27 11:58:33
Smart Watches,Smartwatch infantil chamada de vídeo WIFI 4G SIM SOS botão para celular Android IOS,"EUR 57,01",None,N/A,Unbranded,4G Smart Watch,Android Wear,N/A,2025-01-27 11:58:41
Smart Watches,"Smartwatch GPS 4G WIFI 2,64 polegadas tela sensível ao toque esportes câmera dupla relógios de telefone-","US $165,99",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:58:06
Smart Watches,OPPO Watch 46mm Quad-core 1 GB 8 GB Wi-Fi | LTE Android Wear Preto,"EUR 83,24",4.6 cm,N/A,OPPO,OW19W8,Android Wear,8 GB,2025-01-27 11:59:00
Smart Watches,Novo Smartwatch e Telefone com Câmera Para Samsung LG HTC Huawei Dente Azul,"EUR 12,92",44 mm,N/A,Unbranded,dz09,Android Wear,N/A,2025-01-27 11:59:06
Smart Watches,Smartwatch infantil pressão arterial frequência cardíaca esporte smartwatch fitness rastreador-,"GBP 9,99",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:59:52
Smart Watches,Reino Unido 2025 Novo Smartwatch Grau Médico Pressão Arterial Oxigênio Frequência Cardíaca Bluetooth,"EUR 47,56",36 mm,N/A,Unbranded,Does Not Apply,Android Wear,N/A,2025-01-27 11:57:28
Smart Watches,NOVO Smartwatch Com Câmera Bluetooth Telefone Mate Para Android iOS Samsung iPhone GSM,"EUR 13,33",One Size,N/A,Unbranded,Padgene DZ09,Android Wear,N/A,2025-01-27 11:58:21
Smart Watches,Smartwatches esportivos fitness à prova d'água feminino masculino rastreador de frequência cardíaca iOS Android,"EUR 23,77",47 mm,N/A,Unbranded,F22,N/A,Support 32 GB Max. TF Storage Card (Not Included),2025-01-27 11:58:17
Smart Watches,Smartwatch Garmin Vivoactive 4 GPS - Bom,"EUR 76,20",45 mm,N/A,Garmin,Garmin Vivoactive 4,Android Wear,N/A,2025-01-27 12:00:02
Smart Watches,"HUAWEI WATCH Ultimate PRETO 1.5"" AMOLED Bluetooth iOS Android Smartwatch NOVO","EUR 630,65",38 mm,N/A,Huawei,HUAWEI WATCH Ultimate,Watch AppGallery,N/A,2025-01-27 11:59:38
Smart Watches,Smartwatch Herren mit Telefonfunktion Watch Armbanduhr Elegant Luxus Sportuhr,"€ 119,90",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:59:46
Smart Watches,Smartwatch Pebble Classic Muy Buen Estado - ORIGINAL,"€ 34,00",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 12:00:18
Smart Watches,GT5 Pro GPS NFC Smart Watch Männer 360*360 AMOLED Bildschirm Für Huawei,"€ 55,00",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:58:04
Smart Watches,Orologio Smartwatch M6 Smart Band Fitness Tracker Sport Cardiofrequenzimetro,"€ 9,99",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:57:26
Smart Watches,Smart Watch Idw19 Pink Alexa built-in,"€ 29,99",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:56:38
Smart Watches,Smartwatch Herren GPS Laufuhr LED Taschenlampe Smartwatch Militär mit Kompass,"EUR 27,94",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:57:06
Smart Watches,"Samsung Galaxy Watch6 Classic LTE Smartwatch 47 mm, Black #2 OHNE ARMBAND","€ 149,90",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 12:00:19
Smart Watches,"Samsung Galaxy Watch6 Classic LTE Smartwatch 47 mm, Black #2 OHNE ARMBAND","EUR 149,90",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:58:51
Smart Watches,Smartwatch Bluetooth tela grande telefone reprodutor de música fitness monitor de frequência cardíaca,"EUR 48,58",49 mm,N/A,Unbranded,T91,Android Wear,N/A,2025-01-27 11:56:47
Smart Watches,Smartwatch Herren Telefonfunktion Armbanduhr Watch für iPhone Samsung Huawei Tab,"€ 69,90",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 12:00:34
Smart Watches,Smartwatch masculino Bluetooth chamada ECG monitor de frequência cardíaca sono fitness rastreador,"EUR 31,43",/,280mAH,Unbranded,Smart Watch,"For Android 5.0 or above, IOS 9.0 or above",N/A,2025-01-27 11:57:50
Smart Watches,Bluetooth Smartwatch Fitnessuhr Armband Tracker Sport Schrittzähler Wasserdicht,"€ 20,59",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:59:12
Smart Watches,4G Wifi Kinder Smartwatch GPS Tracker Kamera Videoanruf Smartphone SOS Alert DE,"€ 30,99",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 12:00:14
Smart Watches,Smartwatch masculino feminino monitor fitness pressão arterial frequência cardíaca relógios esportivos Reino Unido,"EUR 21,98",44 mm,200mAh,Unbranded,Smart Bracelet,Android Wear,1 GB,2025-01-27 11:56:48
Smart Watches,Bluetooth Smartwatch Sport Fitness Tracker Schrittzähler Armbanduhr Herren Damen,"€ 8,49",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:59:53
Smart Watches,Smartwatch Herren Damen Uhr Armbanduhr für iPhone Samsung Huawei Xiaomi HD NEU,"EUR 60,00",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:58:09
Smart Watches,Smartwatch esportivo Suunto 7 GPS preto fosco titânio,"EUR 76,20",50 mm,N/A,Suunto,Suunto 7,Wear OS,N/A,2025-01-27 11:57:08
Smart Watches,Smartwatch 4G Android GPS WiFi câmera dupla relógio esportivo rastreador fitness 2+16GB,"EUR 65,23",103*103*75 mm,N/A,Unbranded,APPLLP 4 MAX,N/A,16 GB,2025-01-27 11:56:58
Smart Watches,Smartwatch Damen mit Telefonfunktion Armbanduhr Watch für iPhone Samsung Huawei,"€ 99,90",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:57:53
Smart Watches,Reloj Inteligente Militar Bluetooth De Hombre Para iPhone Android Samsung Galaxy,"EUR 27,62",44-49mm,430mAh,Unbranded,KT71,"Android, IOS",430mAh,2025-01-27 11:59:04
Smart Watches,"Smartwatch masculino Sekonda 45mm laranja. Item 1911,00. Novo em folha RRP £ 79,99-","GBP 59,99",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:57:42
Smart Watches,Smartwatch Herren mit Telefonfunktion Bluetooth WiFi Wasserdicht Schlaftracker,"€ 109,90",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:57:17
Smart Watches,Samsung Galaxy Watch 42mm ouro rosa estojo de aço inoxidável fivela clássica rosa,"EUR 23,82",42 mm,N/A,Samsung,Samsung Galaxy Watch,Tizen,4 GB,2025-01-27 11:57:32
Smart Watches,"Novo Smartwatch Ultra HD de 1,85 polegadas GPS Track Bluetooth Call bateria de 710 mAh","EUR 32,10",52 mm,N/A,Unbranded,Smart Watch,N/A,N/A,2025-01-27 12:00:20
Smart Watches,Full Screen Touch Bluetooth Smartwatch Men Women Sports Fitness Tracker Watch,"AU $10,40",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:59:28
Smart Watches,Smartwatch saúde médica idosa detecção de queda SOS pressão arterial/frequência cardíaca,"EUR 84,88",39 mm,N/A,Kawtco,KF800-Pro,N/A,N/A,2025-01-27 11:56:25
Smart Watches,Smartwatch Damen Frauen mit Telefonfunktion Armbanduhr für iPhone Samsung Huawei,"€ 119,90",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:58:19
Smart Watches,Xiaomi Watch 2 Pro Smartwatch mit Sportarmband Fitness (Bluetooth) ✅ Händler,"€ 179,00",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 12:00:32
Smart Watches,Smartwatch Samsung Galaxy Watch Ultra 47MM LTE desbloqueado L705U IA - Excelente,"EUR 329,61",47 mm,N/A,Samsung,Samsung Galaxy,Wear OS,N/A,2025-01-27 11:59:58
Smart Watches,Smartwatch masculino feminino monitor fitness pressão arterial frequência cardíaca relógios esportivos Reino Unido,"EUR 11,89",45 mm,N/A,Unbranded,NA,N/A,N/A,2025-01-27 11:59:43
Smart Watches,Smartwatch Herren Damen mit Telefonfunktion Armbanduhr für iPhone Samsung Xiaomi,"€ 59,90",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 12:00:12
Smart Watches,Smartwatch Damen Herren mit Telefonfunktion Armbanduhr für iPhone Samsung Huawei,"€ 79,90",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:57:49
Smart Watches,"Smartwatch Xiaomi mibro GS, 1,43'', 5ATM, GPS, frequência cardíaca, SpO2, monitor de sono","EUR 60,96",1.43'',460mAh,mibro,XPAW008,"Android, iOS - Apple",/,2025-01-27 11:57:45
Smart Watches,Sports Smartwatch Men Women Step Count Fitness Health Tracker Unisex Wrist Watch,"EUR 5,38",1.44inch,N/A,Unbranded,Smart Bracelet,N/A,N/A,2025-01-27 11:58:15
Smart Watches,Smartwatch esportivo à prova d'água pulseira esporte monitor de frequência cardíaca fitness,"EUR 7,44",258mm*34.7mm*11.3mm,N/A,Unbranded,Smart Bracelet,N/A,N/A,2025-01-27 11:58:40
Smart Watches,4G Smartwatch Kinder mit GPS und Telefon Smart Watch mit WLAN Videoanruf Kamera,"€ 72,99",N/A,N/A,N/A,N/A,"iOS, Android",512MB,2025-01-27 11:57:00
Smart Watches,Smartwatch Samsung Galaxy Watch Ultra 47mm LTE Galaxy AI prata titânio SM-L705,"EUR 474,53",47 mm,N/A,Samsung,Galaxy Watch Ultra,Wear OS,32 GB,2025-01-27 11:58:35
Smart Watches,Smartwatch Herren Damen mit Telefonfunktion Armbanduhr Sportuhr für Android IOS,"€ 69,95",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 12:00:16
Smart Watches,smartwatch rtl8763ewe sports smart watch KE3,"€ 50,00",N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 12:00:44
