Category,Title,Price,Screen Size,Maximum Resolution,Aspect Ratio,Refresh Rate,Response Time,Brand,Model,Collection Date
Gaming Monitors,"HP Omen 25 24,5 Zoll LED Gaming Monitor - Schwarz","EUR 219,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:47
Gaming Monitors,MSI G272Q 27 POLEGADAS MONITOR DE JOGOS ESPORTS NOVO EM FOLHA LACRADO,"EUR 218,83",27 in,N/A,16:9,170,1 ms,MSI,9S6-3CD39T-016 Refurb,2025-01-27 11:54:42
Gaming Monitors,"18,4-Zoll 4K Tragbarer Monitor USB-C & HDMI | 2160P | VESA kompatibel Gebraucht","EUR 159,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:35
Gaming Monitors,"UPERFECT Tragbarer Monitor 15,6 Zoll Mobiler Monitore 1080P Display USB C HDMI","€ 62,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:39
Gaming Monitors,"17,3 Zoll 4K 3840x2160 IPS LCD Gaming Monitor Tragbarer Monitor 1500:1 500nits","€ 189,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:42
Gaming Monitors,"Monitor duplo HP BARATO TFT 20"" PC MONITOR DE COMPUTADOR VGA DP DVI OFERTA DE TELA PLANA","EUR 23,77","20""",N/A,16:9,60 Hz,N/A,HP,various,2025-01-27 11:54:44
Gaming Monitors,LG 24MR400-B Monitor 24 Zoll Full HD 1920x1080 IPS VGA HDMI AMD FreeSync 100Hz,"€ 68,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:37
Gaming Monitors,"ASUS VA27D 27"" Full HD Monitor - Broken Screen For Parts or Repair","€ 15,36",27 in,N/A,16:9,75 Hz,5 ms,ASUS,VA27D,2025-01-27 11:54:51
Gaming Monitors,"Curved Gaming Monitor Z-Edge UG32P 32"" 240Hz FullHD 1920x1080 (W)","EUR 248,02",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:37
Gaming Monitors,"18,5 Zoll 120Hz Monitor Portable Monitor Gaming Bildschirm PC Monitor HDMI USB-C","EUR 154,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:55:01
Gaming Monitors,"LG Electronics 32GR93U-B.AEU Ultragear™ UWQHD Gaming Monitor 32"", 3840 x 2160,","€ 455,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:19
Gaming Monitors,TELA MONITOR IPS ASUS BE209QLB 20” - NOVA EM FOLHA LACRADA,"EUR 59,45",19.5 in,N/A,16:9,76 Hz,5 ms,ASUS,ASUS BE229QLB,2025-01-27 11:55:03
Gaming Monitors,"144Hz 2K 17,3 Zoll Tragbarer Monitor QHD Bildschirm Für Handy Xbox PS 4 5 Switch","€ 169,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:10
Gaming Monitors,"HP Omen 25 Gaming Monitor 24,5"" FHD 1920x1080 HDMI DP AMD FreeSync 144Hz 1ms","€ 97,96",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:47
Gaming Monitors,"UPERFECT 17,3 Zoll Tragbarer Monitor HDMI USB C 1920x1080 FHD IPS Bildschirm","€ 139,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:45
Gaming Monitors,"UPERFECT 14"" 2K Tragbarer Monitor Laptop-Bildschirm-Extender Für 13""-17"" Laptops","€ 109,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:48
Gaming Monitors,"Eizo Flexscan 24"" TN LED WUXGA Monitor 1920x1200 60Hz EV2416W 0FTD1946","EUR 59,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:31
Gaming Monitors,16 Zoll 144Hz Portable Monitor 2K Tragbarer Monitore QHD 2560*1600 IPS fr Mobile,"€ 76,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:55:07
Gaming Monitors,"UPERFECT 13,3"" IPS Tragbarer Monitor Mobiler Monitor Full HD Gaming Bildschirm","€ 99,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:36
Gaming Monitors,"KTC M27T20 27-Zoll Mini-LED Gaming Monitor mit 2560x1440 2K QHD Auflösung,165Hz","€ 279,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:37
Gaming Monitors,"Unify B5 - Upgrade 15,6 Zoll VESA Tragbarer Monitor 1920x1080 Display","EUR 139,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:10
Gaming Monitors,Lenovo R27q-30 Gaming Monitor 27 Zoll (68.58 cm) 165Hz 1ms HDMI DisplayPort,"EUR 179,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:40
Gaming Monitors,"AOC 24G4X Monitor Gaming 24"" IPS 1800Hz Full HD 1ms Multimediale HDMI/DisplayPor","€ 159,00",N/A,N/A,N/A,N/A,N/A,AOC,N/A,2025-01-27 11:54:37
Gaming Monitors,"Monitor de Computador HP EliteDisplay 24 - Preto, Prata","EUR 85,63",24 in,N/A,16:9,60 Hz,5 ms,HP,1FH46AA,2025-01-27 11:54:45
Gaming Monitors,"18,5 Zoll 120Hz Portable Monitor Tragbarer Monitore 1920*1080 Gaming Bildschirm","€ 99,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:36
Gaming Monitors,AOC 27G2/BK 27 Zoll Full HD IPS WLED Gaming Monitor - Unvollständig,"€ 101,40",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:34
Gaming Monitors,"Portable Gaming Monitor 17,3 Zoll 2K 2560x1440Tragbarer Monitor 144Hz für PS4/5","€ 139,99",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-01-27 11:54:46
