title,price,image_url,product_url,Style,Warranty,Battery Power Rating,Weight,Color,Memory Storage Capacity,Item Weight,GPS,Operating System,Battery Capacity,Human Interface Input,Brand,Special Feature,Whats in the box,Screen Size,Department,Is Discontinued By Manufacturer,Supports Bluetooth,Voice command,Standing screen display size,Battery Cell Composition,Battery Life,Wireless Communication Standard,Item model number,Display technology,Manufacturer,Display Size,Date First Available,Other display features,Compatible Phone Models,Package Dimensions,Wireless communication technologies,Country of Origin,Compatible Devices,OS,Connectivity technologies,Scanner Resolution,Product Dimensions,ASIN,Connectivity Technology,Model Name,Special features,Ram Memory Installed Size,Batteries,Shape,Collection Date
"Smartwatch for Men Women with Bluetooth Call 1.43"" AMOLED Screen Round Smart Watch ...","MAD 548                                                                        
                                                                            876",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JFU5T2W08-smartwatch-for-men-women-with-bluetooth-call-1-43-amoled-screen-round-smart-watch-compatible-android-ios-phone-100-sport-mode-wrist-fitness,,,,,,,4.2 ounces (119.07 grams),GPS Via Smartphone,"Android,iOS",280 Milliamp Hours,,LOJUSIMEH,"Sleep Monitor, Heart Rate Monitor, SpO2, Pedometer, SMS Notifications, Phone Call, Alarm Clock, Calorie Tracker, Camera & Music Player Control, AI Voice Control, Sedentary Reminder, Weather Display, Activity Tracker    See more",,1.96 Inches (5 cm),Unisex,,,,1.96 Inches (5 cm),Lithium Ion,,Bluetooth,7.07457E+11,,LOJUSIMEH,,8-Nov-23,,,5.83 x 3.5 x 0.75 inches (14.8 x 8.9 x 1.9 cm),,China,,,,,,B0CMW83T2J,Bluetooth,,,,1 Lithium Ion batteries required. (included),Square,1/29/2025 22:26
Smartwatch for Men Android iPhone Watch Smart Watch Answer/Make Call with Heart ...,"MAD 603                                                                        
                                                                            822",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MD0YPRXIU-smartwatch-for-men-android-iphone-watch-smart-watch-answer-make-call-with-heart-rate-blood-pressure-pedometer-compass-barometer-sport-fitness-tracker,,,,,,,4.2 ounces (119.07 grams),GPS Via Smartphone,"Android,iOS",280 Milliamp Hours,,LOJUSIMEH,"Sleep Monitor, Heart Rate Monitor, SpO2, Pedometer, SMS Notifications, Phone Call, Alarm Clock, Calorie Tracker, Camera & Music Player Control, AI Voice Control, Sedentary Reminder, Weather Display, Activity Tracker    See more",,1.96 Inches (5 cm),Unisex,,,,1.96 Inches (5 cm),Lithium Ion,,Bluetooth,7.07457E+11,,LOJUSIMEH,,8-Nov-23,,,5.83 x 3.5 x 0.75 inches (14.8 x 8.9 x 1.9 cm),,China,,,,,,B0CMW83T2J,Bluetooth,,,,1 Lithium Ion batteries required. (included),Square,1/29/2025 22:26
"Smart WatchAnswer/Make Call, 1.96"" Smart Watch for Men Women IP68 Waterproof, ...",MAD 302,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/I5DM5VJPY-smart-watch-answer-make-call-2023-newest-1-96-smart-watch-for-men-women-ip68-waterproof-smartwatch-for-android-ios-with-100-sport-modes,,,,,,128 MB,4.2 ounces (119.07 grams),GPS Via Smartphone,"iOS, Android",350 Milliamp Hours,,,"Multisport Tracker, Sedentary Reminder, Weather Forecast, Activity Tracker, Music Player",,2.02 Inches (5.1 cm),,,,,2.02 Inches (5.1 cm),Lithium Polymer,,Bluetooth,,,Joautrial,,21-Mar-24,,,6.3 x 3.46 x 0.87 inches (16 x 8.8 x 2.2 cm),,China,,,,,,B0CYQ191FB,Bluetooth,,,,1 Lithium Polymer batteries required. (included),Square,1/29/2025 22:26
"WalkerFit Men Smart Watches - Round Smart Watch Make/Answer, Waterproof Fitness ...",MAD 669,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JTKF79WLS-slim-smart-watches-for-men-round-smart-watch-for-men-make-answer-call-waterproof-fitness-watch-with-pedometer-blood-pressure-heart-rate-monitor,,,,,,128 MB,4.2 ounces (119.07 grams),GPS Via Smartphone,"iOS, Android",350 Milliamp Hours,,,"Multisport Tracker, Sedentary Reminder, Weather Forecast, Activity Tracker, Music Player",,2.02 Inches (5.1 cm),,,,,2.02 Inches (5.1 cm),Lithium Polymer,,Bluetooth,,,Joautrial,,21-Mar-24,,,6.3 x 3.46 x 0.87 inches (16 x 8.8 x 2.2 cm),,China,,,,,,B0CYQ191FB,Bluetooth,,,,1 Lithium Polymer batteries required. (included),Square,1/29/2025 22:26
"Smart Watch Answer/Make Calls, Ultra Thin 1.43  AMOLED Smart Watches for Men Women, ...",MAD 330,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MXIUTYLYW-smart-watch-answer-make-calls-ultra-thin-1-43-amoled-smart-watches-for-men-women-100-sport-modes-fitness-tracker-with-blood-oxygen-heart,,,,,,128 MB,4.2 ounces (119.07 grams),GPS Via Smartphone,"iOS, Android",350 Milliamp Hours,,,"Multisport Tracker, Sedentary Reminder, Weather Forecast, Activity Tracker, Music Player",,2.02 Inches (5.1 cm),,,,,2.02 Inches (5.1 cm),Lithium Polymer,,Bluetooth,,,Joautrial,,21-Mar-24,,,6.3 x 3.46 x 0.87 inches (16 x 8.8 x 2.2 cm),,China,,,,,,B0CYQ191FB,Bluetooth,,,,1 Lithium Polymer batteries required. (included),Square,1/29/2025 22:26
"Smart Watch for Men Women with 2.1"" HD Screen Military Watches, Call & Text for ...","MAD 328                                                                        
                                                                            450",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/M825BQMN0-smart-watch-for-men-women-with-2-1-hd-screen-military-watches-call-text-for-android-ios-heart-rate-activity-tracker-ip68,,,,,,128 MB,4.2 ounces (119.07 grams),GPS Via Smartphone,"iOS, Android",350 Milliamp Hours,,,"Multisport Tracker, Sedentary Reminder, Weather Forecast, Activity Tracker, Music Player",,2.02 Inches (5.1 cm),,,,,2.02 Inches (5.1 cm),Lithium Polymer,,Bluetooth,,,Joautrial,,21-Mar-24,,,6.3 x 3.46 x 0.87 inches (16 x 8.8 x 2.2 cm),,China,,,,,,B0CYQ191FB,Bluetooth,,,,1 Lithium Polymer batteries required. (included),Square,1/29/2025 22:26
"Smart Watches for Men, 2.02 Inches Sports Fitness Watch with Bluetooth Call, ...","MAD 343                                                                        
                                                                            478",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/J2S7IEULI-smart-watch-for-men-2-02-inches-sports-smartwatch-with-bluetooth-call-fitness-tracker-with-blood-oxygen-heart-rate-and-sleep-monitor-100-sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025 22:26
"Smart Watch for Men Answer/Make Call for Android iOS, Military Smartwatch Heart ...","MAD 603                                                                        
                                                                            876",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JMM0H0URW-smart-watch-for-men-answer-make-call-for-android-ios-military-smartwatch-heart-rate-blood-oxygen-sleep-monitor-step-counter-1-46-hd-waterproof,,,,,Black,,7.8 ounces (221.13 grams),Built-in GPS,Android,4.5E+2 Milliamp Hours,Touchscreen,motsfit,"Phone Call, Notifications, Waterproof, Multisport Tracker, Stopwatch, timer, Compass, Barometer, Flashlight, Activity Tracker, Heart rate, blood pressure, blood oxygen, sleep monitoring, Calculator, Alarm, Music Player,remote camera, Weather    See more","22mm band (silicone and steel), charging cable, user manual",1.43 Inches (3.6 cm),,,,,1.43 Inches (3.6 cm),Lithium Polymer,,Bluetooth,80KC,AMOLED,Motsfit,,24-May-24,Wireless,,6.1 x 3.31 x 1.34 inches (15.5 x 8.4 x 3.4 cm),,China,,Android,Bluetooth,466*466,,B0D53XR1C6,Bluetooth,,"Phone Call, Notifications, Waterproof, Multisport Tracker, Stopwatch, timer, Compass, Barometer, Flashlight, Activity Tracker, Heart rate, blood pressure, blood oxygen, sleep monitoring, Calculator, Alarm, Music Player,remote camera, Weather",,1 Lithium Polymer batteries required. (included),Round,1/29/2025 22:26
"Smart Watch for Men & Women - Android Phones, Make/Answer Calls, Messaging, Voice ...","MAD 603                                                                        
                                                                            643",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4RLEAOMO6-ekton-smart-watch-bluetooth-watch-compatible-with-android-and-iphone-advanced-smart-watches-for-women-and-men-with-multisport-function,,,,,Black,,7.8 ounces (221.13 grams),Built-in GPS,Android,4.5E+2 Milliamp Hours,Touchscreen,motsfit,"Phone Call, Notifications, Waterproof, Multisport Tracker, Stopwatch, timer, Compass, Barometer, Flashlight, Activity Tracker, Heart rate, blood pressure, blood oxygen, sleep monitoring, Calculator, Alarm, Music Player,remote camera, Weather    See more","22mm band (silicone and steel), charging cable, user manual",1.43 Inches (3.6 cm),,,,,1.43 Inches (3.6 cm),Lithium Polymer,,Bluetooth,80KC,AMOLED,Motsfit,,24-May-24,Wireless,,6.1 x 3.31 x 1.34 inches (15.5 x 8.4 x 3.4 cm),,China,,Android,Bluetooth,466*466,,B0D53XR1C6,Bluetooth,,"Phone Call, Notifications, Waterproof, Multisport Tracker, Stopwatch, timer, Compass, Barometer, Flashlight, Activity Tracker, Heart rate, blood pressure, blood oxygen, sleep monitoring, Calculator, Alarm, Music Player,remote camera, Weather",,1 Lithium Polymer batteries required. (included),Round,1/29/2025 22:26
"Smart Watch for Men & Women - Android Phones, Make/Answer Calls, Messaging, Voice ...","MAD 603                                                                        
                                                                            643",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4XR0XIAU4-ekton-smart-watch-make-and-receive-calls-voice-assistant-wireless-charging-hd-full-touch-screen-with-double-tap-screen-on-health-monitor-message,,,,,Black,,7.8 ounces (221.13 grams),Built-in GPS,Android,4.5E+2 Milliamp Hours,Touchscreen,motsfit,"Phone Call, Notifications, Waterproof, Multisport Tracker, Stopwatch, timer, Compass, Barometer, Flashlight, Activity Tracker, Heart rate, blood pressure, blood oxygen, sleep monitoring, Calculator, Alarm, Music Player,remote camera, Weather    See more","22mm band (silicone and steel), charging cable, user manual",1.43 Inches (3.6 cm),,,,,1.43 Inches (3.6 cm),Lithium Polymer,,Bluetooth,80KC,AMOLED,Motsfit,,24-May-24,Wireless,,6.1 x 3.31 x 1.34 inches (15.5 x 8.4 x 3.4 cm),,China,,Android,Bluetooth,466*466,,B0D53XR1C6,Bluetooth,,"Phone Call, Notifications, Waterproof, Multisport Tracker, Stopwatch, timer, Compass, Barometer, Flashlight, Activity Tracker, Heart rate, blood pressure, blood oxygen, sleep monitoring, Calculator, Alarm, Music Player,remote camera, Weather",,1 Lithium Polymer batteries required. (included),Round,1/29/2025 22:26
Smartwatch for Men Android iPhone Watch Smart Watch Answer/Make Call with Heart ...,MAD 603,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JNQP9MHQC-smartwatch-for-men-android-iphone-watch-smart-watch-answer-make-call-with-heart-rate-blood-pressure-pedometer-compass-barometer-sport-fitness-tracker,,,,,Black,,7.8 ounces (221.13 grams),Built-in GPS,Android,4.5E+2 Milliamp Hours,Touchscreen,motsfit,"Phone Call, Notifications, Waterproof, Multisport Tracker, Stopwatch, timer, Compass, Barometer, Flashlight, Activity Tracker, Heart rate, blood pressure, blood oxygen, sleep monitoring, Calculator, Alarm, Music Player,remote camera, Weather    See more","22mm band (silicone and steel), charging cable, user manual",1.43 Inches (3.6 cm),,,,,1.43 Inches (3.6 cm),Lithium Polymer,,Bluetooth,80KC,AMOLED,Motsfit,,24-May-24,Wireless,,6.1 x 3.31 x 1.34 inches (15.5 x 8.4 x 3.4 cm),,China,,Android,Bluetooth,466*466,,B0D53XR1C6,Bluetooth,,"Phone Call, Notifications, Waterproof, Multisport Tracker, Stopwatch, timer, Compass, Barometer, Flashlight, Activity Tracker, Heart rate, blood pressure, blood oxygen, sleep monitoring, Calculator, Alarm, Music Player,remote camera, Weather",,1 Lithium Polymer batteries required. (included),Round,1/29/2025 22:27
Smartwatch for Men Android iPhone Watch Smart Watch Answer/Make Call with Heart ...,"MAD 603                                                                        
                                                                            740",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MEPLC7M14-reloj-inteligente-para-hombre-android-iphone-watch-reloj-inteligente-responder-hacer-llamadas-con-frecuencia-cardiaca-presion-arterial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025 22:27
"Smart Watch Answer/Make Call, 1.96"" HD Smartwatch for Women, 2025 Fitness Watch ...","MAD 1423                                                                        
                                                                            2243",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/N2TWHLJAE-smart-watch-answer-make-call-1-96-hd-smartwatch-for-women-2025-fitness-watch-with-112-sport-mode-pedometer-calories-sleep-heart-rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025 22:26
Smart Watch for Women Men with Heart Rate Monitor Blood Pressure Blood Oxygen ...,MAD 371,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MRNB8QFLC-telescepe-smart-watch-for-women-men-with-heart-rate-monitor-blood-pressure-blood-oxygen-monitor-sleep-tracker-fitness-watch-compatible-with-iphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025 22:26
Smartwatch for Men Android iPhone Watch Smart Watch Answer/Make Call with Heart ...,"MAD 603                                                                        
                                                                            740",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MCXTIMOM8-smartwatch-for-men-android-iphone-watch-smart-watch-answer-make-call-with-heart-rate-blood-pressure-pedometer-compass-barometer-sport-fitness-tracker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025 22:26
"Smart Watch for Android iOS Phones, HD Display Smartwatch for Women Men Built-in ...",MAD 876,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/MBO3RDIDU-smart-watches-for-women-men-answer-make-calls-compatible-ios-android-phones-1-8-hd-screen-fitness-tracker-smartwatches-heart-rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/29/2025 22:27
