Title,Price,Screen Size,Maximum Resolution,Aspect Ratio,Refresh Rate,Response Time,Brand,Model,Collection Date
"EVICIV 16.0"" 3K OLED 120Hz 100000:1 500 cd/m² Portable Monitor 100% DCI-P3 1800P",$179.99,16 in,,16:10,120 Hz,1 ms,EVICIV,EV160B01,2025-02-01 00:07:59
"Dell P2412Hb 24"" 1920 x 1080 LCD Monitor w/Stand. Grade A",$50.00/ea,24 in,,,60 Hz,,Dell,,2025-02-01 00:07:42
"EVICIV 16"" 2K 120Hz Portable Monitor USB C Second Screen For Gaming Xbox Used US",$56.99,16 in,,16:10,120 Hz,16 ms,EVICIV,EVlays C2,2025-02-01 00:07:40
"Amazon Basics 27 Inch Monitor, FHD 1080P, 100Hz, VESA Compatible",US $89.00/ea,,,,,,,,2025-02-01 00:07:46
"iProda 18.5 Inch Portable Monitor FHD 1080P 120hz PS5/4, Mac, PC USB C BRAND NEW",US $69.99,,,,,,,,2025-02-01 00:07:34
"HP M24F FHD Monitor 5ms IPS LED FHD HDMI VGA, Power Cord & HDMI Included",$99.99,23.8 in,,16:9,70 Hz,5 ms,HP,HP M24f,2025-02-01 00:07:30
HP EliteDisplay S231D 23 In FHD Monitor Built in Webcam Certified Refurbished,$77.99,23 in,,16:9,50 to 60 Hz,7 ms,HP,,2025-02-01 00:07:38
Dell Monitor Model SE2719H-missing stand,US $45.00,,,,,,,,2025-02-01 00:07:37
"AOC C27G2Z 27 Curved Frameless Ultra-Fast Gaming Monitor FHD 1080p, 0.5ms 24...",$150.00,27 in,,16:9,240 Hz,0.5 ms,AOC,C27G2Z,2025-02-01 00:07:33
"Dell Ultrasharp 2001FP LCD 20.1"" Retro Gaming Square Monitor DVI VGA S-video!",$39.99,20 in,,5:4,,,Dell,2001FP,2025-02-01 00:07:45
"HP Series 5 532sf 31.5"" FHD VA Monitor 100 Hz 7ms GtG 3000:1 Edge-lit HDMI VGA",$158.00,31.5 in,,16:9,100 Hz,7 ms,HP,Series 5 532sf,2025-02-01 00:07:36
"38cm 15"" ELO TOUCHSCREEN MONITOR CANVYS PV760T WINDOWS XP 7 10 11 USB RS-232 #2",$97.68,,,,,,,,2025-02-01 00:07:49
"LG 27"" Inch Widescreen IPS LCD Computer Monitor 27MP40W-B HDMI VGA AMD Freesync",$64.43/ea,27 in,,16:9,75 Hz,,LG,27MP40W-B,2025-02-01 00:07:35
"Dell UltraSharp U2913WMt 29"" Ultra Wide LED LCD Monitor",$98.99,29 in,,,,,Dell,Dell   U2913WMt,2025-02-01 00:07:43
ViewSonic 144hz Curved Gaming Monitor VX2458-C-mhd Used (Scratched) Cheap! 🔥,$75.00,24 in,,16:9,144 Hz,1 ms,ViewSonic,,2025-02-01 00:07:33
"Cisco 42"" Color TFT LCD Monitor FS-A4206F",$200.00,42 in,,,,,Cisco,,2025-02-01 00:07:33
"HP EliteDisplay E231 23"" inch 1920 x 1080 Monitor DVI VGA DP",$39.38,,,,,,,,2025-02-01 00:07:45
"Acer 17"" LCD VGA Analog Monitor V173 1280x1024 Resolution 4:3 for Retro Gaming",$39.95/ea,17 in,,5:4,75 Hz,5 ms,Acer,v173,2025-02-01 00:07:36
Sceptre Monitor,$24.99,24 in,,,75 Hz,,Sceptre,,2025-02-01 00:07:35
US - Portable Monitor 7 inch LCD Display Screen with AV VGA HDMI Input for PC,$38.49,7 in,,16:9,75 Hz,6 ms,Unbranded/Generic,M701CH,2025-02-01 00:07:40
"HP M24F (Black) FHD Monitor 23.8"" IPS Display AMD FreeSync 5ms VGA HDMI 75 Hz",$102.00,23.8 in,,16:9,75 Hz,5 ms,HP,M24fe,2025-02-01 00:07:36
"HP M27fe FHD Monitor 27"" IPS Display (1080p) AMD FreeSync 5ms VGA HDMI 75 Hz",US $110.00,,,,,,,,2025-02-01 00:07:36
"Dell UltraSharp U2415 24"" FHD LED Monitor 1900 x 1200 HDMI DP miniDP - *Grade B*",$79.99,24 in,,16:10,60 Hz,8 ms,Dell,Dell U2415,2025-02-01 00:07:39
"LG 27SR50F-W 27"" FHD IPS LED Smart Monitor",$175.00,27 in,,,60 Hz,5 ms,LG,LG 27SR50F-W,2025-02-01 00:07:33
"Lenovo N27p 27"" Class 4K UHD LED Monitor - 16:9",$168.89,27 in,,16:9,,4ms,Lenovo,67C2GCC1US,2025-02-01 00:07:46
"Lenovo T2324dC 23"" ThinkVision 1920 X 1080 LED LCD Monitor w/ Cable & Stand",$46.99/ea,23 in,,,,,Lenovo,T2324dC,2025-02-01 00:07:44
Xiaomi Gaming Monitor 27in 165Hz 1ms 1920*1080 Fast IPS HDR10 FreeSync,$129.99,27 in,,,165 Hz,1 ms,Xiaomi,,2025-02-01 00:07:32
Name Brand 17in LCD Monitor for Desktop Computer PC (Grade A) - Lot(s) available,US $34.49,,,,,,,,2025-02-01 00:07:42
"Panasonic BT-LH1850P 18.5"" HDMI SDI Professional Monitor USED",$379.42,18.5 in,,,,,Panasonic,BT-LH1850P,2025-02-01 00:07:36
"22"" 1080P HDMI VGA LED Monitor CCTV DVR NVR w/Built in Speaker Eye Care",$57.99/ea,22 in,,,,5 ms,Unbranded,LED-22,2025-02-01 00:07:33
Elo 2201L 22 in Touchscreen LED Monitor (C112505),$289.75,"22""",,16:9,,14 ms,Elo,2201L,2025-02-01 00:07:39
"Dell UltraSharp U2412M 24"" Widescreen IPS LED Monitor FHD 1920x1200 USB GRADE C",US $59.99,,,,,,,,2025-02-01 00:07:34
"16"" 2K 144Hz Portable Monitor 2560*1600 USB C Second Screen Switch Display Game",$101.99,16 in,,16:10,144 Hz,3 ms,UPERFECT,UGame C2 Pro,2025-02-01 00:07:35
UPERFECT 22 Inch Portable Monitor 2K 2560*1440 Laptop Display Computer Monitor,US $210.99,,,,,,,,2025-02-01 00:07:43
"8.8""Long Strip LCD Screen 1920*480 USB-HDMI Sub-Display Monitor for Computer Car",$97.79,8.8in,,,,,Unbranded,,2025-02-01 00:07:48
"Dell 24"" LCD Full HD Monitor Built-in Speakers Adjustable Stand HDMI",US $69.99,,,,,,,,2025-02-01 00:07:34
"HP EliteDisplay E272q 27"" 2560x1440 QHD 60Hz LED Monitor DP HDMI VGA",$72.15,27 in,,16:9,60 Hz,,HP,E272q,2025-02-01 00:07:31
GeChic 1303i 13.3 inch 1080p Touchscreen Portable Monitor HDMI VGA MiniDisplay,$39.75,13.3 in,,,,,Gechic,ON-LAP 1303,2025-02-01 00:07:32
"Dell UltraSharp U2419H 23.8"" Full HD IPS LCD Computer Monitor without Stand",$59.99,23.8 in,,16:9,60 Hz,4 ms,Dell,Dell UltraSharp U2419H,2025-02-01 00:07:48
"Dell S2723HC 27"" USB-C Monitor 4 ms FHD LCD 75Hz AMD FreeSync",$142.47,27 in,,16:9,75 Hz,4 ms,Dell,S2723HC,2025-02-01 00:07:39
*PRISTINE* Dasung Paperlike Pro-F - E-ink Monitor,US $560.00,,,,,,,,2025-02-01 00:07:40
Raspberry Pi 5.5inch 1440×2560 HDMI 2K Capacitive Touch LCD Display IPS Screen,$67.67,5.5inch,,,,,Waveshare,5.5inch 1440x2560 LCD,2025-02-01 00:07:44
AIDA64 USB 3.5 Inch IPS Display Screen Secondary Screen Mini Monitor For PC C0A8,US $24.88/ea,,,,,,,,2025-02-01 00:07:47
"MSI 24"" 180Hz Rapid IPS FHD Gaming Monitor 1920 x 1080 G244PF E2",$112.49,24 in,,16:9,180 Hz,1 ms,MSI,G244PF E2,2025-02-01 00:07:46
"MSI 25"" 180Hz Rapid IPS FHD Gaming Monitor FreeSync 1920 x 1080",$112.49,25 in,,16:9,180 Hz,1 ms,MSI,G255F,2025-02-01 00:07:45
"Acer S240HL 24"" Widescreen 1080p Grade A LED LCD Monitor NO Adapter NO Cable",$29.99,24 in,,16:9,60 Hz,5 ms,Acer,Acer S240HL,2025-02-01 00:07:37
"Major brand 22"" LCD Widescreen Monitor FHD 1920x1080 Desktop Computer HDMI DP",$19.96/ea,22 in,,16:9,60 Hz,,"Dell, HP, Samsung, LG, Viewsonic..etc",,2025-02-01 00:07:41
Sealan 24 inch Computer Gaming Monitor  100Hz Refresh Rate 16:9,$89.00,24 in,,16:9,100 Hz,,Sealan,Z240B13,2025-02-01 00:07:34
HP Hewlett Packard 700/96 C1064W Terminal CRT Monitor | No Keyboard,$6.90,See Title,,,,,See Title/Description,See Title/Description,2025-02-01 00:07:34
"Dell E151FP 15"" TFT LCD VGA Flat Panel Color Monitor Grey - Stand/ Power Cable",$45.00,15 in,,5:3,60 Hz,6 ms,Dell,Dell U2415,2025-02-01 00:07:46
"Asus VS248 24"" 1920x1080 60Hz LED Monitor DVI VGA HDMI no STAND",$25.00,24 in,,16:9,60 Hz,2 ms,ASUS,VS248,2025-02-01 00:07:43
Portable Monitor 10 inch LCD Display Screen with AV VGA HDMI Input for PC DSLR,$68.99,10.1 in,,16:9,,,iPoster,,2025-02-01 00:07:39
"Portable Monitor 16"" 2K QHD USB C HDMI 100% sRGB Wall Mount For Laptop Computer",$79.19,16 in,,16:10,60 Hz,3 ms,UPERFECT,UXbox J1,2025-02-01 00:07:40
"BenQ MOBIUZ EX2510S 25"" 165Hz IPS Gaming Monitor 2ms 2x HDMI, 1x DisplayPort",$112.00,24.5 in,,16:9,165 Hz,2 ms,BenQ,BenQ MOBIUZ EX2510S,2025-02-01 00:07:41
"Dell P2422H 24"" FHD 1920x1080 DP HDMI Slim Bezel LED LCD Monitor *GRADE B*",$99.99,24 in,,16:9,60 Hz,8 ms,Dell,Dell P2422H,2025-02-01 00:07:39
"15.6"" Portable Monitor FHD 1080P USB-C HDMI IPS HDR Gaming & Office Display",$73.47,15.6 in,,8:5,75 Hz,1 ms,3G Technology,,2025-02-01 00:07:48
"HP EliteDisplay E243 Monitor 24"" Widescreen Full HD HDMI Black Silver LED IPS-",EUR 74.90,,,,,,,,2025-02-01 00:07:47
"Dell UltraSharp 20 inch LCD Monitor with Power cable and VGA cable Grade A+ 20""",$45.00,22 in,,5:4,75 Hz,5 ms,Dell,P2016,2025-02-01 00:07:44
"Samsung LS27C392EANXGO 27"" S39C Curved FHD Monitor 1920 x 1080 75Hz 4ms VA LCD",US $72.98,,,,,,,,2025-02-01 00:07:47
"Viotek 24"" LED Gaming Monitor FI24D 75hz 2560 x 1440p 6ms HDMI & DP 3.5mm",$79.99,24 in,,16:9,75 Hz,6 ms,VIOTEK,FI24D,2025-02-01 00:07:34
"Z-EDGE 27-inch Curved Gaming Monitor, Full HD 1080P FHD LED Backlight 100Hz",US $100.00,,,,,,,,2025-02-01 00:07:32
"LG 22MP56HQ-P 22"" LED Computer Monitor. Great Condition!  Works Great!",$32.99,22 in,,16:9,,,LG,,2025-02-01 00:07:40
Lenovo ThinkVision M15 15.6” FHD WLED LCD Mobile Monitor Portable 62CA-UAR1,$89.98,15.6 in,,,60 Hz,,Lenovo,Lenovo ThinkVision M15,2025-02-01 00:07:37
"Used | 120Hz Monitor 16"" 2K 2560x1600 16:10 Gaming Portable Monitor for PS Xbox",$62.99,16 in,,16:10,120 Hz,3 ms,UPERFECT,160C01,2025-02-01 00:07:48
Sony SDM-S51 LCD Monitor Panel! Brand New,$115.00,15 in,,,,,Sony,,2025-02-01 00:07:35
"Lenovo ThinkVision C24-20 23.8"" Full HD WLED LCD Monitor - 16:9  Black",$50.00,23.8 in,,,,,Lenovo,,2025-02-01 00:07:47
Dell C2422HE 24'' IPS LED Video Conferencing LCD Monitor IR Camera *GRADE C*,$99.99,24 in,,16:9,60 Hz,5 ms,Dell,Dell C2422HE,2025-02-01 00:07:41
"MSI 27"" 180Hz Rapid IPS FHD Gaming Monitor G-Sync Compatible 1920 x 1080",$142.99,27 in,,16:9,180 Hz,1 ms,MSI,G274F,2025-02-01 00:07:45
"Lenovo ThinkVision T23i-20 23"" Widescreen 1920x1080 LED IPS Monitor - Grade B",$79.99,23 in,,16:9,60 Hz,6 ms,Dell,Lenovo ThinkVision T23i-20,2025-02-01 00:07:47
Used | 16” 120Hz Monitor 2K Portable Monitor USB C Gaming Monitor Freesync,US $53.99,,,,,,,,2025-02-01 00:07:37
"UPERFECT 16"" 2K Portable Gaming Monitor 144Hz Portable Monitor 2560*1600 QHD",$89.00,16 in,,16:10,60 Hz,3 ms,UPERFECT,UXbox E2,2025-02-01 00:07:35
"ASUS ZenScreen MB14AC 14"" IPS LED Portable Monitor",$49.49,14&quot;,,,,,Asus,,2025-02-01 00:07:46
ONN 22 inch Computer Full HD LED Monitor HDMI and VGA,$49.95,22 in,,16:9,60 Hz,6.5 ms,ONN,100002480,2025-02-01 00:07:47
"Dell S2715Ht 27"" FHD 1080P LED Backlit IPS Widescreen LCD Monitor HDMI VGA",$129.99,27 in,,16:9,60 Hz,8 ms,Dell,,2025-02-01 00:07:32
"MSI PRO MP273A 27"" FHD Business Flat IPS Monitor 100Hz/1ms Build-in Speaker",$79.99/ea,"27"" inches",,16:9,,1 ms (MPRT),MSI,,2025-02-01 00:07:49
"HP EliteDisplay E243 Monitor 24"" Widescreen Full HD HDMI Black Silver LED IPS",$77.83,,,,,,,,2025-02-01 00:07:39
"HP Series 5 27 inch FHD White Monitor - 527sw 27"" FHD (1920 x 1080) 48-100 Hz",$139.99,Not Available,,16:9,,,HP,HP Series 5 27 inch FHD White Monitor - 527sw,2025-02-01 00:07:40
"13-17.3"" Dual Triple Monitor 1080P IPS FHD Monitor Screen Extender for Laptops",$259.76,,,,,,,,2025-02-01 00:07:37
"UPERFECT 15.6"" Portable Monitor 1920*1080 Display HDMI &USB C 3.1 Travel Monitor",$99.99,15.6 in,,16:9,60 Hz,3 ms,UPERFECT,UP156S01,2025-02-01 00:07:41
"14"" 3:2 Portable Monitor 2160*1440 2K QHD LCD Screen w/HDMI & Type C Display",$89.99,14 in,,3:2,60 Hz,3 ms,UPERFECT,UBegin J314,2025-02-01 00:07:41
"HP VH22 22"" Widescreen Full HD 1920x1080 16:9 LED LCD Monitor VGA DVI DP Grade A",$69.99,21.5 in,,16:9,,5 ms,HP,,2025-02-01 00:07:38
