Category,Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
Smart Watches,", Call 2.01"" for iPhone Samsung",32.39,39.8,283,IOWODO,Sports Fitness Tracker,Android Wear,128.0,2025-01-28 17:24:40
Smart Watches,Call ECG,32.99,39.8,283,Unknown,Smart Watch,Android Wear,16.0,2025-01-28 17:24:15
Smart Watches,(Answer/Make Calls) Rugged Tactical,33.82,39.8,400,Unknown,Smart Bracelet,Android Wear,16.0,2025-01-28 17:24:38
Smart Watches,Samsung Galaxy Active 2 40mm - SM-,34.99,40.0,283,Samsung,Samsung Galaxy Watch Active 2,Tizen,4.0,2025-01-28 17:24:21
Smart Watches,"Amazfit Bip 3 1.69"" Large Color",37.77,39.8,283,Amazfit,Amazfit Bip 3,Unknown,16.0,2025-01-28 17:23:59
Smart Watches,"Gear S3 Classic , SM-R770",38.99,46.0,283,Samsung,Gear S3 Classic,Tizen,4.0,2025-01-28 17:23:15
Smart Watches,Fitbit Inspire Health and &,39.98,39.8,283,Fitbit,Fitbit Inspire,Unknown,16.0,2025-01-28 17:23:38
Smart Watches,Samsung Galaxy Watch4 Classic 42mm R880 - Poor,39.99,42.0,283,Samsung,Galaxy Watch4 Classic,Wear OS,16.0,2025-01-28 17:24:09
Smart Watches,Men LED Sport 650mAh Call,39.99,45.0,283,Unknown,Military,Android Wear,16.0,2025-01-28 17:24:47
Smart Watches,Samsung Galaxy Watch4 40mm R860 - Poor,39.99,40.0,283,Samsung,Galaxy Watch4,Wear OS,16.0,2025-01-28 17:24:44
Smart Watches,SKG R8 1.8'' with Answer/Make Call Alexa Built-in,46.99,39.8,283,Unknown,SKG R8,Android Wear,16.0,2025-01-28 17:24:05
Smart Watches,Huawei GT 46mm StainlessSteel Titanium Open Box,47.84,46.0,283,Huawei,Huawei Watch GT,LiteOS,16.0,2025-01-28 17:23:50
Smart Watches,Samsung Galaxy Watch4 Classic SM-R890 46mm Stainless Steel Case -,47.99,46.0,283,Samsung,Samsung Galaxy Watch4 Classic,Wear OS,16.0,2025-01-28 17:23:16
Smart Watches,UK Medical Grade Oxygen,48.73,36.0,283,Unknown,Does not apply,Android Wear,16.0,2025-01-28 17:24:07
Smart Watches,"with Sport Mode 2"" Inch",49.99,50.0,283,Unknown,Smart Bracelet,Android Wear,1.0,2025-01-28 17:23:34
Smart Watches,/ iPhone Samsung,49.99,40.0,180,Unknown,LS02,Android Wear,16.0,2025-01-28 17:24:01
Smart Watches,Large Music Player,50.99,49.0,283,Unknown,T91,Android Wear,16.0,2025-01-28 17:23:35
Smart Watches,Samsung Galaxy Watch4 44mm R875 + -,54.99,44.0,283,Samsung,Galaxy Watch4,Wear OS,16.0,2025-01-28 17:24:04
Smart Watches,Video Call 4G SIM Button for IOS Cellphone,59.84,39.8,283,Unknown,4G Smart Watch,Android Wear,16.0,2025-01-28 17:23:08
Smart Watches,Samsung Galaxy 4 40mm + + R860 -,59.99,40.0,283,Samsung,Samsung Galaxy Watch4,Wear OS,16.0,2025-01-28 17:23:09
Smart Watches,Samsung Galaxy Watch4 Classic 46mm R895 + -,59.99,46.0,283,Samsung,Galaxy Watch4 Classic,Wear OS,16.0,2025-01-28 17:23:56
Smart Watches,"TOZO 5 Answer/Make Call 1.43"" 100+ Sport",59.99,46.0,283,TOZO,S5,Unknown,16.0,2025-01-28 17:24:06
Smart Watches,Samsung Galaxy Active2 40mm 44mm - Excellent Condition,62.48,39.8,283,Samsung,Samsung Galaxy Watch Active2,Tizen,16.0,2025-01-28 17:24:42
Smart Watches,Samsung Galaxy SM-R800 46mm Stainless Steel - SR,64.95,46.0,283,Samsung,Samsung Galaxy Gear,Tizen,4.0,2025-01-28 17:23:54
Smart Watches,Samsung Gear S3 Frontier SM-R760 46mm - Dark SR,69.95,46.0,283,Samsung,Samsung Gear S3 Frontier,Tizen,4.0,2025-01-28 17:23:36
Smart Watches,Samsung Galaxy Active 2 SM-R820 44mm Aluminum with Sport Band OPEN BOX,69.98,44.0,283,Samsung,Samsung Galaxy Watch Active 2,Tizen,4.0,2025-01-28 17:24:11
Smart Watches,Fitbit Versa 2 w/ Small & Large Bands,69.99,40.0,283,Fitbit,Fitbit Versa 2,Unknown,16.0,2025-01-28 17:24:41
Smart Watches,Samsung Galaxy Watch4 Aluminum 44mm LTE (SM-),69.99,44.0,283,Samsung,Samsung Galaxy Watch4,Unknown,16.0,2025-01-28 17:24:45
Smart Watches,Samsung Galaxy Watch5 40mm -,69.99,40.0,283,Samsung,Galaxy Watch5,Wear OS,16.0,2025-01-28 17:24:00
Smart Watches,Google Pixel 1 1st gen & LTE (Unlocked) condition Verizon,76.0,41.0,283,Google,Google Pixel Watch,Wear OS,32.0,2025-01-28 17:24:00
Smart Watches,with Answer/Make Call HR for Samsung Galaxy S24+,79.99,39.0,283,Unknown,S66,Wear OS,16.0,2025-01-28 17:23:51
Smart Watches,Samsung Galaxy Gear S3 Frontier 46mm SM-R765 Dark,81.69,46.0,283,Samsung,Gear S3 Frontier,Tizen,4.0,2025-01-28 17:24:46
Smart Watches,Samsung Galaxy 5 40mm + + R900 -,82.99,40.0,283,Samsung,Samsung Galaxy Watch5,Wear OS,16.0,2025-01-28 17:24:02
Smart Watches,"2.04"" HD 4G-64GB 8.1 HD Video Call,NFC, Apps,850mAm,USA",85.0,39.8,283,Unknown,31B,Android Wear,64.0,2025-01-28 17:23:35
Smart Watches,Garmin Vivoactive 4 All Colors 0GB -,99.0,45.0,283,Garmin,Garmin Vivoactive 4,Android Wear,16.0,2025-01-28 17:23:13
Smart Watches,Samsung Galaxy Gear S SM- Curved Super -,99.95,44.0,283,Samsung,Samsung Galaxy Gear,Tizen,16.0,2025-01-28 17:24:37
Smart Watches,Samsung Galaxy 6 44mm + + R940 -,109.99,44.0,283,Samsung,Samsung Galaxy Watch6,Wear OS,16.0,2025-01-28 17:23:12
Smart Watches,Samsung Galaxy Gear S4 Frontier 46mm SM-,110.99,46.0,283,Samsung,Gear S4,Tizen,4.0,2025-01-28 17:24:16
Smart Watches,Samsung Galaxy Watch6 40mm - Excellent,111.99,40.0,283,Samsung,Galaxy Watch6,Wear OS,16.0,2025-01-28 17:23:09
Smart Watches,Apple Series 5 40mm + Wi-Fi Aluminum Case + Band -,124.99,40.0,283,Apple,Apple Watch Series 5,Apple Watch OS,32.0,2025-01-28 17:23:15
Smart Watches,"Huawei Fit 3 1.82"" 5 ATM iOS",134.99,46.0,283,Huawei,Huawei Watch Fit 3,Android Wear,16.0,2025-01-28 17:24:33
Smart Watches,4G Camera 7.1 Unlocked Big 16GB/32GB,156.97,39.8,283,Unknown,4G Unlocked Watch,Android Wear,1.0,2025-01-28 17:24:47
Smart Watches,"2.88"" Larger 4G 9.0 Dual Camera 4+64GB",183.99,39.8,283,Unknown,smartwatch,Android Wear,16.0,2025-01-28 17:23:55
Smart Watches,Samsung Galaxy 7 - 44mm - (LTE + ) -,184.98,44.0,283,Samsung,SM-L315U,Unknown,16.0,2025-01-28 17:23:07
Smart Watches,"Galaxy 7 44mm AI , , *Latin America*",189.99,44.0,283,Samsung,Galaxy Watch7,Unknown,16.0,2025-01-28 17:24:11
Smart Watches,Samsung Galaxy 7 44mm LTE SM- Sealed 1YR WTY,199.99,44.0,283,Samsung,Samsung Watch 7,Wear OS,32.0,2025-01-28 17:24:10
Smart Watches,"Huawei GT 5 46mm 1.43"" iOS",224.99,46.0,283,Huawei,Huawei Watch GT 5,Unknown,16.0,2025-01-28 17:23:34
Smart Watches,Garmin Lily 2 Active - 38mm Stylish (010--01),249.99,38.0,283,Garmin,Lily 2 Active,Unknown,16.0,2025-01-28 17:23:17
Smart Watches,Google - Pixel 3 - - LTE -,249.99,39.8,283,Google,Google Pixel Watch,Unknown,16.0,2025-01-28 17:23:56
Smart Watches,Apple Series 9 - + GSM 45mm - Excellent,274.99,45.0,283,Apple,Apple Watch Series 9,Apple Watch OS,64.0,2025-01-28 17:24:23
Smart Watches,"Huawei GT 5 Pro 46mm 1.43"" iOS",280.99,46.0,283,Huawei,Huawei Watch GT 5 Pro,Unknown,16.0,2025-01-28 17:24:40
Smart Watches,Samsung Galaxy Ultra LTE 47mm - SM- - Titanium,379.99,47.0,283,Samsung,Samsung Galaxy Watch Ultra,Wear OS,32.0,2025-01-28 17:23:45
Smart Watches,Apple Ultra & 49mm Titanium Trail Alpine Loop Ocean Excellent,449.99,49.0,283,Apple,Apple Watch Ultra,Apple Watch OS,32.0,2025-01-28 17:23:11
Smart Watches,Garmin 010--09 D2 Air X10 Aviator Health,475.0,39.8,283,Garmin,Garmin D2 Air X10,Unknown,16.0,2025-01-28 17:24:09
