Title,Price,Screen Size,Maximum Resolution,Aspect Ratio,Refresh Rate,Response Time,Brand,Model,Collection Date
"VIOTEK 27"" 165hz 1920x1080p FHD w/Speakers Curved Gaming Monitor 3000:1 FreeSync",$109.99,27 in,N/A,16:9,165 Hz,3 ms,Viotek,GNV27CB,2025-02-08 16:17:57
LOT OF 2! Planar PL2210W 1920x1080 LCD Monitor - Grade A - NO STANDS - LOT OF 2!,$54.00/ea,22 in,N/A,16:9,75 Hz,N/A,Planar,PL2210W,2025-02-08 16:17:53
Gawfolk Curved 32 Inch Gaming Monitor 165Hz PC Screen Full HD 2K,C $375.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:43
"US-7"" Display Small Portable Monitor LCD Screen AV VGA HDMI Security Speaker",$49.99,7 in,N/A,16:9,60Hz,1ms,CAIRUTE,701H,2025-02-08 16:17:53
"Dell Ultrasharp U2719DC 27"" Widescreen HDMI QHD Monitor 2560 x 1440 + Cables",$142.00,27 in,N/A,16:9,N/A,5 ms,Dell,U2719DC,2025-02-08 16:17:44
"Dell P2418HZ 24"" Widescreen 1920x1080 IPS LED Video Conferencing Monitor Grade B",US $64.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:53
Laptop Screen Extender - 14'' Dual Screen 1080P FHD Plug & Play Seconhand,$89.99,14 in,N/A,16:9,60 Hz,N/A,MarsMyth,S1,2025-02-08 16:17:52
"19"" CONTEC DTX Patient Touch Monitor Industrial Quality Mod: ROM1932AMI",$50.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:55
"Lenovo 21.5"" InTOUCH LED Touchscreen Monitor USB-C 450 Nit - 4ZF1C05251",$115.99,21.5 in,N/A,16:9,N/A,14 ms,Lenovo,inTOUCH215,2025-02-08 16:17:46
"Packard Bell 21 Inch Computer Monitor 1920 x 1080, VESA Mountable - 2 Pack",$119.99,21 in,N/A,16:9,75 Hz,5 ms,Packard Bell,AirFrame 21,2025-02-08 16:17:41
"AG Neovo E-17 DA Black 43.2cm (17"""") Monitor (43.2cm (17"""") 1280 x 1024 Pixel-",EUR 73.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:44
Predator screen 27 inch Acer xb272 as spare parts/faulty/used-,EUR 23.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:51
14'' Laptop Monitor Extender Dual Screen Plug & Play 1080P FHD Secondhand,$95.99,14 in,N/A,16:9,60 Hz,N/A,Unbranded,S1,2025-02-08 16:17:45
"FlipGo Lite 15.6"" IPS Dual Stacked Portable Monitor, 1080P FHD Laptop Screen",$259.99,15.6 in,N/A,N/A,60 Hz,N/A,JSAUX,N/A,2025-02-08 16:17:54
"Lenovo L27I-4A | 27"" Full HD Monitor | 1920X1080 | 100Hz | 300 Nits | 1Ms Reakti-",EUR 167.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:49
"POS 15""15""/17""/19“ Monitor LCD Display Monitor Retail Kiosk Restaurant Bar",EUR 84.93,N/A,N/A,/,Does not apply,/,Unbranded,Does not apply,2025-02-08 16:17:46
"MSI 27"" 144 Hz Rapid IPS UHD Gaming Monitor FreeSync Premium & G-Sync Compatible",US $223.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:57
"MSI PRO MP223 E2 22"" FHD Computer Monitor 100Hz Adaptive-Synch",$49.99,22 in,N/A,16:9,100 Hz,1 ms,MSI,Pro MP223,2025-02-08 16:17:50
"Elo 1517L Touchscreen 17"" Zero Bezel Monitor ET1517L-8UWA-0-GY-ZB-G E953836 NEW",$75.00,17 in,N/A,N/A,N/A,N/A,Elo,N/A,2025-02-08 16:17:53
New Dell UltraSharp 24 Monitor - U2424H,$160.00/ea,23.8 in,N/A,N/A,N/A,N/A,Dell,N/A,2025-02-08 16:17:40
3.5” IPS TYPE-C Secondary Monitor for CPU GPU RAM HDD | USB Display | AIDA64,AU $49.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:50
"New Sealed HP E14 G4 14"" FHD IPS LED 16:9 USB Type-C Portable Monitor NIB",$149.99,14 in,N/A,16:9,N/A,5 ms,HP,HP E14 G4,2025-02-08 16:17:57
"VIOTEK 27"" 165hz 1920x1080p FHD w/Speakers Curved Gaming Monitor 3000:1 FreeSync",$109.99,27 in,N/A,16:9,165 Hz,3 ms,Viotek,GNV27CB,2025-02-08 16:17:57
"GIGABYTE M27Q-X 27"" 240Hz 1440P KVM Gaming Monitor, 2560 x 1440 SS IPS Display,",$285.99,27 in,N/A,16:9,240 Hz,1 ms,GIGABYTE,GIGABYTE M27Q X,2025-02-08 16:17:50
"GRADE A HP LA2205wg 22"" Flat Panel Widescreen LCD Monitor 1680x1050 NO STAND",US $12.99,22 in,N/A,16:10,60 Hz,5 ms,HP,LA2205WG,2025-02-08 16:17:47
Viotek 27” Gaming 144hz Monitor 2560x1440p w/ Adjustable Stand 1ms 1x DP 2x HDMI,$119.98,27 in,N/A,16:9,144 Hz,1 ms,VIOTEK,GFV27DAB,2025-02-08 16:17:59
"ASUS TUF Gaming Gaming Monitor 27"" WQHD (2560 x 1440) 1ms HDR 144hz",$152.99,27 in,N/A,16:9,170 Hz,1 ms,ASUS,ASUS VG27AQA1A,2025-02-08 16:17:51
Ultra Slim 15.6'' Portable Monitor IPS Extender Second Screen Display for Laptop,$161.13,Does not apply,N/A,N/A,N/A,N/A,Does not apply,N/A,2025-02-08 16:17:56
1.9inch 170×320 LCD Display Module IPS Screen ST7789V2 SPI Interface 262K Colors,$15.97,1.9inch,N/A,N/A,N/A,N/A,Waveshare,1.9inch LCD Module,2025-02-08 16:17:55
"3.5"" USB TYPE-C Secondary Screen IPS CPU GPU RAM Monitor Display Freely AIDA64",$24.50/ea,3.5in,320x480,N/A,N/A,N/A,Unbranded,N/A,2025-02-08 16:17:49
HP W19b Monitor,$61.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:49
"HP GM712AA w2408h HP 24"" Full HD LCD Monitor - TESTED AND WORKING",$80.00,24 in,N/A,N/A,N/A,N/A,HP,HP W2408h,2025-02-08 16:17:50
Dell S3222HN Curved Monitor - 31.5-inch FHD (1920x1080) 75Hz 4Ms 1800R Curved,$180.07,32 in,N/A,16:9,75 Hz,8 ms,Dell,S3222HN,2025-02-08 16:18:05
Dell C1422H 14'' 1080p FHD IPS LCD Portable Monitor USB-C with Case NEW IN BOX,$199.99,14 in,N/A,16:9,N/A,6 ms,Dell,Dell C1422H,2025-02-08 16:17:48
"Dell U2412M-C 24"" UltraSharp LED-Lit Monitor - C Grade Certified Refurbished.",$64.99,"24""",N/A,N/A,60 Hz,N/A,Dell,U2412M,2025-02-08 16:17:59
"Dell UltraSharp U2913WMt 29"" Ultra Wide LED LCD Monitor",US $98.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:44
"HP 27ER 27"" Display Monitor (J2225F)",$9.99,27 in,N/A,N/A,N/A,N/A,HP,N/A,2025-02-08 16:17:56
"LG 40WP95C-W UltraWide Monitor (with one scratch), 50/60Hz, 240V, 2.3A,",$981.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:46
"LG 23.8"" UltraGear Full HD IPS 1080p Gaming Monitor 144hz 1ms 24GN600(READ)",$26.00,23.8 in,N/A,N/A,144 Hz,1 ms,LG,24GN600-B,2025-02-08 16:17:43
Dell P2219H 21.5 in. Full HD LED LCD IPS Monitor HDMI - DisplayPort,$44.99,21.5 in,N/A,N/A,N/A,N/A,Dell,N/A,2025-02-08 16:17:45
"HP E233 23"" FHD LED Backlit Desktop Computer Monitor HDMI DP VGA NO STAND",$24.99,23 in,N/A,16:9,60 Hz,14 ms,HP,HP E233,2025-02-08 16:17:54
"HP Series 5 532sf 31.5"" FHD VA Monitor 100 Hz 7ms GtG 3000:1 Edge-lit HDMI VGA",US $158.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:45
"Acer Predator X25 X25 bmiiprzx 24.5"" IPS LED Gaming Monitor - Black",$350.00,24.5 in,N/A,16:9,360 Hz,1 ms,Acer,Acer Predator X25 X25,2025-02-08 16:17:48
"Hewlett Packard 27"" 527sf Series 5 FHD 100Hz 5ms IPS PC Monitor, Black/Silver",$124.99,27 in,N/A,N/A,N/A,N/A,Hewlett Packard,N/A,2025-02-08 16:17:51
"Dell P2018H 19.5-inch 16:9 LED Monitor Grade A, No Base Screen Only",$55.00,19.5 in,N/A,16:9,60 Hz,5 ms,Dell,P2018H,2025-02-08 16:17:48
Hanns.G HL198DPB-,EUR 50.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:54
"NEW - FERMAX REF 3753 MONITOR LOFT COMPACT VDS 3.5"" COLOR 18VDC",$145.00,3.5 in,N/A,N/A,N/A,N/A,FERMAX,N/A,2025-02-08 16:17:54
"MagicRaven 16"" FHD 16:10 Portable Monitor M1602 1920x1200 SEALED",$104.88,16 in,N/A,16:10,N/A,N/A,MagicRaven,N/A,2025-02-08 16:17:54
"16"" 2K 144Hz Portable Monitor Gaming Monitor Display For PC Mac Xbox Switch PS 5",$93.99,16 in,N/A,16:10,144 Hz,3 ms,UPERFECT,UGame C2 Pro,2025-02-08 16:17:56
"Used 18.5"" 120Hz Touchscreen Portable Monitor 1080P For Xbox PS Gaming Switch",US $116.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:46
"EVICIV 4K Portable Monitor UHD IPS 15.6"" Gaming Screen Display USB C 3840x2160 A",$89.99,15.6 in,N/A,16:9,60hz,2-5ms,EVICIV,15.6 In 4K 2*USB C monitor,2025-02-08 16:17:49
3.5 Inch IPS LCD Screen Monitor Display Sub-Screen Support Raspberry Pi linux sz,$20.56,3.5 Inch,N/A,N/A,N/A,N/A,Unbranded,N/A,2025-02-08 16:17:52
8 Inch IPS HD Monitor 127 * 195 *14mm Portable Monitor,$69.00,Does not apply,HD,N/A,N/A,N/A,Does not apply,N/A,2025-02-08 16:17:52
"UPERFECT 15.6"" Dual Portable Monitor Extended Screen 1080P Auto Rotate Monitor",US $232.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:51
"UPERFECT Portable Monitor 18.4"" 4K 3840 x 2160 USB-C IPS Screen For Macbook Used",$199.99,18.4 in,N/A,16:9,60hz,3 ms,UPERFECT,18.4 inch 4K Portable Monitor,2025-02-08 16:17:49
Acer V206HQL 19.5 inch Widescreen LCD Monitor,$19.95,19.5 in,N/A,16:9,60 Hz,5 ms,Acer,V206HQL,2025-02-08 16:17:47
"GRADE B ACER V223W  22"" Flat Widescreen LED LCD Monitor 1680x1050",$14.99,20 in,N/A,N/A,N/A,N/A,Acer,V223W,2025-02-08 16:17:53
"Used 18"" 18.4"" 4K Portable Monitor Gaming Display 4K 180° Adjustable Stand HDR",US $165.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:45
C24F390FHN Samsung CF390 Series 24 inch Curved LED Monitor- LC24F390FHNXZA,$69.99,24 in,N/A,16:9,60 Hz,4 ms,Samsung,CF390,2025-02-08 16:17:54
"11.6"" Portable Laptop Monitor Tablet Desktop Computer Travel HDMI LCD Display",$53.32,11.6 in,N/A,16:9,60 Hz,3 ms,Unbranded,N/A,2025-02-08 16:17:45
"ASUS ProArt PA278CV 27"" QHD IPS LED Monitor No Stand w/ Cables",$110.00,27 in,N/A,16:9,N/A,5 ms,ASUS,ASUS ProArt PA278CV,2025-02-08 16:17:52
"UPERFECT Laptop Screen Extender, 2K 14"" 2240x1400 QHD IPS Portable Monitor Used",$89.99,14 in,N/A,16:10,60 Hz,3 ms,UPERFECT,UStation Z 14 2K,2025-02-08 16:17:52
"HP Series 5 524sh 23.8"" Full HD IPS 100Hz  Monitor 5ms 300nits Height Adjustment",$83.00,23.8 in,N/A,16:9,100 Hz,5 ms,HP,Series 5 524sh,2025-02-08 16:17:53
"ASUS BE24ECQK 23.8"" FHD IPS LED Monitor",US $55.00/ea,23.8 in,N/A,16:9,60 Hz,5 ms,ASUS,ASUS BE24EQK,2025-02-08 16:17:52
"LG 27MK600M-B Monitor 27"" HD (1920 x 1080) IPS Display",$100.00,27 in,N/A,16:9,60 Hz,N/A,LG,LG 27MK600M-B,2025-02-08 16:17:50
Portable Monitor 16'' 2K QHD HDMI USB C 120HZ Display Screen for Laptop PS4 Used,$57.59/ea,16 in,N/A,16:9,120 Hz,3 ms,UPERFECT,UPlays C2,2025-02-08 16:17:47
Dell P2417H Pro. 24 Inch LED Monitor *NO STAND* Cables Included - FREE SHIPPING!,$39.99,24 in,N/A,N/A,N/A,N/A,Dell,Dell P2417Hb,2025-02-08 16:17:49
"ASUS VS197D-P 18.5"" Wide Screen LCD Monitor 50,000,000:1 High Contrast SmartView",$62.70,18.5 in,N/A,N/A,N/A,N/A,ASUS,N/A,2025-02-08 16:17:47
Acer X191W Black 19 Inch Portable Widescreen LCD Monitor Screen,US $24.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:45
"HP Pavilion 27XW 27"" LED Backlit Monitor - Silver/White",$149.00,27 in,N/A,16:9,60 Hz,8 ms,HP,27XW,2025-02-08 16:17:42
Planar PLL2410W 24in Widescreen LED LCD Monitor NO STAND,$12.89,24 in,N/A,N/A,N/A,N/A,PLANAR,N/A,2025-02-08 16:17:56
Used | 120Hz Portable Monitor 18.5 Inch 1920x1080 USB C Monitor Gaming Screen,US $69.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:44
"Dell P2222H 22"" FHD 1080p IPS LED Monitor HDMI DVI VGA 60Hz 8ms 16:9 *GRADE A*",$79.99,22 in,N/A,16:9,60 Hz,8 ms,Dell,Dell P2222H,2025-02-08 16:17:49
Dell 2007fpb VIdeo/input circuit board Replacement PN: 5ELH01001 92114 113,$44.00,22 in,N/A,N/A,N/A,N/A,Dell,N/A,2025-02-08 16:17:44
"HP S230tm 23"" Touch Monitor DVI Display Port",$74.99,23 in,N/A,N/A,N/A,N/A,HP,HP S230tm,2025-02-08 16:17:50
"ASUS VY249HGE Gaming Monitor - 24 inch Full HD - 144Hz, 1Ms MPRT, Freesync Prem",$196.48,N/A,N/A,N/A,N/A,N/A,Does not apply,N/A,2025-02-08 16:17:53
HP Monitor,$20.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:58
"15.6"" CCTV HDMI Monitor LCD IPS 1920*1080 Audio Video Display with-",EUR 149.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:44
"Compact 12-Inch IPS Monitor for Home, Office & Gaming - 1366x768 Resolution",$219.82,12 in,1366 X 768 Pixels,16:9,60 Hz,5 ms,Unbranded,N/A,2025-02-08 16:17:55
Acer 23.8 inch 1080 LCD,$46.99,23.8 in,N/A,16:9,N/A,N/A,Acer,N/A,2025-02-08 16:17:51
Must HD Monitor 1920 X1200 HD,US $99.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-02-08 16:17:50
"Dell 1905FP LCD Monitor, 19"", DVI-D - USED",$19.99,19 in,N/A,N/A,N/A,N/A,Dell,N/A,2025-02-08 16:17:51
"EVICIV 18.5"" 100HZ 1080P Gaming HDR Screen Monitor Portable Screen w/ HDMI USB-C",$63.99,18.5 in,N/A,16:9,100 Hz,3 ms,EVICIV,EV185T01,2025-02-08 16:17:55
"eMachines Display Stand For 15"" Monitor",$18.00,15 in,N/A,N/A,N/A,N/A,eMachines,N/A,2025-02-08 16:17:48
"Lepow C2 Portable Monitor 15"" USB-C HDMI Gaming Ultra-Slim IPS Phone Display A",$55.88/ea,15.6 in,N/A,16:9,60 Hz,3 ms,Lepow,C2,2025-02-08 16:17:51
"DELL E2016H 20"" 1600 x 900 LCD LED Backlit Monitor with Stand",$29.99/ea,19.5 in,N/A,16:9,60 Hz,5 ms,Dell,E2016H,2025-02-08 16:17:52
