title,price,image_url,product_url,Manufacturer,Colour,Model number,Graphics Card Description,Graphics processor manufacturer,Package Weight,Brand Name,Number of Processors,Country of Origin,Resolution,Memory Clock Speed,Series,Product Dimensions,Computer Memory Type,Graphics RAM size,Language,Graphics co-processor,Guaranteed software updates until,Package Dimensions,Card Description,Color,Graphics Ram Size,Graphics Card Ram Size,Item Dimensions  LxWxH,Compatible devices,Graphics Processor Manufacturer,GPU Clock Speed,Graphics Card Interface,Item Weight,ASIN,Included components,Item model number,Batteries,Video output interface,Graphics Coprocessor,Max Screen Resolution,Are Batteries Included,Processor,Voltage,Is Discontinued By Manufacturer,Operating System,Wattage,GPU clock speed,Memory Speed,Graphics Chipset Brand,Hardware Platform,Brand,Recommended uses for product,Number of Items,RAM,Video Output Interface,Form Factor,Graphics RAM type,Graphics RAM Type,Chipset Brand,Date First Available
"GeForce GT 1030 Graphics Card, 4GB 64Bit GDDR4, PCIe 3.0 x4, HDMI/DVI-D, DirectX ...",MAD 1286,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/4ELE91EZW-zer-lon-geforce-gt-1030-graphics-card-computer-gaming-video-card-4gb-64bit-gddr4-pcie-3-0-x4-hdmi-dvi-d-directx-12-gpu-boost-3-0-desktop-gpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX 580 Graphics Card 8GB GDDR5 Gaming Graphics Cards 256BIT RX 580 Graphics Card ...,MAD 2018,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/C0VER1UFO-radeon-rx-580-graphics-card-8gb-gddr5-gaming-graphics-cards-256bit-rx-580-graphics-card-with-dual-fans-dvi-dp-hdml-plug-and-play,"Shenzhen IngenuitySuperior Digital Technology Co., Ltd",,,,,,,,China,,,,9.1 x 4.4 x 0.04 inches (23.1 x 11.2 x 0.1 cm),,,,,,,,,8 GB,,,,,1605 MHz,,2.4 pounds (1.09 kg),B0DBNZJ26V,,RX 5700 XT,,,AMD Radeon RX 5700 XT,,,,,,,,,,,,Generic,,,,"DisplayPort, HDMI",,,,,"July 30, 2024"
Cheap Graphics Card Graphics Card 24 15 6 Graphics Card 128Bit 4Gb Ddr5 700Mhz ...,MAD 1122,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JOKJFMCRC-cheap-graphics-card-graphics-card-24-15-6-graphics-card-128bit-4gb-ddr5-700mhz-automatic-recognition-computer-accessories-for-dual-fan-desktop,Junlucki,,,,,,,,China,,,,,,,,,,,,,1 GB,,,,,650 MHz,,12.3 ounces (348.71 grams),B08SMCM358,,Junlucki7g6rpi9d8n,,,AMD Radeon HD 7670,,,,,,,,,,,,Junlucki,,,,DisplayPort,,,,,"January 11, 2021"
AMD RX 5700 XT Graphics Card 8 GB DDR6 Performance Equal to RTX 3060 and 2060 Super ...,MAD 3186,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/LZ1212X3K-amd-rx-5700-xt-graphics-card-8-gb-ddr6-performance-equal-to-rtx-3060-and-2060-super-2560sp-256bit-pci-e-4-0x16-base-bst-mem-1605-1905-1750-3x-dp-hdmi,ZJchao,,‎ZJchaoumdti5vgrb,,,,‎ZJchao,,‎China,,,,,,,,,,‎8.86 x 6.34 x 2.2 inches,,,4 GB,,,,,1000 MHz,,‎15.6 ounces,B0BLCC39FL,,‎ZJchaoumdti5vgrb,,,AMD Radeon HD 7670,,,,,,,,,,,,ZJchao,,‎1,,VGA,,,,,"November 3, 2022"
"HD 7450 Graphics Card, 2GB DDR3 Gaming Graphics Card, 64bit GPU DirectX 11 Computer ...",MAD 942,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/81GZLOW2O-radeon-hd-7450-graphics-card-2gb-ddr3-gaming-graphics-card-64bit-gpu-directx-11-computer-graphics-card-upgrade-accessories-dvi-vga-hdml,ZJchao,,‎ZJchaoumdti5vgrb,,,,‎ZJchao,,‎China,,,,,,,,,,‎8.86 x 6.34 x 2.2 inches,,,4 GB,,,,,1000 MHz,,‎15.6 ounces,B0BLCC39FL,,‎ZJchaoumdti5vgrb,,,AMD Radeon HD 7670,,,,,,,,,,,,ZJchao,,‎1,,VGA,,,,,"November 3, 2022"
"Graphics Card, Hd7670 4gb Gddr5 Graphics Cards 128bit 1000mhz Gaming Graphics Card ...",MAD 739,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/BAS9VZWJO-graphics-card-hd7670-4gb-gddr5-graphics-cards-128bit-1000mhz-gaming-graphics-card-core-frequency-supports-directx-11-pci-x16-2-1-for-home-graphics,CUIFATI,,,,,,,,China,,,,,,,,,,7.87 x 6.02 x 1.65 inches (20 x 15.3 x 4.2 cm),,,2.00,,,,,750 MHz,,8.8 ounces (249.48 grams),B0BN6FJJR5,,CUIFATIr9o4e3w7qp,,,AMD Radeon HD 6450,,,,,,,,,,,,Cuifati,,,,"VGA, DVI, HDMI",,,,,"November 23, 2022"
AMD RX 5500 XT Graphics Card 8 GB GDDR6 as Fast as RX 6500XT 1.3X GTX 1650 PCI ...,MAD 2229,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JUI0Y7DUA-amd-rx-5500-xt-graphics-card-8-gb-gddr6-as-fast-as-rx-6500xt-1-3x-gtx-1650-pci-express-4-0-x8-directx12-1-1408-shaders-1717-1845-mhz-base-boost-1750,CUIFATI,,,,,,,,China,,,,,,,,,,7.87 x 6.02 x 1.65 inches (20 x 15.3 x 4.2 cm),,,2.00,,,,,750 MHz,,8.8 ounces (249.48 grams),B0BN6FJJR5,,CUIFATIr9o4e3w7qp,,,AMD Radeon HD 6450,,,,,,,,,,,,Cuifati,,,,"VGA, DVI, HDMI",,,,,"November 23, 2022"
Game Graphics Card HD7670 1GB 128bit DDR5 Graphics Card Gaming Graphics Display ...,MAD 754,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/SUE9I7U-junlucki-game-graphics-card-hd7670-1gb-128bit-ddr5-graphics-card-gaming-graphics-display-video-card-,CUIFATI,,,,,,,,China,,,,,,,,,,7.87 x 6.02 x 1.65 inches (20 x 15.3 x 4.2 cm),,,2.00,,,,,750 MHz,,8.8 ounces (249.48 grams),B0BN6FJJR5,,CUIFATIr9o4e3w7qp,,,AMD Radeon HD 6450,,,,,,,,,,,,Cuifati,,,,"VGA, DVI, HDMI",,,,,"November 23, 2022"
"GT610 Graphics Card for Office, 1GB DDR3 Video Card Computer Graphics Card with VGA ...",MAD 524,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/FTS82IYAK-gt610-graphics-card-for-office-1gb-ddr3-video-card-computer-graphics-card-with-hdmi-vga-dvi-interface-64-bit-810mhz-game-graphics-card-with-silence,ZER-LON,,,,,,,,China,,,,6.1 x 4.2 x 0.8 inches (15.5 x 10.7 x 2 cm),,,,,,,,,4.00,,,,,700 MHz,,13.4 ounces (379.89 grams),B09KTFWNPK,,GT 730 4G,,,GT 730,,,,,,,,,,,,ZER-LON,,,,"VGA, DVI, HDMI",,,,,"November 2, 2021"
"HD6450 Graphics Card, 64bit 3600MHz 2GB DDR3 Graphics Card, 4K Video Card Upgrade ...",MAD 908,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/81GZLL48K-radeon-hd6450-graphics-card-64bit-3600mhz-2gb-ddr3-graphics-card-4k-video-card-upgrade-computer-accessories-hdml-dp-dvi-for-desktop,ZER-LON,,,,,,,,China,,,,6.1 x 4.2 x 0.8 inches (15.5 x 10.7 x 2 cm),,,,,,,,,4.00,,,,,700 MHz,,13.4 ounces (379.89 grams),B09KTFWNPK,,GT 730 4G,,,GT 730,,,,,,,,,,,,ZER-LON,,,,"VGA, DVI, HDMI",,,,,"November 2, 2021"
"Tbest 4GB Desktop Graphics Card,Graphics Card Desktop Computer Network Accessories ...",MAD 756,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/BAH7YZRPU-tbest-gpu-graphic-cards-512mb-128bit-ddr5-4gb-graphics-ati-video-card-pcie-3-way-crossfirex-gtx650-1024mb-128-bit-radeon-msi-motherboard-cheap-d,ZER-LON,,,,,,,,China,,,,6.1 x 4.2 x 0.8 inches (15.5 x 10.7 x 2 cm),,,,,,,,,4.00,,,,,700 MHz,,13.4 ounces (379.89 grams),B09KTFWNPK,,GT 730 4G,,,GT 730,,,,,,,,,,,,ZER-LON,,,,"VGA, DVI, HDMI",,,,,"November 2, 2021"
"GT610 Computer Graphics Card, 2GB DDR3 64bit PCI Express X16 Gaming Graphics Card ...",MAD 552,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/EJRN3BME0-bewinner-gt610-computer-graphics-card-2gb-ddr3-64bit-pci-express-x16-gaming-graphics-card-with-dvi-vga-hdmi-interface-for-computer-desktop,ZER-LON,,,,,,,,China,,,,6.1 x 4.2 x 0.8 inches (15.5 x 10.7 x 2 cm),,,,,,,,,4.00,,,,,700 MHz,,13.4 ounces (379.89 grams),B09KTFWNPK,,GT 730 4G,,,GT 730,,,,,,,,,,,,ZER-LON,,,,"VGA, DVI, HDMI",,,,,"November 2, 2021"
"GT 730 Graphics Card, Computer Low Profile GPU, 4GB 128Bit GDDR3 PCIe x16, ...","MAD 1013                                                                        
                                                                            1081",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/M54X5GPJ0-geforce-gt-1030-graphics-card-4gb-64bit-gddr4-pcie-3-0-x4-hdmidvi-d-directx-12-gpu-boost-3-0-computer-gaming-video-card-desktop-gpu-support-4k,"Shenzhen IngenuitySuperior Digital Technology Co., Ltd",,,,,,,,China,,,,9.5 x 4.4 x 0.1 inches (24.1 x 11.2 x 0.3 cm),,,,,,,,,6 GB,,,,,1670 MHz,,2.27 pounds (1.03 kg),B0D71PYCSL,,,,,AMD Radeon RX 5600 XT,,,,,,,,,,,,Generic,,,,"DisplayPort, HDMI",,,,,"June 13, 2024"
"HD 7670 Graphics Card, 4GB GDDR5 Gaming Graphics Card 128bit 1000MHz Video Card ...",MAD 982,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/81GZLNT7K-amd-radeon-hd-7670-graphics-card-4gb-gddr5-gaming-graphics-card-128bit-1000mhz-video-card-directx-11-gpu-hdml-dp-dvi-for-upgrade-computer,CUIFATI,,,,,,,,China,,,,,,,,,,10.63 x 5.91 x 2.36 inches (27 x 15 x 6 cm),,,6 GB,,,,NVIDIA,800 MHz,,1.4 pounds (0.64 kg),B0BS5YNHBT,,CUIFATIhg16uwdomv,,,,,,,,,,,,,,,Cuifati,,,,VGA,,,,,"January 12, 2023"
"Estink RX 580 Graphics Card, 8GB GDDR5 256bit Support 8K 16 PCI Express 3.0 Gaming ...",MAD 1958,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/87G9MFFNK-rx-580-graphics-card-8gb-gddr5-256bit-support-8k-16-pci-express-3-0-plug-and-play-computer-graphics-cards-accessories-for-dual-fan-desktop-computers,CUIFATI,,,,,,,,China,,,,,,,,,,10.63 x 5.91 x 2.36 inches (27 x 15 x 6 cm),,,6 GB,,,,NVIDIA,800 MHz,,1.4 pounds (0.64 kg),B0BS5YNHBT,,CUIFATIhg16uwdomv,,,,,,,,,,,,,,,Cuifati,,,,VGA,,,,,"January 12, 2023"
AMD Radeon RX 5600 6GB GDDR6 Graphics Card Performance Equals RTX 3050 75% of 3060 ...,MAD 2366,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JSUP3O20W-amd-radeon-rx-5600-6gb-gddr6-graphics-card-performance-equals-rtx-3050-75-of-3060-3x-dp-hdmi-192-bit-1670-1750-mhz-core-memory-2048-shaders-pci4-4-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GT 730 Graphics Card, Computer Low Profile GPU, 4GB 128Bit GDDR3 PCIe x16, ...","MAD 1013                                                                        
                                                                            1081",https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/48KZ2D0QI-nvidia-gt-730-graphics-card-computer-low-profile-gpu-4gb-128bit-ddr3-pcie-x16-hdmi-vga-dvi-directx-11-physx-opengl-3-1-desktop-gaming-video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuifati GDDR5 6G Graphics Card, GTX550Ti Gaming Graphics Card, 192bit 3400MHZ Video ...",MAD 1269,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/8COI3Z53G-gddr5-6g-graphics-card-gtx550ti-gaming-graphics-card-192bit-3400mhz-video-card-with-dual-fan-hdml-vga-dvi-computer-upgrade-accessories,VBESTLIFE,,,,,,,,China,,,,,,,,,,7.87 x 5.91 x 1.57 inches (20 x 15 x 4 cm),,,1 GB,,,,,625 MHz,,9.5 ounces (269.33 grams),B0CSZBHT21,,VBESTLIFEwra51o8pfb,,,NVIDIA GeForce GT 220,,,,,,,,,,,,VBESTLIFE,,,,HDMI,,,,,"January 22, 2024"
"Jectse GT610 Graphics Card, 2GB 64bit Game Graphics Card PCI Express 1.1 x 16 ...",MAD 510,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/G855PQFP2-jectse-gt610-graphics-card-2gb-64bit-game-graphics-card-hdmi-pci-express-1-1-x-16-professional-desktop-computer-graphics-card-for-gaming-pc,VBESTLIFE,,,,,,,,China,,,,,,,,,,7.87 x 5.91 x 1.57 inches (20 x 15 x 4 cm),,,1 GB,,,,,625 MHz,,9.5 ounces (269.33 grams),B0CSZBHT21,,VBESTLIFEwra51o8pfb,,,NVIDIA GeForce GT 220,,,,,,,,,,,,VBESTLIFE,,,,HDMI,,,,,"January 22, 2024"
Graphics Card GTX 1660S 6GB GDRR6 192-Bit PCIEX16 3.0 Computer Gaming Graphics Card ...,MAD 3553,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/N3GS4RCTS-graphics-card-gtx-1660s-6gb-gdrr6-192-bit-pciex16-3-0-computer-gaming-graphics-card-for-gaming-pc-dual-cing-fans-video-card-with,VBESTLIFE,,,,,,,,China,,,,,,,,,,7.87 x 5.91 x 1.57 inches (20 x 15 x 4 cm),,,1 GB,,,,,625 MHz,,9.5 ounces (269.33 grams),B0CSZBHT21,,VBESTLIFEwra51o8pfb,,,NVIDIA GeForce GT 220,,,,,,,,,,,,VBESTLIFE,,,,HDMI,,,,,"January 22, 2024"
ZOTAC Gaming GeForce RTX 4070 Ti Trinity OC DLSS 3 12GB GDDR6X 192-bit 21 Gbps PCIE ...,MAD 16440,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/88RDMJVQK-zotac-gaming-geforce-rtx-4070-ti-trinity-oc-dlss-3-12gb-gddr6x-192-bit-21-gbps-pcie-4-0-gaming-graphics-card-icestorm-2-0-advanced-cooling-spectra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IAMNUC Nvidia Palit GeForce RTX 4060 StormX 8GB, GDDR6 PCI-Express, DLSS 3, Ray ...",MAD 5552,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/FBWDWXY04-iamnuc-nvidia-palit-geforce-rtx-4060-stormx-8gb-gddr6-pci-express-dlss-3-ray-tracing-up-to-8k-gaming-vrr-g-sync,EVGA,,,,,,,,,,,FBA_11G-P4-6393-KR,12.81 x 2.81 x 9.5 inches (32.5 x 7.1 x 24.1 cm),GDDR5X,,,,,,GeForce GTX 1080 Ti,black,11 GB,11 GB,12.81 x 2.81 x 9.5 inches (32.5 x 7.1 x 24.1 cm),,,1556 MHz,,3.26 pounds (1.48 kg),B06Y11DFZ3,,11G-P4-6393-KR,,,NVIDIA GeForce GTX 1080 Ti,,,,,No,,,,11000 MHz,,,EVGA,,,,HDMI,,,,NVIDIA,"April 3, 2017"
"VBESTLIFE GeForce GT220 1G Graphics Card, DDR3, 128bit, PCI Express 2.0 x16, ...",MAD 563,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/JMQQQE9FS-vbestlife-geforce-gt220-1g-graphics-card-ddr3-128bit-pci-express-2-0-x16-625-2024mhz-desktop-computer-video-card-with-dvi-and-vga-ports,EVGA,,,,,,,,,,,FBA_11G-P4-6393-KR,12.81 x 2.81 x 9.5 inches (32.5 x 7.1 x 24.1 cm),GDDR5X,,,,,,GeForce GTX 1080 Ti,black,11 GB,11 GB,12.81 x 2.81 x 9.5 inches (32.5 x 7.1 x 24.1 cm),,,1556 MHz,,3.26 pounds (1.48 kg),B06Y11DFZ3,,11G-P4-6393-KR,,,NVIDIA GeForce GTX 1080 Ti,,,,,No,,,,11000 MHz,,,EVGA,,,,HDMI,,,,NVIDIA,"April 3, 2017"
Gaming graphicsFit for Yeston GT1030 64-Bit 4GB DDR4 Graphics Card GP108 PCI ...,MAD 4027,https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom/images/loading.gif,https://www.ubuy.ma/en/product/B3JB3P87S-jyhf-gaming-graphicsfit-for-yeston-gt1030-64-bit-4gb-ddr4-graphics-card-gp108-pci-express-3-0-x4-dvi-d-gaming-video-card-gpu-windows7-8-10-btc-gaming,EVGA,,,,,,,,,,,FBA_11G-P4-6393-KR,12.81 x 2.81 x 9.5 inches (32.5 x 7.1 x 24.1 cm),GDDR5X,,,,,,GeForce GTX 1080 Ti,black,11 GB,11 GB,12.81 x 2.81 x 9.5 inches (32.5 x 7.1 x 24.1 cm),,,1556 MHz,,3.26 pounds (1.48 kg),B06Y11DFZ3,,11G-P4-6393-KR,,,NVIDIA GeForce GTX 1080 Ti,,,,,No,,,,11000 MHz,,,EVGA,,,,HDMI,,,,NVIDIA,"April 3, 2017"
