title,price,promo,coupon,product_url,collection_date,brand,model_name,screen_size,operating_system,memory_storage_capacity,battery_capacity,battery_cell_composition,shape
"Military Smart Watch for Men(Answer/Make Call), Outdoor Sports Smartwatch with Flashlight/100 Days Battery/Compass/Heart Rate/SpO2/Sleep Monitor/2 Straps, Fitness Tracker for iPhone/Android Phones",$59.99,"Thu, Jan 30",$10.00 off coupon applied,https://www.amazon.com/Military-Outdoor-Smartwatch-Flashlight-Battery/dp/B0D2XSL28P/ref=sr_1_11?dib=eyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A&dib_tag=se&keywords=smart+watch&qid=1737392195&sr=8-11,2025-01-20 17:56:36,Data not available,Data not available,2.01 Inches,"iOS, Android",1 GB,900 Milliamp Hours,Lithium,Square
Smart Watch for Men Women Compatible with iPhone Samsung Android Phone 1.69 inch Full Touch Screen IP68 Waterproof Bluetooh Fitness Tracker Heart Rate/Sleep Monitor (Black),$18.99,"Thu, Jan 30",$4.00 off coupon applied,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MjMxNTUxODQ1MzQwMzg5OjE3MzczOTIxOTU6c3BfbXRmOjMwMDYzNDE1NDAxMTMwMjo6MDo6&url=%2FTORJALPH-Compatible-Samsung-Waterproof-Bluetooh%2Fdp%2FB09TR2NNJS%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A%26dib_tag%3Dse%26keywords%3Dsmart%2Bwatch%26qid%3D1737392195%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,2025-01-20 17:56:36,TORJALPH,Data not available,1.69 Inches,"Android, iOS",Data not available,2.3E+2 Milliamp Hours,Lithium Ion,Rectangular
"Smart Watches for Women, Fitness Tracker with Heart Rate & SpO2 Monitor, IP67 Waterproof Activity Tracker for Men & Women, Smart Watch for Android Phones and iPhone Compatible (Gray)",$33.99,"Thu, Jan 30",No coupon,https://www.amazon.com/KEEPONFIT-Waterproof-Activity-Compatible-Gray/dp/B0DDQ2L5XG/ref=sr_1_13?dib=eyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A&dib_tag=se&keywords=smart+watch&qid=1737392195&sr=8-13,2025-01-20 17:56:36,Data not available,Data not available,1.27 Inches,"Android 4.4 and above, IOS9.0 and above",128 MB,240 Amp Hours,Lithium Ion,Round
"Smart Watch, 1.85"" Smartwatch for Men Women (Answer/Make Call), 120+ Sport Modes Fitness Tracker, Heart Rate, Sleep Monitor, Pedometer, IP68 Waterproof, Activity Tracker for Android iOS (Black)",$21.99,"Thu, Jan 30",10% off coupon applied,https://www.amazon.com/Smartwatch-Fitness-Pedometer-Waterproof-Activity/dp/B0DGFW8T6X/ref=sr_1_14?dib=eyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A&dib_tag=se&keywords=smart+watch&qid=1737392195&sr=8-14,2025-01-20 17:56:36,Data not available,Data not available,1.85 Inches,Android Wear 2.0,128 MB,350 Milliamp Hours,Lithium Polymer,Rectangular
"Military Smart Watch, 1.52-Inch Touch Screen Tactical Smartwatch with Text and Call, Heart Rate, Blood Oxygen, and Activity Trackers - Compatible with iPhone and Android, for Men and Women(Black)",$39.99,"Thu, Jan 30",20% off coupon applied,https://www.amazon.com/Military-1-52-Inch-Tactical-Smartwatch-Activity/dp/B0CMTDQJTN/ref=sr_1_15?dib=eyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A&dib_tag=se&keywords=smart+watch&qid=1737392195&sr=8-15,2025-01-20 17:56:36,Jdcrsj,Data not available,1.52 Inches,android and ios,Data not available,350 Amp Hours,Lithium Polymer,Round
Smart Watch for Men Women Compatible with iPhone Samsung Android Phone 1.69 inch Full Touch Screen IP68 Waterproof Bluetooh Fitness Tracker Heart Rate/Sleep Monitor (Black),$18.99,"Thu, Jan 30",$4.00 off coupon applied,https://www.amazon.com/TORJALPH-Compatible-Samsung-Waterproof-Bluetooh/dp/B09TR2NNJS/ref=sr_1_16?dib=eyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A&dib_tag=se&keywords=smart+watch&qid=1737392195&sr=8-16,2025-01-20 17:56:36,TORJALPH,Data not available,1.69 Inches,"Android, iOS",Data not available,2.3E+2 Milliamp Hours,Lithium Ion,Rectangular
"Smart Watches for Men, Bluetooth Call Military Smart Watch, Waterproof Fitness Tracker with Heart Rate/Blood Oxygen/Sleep Monitor/124 Sports Modes, Tactical Watch for Android Phones & iPhone (Black)",$39.99,"Thu, Jan 30",10% off coupon applied,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MjMxNTUxODQ1MzQwMzg5OjE3MzczOTIxOTU6c3BfbXRmOjMwMDYxODMwODc3NTYwMjo6MDo6&url=%2FWatches-Bluetooth-Military-Waterproof-Tactical%2Fdp%2FB0DF71FLHG%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A%26dib_tag%3Dse%26keywords%3Dsmart%2Bwatch%26qid%3D1737392195%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,2025-01-20 17:56:36,Data not available,Data not available,1.52 Inches,with most iOS 9.0 and Android 6.0 and above,128 MB,410 Milliamp Hours,Lithium Polymer,Round
"Smart Watch for Men Women(Answer/Make Calls), 1.95"" HD Touch Screen Fitness Watch with Sleep Heart Rate Monitor, 110+ Sports Modes, IP68 Waterproof Activity Trackers Compatible with Android iOS, Black",$29.99,"Thu, Jan 30",$7.00 off coupon applied,https://www.amazon.com/Fitness-Waterproof-Activity-Trackers-Compatible/dp/B0DFQ6ZVMZ/ref=sr_1_18?dib=eyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A&dib_tag=se&keywords=smart+watch&qid=1737392195&sr=8-18,2025-01-20 17:56:36,Puqo,T80,1.95 Inches,"Android 5.0 or above, ios 9.0 or above",Data not available,Data not available,Lithium Polymer,Rectangular
"Garmin Venu® Sq 2 GPS Smartwatch, All-Day Health Monitoring, Long-Lasting Battery Life, AMOLED Display, Slate and Shadow Gray",$163.45,"Fri, Jan 31",No coupon,https://www.amazon.com/Garmin-Smartwatch-All-Day-Monitoring-Long-Lasting/dp/B0B5VVNJBF/ref=sr_1_19?dib=eyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A&dib_tag=se&keywords=smart+watch&qid=1737392195&sr=8-19,2025-01-20 17:56:36,Data not available,Data not available,1.41 Inches,android,4 GB,210,Lithium Polymer,Square
"Amazfit Bip 5 Smart Watch 46mm, GPS, Alexa Built-in, Bluetooth Calling, 10-Day Battery, Heart-Rate & VO2 Max, Sleep Health Monitoring, AI Fitness App,120+ Sports Modes, for Android & iPhone, Black",$69.97,"Thu, Jan 30",No coupon,https://www.amazon.com/Amazfit-Bluetooth-Calling-Tracking-Monitoring/dp/B0C7GJDZD7/ref=sr_1_20?dib=eyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A&dib_tag=se&keywords=smart+watch&qid=1737392195&sr=8-20,2025-01-20 17:56:36,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available
"Smart Watches for Men, Bluetooth Call Military Smart Watch, Waterproof Fitness Tracker with Heart Rate/Blood Oxygen/Sleep Monitor/124 Sports Modes, Tactical Watch for Android Phones & iPhone (Black)",$39.99,"Thu, Jan 30",10% off coupon applied,https://www.amazon.com/Watches-Bluetooth-Military-Waterproof-Tactical/dp/B0DF71FLHG/ref=sr_1_21?dib=eyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A&dib_tag=se&keywords=smart+watch&qid=1737392195&sr=8-21,2025-01-20 17:56:36,Data not available,Data not available,1.52 Inches,with most iOS 9.0 and Android 6.0 and above,128 MB,410 Milliamp Hours,Lithium Polymer,Round
"Military Smart Watch for Men(Answer/Dial Calls),100 Sports Modes, 5ATM Waterproof Fitness Watch with Heart Rate/SpO2/Blood Pressure for Android and iOS,1.39''HD DIY Screen Smartwatch Black",$55.99,"Thu, Jan 30",25% off coupon applied,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MjMxNTUxODQ1MzQwMzg5OjE3MzczOTIxOTU6c3BfYnRmOjMwMDYwODQ0MTAzNjEwMjo6MDo6&url=%2FMilitary-Waterproof-Fitness-Pressure-Smartwatch%2Fdp%2FB0BYRMQ3NJ%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.fOfPpWeLysSGoLwwNwxUVNBe_rVs7BBqbhmyIfXJYdvj3OS5Dp0D8KnYDJgrljOYnch0X5mytHUVHVQ6EQTLywDwl5hThnAnyQOi6LRVCLZ4MlEePYOwEQYmIQuLstL-L7o-zc1kammuvzMGzWzfaj99usuydXamUpOVRrmQzv8IrbVv0xrBccw_yr69jRJKmwtApHdvRxgHq90dOYDffLFaOCjLxM4NMAaji5k5oJo.sl8Y4RqxSuU6XQBj7-fqczGlyzFfaluhQZ9oBhFuU9A%26dib_tag%3Dse%26keywords%3Dsmart%2Bwatch%26qid%3D1737392195%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,2025-01-20 17:56:36,SUNKTA,Data not available,1.39 Inches,Android,128 MB,400 Milliamp Hours,Lithium Polymer,Round
