title,price,promo,coupon,product_url,collection_date,brand,model_name,screen_size,color,hard_disk_size,cpu_model,ram_memory,operating_system,special_feature
"2023 MacBook Pro Laptop M3 chip with 8‑core CPU, 10‑core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 512GB SSD Storage; Silver",Data not available,No promotion,No coupon,https://www.amazon.com/Apple-MacBook-Laptop-8%E2%80%91core-10%E2%80%91core/dp/B0CM5JLWJK/ref=sr_1_11?dib=eyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM&dib_tag=se&keywords=laptop+Mac&qid=1737203314&sr=8-11,2025-01-18 13:28:35,Apple,MacBook Pro,14.2 Inches,Silver,512 GB,Apple M3,8 GB,Mac OS,Data not available
"Laptop, 16GB RAM 1152GB Storage, Laptop Computer with Celeron N5095 CPU(Up to 2.9GHz), FHD IPS 1200P Display, 38WH Battery, 2 Speakers, HDMI, 16 Inch Business Laptops.",$999.99,"Wed, Jan 29",No coupon,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDUwOTI0NzgxODI3NTE4OjE3MzcyMDMzMTQ6c3BfbXRmOjMwMDYyNDc0MTY4ODMwMjo6MDo6&url=%2Fjumper-Computer-Speakers-Business-Laptops%2Fdp%2FB0DJ6LK7S8%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM%26dib_tag%3Dse%26keywords%3Dlaptop%2BMac%26qid%3D1737203314%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA13G88ZT9OU5F1,2025-01-18 13:28:35,jumper,Ezbook S7MAX,16 Inches,Gray,1 TB,Celeron,16 GB,Windows 11,HD Audio
"Gaming Laptop, 2025 Laptop with Intel Quad-Core Processor(Up to 3.6GHz), 16GB DDR4 512GB SSD Laptop Computer, Windows 11 Laptop, 15.6"" IPS 1080P, Metal Shell, USB3.2, Long Battery Life",$379.99,"Wed, Jan 29",No coupon,https://www.amazon.com/KAIGERR-Quad-Core-Processor-Computer-Windows/dp/B0DR86VZLG/ref=sr_1_13?dib=eyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM&dib_tag=se&keywords=laptop+Mac&qid=1737203314&sr=8-13,2025-01-18 13:28:35,KAIGERR,AX15,15.6 Inches,Space Gray,512 GB,Intel Mobile CPU,16 GB,Windows 11,Numeric Keypad
"Model Apple MacBook Air 13.3in 1440 x 900 Glossy Display Laptop, Intel Core i5, 8GB RAM, 128GB SSD, Backlit Keyboard, WIFI, Bluetooth, Mac OS, Silver (Renewed)",Data not available,No promotion,No coupon,https://www.amazon.com/Apple-MacBook-Keyboard-Bluetooth-Refurbished/dp/B07HMG3LRV/ref=sr_1_14?dib=eyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM&dib_tag=se&keywords=laptop+Mac&qid=1737203314&sr=8-14,2025-01-18 13:28:35,Apple,MacBook Air,13.3 Inches,Silver,128 GB,Core i5,8 GB,Chrome OS,Backlit Keyboard
"Late-2018 Apple MacBook Air with Core i5 (13-inch, 8GB RAM, 256GB) (QWERTY English) Gold (Renewed)",$375.00,No promotion,No coupon,https://www.amazon.com/Apple-MacBook-13-inch-Display-Dual-core/dp/B07KGJ3Z8H/ref=sr_1_15?dib=eyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM&dib_tag=se&keywords=laptop+Mac&qid=1737203314&sr=8-15,2025-01-18 13:28:35,Apple,MacBook Air,13 Inches,Gold,256 GB,Core i5,8 GB,Mac OS,Data not available
"Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",$321.99,"Wed, Jan 29",No coupon,https://www.amazon.com/A315-24P-R7VH-Display-Quad-Core-Processor-Graphics/dp/B0BS4BP8FB/ref=sr_1_16?dib=eyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM&dib_tag=se&keywords=laptop+Mac&qid=1737203314&sr=8-16,2025-01-18 13:28:35,acer,Laptop,15.6 Inches,Silver,128 GB,Ryzen 3,8 GB,Windows 11 S,Backlit Keyboard
"Laptop, 4GB RAM 320GB Storage, Office 365 One Year, Laptop Computer with Celeron N4100 CPU, FHD 1080P Display, 2.4G+5G WiFi, BT4.0, 35.52WH Battery, 2 Speakers, Protable Laptops 14 Inch.",$459.99,"Wed, Jan 29",No coupon,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDUwOTI0NzgxODI3NTE4OjE3MzcyMDMzMTQ6c3BfbXRmOjMwMDUxNDM1ODIyMjQwMjo6MDo6&url=%2Fjumper-Storage-Computer-Speakers-Protable%2Fdp%2FB0DGX4KMCK%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM%26dib_tag%3Dse%26keywords%3Dlaptop%2BMac%26qid%3D1737203314%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,2025-01-18 13:28:35,jumper,Ezbook S5 Laptop,14 Inches,Space Gray,320 GB,Celeron N,4 GB,Windows 11,Lightweight
"14"" Ultral Light Laptop for Students and Business, Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S",$265.99,"Wed, Jan 29",11% off coupon applied,https://www.amazon.com/HP-Students-Business-Quad-Core-Storage/dp/B0B2D77YB8/ref=sr_1_18?dib=eyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM&dib_tag=se&keywords=laptop+Mac&qid=1737203314&sr=8-18,2025-01-18 13:28:35,HP,HP Laptop,14 Inches,Snowflake White,64 GB,Celeron N,8 GB,Windows 11 Home,Data not available
"Portable Laptop (Include 1 Year Microsoft 365), 14’’ HD Display, 16GB RAM, 64GB eMMC, Intel Quad-Core N4120, Student and Business, Webcam, HDMI, Wi-Fi, RJ-45, Windows 11 Home, Pink",$245.00,"Wed, Jan 29",No coupon,https://www.amazon.com/HP-Portable-Microsoft-Quad-Core-Business/dp/B0CHHMH36M/ref=sr_1_19?dib=eyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM&dib_tag=se&keywords=laptop+Mac&qid=1737203314&sr=8-19,2025-01-18 13:28:35,HP,TPN-I130,14 Inches,Pink,64 GB,Celeron N,16 GB,Windows 11 Home,HD Audio
"MacBook Pro 16.2"" with M4 Max Chip, Late 2024-16-Core / 40-Core, Space Black, Standard Display, 64GB, 2TB SSD",Data not available,No promotion,No coupon,https://www.amazon.com/Apple-MacBook-2024-16-Core-40-Core-Standard/dp/B0DNRJHZ55/ref=sr_1_20?dib=eyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM&dib_tag=se&keywords=laptop+Mac&qid=1737203314&sr=8-20,2025-01-18 13:28:35,Apple,MacBook Pro 16.2,16.2,Data not available,Data not available,Apple M4,64 GB,Mac OS,Data not available
"14 Inch Laptop Computer, Gaming Laptop, 8GB RAM 256GB SSD, Intel Celeron N5095 Processors, FHD 1920 x 1080, Supports 180 Angle Opening, Windows 11 Pro",$249.99,"Wed, Jan 29",No coupon,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDUwOTI0NzgxODI3NTE4OjE3MzcyMDMzMTQ6c3BfYnRmOjMwMDYxMDU5NDE4MTEwMjo6MDo6&url=%2FFUNYET-Computer-Quad-Core-Processors-Supports%2Fdp%2FB0CKN9M1S8%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM%26dib_tag%3Dse%26keywords%3Dlaptop%2BMac%26qid%3D1737203314%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,2025-01-18 13:28:35,FUNYET,NY-01,14.1 Inches,N5095,256 GB,Celeron,8 GB,Windows 11 Pro,Micro-edge Bezel
"15.6 Inch Laptop Computer,16GB RAM 1TB SSD,N5095 4C/4T Processor(up to 2.9Ghz),UHD Graphics,15.6” FHD 1920 * 1080 Display,WiFi 5,BT5.0,Backlit Keyboard,Fingerprint Unlock",$329.99,"Wed, Jan 29",$50.00 off coupon applied,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDUwOTI0NzgxODI3NTE4OjE3MzcyMDMzMTQ6c3BfYnRmOjMwMDU4NzIxMDI3OTEwMjo6MDo6&url=%2FNAIKLULU-Computer-Processor-Graphics-Fingerprint%2Fdp%2FB0DMSWKZPS%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.5U4_FfJkNT1pta2VxEZfttrvMdC4hHPNx1ar5WSQeI7xB458hyh_0bQuUbniQWue5gJaeF-s7q7ZXj0au3Mhzt9F0tOQoq4UwraXmgAeylRpDg3G82vqifdSX5PMrSiibcYpslBoZDGw2Lyk3cZw3n1gqU4g7L1KN1tY_vj-ZjfKrXgQETaYCxoCx2-C-VklxS5OUbl1lvc17hJBmGEXji6w7FdWzraoJ7-FPl94m_A.Hk4gOTC8vI9M2ieVPPJiKoelM4toFvpcm06iHnDE6pM%26dib_tag%3Dse%26keywords%3Dlaptop%2BMac%26qid%3D1737203314%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,2025-01-18 13:28:35,NAIKLULU,NY-04,15.6 Inches,Gray,1 TB,Celeron N,16 GB,OS,"Fingerprint Reader, Backlit Keyboard, Memory Card Slot, Numeric Keypad"
