title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Brand,Graphics Engine,GPU Clock,Bus Standard,Model ID,Part Number,Memory,VGA/D-SUB Output,DVI and HDMI Interface,Other Interface,Dimensions,Weight,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Service Type,Power Supply Required,Processors and Cores,Graphics Technologies Supported,Memory Bandwidth,Shader,Cooling and Heatsink,HD Content Support,Maximum Resolution,Supported OS,GPU Manufacturing Process,3D Support,Mini HDMI,Other System Requirements,RAMDAC Clock Speed,Software Included,Additional Features
ASUS NVIDIA Geforce GT 710 2 GB DDR3 Graphics Card,"₹3,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/graphics-card/m/w/p/asus-geforce-gt-710-original-imaejr3vjz9tebus.jpeg?q=70,https://www.flipkart.com/asus-nvidia-geforce-gt-710-2-gb-ddr3-graphics-card/p/itm8a5d1d0c7d1f7?pid=GRCEJXYHFBFFCMWP&lid=LSTGRCEJXYHFBFFCMWPMHUJLQ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_41&otracker=search&fm=organic&iid=17fc001a-ddcf-40ac-bd41-3af70fa323e6.GRCEJXYHFBFFCMWP.SEARCH&ppt=None&ppn=None&ssid=f2uev1ehgg0000001739028262730&qH=ae2a487734c75ca2,2025-02-08 16:24:25,Graphic Card,ASUS,NVIDIA Ge-force GT 710 DDR5,589 MHz,PCI Express 2.0,Geforce GT 710,710,"64-bit, 2 GB DDR3 Memory with 1800 MHz",1xVGA DSub Output,"1 x DVI Output Out, 1 x HDMI Output Out",No x Co-Axial TV Out,260 x 200 x 120 mm,500 g,3 Year Warranty against Manufacturing defects,Warranty of Product is Limited to Manufacturing Defects Only.,Physical Damage / Liquid Submission.,Carry in. Brand Support Toll free No. 18002090365 and Mail us link -https://www.asus.com/in/support/,,,,,,,HDCP Support,"2560x1600 (Digital), 2560X1600 (Analog)",,,,,,,,
Inno3D NVIDIA GEFORCE RTX 3060 TWIN X2 12 GB GDDR6 Grap...,"₹25,463",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l1whaq80/graphics-card/f/m/k/geforce-rtx-3060-twin-x2-inno-3d-original-imagdd66zb6c9gtd.jpeg?q=70,https://www.flipkart.com/inno3d-nvidia-geforce-rtx-3060-twin-x2-12-gb-gddr6-graphics-card/p/itmae272b21d60db?pid=GRCGDD66AFXVEWHC&lid=LSTGRCGDD66AFXVEWHCB2G1PA&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_45&otracker=search&fm=organic&iid=17fc001a-ddcf-40ac-bd41-3af70fa323e6.GRCGDD66AFXVEWHC.SEARCH&ppt=None&ppn=None&ssid=f2uev1ehgg0000001739028262730&qH=ae2a487734c75ca2,2025-02-08 16:24:25,Graphic Card,Inno3D,NVIDIA GEFORCE RTX 3060 TWIN X2,1792 MHz,PCI-E 4.0 X16,GEFORCE RTX 3060 TWIN X2,N30602-12D6-119032AH,"192-bit, 12 GB GDDR6 Memory",,,,120 x 240 mm,,1 Year from the date of purchase,Warranty is applicable on manufacturing defects (If any) for 1 Year from the date of purchase.,"Unauthorized tampering, modification or repair physical damage; water Damage or any other damage due to heat, humidity, moisture and mishandling doing operations",Warranty claim along with the necessary contact information required: RMA Portal - www.acrorma.com or mail on support@acrorma.com,,3584 CUDA Cores,,360 Gbps,,,,,,,,,,,,
AARVEX NVIDIA GT610 1 GB DDR3 Graphics Card,"₹2,790",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/c/u/4/gt610-aarvex-original-imagkyc55wqf64f6.jpeg?q=70,https://www.flipkart.com/aarvex-nvidia-gt610-1-gb-ddr3-graphics-card/p/itm77ac51e191480?pid=GRCGKYC5CXGTZGZ7&lid=LSTGRCGKYC5CXGTZGZ7ELZNQW&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_49&otracker=search&fm=organic&iid=17fc001a-ddcf-40ac-bd41-3af70fa323e6.GRCGKYC5CXGTZGZ7.SEARCH&ppt=None&ppn=None&ssid=f2uev1ehgg0000001739028262730&qH=ae2a487734c75ca2,2025-02-08 16:24:25,AARVEX INFOTECH PVT LTD,AARVEX,NVIDIA Geforce,612 MHz,PCI EXPRESS,GT610,GT610LP-1GD3,"62-bit, 1 GB DDR3 Memory",,,,,,3 Years Warranty,Manufracture Date,Physically Damage,Repair or Replacement,,,,,,,,,,,,,,,,
Inno3D NVIDIA GEFORCE RTX 3050 TWIN X2 8 GB GDDR6 Graph...,"₹23,689",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/o/v/2/geforce-rtx-3050-twin-x2-oc-inno3d-original-imagdd659zuctvzj.jpeg?q=70,https://www.flipkart.com/inno3d-nvidia-geforce-rtx-3050-twin-x2-8-gb-gddr6-graphics-card/p/itme70cd87d40faa?pid=GRCGDD66TKXFP4ZC&lid=LSTGRCGDD66TKXFP4ZCHJ1GES&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_53&otracker=search&fm=organic&iid=17fc001a-ddcf-40ac-bd41-3af70fa323e6.GRCGDD66TKXFP4ZC.SEARCH&ppt=None&ppn=None&ssid=f2uev1ehgg0000001739028262730&qH=ae2a487734c75ca2,2025-02-08 16:24:25,Graphic Card,Inno3D,NVIDIA GEFORCE RTX 3050 TWIN X2,1830 MHz,PCI-E 4.0,GEFORCE RTX 3050 TWIN X2,N30502-08D6-1190VA42,"128-bit, 8 GB GDDR6 Memory",,,,,,1 Year from the date of purchase,Warranty is applicable on manufacturing defects (If any) for 1 Year from the date of purchase.,"Unauthorized tampering, modification or repair physical damage; water Damage or any other damage due to heat, humidity, moisture and mishandling doing operations",Warranty claim along with the necessary contact information required: RMA Portal - www.acrorma.com or mail on support@acrorma.com,,,,,,,,,,,,,,,,
Inno3D NVIDIA GeForce RTX 3050 TWIN X2 8 GB GDDR6 Graph...,"₹20,371",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/r/s/d/geforce-rtx-3050-twin-x2-inno3d-original-imagvh5bffc7r8pg.jpeg?q=70,https://www.flipkart.com/inno3d-nvidia-geforce-rtx-3050-twin-x2-8-gb-gddr6-graphics-card/p/itm0b52810f27369?pid=GRCGVH5BG3GAWEJK&lid=LSTGRCGVH5BG3GAWEJK5JK5JN&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_57&otracker=search&fm=organic&iid=17fc001a-ddcf-40ac-bd41-3af70fa323e6.GRCGVH5BG3GAWEJK.SEARCH&ppt=None&ppn=None&ssid=f2uev1ehgg0000001739028262730&qH=ae2a487734c75ca2,2025-02-08 16:24:25,Graphic Card,Inno3D,NVIDIA GEFORCE RTX 3050,1777 MHz,PCI-E 4.0,GeForce RTX 3050 TWIN X2,N30502-08D6-1711VA41,"128-bit, 8 GB GDDR6 Memory",,,,120 x 222 mm,,1 Year from the date of purchase,Warranty is applicable on manufacturing defects (If any) for 1 Year from the date of purchase.,"Unauthorized tampering, modification or repair physical damage; water Damage or any other damage due to heat, humidity, moisture and mishandling doing operations",Warranty claim along with the necessary contact information required: RMA Portal - www.acrorma.com or mail on support@acrorma.com,,2560 CUDA Cores,,,,,HDCP Support,7680x4320 (Digital),"Windows 10, Linux, FreeBSDx86",,,,,,,
ZOTAC NVIDIA GeForce GT 1030 2 GB DDR5 Graphics Card,"₹7,263",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/ji6b2q80/graphics-card/d/t/p/zotac-geoforce-gt-1030-2gb-64-bit-ddr5-original-imaf5z44asuf5pzm.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-geforce-gt-1030-2-gb-ddr5-graphics-card/p/itmb186d18d99c5b?pid=GRCF5Z58PYCYEDTP&lid=LSTGRCF5Z58PYCYEDTPN38L2T&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_61&otracker=search&fm=organic&iid=17fc001a-ddcf-40ac-bd41-3af70fa323e6.GRCF5Z58PYCYEDTP.SEARCH&ppt=None&ppn=None&ssid=f2uev1ehgg0000001739028262730&qH=ae2a487734c75ca2,2025-02-08 16:24:25,"Graphic Card, CD",ZOTAC,NVIDIA GeForce GT 1030,1468 MHz,PCI Express 3.0,GeForce GT 1030,ZT-P10300A-10L,"64-bit, 2 GB DDR5 Memory",,,,,,"Standard Warranty: 2 years, Extended warranty: +3 years; Total Warranty: 5 years total",Warranty is covered on complete product.,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry in.� EMail ID :�technical@zotac.com,,384 CUDA Cores,,,,Single Slot Heatsink + fan,,,,,,,,,,
Colorful NVIDIA RTX-3080 Ti 12 GB GDDR6X Graphics Card,"₹99,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l37mtu80/graphics-card/k/9/r/battle-ax-colorful-original-imagedpfkt5a6kzz.jpeg?q=70,https://www.flipkart.com/colorful-nvidia-rtx-3080-ti-12-gb-gddr6x-graphics-card/p/itma5de0e4573c26?pid=GRCGE9858A5YGGPZ&lid=LSTGRCGE9858A5YGGPZZB8QM8&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_65&otracker=search&fm=organic&iid=17fc001a-ddcf-40ac-bd41-3af70fa323e6.GRCGE9858A5YGGPZ.SEARCH&ppt=None&ppn=None&ssid=f2uev1ehgg0000001739028262730&qH=ae2a487734c75ca2,2025-02-08 16:24:25,"1 Graphic Card, Manual",Colorful,NVIDIA GeForce RTX 3080 Ti,1365 MHz,PCI Express 4.0,RTX-3080 Ti,G-C3080TI NB-V,"384-bit, 12 GB GDDR6X Memory with 19000 MHz",,1 x HDMI Output Out,3 x Display Port Out,131 x 310 x 57 mm,1300 g,3 Years Warranty,Manufacturing Defects,"Physical Damage, Industrial Usage or Used for Mining/Farming Applications",Carry In to Service Centre,750 W,10240 CUDA Cores,No support,912 Gbps,,,,,,8 nm,,,,,,
Enter NVIDIA E-GT610-2GD3 PCI Express 2.0 Graphics Card...,"₹1,900",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/l/u/3/e-gt610-2gd3-pci-express-2-0-graphics-card-64-bit-2gb-hdmi-vga-original-imagzg5rtrghzgjn.jpeg?q=70,https://www.flipkart.com/enter-nvidia-e-gt610-2gd3-pci-express-2-0-graphics-card-64-bit-2gb-hdmi-vga-2-gb-ddr3/p/itmf4d14c932b28c?pid=GRCGZG5RQARVRUCG&lid=LSTGRCGZG5RQARVRUCGEA4QA0&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_69&otracker=search&fm=organic&iid=17fc001a-ddcf-40ac-bd41-3af70fa323e6.GRCGZG5RQARVRUCG.SEARCH&ppt=None&ppn=None&ssid=f2uev1ehgg0000001739028262730&qH=ae2a487734c75ca2,2025-02-08 16:24:25,"1 GRAPHIC CARD, 1 DRIVER CD",Enter,NVIDIA GT610,810 MHz,PCI EXPRESS,E-GT610-2GD3 PCI Express 2.0 Graphics Card 64 bit 2GB HDMI VGA,EN-GT610,"64-bit, 2 GB DDR3 Memory",,1 x HDMI Output Out,,,,2 YEARS,ANY TYPE OF MANUFECTURING DEFECT,PHYSICAL DAMAGE OR BURN,REPAIR OR REPLACEMENT,,,,,,1 FAN,,,,,,,,,,
gigabtye NVIDIA ?GV-N4060AORUS E-8GD 8 GB GDDR6 Graphic...,"₹38,412",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/x/g/b/gv-n4060aorus-e-8gd-gigabtye-original-imagsvx8tfezk25q.jpeg?q=70,https://www.flipkart.com/gigabtye-nvidia-gv-n4060aorus-e-8gd-8-gb-gddr6-graphics-card/p/itmb452a3a37ee3f?pid=GRCGSVXJKUXEPX8E&lid=LSTGRCGSVXJKUXEPX8ETAYGLQ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_73&otracker=search&fm=organic&iid=17fc001a-ddcf-40ac-bd41-3af70fa323e6.GRCGSVXJKUXEPX8E.SEARCH&ppt=None&ppn=None&ssid=f2uev1ehgg0000001739028262730&qH=ae2a487734c75ca2,2025-02-08 16:24:25,"GRAPHIC CARD, USERS MANUAL",gigabtye,NVIDIA GeForce RTX™ 4060,2640 MHz,PCI-E 4.0,?GV-N4060AORUS E-8GD,?GV-N4060AORUS E-8GD,"128-bit, 8 GB GDDR6 Memory",,,,,,3 Years Warranty (Online Registration Required),Manufacturing Defects,Physical Damages will Not Covered in Warranty,On-site,,3072 CUDA Cores,,,,,,,,,,,,,,
ZEBRONICS NVIDIA GT730 4 GB DDR3 Graphics Card,"₹2,747",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/k/3/g/gt730-zebronics-original-imah6y8ejd9m5bwu.jpeg?q=70,https://www.flipkart.com/zebronics-nvidia-gt730-4-gb-ddr3-graphics-card/p/itm98812b52228f0?pid=GRCG92VDHGPFASRY&lid=LSTGRCG92VDHGPFASRYP0TXK0&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_77&otracker=search&fm=organic&iid=17fc001a-ddcf-40ac-bd41-3af70fa323e6.GRCG92VDHGPFASRY.SEARCH&ppt=None&ppn=None&ssid=f2uev1ehgg0000001739028262730&qH=ae2a487734c75ca2,2025-02-08 16:24:25,Pack of 1,ZEBRONICS,NVIDIA GT730,144 MHz,SERIAL,GT730,1234,"64-bit, 4 GB DDR3 Memory with 1333 MHz",1xVGA DSub Output,"0 x DVI Output Out, No x Dual Link DVI Out, 1 x HDMI Output Out","1 x Display Port Out, 0 x Mini Display Port Out",50 x 50 x 50 mm,2 g,1,1,DAMAGES,1,450 W,,Microsoft DirectX v11,,Clock speed of 1333 MHz,yes,HDTV Support,,windows10/11,,Yes support,0 x Mini HDMI Output,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:24:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:24:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹99,999",4.4,Data not available,https://rukminim2.flixcart.com/image/300/300/l37mtu80/graphics-card/k/9/r/battle-ax-colorful-original-imagedpfkt5a6kzz.jpeg?q=90,URL not available,2025-02-08 16:24:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:24:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 16:24:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALAX NVIDIA GTX1660 6 GB GDDR5 Graphics Card,"₹21,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/d/b/i/gtx1660-galax-original-imah7fy7abucyhyd.jpeg?q=70,https://www.flipkart.com/galax-nvidia-gtx1660-6-gb-gddr5-graphics-card/p/itmf2e2a18ce79df?pid=GRCH58Z4AXSYKUZZ&lid=LSTGRCH58Z4AXSYKUZZWDQ5MA&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_81&otracker=search&fm=organic&iid=da0c7480-2855-4a56-86d9-f42fa7ebf7ba.GRCH58Z4AXSYKUZZ.SEARCH&ppt=None&ppn=None&ssid=ztps3tc4ow0000001739028293888&qH=ae2a487734c75ca2,2025-02-08 16:24:54,1Card,GALAX,NVIDIA NVIDIA GeForce GTX 1660,1800 MHz,PCI Express 3.0,GTX1660,192Bit,"192-bit, 6 GB GDDR5 Memory",0xVGA DSub Output,"1 x DVI Output Out, 1 x HDMI Output Out","1 x Display Port Out, 0 x Mini Display Port Out",228 x 41.5 x 131.5 mm,,No Warranty. This product is RMA replacement.,N/A,Physical Damage,N/A,450 W,1408 CUDA Cores,"Microsoft DirectX v12, Open GL Optimization v4.6, No support",336 Gbps,,"Fans - 2, Heatpipes - 2",HDTV Support,,"Microsoft Windows 10, Windows 8 & 8.1, Windows 7 64-bit",,,0 x Mini HDMI Output,"PCI Express-compliant motherboard with one dual-width x 16 graphics slot, 1x 8-pin PCI Express supplementary power connectors, Minimum 450W or greater system power supply, 350MB of available hard-disk space, 4GB system memory (6GB or higher recommended), Microsoft Windows 10, Windows 8 & 8.1, Windows 7 64-bit, CD-ROM/DVD-ROM drive or Internet connection, Windows XP no longer supported",,,
ZEBRONICS NVIDIA Zeb GT 610 2 GD3 2 GB DDR3 Graphics Ca...,"₹1,424",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/p/x/l/zeb-gt-610-2-gd3-zebronics-original-imah5yy6ggm5tft7.jpeg?q=70,https://www.flipkart.com/zebronics-nvidia-zeb-gt-610-2-gd3-gb-ddr3-graphics-card/p/itm2ae8293c62707?pid=GRCH5YY6GZGXUZZC&lid=LSTGRCH5YY6GZGXUZZCFULTKN&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_85&otracker=search&fm=organic&iid=da0c7480-2855-4a56-86d9-f42fa7ebf7ba.GRCH5YY6GZGXUZZC.SEARCH&ppt=None&ppn=None&ssid=ztps3tc4ow0000001739028293888&qH=ae2a487734c75ca2,2025-02-08 16:24:54,1 Unit Graphics Card,ZEBRONICS,NVIDIA 610,1000 MHz,PCI 2.0,Zeb GT 610 2 GD3,ZEB-GT610-2GD3,"64-bit, 2 GB DDR3 Memory with 1000 MHz",1xVGA DSub Output,1 x HDMI Output Out,,,,3 YEAR'S,Manufacturer defect,Broken Product not covered warranty,Carry in,,,,,,,HDTV Support,,All OS,,,,,,,
mytechvision AMD Radeon rx 590 8 GB GDDR5 Graphics Card,"₹10,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/j/3/x/rx-590-mytechvision-original-imahfcbne2ec2yam.jpeg?q=70,https://www.flipkart.com/mytechvision-amd-radeon-rx-590-8-gb-gddr5-graphics-card/p/itm389dae0708a35?pid=GRCHFA5UMZHUTMCA&lid=LSTGRCHFA5UMZHUTMCABUZAFO&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_89&otracker=search&fm=organic&iid=da0c7480-2855-4a56-86d9-f42fa7ebf7ba.GRCHFA5UMZHUTMCA.SEARCH&ppt=None&ppn=None&ssid=ztps3tc4ow0000001739028293888&qH=ae2a487734c75ca2,2025-02-08 16:24:54,1 X RX 590,mytechvision,AMD Radeon RX 590,1750 MHz,PCIE X 16,rx 590,AMD,"256-bit, 8 GB GDDR5 Memory",,,,,,1 YEAR REPLACEMENT,ALL,PHYSICAL DAMAGE,1 YEAR REPLACEMENT,450 W,2048 Shader Processors,,,,,,,,,,,,,,
NexLens AMD/ATI VR Headset | 3D Glasses for Mobile Gami...,₹542,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/q/w/u/vr-headset-3d-glasses-for-mobile-gaming-movies-interactive-original-imah55hpesdbzxut.jpeg?q=70,https://www.flipkart.com/nexlens-amd-ati-vr-headset-3d-glasses-mobile-gaming-movies-interactive-experiences-2-gb-ddr2-graphics-card/p/itmbc3f050f72f7c?pid=GRCH55AHNZDGSKJ4&lid=LSTGRCH55AHNZDGSKJ4YCP6EZ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_93&otracker=search&fm=organic&iid=da0c7480-2855-4a56-86d9-f42fa7ebf7ba.GRCH55AHNZDGSKJ4.SEARCH&ppt=None&ppn=None&ssid=ztps3tc4ow0000001739028293888&qH=ae2a487734c75ca2,2025-02-08 16:24:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEB NVIDIA GT610-2GD3 2 GB DDR3 Graphics Card,"₹2,450",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/v/a/i/zebronics-graphics-cards-zeb-gt-610-1gb-rashmove-original-imagpe7fyye96trk.jpeg?q=70,https://www.flipkart.com/zeb-nvidia-gt610-2gd3-2-gb-ddr3-graphics-card/p/itmcd84e3a3e2929?pid=GRCGQDFKK5HEGWMB&lid=LSTGRCGQDFKK5HEGWMBJCFQV5&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_97&otracker=search&fm=organic&iid=da0c7480-2855-4a56-86d9-f42fa7ebf7ba.GRCGQDFKK5HEGWMB.SEARCH&ppt=None&ppn=None&ssid=ztps3tc4ow0000001739028293888&qH=ae2a487734c75ca2,2025-02-08 16:24:54,GRAPHIC CARD 1N CD 1N,ZEB,NVIDIA NVIDIA 610,1000 MHz,PCI 2.0,GT610-2GD3,2GB GT610,"64-bit, 2 GB DDR3 Memory",,,,,,3 YEAR,DEAD OR IN CASE OF NOT DETECTING,PHYISICAL DAMAGE OR WATER DAMAGE,FROM SERVICE CENTRE,,,,,,,,,,,,,,,,
ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,"₹3,474",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kbb49zk0/graphics-card/g/h/3/zotac-geforce-gt-710-original-imafszgbjh82pxyp.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-geforce-gt-710-2-gb-ddr3-graphics-card/p/itm0a219d4404887?pid=GRCEG2KGZRARYGH3&lid=LSTGRCEG2KGZRARYGH3TZOFUE&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_101&otracker=search&fm=organic&iid=da0c7480-2855-4a56-86d9-f42fa7ebf7ba.GRCEG2KGZRARYGH3.SEARCH&ppt=None&ppn=None&ssid=ztps3tc4ow0000001739028293888&qH=ae2a487734c75ca2,2025-02-08 16:24:54,Graphic card,ZOTAC,NVIDIA GeForce GT 710,954 MHz,PCI Express 2.0,GeForce GT 710,ZT-71310-10L,"64-bit, 2 GB DDR3 Memory with 1600 MHz",,,No x Co-Axial TV Out,,,"Standard Warranty: 2 years, Extended warranty: +3 years; Total Warranty: 5 years total",Warranty is covered on complete product.,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry in.� EMail ID :�technical@zotac.com,,192 CUDA Cores,,,,Single Slot Single fan with heatsink,HDTV Support,,,,,,,,,
NexLens AMD/ATI 3D VR Headset | Virtual Reality Glasses...,₹542,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/g/r/j/3d-vr-headset-virtual-reality-glasses-for-interactive-gaming-original-imah55hfyhkdfxgr.jpeg?q=70,https://www.flipkart.com/nexlens-amd-ati-3d-vr-headset-virtual-reality-glasses-interactive-gaming-video-2-gb-ddr2-graphics-card/p/itm00a958a7e3cb3?pid=GRCH55AASPHNFBFQ&lid=LSTGRCH55AASPHNFBFQ9SJX3S&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_105&otracker=search&fm=organic&iid=da0c7480-2855-4a56-86d9-f42fa7ebf7ba.GRCH55AASPHNFBFQ.SEARCH&ppt=None&ppn=None&ssid=ztps3tc4ow0000001739028293888&qH=ae2a487734c75ca2,2025-02-08 16:24:54,"1VR BOX, 1USER MANUAL",NexLens,AMD/ATI vr headset,5.3 MHz,VR BOX,3D VR Headset | Virtual Reality Glasses for Interactive Gaming & Video,2210,"2-bit, 2 GB DDR2 Memory with 0 MHz",0xVGA DSub Output,"0 x DVI Output Out, Yes x Dual Link DVI Out, 0 x HDMI Output Out, 0","Yes x Co-Axial TV Out, Yes x VIVO Out, 0 x Display Port Out, 0 x Mini Display Port Out, 0",0 x 0 x 0 mm,0 g,NA,NA,NA,0,0 W,"0 Stream Processor, 0 Shader Processors, 0 CUDA Cores","Microsoft DirectX v0, Open GL Optimization v0,  AMD CrossFireX supported, Yes support",0 Gbps,Shader Version 0 with Clock speed of 0 MHz,0,HDCP Support and HDTV Support,"0 (Digital), 0 (Analog)",0,0 nm,Yes support,0 x Mini HDMI Output,0,0 MHz,0,0
ASUS AMD/ATI Dual-RX7600-O8G-V2 8 GB GDDR6 Graphics Car...,"₹26,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/a/z/x/dual-geforce-rtx-4060-ti-ssd-oc-edition-asus-original-imagyadnkhnvzzmy.jpeg?q=70,https://www.flipkart.com/asus-amd-ati-dual-rx7600-o8g-v2-8-gb-gddr6-graphics-card/p/itmd7b7f77de926f?pid=GRCGY4FCMEFFVZGN&lid=LSTGRCGY4FCMEFFVZGNAIKKHM&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_109&otracker=search&fm=organic&iid=da0c7480-2855-4a56-86d9-f42fa7ebf7ba.GRCGY4FCMEFFVZGN.SEARCH&ppt=None&ppn=None&ssid=ztps3tc4ow0000001739028293888&qH=ae2a487734c75ca2,2025-02-08 16:24:54,"1 Graphics Card, Collection Card, Speedsetup Manual, User Manual, Warranty Card",ASUS,AMD/ATI AMD Radeon RX 7600,2745 MHz,PCI Express 4.0,Dual-RX7600-O8G-V2,90YV0IH2-M0NA00,"128-bit, 8 GB GDDR6 Memory",,1 x HDMI Output Out,,245 x 134 x 49 mm,630 g,3 Years Warranty,Manufacturing Defects,Physical and Water Damages,Carry-in,550 W,2048 Stream Processor,,,,,HDCP Support,7680 x 4320 (Digital),,,,,,,,
ZOTAC NVIDIA GAMING GeForce RTX 3050 Twin Edge 8 GB GDD...,"₹24,674",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/x/o/g/gaming-geforce-rtx-3050-twin-edge-zotac-original-imagqbmxpj5psygy.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-gaming-geforce-rtx-3050-twin-edge-8-gb-gddr6-graphics-card/p/itmf06df18a1d63b?pid=GRCGQBMXG7WWFCCT&lid=LSTGRCGQBMXG7WWFCCTYIHLXX&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_3_113&otracker=search&fm=organic&iid=da0c7480-2855-4a56-86d9-f42fa7ebf7ba.GRCGQBMXG7WWFCCT.SEARCH&ppt=None&ppn=None&ssid=ztps3tc4ow0000001739028293888&qH=ae2a487734c75ca2,2025-02-08 16:24:54,"1 Graphic Card, 1 User Manual",ZOTAC,NVIDIA GeForce RTX 3050,1777 MHz,128,GAMING GeForce RTX 3050 Twin Edge,RTX 3050,"128-bit, 8 GB GDDR6 Memory",,,,,,5 Years Warranty : 3 Years Standard and 2 Years Extended Warranty on Registration,Complete Product Warranty,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry-in Warranty,450 W,,,,,,,7680x4320 (Digital),,,,,,,,
