title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Brand,Graphics Engine,GPU Clock,Processors and Cores,GPU Manufacturing Process,Bus Standard,Model ID,Part Number,Memory,Graphics Technologies Supported,DVI and HDMI Interface,Other Interface,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Service Type,Power Supply Required,Shader,Cooling and Heatsink,3D Support,VGA/D-SUB Output,Mini HDMI,HD Content Support,Supported OS,Dimensions,Weight,Memory Bandwidth,Maximum Resolution,Software Included,Additional Features,RAMDAC Clock Speed,Other System Requirements
GIGABYTE NVIDIA GV-N3050WF2OC-6GD GeForce RTX 3050 WIND...,"₹17,473",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/s/d/3/3050-wf-oc-gigabyte-original-imah6ekprahhyztf.jpeg?q=70,https://www.flipkart.com/gigabyte-nvidia-gv-n3050wf2oc-6gd-geforce-rtx-3050-windforce-oc-6-gb-gddr6-graphics-card/p/itm46efb61433e52?pid=GRCH2M7GAHPJWEZR&lid=LSTGRCH2M7GAHPJWEZRPLIUIQ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_37&otracker=search&fm=organic&iid=0109b36e-c330-4a62-a234-0a740d6e74a1.GRCH2M7GAHPJWEZR.SEARCH&ppt=None&ppn=None&ssid=840lq45i8g0000001738363969426&qH=ae2a487734c75ca2,2025-01-31 23:52:50,"Graphics Card, User Manual",GIGABYTE,NVIDIA GeForce RTX™ 3050,1477 MHz,,,PCI-Express x8,GV-N3050WF2OC-6GD GeForce RTX 3050 WINDFORCE OC,GV-N3050WF2OC-6GD,"96-bit, 6 GB GDDR6 Memory",,,,3 YEARS,MANUFACTURING DEFECT,Physical Damage or Burnt,CARRY IN,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-31 23:52:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-31 23:52:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹39,999",4.5,Data not available,https://rukminim2.flixcart.com/image/300/300/l2m78280/graphics-card/0/o/s/rx6600xt-pgd-asrock-original-imagdxa3sdnkfpws.jpeg?q=90,URL not available,2025-01-31 23:52:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-31 23:52:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-31 23:55:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEBRONICS NVIDIA GT730 4 GB DDR3 Graphics Card,"₹2,748",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/k/3/g/gt730-zebronics-original-imah6y8ejd9m5bwu.jpeg?q=70,https://www.flipkart.com/zebronics-nvidia-gt730-4-gb-ddr3-graphics-card/p/itm98812b52228f0?pid=GRCG92VDHGPFASRY&lid=LSTGRCG92VDHGPFASRYP0TXK0&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_41&otracker=search&fm=organic&iid=en_fun4VtmPj1NhwFzutSVvSZ5bDq-99F-8b3or8uNxBTqxkGGBEypBSEVrpa86e-uycPtbcK8JzxXKw_kO3EPSfg%3D%3D&ppt=None&ppn=None&ssid=5elvspudu80000001738364118212&qH=ae2a487734c75ca2,2025-01-31 23:55:18,Pack of 1,ZEBRONICS,NVIDIA GT730,144 MHz,,,SERIAL,GT730,1234,"64-bit, 4 GB DDR3 Memory with 1333 MHz",Microsoft DirectX v11,"0 x DVI Output Out, No x Dual Link DVI Out, 1 x HDMI Output Out","1 x Display Port Out, 0 x Mini Display Port Out",1,1,DAMAGES,1,450 W,Clock speed of 1333 MHz,yes,Yes support,1xVGA DSub Output,0 x Mini HDMI Output,HDTV Support,windows10/11,50 x 50 x 50 mm,2 g,,,,,,
mytechvision AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹11,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/r/f/u/rx-580-mytechvision-original-imagn3hsd5zayq6q.jpeg?q=70,https://www.flipkart.com/mytechvision-amd-radeon-rx-580-8-gb-gddr5-graphics-card/p/itme9a56adb3c07c?pid=GRCGN3HSXJVU3FSE&lid=LSTGRCGN3HSXJVU3FSEVHZMBY&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_45&otracker=search&fm=organic&iid=68cecb1e-11cb-4014-bf0d-292371f01a99.GRCGN3HSXJVU3FSE.SEARCH&ppt=None&ppn=None&ssid=5elvspudu80000001738364118212&qH=ae2a487734c75ca2,2025-01-31 23:55:18,1 X RX 580 8GB GRAPHICS CARD,mytechvision,AMD Radeon RX 580,1700 MHz,2048 Shader Processors,,PCIE X16,RX 580,AMD RADEON,"256-bit, 8 GB GDDR5 Memory",,,,1 YEAR CONTACT,ALL,PHYSICAL DAMAGE,REPLACEMENT,450 W,,,,,,,,,,,,,,,
ASRock AMD Radeon RX 7600 XT 16 GB GDDR6 Graphics Card,"₹32,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/a/3/i/-original-imah5yvz2vrfcxhg.jpeg?q=70,https://www.flipkart.com/asrock-amd-radeon-rx-7600-xt-16-gb-gddr6-graphics-card/p/itma1195463b9f38?pid=GRCH4JRXBUHPHASF&lid=LSTGRCH4JRXBUHPHASFTLYRSG&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_49&otracker=search&fm=organic&iid=68cecb1e-11cb-4014-bf0d-292371f01a99.GRCH4JRXBUHPHASF.SEARCH&ppt=None&ppn=None&ssid=5elvspudu80000001738364118212&qH=ae2a487734c75ca2,2025-01-31 23:55:18,"1 Graphics Card, Quick Installation Guide",ASRock,AMD Radeon OpenGL 4.6,2810 MHz,,,PCI Express 4.0 x8,RX 7600 XT,90-GA4ZZZ-00IANF,"128-bit, 16 GB GDDR6 Memory",,,,3 Years Warranty,Manufacturing Defects,Physical Damages,On-site,650 W,,,,,,,,,,,,,,,
"Xsentuals NVIDIA PCI-E Riser for Mining, PCIE 1x to 16x...",₹399,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/ks3jjbk0/graphics-card/e/5/w/pci-e-riser-for-mining-pcie-1x-to-16x-graphics-card-extension-original-imag5qxdcz6u376a.jpeg?q=70,https://www.flipkart.com/xsentuals-nvidia-pci-e-riser-mining-pcie-1x-16x-graphics-card-extension-cable-gpu-adapter-usb-3-0-6-pin-sata-power-bitcoin-litecoin-ethereum-mining-eth-60cm-16-gb-gddr4/p/itm6e91ad05c18d1?pid=GRCG5QXDGBYTRKHJ&lid=LSTGRCG5QXDGBYTRKHJS1HFJG&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_53&otracker=search&fm=organic&iid=68cecb1e-11cb-4014-bf0d-292371f01a99.GRCG5QXDGBYTRKHJ.SEARCH&ppt=None&ppn=None&ssid=5elvspudu80000001738364118212&qH=ae2a487734c75ca2,2025-01-31 23:55:18,1 x VER009S / 009S PCIe Riser Card,Xsentuals,NVIDIA 1,120 MHz,,,3.0,"PCI-E Riser for Mining, PCIE 1x to 16x Graphics Card Extension Cable GPU Riser Adapter USB 3.0 6-Pin PCIE to SATA Power Cable for Bitcoin Litecoin Ethereum Mining ETH (60CM)",VER0097S / 007S,"64-bit, 16 GB GDDR4 Memory",,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
JieShuo AMD Radeon RX 5500XT 8 GB GDDR5 Graphics Card,"₹14,899",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/d/p/n/rx-5500xt-jieshuo-original-imah858byfcprsfy.jpeg?q=70,https://www.flipkart.com/jieshuo-amd-radeon-rx-5500xt-8-gb-gddr5-graphics-card/p/itmd81a5ce05301a?pid=GRCH858BK7YAMYBC&lid=LSTGRCH858BK7YAMYBCKZHFT8&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_57&otracker=search&fm=organic&iid=68cecb1e-11cb-4014-bf0d-292371f01a99.GRCH858BK7YAMYBC.SEARCH&ppt=None&ppn=None&ssid=5elvspudu80000001738364118212&qH=ae2a487734c75ca2,2025-01-31 23:55:18,1 Graphics Card,JieShuo,AMD Radeon AMD,1717 MHz,1408 Shader Processors,,PCI Express 16,RX 5500XT,RX5500XT,"256-bit, 8 GB GDDR5 Memory with 1845 MHz","AMD CrossFireX supported, No support",1 x HDMI Output Out,3 x Display Port Out,1 Year Seller Warranty from NJ Infotech +91 9906910066,Manufacturing defects,Burnt and Physical damage,Replacement,600 W,Shader Version 5 with Clock speed of 1200 MHz,High Quality Cooper,,,,,"Windows 11, Windows 10, Windows 7, Windows 7, Linux",30 x 4 x 12 mm,800 g,224 Gbps,7680x4320 (Digital),AMD Adraline,It requires a mandatory 600W of Power Supply,,
ASRock AMD Radeon RX 7800 XT 16 GB GDDR6 Graphics Card,"₹47,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/1/x/5/-original-imah5yvzecazywfb.jpeg?q=70,https://www.flipkart.com/asrock-amd-radeon-rx-7800-xt-16-gb-gddr6-graphics-card/p/itmf641642dbc05f?pid=GRCH4JRXWPMH23NH&lid=LSTGRCH4JRXWPMH23NHCUZPN5&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_61&otracker=search&fm=organic&iid=68cecb1e-11cb-4014-bf0d-292371f01a99.GRCH4JRXWPMH23NH.SEARCH&ppt=None&ppn=None&ssid=5elvspudu80000001738364118212&qH=ae2a487734c75ca2,2025-01-31 23:55:18,"1 Graphics Card, Quick Installation Guide",ASRock,AMD Radeon OpenGL 4.6,2520 MHz,,,PCI Express 4.0 x16,RX 7800 XT,90-GA4RZZ-00IANF,"256-bit, 16 GB GDDR6 Memory",,,,3 Years Warranty,Manufacturing Defects,Physical Damages,On-site,800 W,,,,,,,,,,,,,,,
ASRock AMD Radeon RX6500XT PGD 4 GB GDDR6 Graphics Card,"₹20,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l2m78280/graphics-card/o/r/v/rx6500xt-pgd-asrock-original-imagdxayfp2svavs.jpeg?q=70,https://www.flipkart.com/asrock-amd-radeon-rx6500xt-pgd-4-gb-gddr6-graphics-card/p/itme1ff4493695dd?pid=GRCGDUZMTRDG2TKR&lid=LSTGRCGDUZMTRDG2TKRUQTTVC&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_65&otracker=search&fm=organic&iid=68cecb1e-11cb-4014-bf0d-292371f01a99.GRCGDUZMTRDG2TKR.SEARCH&ppt=None&ppn=None&ssid=5elvspudu80000001738364118212&qH=ae2a487734c75ca2,2025-01-31 23:55:18,"1 Graphic Card, Quick guide",ASRock,AMD Radeon Radeon RX 6500 XT,2365 MHz,1024 Stream Processor,,PCI Express 4.0 x4,RX6500XT PGD,RX6500XT,"64-bit, 4 GB GDDR6 Memory with 18000 MHz",Open GL Optimization v4.6,1 x HDMI Output Out,1 x Display Port Out,3 Years Warranty,Manufacturing Defects,Physical Damages,Carry-in,400 W,,,,,,HDCP Support,,240 x 129 x 42 mm,459 g,144 Gbps,7680 x 4320 (Digital),,"0 dB Silent Cooling, 4GB 64-bit GDDR6, Striped Axial Fan, Hardware Raytracing",2365 MHz,
Xsentuals NVIDIA 8-Pin Female to 2(6+2) Pin Male Pin : ...,₹499,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kw3v0cw0/graphics-card/i/7/p/8-pin-female-to-2-6-2-pin-male-pin-8pin-female-pcie-to-2-pcie-original-imag8uyexqymhn7y.jpeg?q=70,https://www.flipkart.com/xsentuals-nvidia-8-pin-female-2-6-2-pin-male-8pin-pcie-2-6p-2p-power-cable-splitter-cable-16-gb-gddr4-graphics-card/p/itm2ac74ab1b5bec?pid=GRCG8UYEBZAXDDRR&lid=LSTGRCG8UYEBZAXDDRRV7NZXO&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_69&otracker=search&fm=organic&iid=68cecb1e-11cb-4014-bf0d-292371f01a99.GRCG8UYEBZAXDDRR.SEARCH&ppt=None&ppn=None&ssid=5elvspudu80000001738364118212&qH=ae2a487734c75ca2,2025-01-31 23:55:18,1 Splitter Cable,Xsentuals,NVIDIA 1,120 MHz,,,3.0,"8-Pin Female to 2(6+2) Pin Male Pin : 8Pin Female PCIe to 2 PCIe 8Pin (6P+2P) Male Power Cable, Splitter cable",Splitter cable,"64-bit, 16 GB GDDR4 Memory",,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
Nextron NVIDIA GT730 4GB DDR3 4 GB DDR3 Graphics Card,"₹3,995",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/q/d/b/gt730-4gb-ddr3-nextron-original-imah2araxzpngrby.jpeg?q=70,https://www.flipkart.com/nextron-nvidia-gt730-4gb-ddr3-4-gb-graphics-card/p/itm35716f8dd5935?pid=GRCH2ARAWG3AGFMR&lid=LSTGRCH2ARAWG3AGFMRMEFPNA&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_73&otracker=search&fm=organic&iid=68cecb1e-11cb-4014-bf0d-292371f01a99.GRCH2ARAWG3AGFMR.SEARCH&ppt=None&ppn=None&ssid=5elvspudu80000001738364118212&qH=ae2a487734c75ca2,2025-01-31 23:55:18,1 GRAPHICS CARD,Nextron,NVIDIA GT730,700 MHz,,,PCI-Express x16,GT730 4GB DDR3,GT730,"4000-bit, 4 GB DDR3 Memory with 700 MHz",,"1 x DVI Output Out, 1 x HDMI Output Out","Yes x Co-Axial TV Out, 3 x Display Port Out",1 YEAR,MANUFACTURING DEFECT,DAMAGE AND BREAKAGE,"Warranty Service 1 year warranty over manufacturing defect, physical damages are not covered",,Clock speed of 700 MHz,,,,0 x Mini HDMI Output,HDTV Support,WINDOWS,,,,,,,700 MHz,
gigabtye NVIDIA ?GV-N4060AORUS E-8GD 8 GB GDDR6 Graphic...,"₹38,412",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/x/g/b/gv-n4060aorus-e-8gd-gigabtye-original-imagsvx8tfezk25q.jpeg?q=70,https://www.flipkart.com/gigabtye-nvidia-gv-n4060aorus-e-8gd-8-gb-gddr6-graphics-card/p/itmb452a3a37ee3f?pid=GRCGSVXJKUXEPX8E&lid=LSTGRCGSVXJKUXEPX8ETAYGLQ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_77&otracker=search&fm=organic&iid=68cecb1e-11cb-4014-bf0d-292371f01a99.GRCGSVXJKUXEPX8E.SEARCH&ppt=None&ppn=None&ssid=5elvspudu80000001738364118212&qH=ae2a487734c75ca2,2025-01-31 23:55:18,"GRAPHIC CARD, USERS MANUAL",gigabtye,NVIDIA GeForce RTX™ 4060,2640 MHz,3072 CUDA Cores,,PCI-E 4.0,?GV-N4060AORUS E-8GD,?GV-N4060AORUS E-8GD,"128-bit, 8 GB GDDR6 Memory",,,,3 Years Warranty (Online Registration Required),Manufacturing Defects,Physical Damages will Not Covered in Warranty,On-site,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-31 23:55:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-31 23:55:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,₹499,3.7,Data not available,https://rukminim2.flixcart.com/image/300/300/kw3v0cw0/graphics-card/i/7/p/8-pin-female-to-2-6-2-pin-male-pin-8pin-female-pcie-to-2-pcie-original-imag8uyexqymhn7y.jpeg?q=90,URL not available,2025-01-31 23:55:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-31 23:55:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-31 23:56:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
