title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Brand,Graphics Engine,GPU Clock,Bus Standard,Model ID,Power Supply Required,Part Number,Memory,Memory Bandwidth,Graphics Technologies Supported,3D Support,DVI and HDMI Interface,Other Interface,HD Content Support,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Service Type,VGA/D-SUB Output,Supported OS,Processors and Cores,GPU Manufacturing Process,Shader,RAMDAC Clock Speed,Cooling and Heatsink,Maximum Resolution,Other System Requirements,Software Included,Weight,Additional Features,Dimensions,Mini HDMI
JieShuo AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹10,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/v/8/h/rx-580-jieshuo-original-imah5scjnm97f3gv.jpeg?q=70,https://www.flipkart.com/jieshuo-amd-radeon-rx-580-8-gb-gddr5-graphics-card/p/itma4c2096b8fce1?pid=GRCH5N8H3XZXF74E&lid=LSTGRCH5N8H3XZXF74ENPCHLU&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_37&otracker=search&fm=organic&iid=bc0ae076-a2e9-4907-bfd1-ab0789667a1f.GRCH5N8H3XZXF74E.SEARCH&ppt=None&ppn=None&ssid=81484ireao0000001738522805100&qH=ae2a487734c75ca2,2025-02-02 20:00:05,1 Graphics Card,JieShuo,AMD Radeon AMD,1244 MHz,PCI Express 16,RX 580,550 W,RX580,"256-bit, 8 GB GDDR5 Memory with 2100 MHz",,"AMD CrossFireX supported, No support",,1 x HDMI Output Out,2 x Display Port Out,,1 Year Seller Warranty from NJ Infotech +91 9906910066,Manufacturing defects,Burnt and Physical damage,Replacement,,"Windows 11, Windows 10, Windows 7, Windows 7, Linux",2048 Shader Processors,,Shader Version 3,,High Quality Cooper,7680x4320 (Digital),,AMD Adraline,800 g,It requires a mandatory 550W of Power Supply,30 x 4 x 12 mm,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:00:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:00:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹39,999",4.5,Data not available,https://rukminim2.flixcart.com/image/300/300/l2m78280/graphics-card/0/o/s/rx6600xt-pgd-asrock-original-imagdxa3sdnkfpws.jpeg?q=90,URL not available,2025-02-02 20:00:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:00:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:00:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIGABYTE NVIDIA N710D5-2GIL 2 GB GDDR5 Graphics Card,"₹3,875",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kialrww0-0/graphics-card/e/r/k/n710d5-2gil-gigabyte-original-imafy4ekbpfnrcrg.jpeg?q=70,https://www.flipkart.com/gigabyte-nvidia-n710d5-2gil-2-gb-gddr5-graphics-card/p/itm09389b263fa29?pid=GRCFY4EKDBRZ9EZF&lid=LSTGRCFY4EKDBRZ9EZF2WCSWB&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_41&otracker=search&fm=organic&iid=334227d6-0fb6-4216-8c3e-91e4c5b1ae72.GRCFY4EKDBRZ9EZF.SEARCH&ppt=None&ppn=None&ssid=j2x7s6qf000000001738522833725&qH=ae2a487734c75ca2,2025-02-02 20:00:34,Main Unit,GIGABYTE,NVIDIA GEFORCE GT 710,5010 MHz,PCI Express 2.0 x8,N710D5-2GIL,300 W,N710D5-2GIL,"64-bit, 2 GB GDDR5 Memory",,,,,,,3 Years Manufacturer Warranty,Manufacturing Defect,Physical Damage and Burnt,off site,,,,,,,,,,,,,,
ZOTAC NVIDIA RTX 3050 Twin Edge 8 GB GDDR6 Graphics Car...,"₹29,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kz1lle80/graphics-card/o/o/m/rtx-3050-twin-edge-zotac-original-imagb4fzpwpzyked.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-rtx-3050-twin-edge-8-gb-gddr6-graphics-card/p/itm93dfaca63f262?pid=GRCGB4FZBQYX2AEK&lid=LSTGRCGB4FZBQYX2AEKSN16T7&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_45&otracker=search&fm=organic&iid=334227d6-0fb6-4216-8c3e-91e4c5b1ae72.GRCGB4FZBQYX2AEK.SEARCH&ppt=None&ppn=None&ssid=j2x7s6qf000000001738522833725&qH=ae2a487734c75ca2,2025-02-02 20:00:34,"1 Units of ZOTAC GAMING GeForce RTX 3050 Twin Edge graphics card, User Manual",ZOTAC,NVIDIA GeForce RTX 3050,1777 MHz,PCI Express 4.0,RTX 3050 Twin Edge,450 W,ZT-A30500E-10M,"128-bit, 8 GB GDDR6 Memory",,,,,,,5 Years Warranty : 3 Years Standard and 2 Years Extended Warranty on Registration,Complete Product Warranty,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry-in Warranty,,,,,,,,,,,,,,
ZOTAC NVIDIA GeForce RTX 4060 Ti Twin Edge 8 GB GDDR6 G...,"₹38,281",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/w/o/b/geforce-rtx-4060-ti-twin-edge-zotac-original-imagq2ymxjwa3y9n.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-geforce-rtx-4060-ti-twin-edge-8-gb-gddr6-graphics-card/p/itme01763d96cd49?pid=GRCGQ2YMUTFH8DYE&lid=LSTGRCGQ2YMUTFH8DYECSALRG&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_49&otracker=search&fm=organic&iid=334227d6-0fb6-4216-8c3e-91e4c5b1ae72.GRCGQ2YMUTFH8DYE.SEARCH&ppt=None&ppn=None&ssid=j2x7s6qf000000001738522833725&qH=ae2a487734c75ca2,2025-02-02 20:00:34,1 Graphic Card,ZOTAC,NVIDIA GeForce RTX 4060 Ti,2535 MHz,PCI Express 4.0 16x,GeForce RTX 4060 Ti Twin Edge,,ZT-D40610E-10M,"128-bit, 8 GB GDDR6 Memory",,,,,,,5 Years Warranty : 3 Years Standard and 2 Years Extended Warranty on Registration,Complete Product Warranty,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry-in Warranty,,,,,,,,,,,,,40.01 x 123.2 x 225.5 mm,
"Zorbes NVIDIA Graphics Card Bracket, GPU Stand,Graphics...",₹594,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/j/y/n/graphics-card-bracket-gpu-stand-graphics-card-gpu-brace-zorbes-original-imahywmbhhhsdjzh.jpeg?q=70,https://www.flipkart.com/zorbes-nvidia-graphics-card-bracket-gpu-stand-graphics-brace-1-gb-ddr3/p/itm77be3283e7180?pid=GRCGTCECBQ9RUGJH&lid=LSTGRCGTCECBQ9RUGJHARHZG7&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_53&otracker=search&fm=organic&iid=334227d6-0fb6-4216-8c3e-91e4c5b1ae72.GRCGTCECBQ9RUGJH.SEARCH&ppt=None&ppn=None&ssid=j2x7s6qf000000001738522833725&qH=ae2a487734c75ca2,2025-02-02 20:00:34,1,Zorbes,NVIDIA genforce,589 MHz,Standard,"Graphics Card Bracket, GPU Stand,Graphics Card GPU Brace",,Graphic Card Bracket,"64-bit, 1 GB DDR3 Memory",,,,,,,Without Warranty,Without Warranty,Without Warranty,Without Warranty,,,,,,,,,,,,,,
mytechvision AMD Radeon AMD RADEON 8 GB GDDR5 Graphics ...,"₹10,799",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/x/y/3/amd-radeon-mytechvision-original-imagpaytzdnxufaj.jpeg?q=70,https://www.flipkart.com/mytechvision-amd-radeon-8-gb-gddr5-graphics-card/p/itm1c67fb43bd30c?pid=GRCGPAYUG5PGBZZH&lid=LSTGRCGPAYUG5PGBZZHQW6ZVL&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_57&otracker=search&fm=organic&iid=334227d6-0fb6-4216-8c3e-91e4c5b1ae72.GRCGPAYUG5PGBZZH.SEARCH&ppt=None&ppn=None&ssid=j2x7s6qf000000001738522833725&qH=ae2a487734c75ca2,2025-02-02 20:00:34,1 X AMD RX 580 8GB,mytechvision,AMD Radeon RX 580,1700 MHz,PCIE X16,AMD RADEON,450 W,RX 580 8GB,"256-bit, 8 GB GDDR5 Memory",,,,,,,1 YEAR CONTACT 8547331413,ALL,PHYSICAL DAMAGE,REPLACEMENT,,,2048 Shader Processors,8 nm,,,,,,,,,,
Inno3D NVIDIA GEFORCE RTX 3050 TWIN X2 8 GB GDDR6 Graph...,"₹23,689",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/o/v/2/geforce-rtx-3050-twin-x2-oc-inno3d-original-imagdd659zuctvzj.jpeg?q=70,https://www.flipkart.com/inno3d-nvidia-geforce-rtx-3050-twin-x2-8-gb-gddr6-graphics-card/p/itme70cd87d40faa?pid=GRCGDD66TKXFP4ZC&lid=LSTGRCGDD66TKXFP4ZCHJ1GES&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_61&otracker=search&fm=organic&iid=334227d6-0fb6-4216-8c3e-91e4c5b1ae72.GRCGDD66TKXFP4ZC.SEARCH&ppt=None&ppn=None&ssid=j2x7s6qf000000001738522833725&qH=ae2a487734c75ca2,2025-02-02 20:00:34,Graphic Card,Inno3D,NVIDIA GEFORCE RTX 3050 TWIN X2,1830 MHz,PCI-E 4.0,GEFORCE RTX 3050 TWIN X2,,N30502-08D6-1190VA42,"128-bit, 8 GB GDDR6 Memory",,,,,,,1 Year from the date of purchase,Warranty is applicable on manufacturing defects (If any) for 1 Year from the date of purchase.,"Unauthorized tampering, modification or repair physical damage; water Damage or any other damage due to heat, humidity, moisture and mishandling doing operations",Warranty claim along with the necessary contact information required: RMA Portal - www.acrorma.com or mail on support@acrorma.com,,,,,,,,,,,,,,
Inno3D NVIDIA GEFORCE RTX 4060 TWIN X2 8 GB GDDR6 Graph...,"₹27,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/q/l/w/geforce-rtx-4060-twin-x2-inno3d-original-imahfekqphzmgrmm.jpeg?q=70,https://www.flipkart.com/inno3d-nvidia-geforce-rtx-4060-twin-x2-8-gb-gddr6-graphics-card/p/itma31adab4efb90?pid=GRCHFBDWSZPUXDEG&lid=LSTGRCHFBDWSZPUXDEGQAPJCP&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_65&otracker=search&fm=organic&iid=334227d6-0fb6-4216-8c3e-91e4c5b1ae72.GRCHFBDWSZPUXDEG.SEARCH&ppt=None&ppn=None&ssid=j2x7s6qf000000001738522833725&qH=ae2a487734c75ca2,2025-02-02 20:00:34,"1 Graphics Card, User Manual",Inno3D,NVIDIA RTX 4060,2490 MHz,PCI-E 4.0 X16,GEFORCE RTX 4060 TWIN X2,,N40602-08D6-173051N,"128-bit, 8 GB GDDR6 Memory",,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,If Any Query Customer Need to Mail on support@acrorma.com,,,,,,,,,,,,,,
