title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Brand,Graphics Engine,GPU Clock,Bus Standard,Model ID,Power Supply Required,Part Number,Memory,Memory Bandwidth,Graphics Technologies Supported,3D Support,DVI and HDMI Interface,Other Interface,HD Content Support,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Service Type,Cooling and Heatsink,Dimensions,Weight,Additional Features,Processors and Cores,Shader,Maximum Resolution,Supported OS,Software Included,RAMDAC Clock Speed,VGA/D-SUB Output,GPU Manufacturing Process,Mini HDMI,Other System Requirements
mytechvision AMD Radeon rx 590 8 GB GDDR5 Graphics Card,"₹10,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/j/3/x/rx-590-mytechvision-original-imahfcbne2ec2yam.jpeg?q=70,https://www.flipkart.com/mytechvision-amd-radeon-rx-590-8-gb-gddr5-graphics-card/p/itm389dae0708a35?pid=GRCHFA5UMZHUTMCA&lid=LSTGRCHFA5UMZHUTMCABUZAFO&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_37&otracker=search&fm=organic&iid=7ef4daef-8d55-4f0d-912b-8677999a433a.GRCHFA5UMZHUTMCA.SEARCH&ppt=None&ppn=None&ssid=1adks0ajlc0000001738683947298&qH=ae2a487734c75ca2,2/5/2025 16:45,1 X RX 590,mytechvision,AMD Radeon RX 590,1750 MHz,PCIE X 16,rx 590,450 W,AMD,"256-bit, 8 GB GDDR5 Memory",,,,,,,1 YEAR REPLACEMENT,ALL,PHYSICAL DAMAGE,1 YEAR REPLACEMENT,,,,,2048 Shader Processors,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹57,999",4.2,Data not available,https://rukminim2.flixcart.com/image/300/300/kwtkxow0/graphics-card/l/8/j/rtx-3070-twin-edge-oc-white-edition-lhr-zotac-original-imag9ez9crqgjmac.jpeg?q=90,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIGABYTE NVIDIA 3050 WF OC 6 GB GDDR6 Graphics Card,"₹17,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/r/p/r/3050-wf-oc-gigabyte-original-imah6jcd5ac8hgvz.jpeg?q=70,https://www.flipkart.com/gigabyte-nvidia-3050-wf-oc-6-gb-gddr6-graphics-card/p/itmeaa51affe392e?pid=GRCH5YSEBXZXYT7Q&lid=LSTGRCH5YSEBXZXYT7QN9RTIR&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_41&otracker=search&fm=organic&iid=7753e031-9fa1-42d3-9f29-dd2957b5aa08.GRCH5YSEBXZXYT7Q.SEARCH&ppt=None&ppn=None&ssid=1fod8z1urk0000001738683983611&qH=ae2a487734c75ca2,2/5/2025 16:45,Liquid Cooler,GIGABYTE,NVIDIA 128,2000 MHz,128-bit,3050 WF OC,400 W,GV-N3050WF2OC-6GD,"96-bit, 6 GB GDDR6 Memory",,,,,,,3Year form Gigabyte,Graphic Card,Burn and liquid damage,Repair,,,,,,,,,,,,,,
ASRock AMD Radeon RX 7900 GRE 16 GB GDDR6 Graphics Card,"₹50,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/z/e/p/-original-imah5yvzxf94suhh.jpeg?q=70,https://www.flipkart.com/asrock-amd-radeon-rx-7900-gre-16-gb-gddr6-graphics-card/p/itm5ad1e61160692?pid=GRCH4JRXJFMZM2EN&lid=LSTGRCH4JRXJFMZM2ENQOT7B8&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_45&otracker=search&fm=organic&iid=7753e031-9fa1-42d3-9f29-dd2957b5aa08.GRCH4JRXJFMZM2EN.SEARCH&ppt=None&ppn=None&ssid=1fod8z1urk0000001738683983611&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphics Card, Quick Installation Guide",ASRock,AMD Radeon OpenGL 4.6,2293 MHz,PCI Express 4.0 x16,RX 7900 GRE,750 W,90-GA52ZZ-00CANF,"256-bit, 16 GB GDDR6 Memory",,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,On-site,,,,,,,,,,,,,,
JieShuo AMD Radeon RX 590 8 GB GDDR5 Graphics Card,"₹10,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/2/y/i/rx-590-jieshuo-original-imah6787eavxnzuk.jpeg?q=70,https://www.flipkart.com/jieshuo-amd-radeon-rx-590-8-gb-gddr5-graphics-card/p/itm2e69d0742dc76?pid=GRCH5ZG4QCHAUCGH&lid=LSTGRCH5ZG4QCHAUCGHCL1U4F&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_49&otracker=search&fm=organic&iid=7753e031-9fa1-42d3-9f29-dd2957b5aa08.GRCH5ZG4QCHAUCGH.SEARCH&ppt=None&ppn=None&ssid=1fod8z1urk0000001738683983611&qH=ae2a487734c75ca2,2/5/2025 16:45,1 Graphics Card,JieShuo,AMD Radeon AMD,1400 MHz,PCI Express 16,RX 590,550 W,RX590,"256-bit, 8 GB GDDR5 Memory with 2100 MHz",,"AMD CrossFireX supported, No support",,1 x HDMI Output Out,2 x Display Port Out,,1 Year Seller Warranty from NJ Infotech +91 9906910066,Manufacturing defects,Burnt and Physical damage,Replacement,High Quality Cooper,30 x 4 x 12 mm,800 g,It requires a mandatory 550W of Power Supply,2048 Shader Processors,Shader Version 5 with Clock speed of 1024 MHz,7680x4320 (Digital),"Windows 11, Windows 10, Windows 7, Windows 7, Linux",AMD Adraline,,,,,
ASRock AMD Radeon RX6600XT PGD 8 GB GDDR6 Graphics Card,"₹39,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l2m78280/graphics-card/0/o/s/rx6600xt-pgd-asrock-original-imagdxa3sdnkfpws.jpeg?q=70,https://www.flipkart.com/asrock-amd-radeon-rx6600xt-pgd-8-gb-gddr6-graphics-card/p/itm8a19e5a30d740?pid=GRCGDUZMW5GJFWGX&lid=LSTGRCGDUZMW5GJFWGXHB9MI7&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_53&otracker=search&fm=organic&iid=7753e031-9fa1-42d3-9f29-dd2957b5aa08.GRCGDUZMW5GJFWGX.SEARCH&ppt=None&ppn=None&ssid=1fod8z1urk0000001738683983611&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphic Card, Quick guide",ASRock,AMD Radeon Radeon RX 6600 XT,2064 MHz,PCI Express 4.0,RX6600XT PGD,550 W,RX6600XT,"128-bit, 8 GB GDDR6 Memory with 16000 MHz",256 Gbps,Open GL Optimization v4.6,,1 x HDMI Output Out,3 x Display Port Out,HDCP Support,3 Years Warranty,Manufacturing Defects,Physical Damages,Carry-in,,305 x 131 x 48 mm,894 g,"0 dB Silent Cooling, 4GB 64-bit GDDR6, Striped Axial Fan, Hardware Raytracing",2048 Stream Processor,,7680 x 4320 (Digital),,,2064 MHz,,,,
ZOTAC NVIDIA Geforce GTX 1630 4 GB GDDR6 4 GB GDDR6 Gra...,"₹16,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/f/8/x/geforce-gtx-1630-4-gb-gddr6-zotac-original-imaggduyx77xhnbh.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-geforce-gtx-1630-4-gb-gddr6-graphics-card/p/itm3fb3c4cbf481f?pid=GRCGGDUYTU8U6ZHH&lid=LSTGRCGGDUYTU8U6ZHHEBFNKJ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_57&otracker=search&fm=organic&iid=7753e031-9fa1-42d3-9f29-dd2957b5aa08.GRCGGDUYTU8U6ZHH.SEARCH&ppt=None&ppn=None&ssid=1fod8z1urk0000001738683983611&qH=ae2a487734c75ca2,2/5/2025 16:45,"Graphics Card, Manual",ZOTAC,NVIDIA Gtx 1630,1785 MHz,Pcie 3.0,Geforce GTX 1630 4 GB GDDR6,75 W,9288-2N595-300Z8,"64-bit, 4 GB GDDR6 Memory",,,,1 x HDMI Output Out,1 x Display Port Out,,3 Years,Not working,Physical Damage,Service Center,,12 x 4 x 16 mm,300 g,,512 CUDA Cores,,,,,,1xVGA DSub Output,,,
ASUS AMD Radeon Dual Radeon™ RX 7800 XT OC Edition 16GB...,"₹49,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/m/n/9/dual-radeon-rx-7800-xt-oc-edition-16gb-gddr6-asus-original-imagz29zfz3vnvfz.jpeg?q=70,https://www.flipkart.com/asus-amd-radeon-dual-radeon-rx-7800-xt-oc-16gb-gddr6-16-gb-graphics-card/p/itm57d49d9b1ba20?pid=GRCGYWNZZUT7CPMB&lid=LSTGRCGYWNZZUT7CPMBJZH4DP&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_61&otracker=search&fm=organic&iid=7753e031-9fa1-42d3-9f29-dd2957b5aa08.GRCGYWNZZUT7CPMB.SEARCH&ppt=None&ppn=None&ssid=1fod8z1urk0000001738683983611&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphics Card, Quick Setup Guide, Warranty Card",ASUS,AMD Radeon AMD Radeon RX 7800 XT,2520 MHz,PCI Express 4.0,Dual Radeon™ RX 7800 XT OC Edition 16GB GDDR6,750 W,90YV0JJ1-M0IA00,"256-bit, 16 GB GDDR6 Memory",,,,1 x HDMI Output Out,3 x Display Port Out,HDCP Support,3 Years Warranty,Manufacturing Defects,Physical and Liquid Damages,Carry-in,,279.9 x 133.9 x 49.3 mm,1399 g,,3840 Stream Processor,,7680 x 4320 (Digital),,,,,,,
ASUS AMD/ATI TUF Gaming Radeon RX 7900 XTX OC Edition 2...,"₹1,01,149",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/w/8/i/tuf-gaming-radeon-rx-7900-xtx-oc-edition-asus-original-imagy7yhr7q6wgse.jpeg?q=70,https://www.flipkart.com/asus-amd-ati-tuf-gaming-radeon-rx-7900-xtx-oc-24-gb-gddr6-graphics-card/p/itmd39615dfaa91a?pid=GRCGY4FCKPEPFB2J&lid=LSTGRCGY4FCKPEPFB2JBQWOL1&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_65&otracker=search&fm=organic&iid=7753e031-9fa1-42d3-9f29-dd2957b5aa08.GRCGY4FCKPEPFB2J.SEARCH&ppt=None&ppn=None&ssid=1fod8z1urk0000001738683983611&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphics Card, Certificate of Reliability, Graphics Card Holder, Velcro Hook and Loop, Collection Card, Speed Setup Manual, User Manual, Warranty Card",ASUS,AMD/ATI AMD Radeon RX 7900 XTX,2615 MHz,PCI Express 4.0,TUF Gaming Radeon RX 7900 XTX OC Edition,850 W,TUF-RX7900XTX-O24G,"384-bit, 24 GB GDDR6 Memory",,,,1 x HDMI Output Out,,HDCP Support,3 Years Warranty,Manufacturing Defects,Physical and Water Damages,Carry-in,,352.9 x 158.2 x 72.6 mm,2157 g,,6144 Stream Processor,,7680 x 4320 (Digital),,,,,,,
