title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,MS Office Provided,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Graphic Processor,Storage Type,Operating System,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Finger Print Sensor,Keyboard,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Battery Cell,Backlit Keyboard,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,HDMI Port,Refresh Rate,Face Recognition,Battery Backup,Power Supply,Number of Cores,Mic In,Sound Properties,Pointer Device,Included Software,Additional Features,Domestic Warranty,Cache,Supported Operating System,EMMC Storage Capacity,Chipset,Expandable Memory,RAM Frequency,RPM,Expandable SSD Capacity,Multi Card Slot,Hardware Interface,Sound Chip,Ethernet,Security Chip,TGP,Memory Slots,RJ45,Antivirus,Inbuilt 4G LTE,Stylus Included,OS Architecture,System Architecture,S-video,Dock Port,Firewire Port,RJ11,VGA Port,Brightness,NFC Support,Wireless WAN,Read/Write Speed,Lock Port,Recovery Options,Laptop Bag,Other Accessories,International Warranty,Color Gamut
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,"79,990",4.7,"15,896 Ratings & 967 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/2/v/v/-original-imagfdeqter4sj2j.jpeg?q=70,https://www.flipkart.com/apple-macbook-air-m2-8-gb-256-gb-ssd-mac-os-monterey-mly33hn-a/p/itmdc5308fa78421?pid=COMGFB2GMCRXZG85&lid=LSTCOMGFB2GMCRXZG855GPGWQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_32&otracker=search&fm=organic&iid=en_CM8ZORS0psiOUlhvQOmcuW39FfTTG-ObtgLMzWVb66VeNehkJGxBSQtJe2afbO62RkVswuoZzZ2n0wNAhZ9TufUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=lze46idzog0000001738102352841&qH=312f91285e048e09,2025-01-28 23:12:34,"MacBook Air, 30W USB-C Power Adapter, USB-C to MagSafe 3 Cable",MLY33HN/A,MLY33HN/A,MacBook Air,MacBook AIR,Midnight,Thin and Light Laptop,Processing & Multitasking,No,Apple,M2,,Yes,256 GB,8 GB,Unified Memory,Apple M2 Chip,,NA,SSD,Mac OS Monterey,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina Display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",Built-in Speakers,Three-mic Array with Directional Beamforming,802.11ax Wi-Fi 6 wireless networking,v5.0,304.1 x 215.0 x 11.3,1.24 Kg,Not Available,1080p FaceTime HD camera,,Backlit Magic Keyboard,1 Year Limited Warranty,Onsite,Manufacturing Defects,Physical Damage,,Yes,,,,,,Upto 18 Hours,30 W USB-C Power Adapter,8,Yes,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos",Force Touch Trackpad,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",52.6 Watt Hour Lithium Polymer Battery,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ522WS Th...,"37,300",4.2,"2,140 Ratings & 137 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/u/p/-original-imagpxgrxrqsmdqz.jpeg?q=70,https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj522ws-thin-light-laptop/p/itm968db504ada5b?pid=COMGMGXFHUHQE3XZ&lid=LSTCOMGMGXFHUHQE3XZVMF0VE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_33&otracker=search&fm=organic&iid=8b559233-bf72-4720-abe2-edbd17aeaf15.COMGMGXFHUHQE3XZ.SEARCH&ppt=None&ppn=None&ssid=lze46idzog0000001738102352841&qH=312f91285e048e09,2025-01-28 23:12:34,"Laptop, battery, power adapter, user guide",E1504FA-NJ522WS,90NB0ZR2-M008D0,E1504FA-NJ522WS,Vivobook Go 15,Mixed Black,Thin and Light Laptop,Processing & Multitasking,Yes,AMD,Ryzen 5 Quad Core,,Yes,512 GB,8 GB,LPDDR5,7520U,2.8 GHz upto max turbo frequency at 4.3 Ghz,AMD Radeon AMD,SSD,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit LCD, Anti-glare display, 250nits Brightness, TUV Rheinland-certified, 84 % Screen-to-body ratio",Built-in Speakers,Yes,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.0,360.3 x 232.5 x 17.9 mm,1.63 Kg,Not Available,720p HD camera With privacy shutter,No,Chiclet Keyboard,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,1 Year,,,,,NA,,,1 TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ515WS Thin...,"46,990",4.2,"6,528 Ratings & 353 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/j/t/x1502za-ej953ws-thin-and-light-laptop-asus-original-imah4f9kmach9taz.jpeg?q=70,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-x1502za-ej515ws-thin-light-laptop/p/itm3b11f9400fcd8?pid=COMGZDZSVBBZAK3Z&lid=LSTCOMGZDZSVBBZAK3ZLEAGYH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_34&otracker=search&fm=organic&iid=8b559233-bf72-4720-abe2-edbd17aeaf15.COMGZDZSVBBZAK3Z.SEARCH&ppt=None&ppn=None&ssid=lze46idzog0000001738102352841&qH=312f91285e048e09,2025-01-28 23:12:34,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1502ZA-EJ515WS,90NB0VX2-M00N20,X1502ZA-EJ515WS,Vivobook 15,Icelight Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,12th Gen,Yes,512 GB,8 GB,DDR4,1235U,1.3 GHz with Turbo Boost Upto 4.4 GHz,Intel Integrated Iris Xe,SSD,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit LCD, Anti-glare display, 220nits Brightness, 82 % Screen-to-body ratio",Yes,Yes,Wi-Fi 6(802.11ax) (Dual band) 2*2,v5.0,359.7 x 232.5 x 19.9 mm,1.7 Kg,Not Available,720p HD camera ; With privacy shutter,Yes,Chiclet Keyboard,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,3 Cell,No,,,1 x HDMI 1.4,,,,,,,,,,,,,,,,12,,,1 TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ321WS Th...,"29,885",4.2,"4,379 Ratings & 428 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/h/s/-original-imagpxgqj6x2zkhe.jpeg?q=70,https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj321ws-thin-light-laptop/p/itmf2da9c7085e1b?pid=COMGNRNUUGYRB96A&lid=LSTCOMGNRNUUGYRB96AXULOGS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=FkPickId_6bo%2Fb5g&srno=s_2_35&otracker=search&fm=organic&iid=8b559233-bf72-4720-abe2-edbd17aeaf15.COMGNRNUUGYRB96A.SEARCH&ppt=None&ppn=None&ssid=lze46idzog0000001738102352841&qH=312f91285e048e09,2025-01-28 23:12:34,"Laptop, battery, power adapter, user guide",E1504FA-NJ321WS,90NB0ZR1-M00AE0,E1504FA-NJ321WS,Vivobook Go 15,Cool Silver,Thin and Light Laptop,Processing & Multitasking,Yes,AMD,Ryzen 3 Quad Core,,Yes,512 GB,8 GB,LPDDR5,7320U,2.4 GHz upto max turbo frequency at 4.1 Ghz,AMD Radeon AMD,SSD,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit LCD, Anti-glare display, 250nits Brightness, TUV Rheinland-certified, 84 % Screen-to-body ratio",Built-in Speakers,Yes,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.0,,1.63 Kg,Not Available,720p HD camera With privacy shutter,,Chiclet Keyboard,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,3 cell,No,,,1 x HDMI 1.4,,,,,,,,,,,1 Year,,,,,NA,,,1 TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Swift Go 14 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) SFG14-41-R6G9 Thin a...,"39,999",4.3,561 Ratings & 66 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/g/e/-original-imah3zvxy99qn787.jpeg?q=70,https://www.flipkart.com/acer-swift-go-14-amd-ryzen-5-hexa-core-7430u-16-gb-512-gb-ssd-windows-11-home-sfg14-41-r6g9-thin-light-laptop/p/itm52551833a1d42?pid=COMH3GFNKMHJEBYF&lid=LSTCOMH3GFNKMHJEBYFYBAVSV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_36&otracker=search&fm=organic&iid=8b559233-bf72-4720-abe2-edbd17aeaf15.COMH3GFNKMHJEBYF.SEARCH&ppt=None&ppn=None&ssid=lze46idzog0000001738102352841&qH=312f91285e048e09,2025-01-28 23:12:34,"Laptop, Power Adaptor, User Guide, Warranty Documents",SFG14-41-R6G9,NX.KG3SI.006,SFG14-41,Swift Go 14,Pure Silver,Thin and Light Laptop,Processing & Multitasking,Yes,AMD,Ryzen 5 Hexa Core,,Yes,512 GB,16 GB,LPDDR4X,7430U,Up to 4.3 GHz,AMD Radeon AMD,SSD,Windows 11 Home,"1 x USB 3.2 Gen 1 port with power-off charging, 1 x USB 2.0 port, 1 x USB Type-C port with DC-in",No,35.56 cm (14 Inch),1920 x 1080 Pixel,,Two built-in front facing stereo speakers,Yes,Wi-Fi 6E Wireless,v5.1,321.71 x 211.72 x 15.9 mm,1.25 Kg,Not Available,"Video conferencing: UFC with Type USB FHD Camera, Compatible with Windows, 1920 x 1080 resolution, 1080p HD video at 60 fps with Temporal Noise Reduction",,83-/84-/87-key full-size FineTip backlit keyboard with international language support,1 Year Carry-in Warranty,Carry-In,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN ...,"62,990",4.5,"4,460 Ratings & 404 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/3/g/m/-original-imah3xrqttkdbss4.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-book4-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_37&otracker=search&fm=organic&iid=en_CM8ZORS0psiOUlhvQOmcuW39FfTTG-ObtgLMzWVb66U4CvfWewZMc_TkdBWdkpMui1JO7Ge9dvxHBJvXNGiotw%3D%3D&ppt=None&ppn=None&ssid=lze46idzog0000001738102352841&qH=312f91285e048e09,2025-01-28 23:12:34,"Laptop, 45W Charger, Data Cable(USB-C to C, 1.8m), Quick Start Guide",NP750XGJ-KG2IN / NP750XGJ-LG2IN,NP750XGJ-KG2IN|NP750XGJ-LG2IN,NP750XGJ-KG2IN / NP750XGJ-LG2IN,Galaxy Book4,Gray,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,13th Gen,Yes,512 GB,16 GB,LPDDR4X,1335U,Max Frequency Up to 4.60 GHz,Intel Integrated Iris Xe,SSD,Windows 11 Home,"Yes, 2 x USB Type C, 2 x USB 3.2 Type A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD LCD Display,"HD Audio Codec, Dolby Atmos, Embedded Stereo Speakers, Internal Digital MIC",Internal Digital MIC,802.11ax,v5.2,356.6 x 15.4 x 229.15mm,1.55 Kg,Not Available,"Yes, 1 Megapixel",Yes,QWERTY,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,Onsite,Manufacturer Defect Only,Physical Damage,4 Cell Lithium Ion Battery,,,,"Yes, 1 x HDMI",,,,45W AC Adapter,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,"33,990",4.2,775 Ratings & 74 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/6/c/-original-imah8gg2x4afkpxe.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-core-i3-13th-gen-1305u-8-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itma6a6812aa712e?pid=COMH4B6CGTPNVJW9&lid=LSTCOMH4B6CGTPNVJW9JOF4ZC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_38&otracker=search&fm=organic&iid=en_CM8ZORS0psiOUlhvQOmcuW39FfTTG-ObtgLMzWVb66Us3YOO6ktPQSoZ6pW9Mo3cnk4Kf2Ji7wmBV188og2uu_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=lze46idzog0000001738102352841&qH=312f91285e048e09,2025-01-28 23:12:34,"Laptop, Power Adaptor, User Guide, Warranty Documents",A324-53,UN.34RSI.002,A324-53,Aspire 3,Steel Gray,Thin and Light Laptop,Everyday Use,No,Intel,Core i3,13th Gen,Yes,512 GB,8 GB,DDR4,1305U,Max Frequency up to 4.50 GHz,Intel Integrated UHD,SSD,Windows 11 Home,"2 x USB 3.2 port, 1 x USB 2.0 port, 1 x Type-C port for PD Adapter",No,35.56 cm (14 Inch),1920 x 1080 Pixel,Full HD,Two built-in stereo speakers,Yes,WIFI 6,v5.2,321.7 x 206.6 x 19.4 mm,1.45 Kg,Not Available,Video conferencing: 2M With Privacy Camera Shutter,,84-key Acer keyboard layout with US language: Additional feature.,1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Chromebook Intel Celeron Dual Core N4500 - (4 GB/128 GB EMMC Storage/Chrome OS) 15a- na0012TU Chrom...,"16,990",3.9,"3,013 Ratings & 364 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/f/m/15a-na0012tu-chromebook-hp-original-imah3bdtbnhbgtc2.jpeg?q=70,https://www.flipkart.com/hp-chromebook-intel-celeron-dual-core-n4500-4-gb-128-gb-emmc-storage-chrome-os-15a-na0012tu/p/itm7d20974c3dfce?pid=COMGNRNVW3HHPXFD&lid=LSTCOMGNRNVW3HHPXFDPY7PV3&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_39&otracker=search&fm=organic&iid=8b559233-bf72-4720-abe2-edbd17aeaf15.COMGNRNVW3HHPXFD.SEARCH&ppt=None&ppn=None&ssid=lze46idzog0000001738102352841&qH=312f91285e048e09,2025-01-28 23:12:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,"44,990",4.1,"2,422 Ratings & 173 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/6/q/i/a324-51-thin-and-light-laptop-acer-original-imah4bj6zhjvn8uh.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-backlit-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm4fa0fcf0e2e15?pid=COMHY24RMZ8PUDTT&lid=LSTCOMHY24RMZ8PUDTT6GAEHA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_40&otracker=search&fm=organic&iid=8b559233-bf72-4720-abe2-edbd17aeaf15.COMHY24RMZ8PUDTT.SEARCH&ppt=None&ppn=None&ssid=lze46idzog0000001738102352841&qH=312f91285e048e09,2025-01-28 23:12:34,"Laptop, Power Adaptor, User Guide, Warranty Documents",A324-51,UN.343SI.003,A324-51,Aspire 3 Backlit,Steel Gray,Thin and Light Laptop,Everyday Use,No,Intel,Core i5,12th Gen,Yes,512 GB,16 GB,DDR4,1235U,Max turbo frequency at 4.4 Ghz,Intel Integrated Intel Graphics,SSD,Windows 11 Home,,No,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD display with IPS (In-Plane Switching) technology, LED-backlit TFT LCD",Two built-in stereo speakers,Yes,WIFI 6,v5.2,321.7 x 206.6 x 19.4 mm,1.45 Kg,Not Available,2M With Privacy Camera Shutter,No,84-key Acer backlit keyboard layout with US language,1 Year Domestic Warranty,Onsite,Manufacturing Defects,Physical Damage,2 cell,Yes,,,1x HDMI Port,,No,,65 W,,,,Touchpad,,,,,,,,,,,,,,,,,,,,,,,64 bit,,,,,,,,,,,,,,,,
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,"40,990",4.2,"1,828 Ratings & 145 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/s/l/-original-imah8frsyvcstwd8.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-1-amd-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15alc7-thin-light-laptop/p/itmce54714ae1cd8?pid=COMGN2YDSFGGXYG3&lid=LSTCOMGN2YDSFGGXYG3MJBCRU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_41&otracker=search&fm=organic&iid=en_CM8ZORS0psiOUlhvQOmcuW39FfTTG-ObtgLMzWVb66VKIHg-OPotTyhLAq_QyPw-cmRJHNDENYILyLw8BR3N1PUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=lze46idzog0000001738102352841&qH=312f91285e048e09,2025-01-28 23:12:34,"Laptop, Power Adaptor, Quick Start Guide, Warranty Document",15ALC7,82R400ERIN/82KU0238IN,Ideapad Slim 1,IdeaPad Slim 1,Cloud Grey,Thin and Light Laptop,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",Yes,AMD,Ryzen 5 Hexa Core,,Yes,512 GB,16 GB,DDR4,5500U,"Base Frequency 2.1 GHz, Max Turbo Boost at 4.0 GHz",AMD Radeon AMD,SSD,Windows 11 Home,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (Support Data Transfer Only)",No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD, IPS, Brightness: 300 nits, Anti-glare",Built-in 1.5W Dual Stereo Speakers,Built-in Dual Array Microphone,802.11ac 2 x 2,v5.0,359.2 x 236.5 x 19.9 mm,1.65 kg,Not Available,HD 720p with Privacy Shutter,No,"Non Backlit, English",2 Yr Warranty,Carry-In,Manufacturing Defects,Physical Damage,,No,,,1 x HDMI 1.4b,,,Upto 9.0 Hour,"65W Round Tip (2 Pin, Wall Mount)",6,Yes,Dolby Audio,,Microsoft Office Home & Student 2021,"Integrated 45Wh, Surface Treatment: IMR (In-Mold Decoration by Roller)",1 Year,3 MB,Windows 11 Home,,AMD SoC Platform,NA,3200 MHz,3200,NA,1 x Card Reader (4-in-1 Card Reader),M.2 2280 PCIe 3.0 x 4 NVMe,"High Definition (HD) Audio, Realtek ALC3287 Codec",No Onboard Ethernet,Firmware TPM 2.0,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin an...,"49,890",4.1,"1,817 Ratings & 96 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/c/5/-original-imah8frtdh9bgnnp.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-home-14iah8-thin-light-laptop/p/itm726ac134d0530?pid=COMHFYZ3GZVH37GY&lid=LSTCOMHFYZ3GZVH37GYBMASJU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_42&otracker=search&fm=organic&iid=en_CM8ZORS0psiOUlhvQOmcuW39FfTTG-ObtgLMzWVb66WAMgvSb3jKCP710RiqdC-BBUMazWPW7Fnsa_YXmPOnxfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=lze46idzog0000001738102352841&qH=312f91285e048e09,2025-01-28 23:12:34,"Laptop, Power Adaptor, User Guide, Warranty Documents",14IAH8,83EQ0063IN,14IAH8,IdeaPad Slim 3,Arctic Grey,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,12th Gen,Yes,512 GB,8 GB,LPDDR5,12450H,Max Turbo Frequency upto 4.40 GHz,Intel Integrated UHD,SSD,Windows 11 Home,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery and DisplayPort 1.2)",No,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD, TN 250nits Anti-glare",Yes,Yes,"Wi-Fi 6, 11ax 2x2",v5.2,324.3 x 213.8 x 17.9 mm,1.37 Kg,Not Available,Full HD 1080p with Privacy Shutter,,"Backlit, English",1 Yr. Onsite,Carry-in,Manufacturing Defects,Physical Damage,,,,,1 x HDMI 1.4,,,,65 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS Zenbook 14 OLED AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) UX3405MA-PZ552WS...,"87,990",4.7,26 Ratings & 2 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/c/s/-original-imagxmzgnxsfxhft.jpeg?q=70,https://www.flipkart.com/asus-zenbook-14-oled-ai-pc-intel-core-ultra-5-125h-16-gb-1-tb-ssd-windows-11-home-ux3405ma-pz552ws-thin-light-laptop/p/itm859da18328490?pid=COMGWZHGMNDWZA4Y&lid=LSTCOMGWZHGMNDWZA4YX7CTVH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_43&otracker=search&fm=organic&iid=8b559233-bf72-4720-abe2-edbd17aeaf15.COMGWZHGMNDWZA4Y.SEARCH&ppt=None&ppn=None&ssid=lze46idzog0000001738102352841&qH=312f91285e048e09,2025-01-28 23:12:34,"Laptop, Power Adaptor, User Guide, Warranty Documents",UX3405MA-PZ552WS,90NB11R3-M00DD0,UX3405MA-PZ552WS,Zenbook 14 OLED AI PC,Ponder Blue,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core Ultra 5,,Yes,1 TB,16 GB,LPDDR5X,125H,up to 4.50 GHz,Intel Integrated Arc,SSD,Windows 11 Home,"1 x USB 3.2 Gen 1 Type-A, 2 x Thunderbolt 4 supports display / power delivery",Yes,35.56 cm (14 Inch),2880 x 1800 Pixel,"3K, OLED, 0.2ms response time, 120Hz refresh rate, 400nits, 500nits HDR peak brightness, 100% DCI-P3 color gamut, 1,000,000:1, VESA CERTIFIED Display HDR True Black 500, 1.07 billion colors, Glossy display, 70% less harmful blue light, TÜV Rheinland-certified",Yes,Yes,Wi-Fi 6E(802.11ax) (Dual band) 2*2,v5.3,312.4 x 220.1 x 14.9,1.28 Kg,Not Available,FHD camera with IR function to support Windows Hello With privacy shutter,,Backlit Chiclet Keyboard,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,,,1 x HDMI 2.1 TMDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire 3 Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) A324-51 Thin and Light L...,"51,990",4.3,273 Ratings & 13 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/i/l/a324-51-thin-and-light-laptop-acer-original-imah42gdv8rbbjtv.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-core-i7-12th-gen-1255u-16-gb-1-tb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm858b83f904593?pid=COMHY24RBMAZFKFX&lid=LSTCOMHY24RBMAZFKFXYXFVRJ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_44&otracker=search&fm=organic&iid=8b559233-bf72-4720-abe2-edbd17aeaf15.COMHY24RBMAZFKFX.SEARCH&ppt=None&ppn=None&ssid=lze46idzog0000001738102352841&qH=312f91285e048e09,2025-01-28 23:12:34,"Laptop, Power Adaptor, User Guide, Warranty Documents",A324-51,UN.343SI.00A,A324-51,Aspire 3,Steel Gray,Thin and Light Laptop,Everyday Use,No,Intel,Core i7,12th Gen,Yes,1 TB,16 GB,DDR4,1255U,Max turbo frequency at 4.7 Ghz,Intel Integrated Iris Xe,SSD,Windows 11 Home,,No,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD display with IPS (In-Plane Switching) technology, LED-backlit TFT LCD",Two built-in stereo speakers,Yes,WIFI 6,v5.2,321.7 x 206.6 x 19.4 mm,1.45 Kg,Not Available,2M With Privacy Camera Shutter,No,84-key Acer backlit keyboard layout with US language,1 Year Domestic Warranty,Onsite,Manufacturing Defects,Physical Damage,2 cell,Yes,,,1x HDMI Port,,No,,65 W,,,,Touchpad,,,,,,,,,,,,,,,,,,,,,,,64 bit,,,,,,,,,,,,,,,,
