title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Model Name,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Usage,Dial Material,Ideal For,Compatible OS,Brand Strap Color,Closure,Sensor,Compatible Device,Battery Type,Charge Time,Battery Life,Rechargeable Battery,Charger Type,Operating System,Number of Cores,Processor Name,Processor Speed,Internal Memory,Call Function,Bluetooth,Wi-Fi,GPS,Messaging Support,Bluetooth Version,Email Support,Operating Range,Call Features,Third Party App Support,Other Connectivity Features,Display Resolution,Display Size,Display Type,Scratch Resistant,Calorie Count,Step Count,Heart Rate Monitor,Other Fitness Features,Date & Time Display,Compass,Calendar,Alarm Clock,Number of Buttons,Other Watch Functions,Speaker,Microphone,Voice Control,Width,Height,Thickness,Weight,Domestic Warranty,Notification,Notification Type,Other Features,Other Camera Features,Backlight Display,Other Display Features,Altimeter,Chronograph,Language,Audio Features,Gesture Control,Other Multimedia Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Talk time,Stand By Time,Dial Color,Maximum Operating Altitude,RAM,Flash,Supported Audio Format,Other Dimensions,International Warranty,Diameter,Expandable Memory,Video Features,Primary Camera,Speaker Volume,Supported Video Format,HD Recording,HD Playback,Compatible Operating System
"boAt Wave Fury with 1.83'' HD Display, Bluetooth Callin...","₹1,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/6/a/9/-original-imagy97zzfa2dpgg.jpeg?q=70,https://www.flipkart.com/boat-wave-fury-1-83-hd-display-bluetooth-calling-functional-crown-smartwatch/p/itma0f5091a1aa94?pid=SMWGQHN4RWUTXYMY&lid=LSTSMWGQHN4RWUTXYMYK9SSX1&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_5_173&otracker=search&fm=organic&iid=a9766a7d-0e20-40f1-8d25-acdcbba9d7dd.SMWGQHN4RWUTXYMY.SEARCH&ppt=None&ppn=None&ssid=xhxh8wvz2o0000001738113867502&qH=87968ec020b2016b,1/29/2025 2:24,Wave Fury::‎User Manual::Warranty Card::USB Magnetic Charging Cable,Wave Fury,"Wave Fury with 1.83'' HD Display, Bluetooth Calling & Functional Crown",Rectangle,Cream,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,,Women,Android & iOS,Cherry Blossom,,"Accelerometer, HR and SpO2",,,,7 Days,,,,,,,,Yes,Yes,,,,,,,,,,240x284 pixel,1.83 inch,,,,Yes,Yes,100+ Sports Modes,Yes,,Yes,Yes,,,Yes,Yes,,,,,,1 Year,"Text, Call and Social media",,,,,,,,,,,,1 year warranty from the date of purchase,Reach out to us at : info@imaginemarketingindia.com,Manufacturing Defects,,,,,,,,,,,,,,,,,,,
"boAt Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Displa...","₹1,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/y/p/x/-original-imah4rgecdbyhptn.jpeg?q=70,https://www.flipkart.com/boat-lunar-vista-w-3-8-cm-1-52-hd-always-display-bt-calling-functional-crown-smartwatch/p/itmeb8245d23caf1?pid=SMWH4DGGD4QRQ6GC&lid=LSTSMWH4DGGD4QRQ6GC4I35MX&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_5_177&otracker=search&fm=organic&iid=en_Ixr9uN4VI9m0kbguagTHlmxI-tbz9HC0azc3oHXkYRXqwK6DRaZn43jlo3iAOiuFllAkA60jOZWXLRHFTlC3XvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=xhxh8wvz2o0000001738113867502&qH=87968ec020b2016b,1/29/2025 2:24,"Smartwatch, Charging Cable, User Manual",Lunar Vista,"Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Display,BT Calling, Functional Crown",Round,Black,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,,Men & Women,Android & iOS,Active Black,,"HR, SpO2 & G-sensor",,,,Upto 7 days,,,,,,,,Yes,Yes,,,,,,,,,,360 x 360 Pixels,38.6 mm,,,Yes,Yes,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,1 year warranty from the date of purchase,Reach out to us at info@imaginemarketingindia.com,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,
"ZEPAD DZ09 Smartwatch with Camera, Smartwatch","₹1,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/jydaqa80/smartwatch/3/b/y/dz09-smartwatch-with-camera-sim-sd-card-golden-zepad-original-imafgm89axqnyrqg.jpeg?q=70,https://www.flipkart.com/zepad-dz09-smartwatch-camera/p/itme0fff033454de?pid=SMWFGM8EGQ6BC3BY&lid=LSTSMWFGM8EGQ6BC3BYKRFLDW&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_5_181&otracker=search&fm=organic&iid=en_Ixr9uN4VI9m0kbguagTHlmxI-tbz9HC0azc3oHXkYRUiD3KBmESxCLzZAllvDlAtlER0TznLF1d6CmiGEXyAUw%3D%3D&ppt=None&ppn=None&ssid=xhxh8wvz2o0000001738113867502&qH=87968ec020b2016b,1/29/2025 2:24,"2 SMARTWATCH, 2 CHARGING CABLE, 2 USER MANUAL","DZ09 Smartwatch with Camera, SIM ,SD Card Golden","DZ09 Smartwatch with Camera,",Rectangle,Brown,Rubber,FREE SIZE,Yes,No,,"Watchphone, Notifier, Fitness & Outdoor, Safety & Security",Stainless Steel,Men & Women,Android & iOS,Brown,,G-SENSOR,"ALL SMARTPHONE, ALL BLUETOOTH",Lithium Ion,120 min,6,Yes,USB,Android & IOS,,,,256 MB,Yes,Yes,,,Yes,4,Yes,10 m,"ACCPECT CALL, REJECT CALL, MAKE CALL",NA,BLUETOOTH,240*240 pixel,40 mm,HD,,Yes,Yes,Yes,"Pedometer, Sleep Monitor, Sedentary monitor, Heart Rate monitor",yes,No,Yes,Yes,1,"Alarm, calculator, sleep monitor, Calling, Volume, Volume Music",yes,YES,Yes,,,,,,"Message Notification, Calling Notification, Alarm Notification, Fitness Notification","Ring + vibration, RING","Answer/ Dial Calls, Contact Sync, Audio Player, Camera, Calculator, Calendar, Alarm, Sedentary Reminder, Anti-Lost, Push Notifications, Text Messaging., Support SD Card, 1.63 inch HD display touch screen high sensitive capacitive., Track Activity such as: sleep monitor, step counter,Calorie Counter, Drink Water Reminder more. Which is conveniently take control of your health., quick charge, campatible with all smartphone",AUTO FOCUS,,Massage Notification,Yes,,MULTI LANGUAGE,,,AUDIO PLAYER,NA,NA,NA,NA,6 hr,72 hr,golden,,2 GB,,MP3,,,,32 GB,,2 MP,97 dB,,,,
"boAt Storm call 3 w/TBT Navigation,Watch Face Studio,1....","₹1,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/f/n/i/-original-imah8g2g4yd2enza.jpeg?q=70,https://www.flipkart.com/boat-storm-call-3-w-tbt-navigation-watch-face-studio-1-83-4-6-cm-hd-display-qr-tray-smartwatch/p/itm7609fb45de314?pid=SMWH396ZZZM3EA3D&lid=LSTSMWH396ZZZM3EA3DBKLJ05&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_5_185&otracker=search&fm=organic&iid=a9766a7d-0e20-40f1-8d25-acdcbba9d7dd.SMWH396ZZZM3EA3D.SEARCH&ppt=None&ppn=None&ssid=xhxh8wvz2o0000001738113867502&qH=87968ec020b2016b,1/29/2025 2:24,"Smartwatch, Warranty Card, USB Magnetic Charging Cable?, User Manual",Storm Call 3,"Storm call 3 w/TBT Navigation,Watch Face Studio,1.83''(4.6 cm)HD Display,QR Tray",Rectangle,Beige,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,,Women,Android & iOS,Salmon Peach,,"HR, SpO2 & G-sensor",,,,Upto 7 days,,,,,,,,Yes,Yes,,,,,,,,,,240 x 284 Pixels,46.4 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Watch Series 10 GPS 42mm Jet Black Aluminium with...,"₹46,900",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/7/0/t/-original-imah4kyhn9sqkdzx.jpeg?q=70,https://www.flipkart.com/apple-watch-series-10-gps-42mm-jet-black-aluminium-sport-band/p/itm186d892337bc4?pid=SMWH4JBWVH52G6DN&lid=LSTSMWH4JBWVH52G6DNYS5DUN&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_5_189&otracker=search&fm=organic&iid=a9766a7d-0e20-40f1-8d25-acdcbba9d7dd.SMWH4JBWVH52G6DN.SEARCH&ppt=None&ppn=None&ssid=xhxh8wvz2o0000001738113867502&qH=87968ec020b2016b,1/29/2025 2:24,"Apple Watch Series 10, Strap, Apple Watch Magnetic Fast Charger to USB-C Cable (1 m)",MWWE3HN/A,Watch Series 10 GPS 42mm Jet Black Aluminium with Sport Band,Rectangle,Black,Silicone,Free Size,Yes,Yes,50 m,Fitness & Outdoor,,Men & Women,iOS,Jet Black,,"Electrical heart sensor, Third‑generation optical heart sensor, Temperature sensor1, Blood Oxygen sensor2, Compass, Always‑on altimeter, High‑g accelerometer, High dynamic range gyroscope, Ambient light sensor, Depth gauge, Water temperature sensor","iPhone Xs or later, including iPhone SE (2nd generation or later), with iOS 18 or later",Lithium Ion,,Upto 18 Hours On Normal Use,Yes,Magnetic Charger,watchOS 11,,S10 SiP with 64‑bit dual-core processor,,,Yes,Yes,Yes,Yes,,v5.3,,,,,Wi-Fi 4 (802.11n),374 x 446 Pixel,42 mm,Retina Display,,Yes,Yes,Yes,"Blood Oxygen app2, ECG app3, Cycle Tracking app with retrospective ovulation estimates4, Heart Rate app, High and low heart rate notifications, Irregular rhythm notifications, Medications app, Mindfulness app with state of mind tracking, Noise app, Sleep app including sleep stages",Yes,Yes,Yes,Yes,1,,Yes,Yes,,36 mm,,9.7 mm,30 g,1 Year,Yes,,"Digital Crown with haptic feedback, Side button, Double tap gesture, Siri with on‑device processing",,,"Always‑On Retina LTPO3 display, Wide‑angle OLED, Up to 40% brighter when viewed at an angle6, Edge‑to‑edge display, on‑X front glass (aluminium cases), Sapphire front crystal (titanium cases), Up to 2,000 nits maximum brightness, nit minimum brightness, 326 pixels per inch",,,English,,,,1 Year Manufacturer Warranty,Carry In,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,iOS
"Pebble Celia 1.32"" HD Infinite Display, BT Calling, Wom...",₹998,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/i/n/0/-original-imagtmm2pnzrzcqe.jpeg?q=70,https://www.flipkart.com/pebble-celia-1-32-hd-infinite-display-bt-calling-women-s-health-suite-sleek-dial-smartwatch/p/itmccf4e19d9d03d?pid=SMWGQDZP7ZBGNVAA&lid=LSTSMWGQDZP7ZBGNVAAMT7OAZ&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_5_193&otracker=search&fm=organic&iid=a9766a7d-0e20-40f1-8d25-acdcbba9d7dd.SMWGQDZP7ZBGNVAA.SEARCH&ppt=None&ppn=None&ssid=xhxh8wvz2o0000001738113867502&qH=87968ec020b2016b,1/29/2025 2:24,"1N Smartwatch, 1N Magnetic Charging Cable, 1N User Manual, 1N Warranty Card",PFB52 Ivory leather,"Celia 1.32"" HD Infinite Display, BT Calling, Women's Health suite, Sleek Dial",Round,White,Leather,Free Size,Yes,Yes,0 m,Fitness & Outdoor,Metal Alloy,Women,Android & iOS,White,Clip-on,G-Sensor,,Lithium Polymer,120 min,Upto 7 Days,Yes,Magnectic USB Cable,,,,,,Yes,Yes,No,No,No,5,No,5 m,"Take Calls, Reject Calls, Speed Dial",,,360x360 pixel,33.52 mm,IPS TFT,No,Yes,Yes,Yes,Female Health Monitoring,Date & Time,,No,Yes,2,Weather Info,Yes,Yes,No,,,,49 g,1 Year,"Calls,SMS, Social Media",Vibration,,,Yes,,,,,,"Change Music, Answer Calls",,1 Year Replacement Guarantee,"Pebble smartwatches comes with 12 months of Replacement Guarantee. To claim the Warranty, kindly register the product on pebblecart.com within 10 days of your purchase. Reach out to us at support@pebblecart.com/+91 8800271651 for all technical support. Product registration is mandatory within 10 days of purchase.",Manufacturing Defects,"Physical Damage, Water Damage",,,Gold,5 m,,,,,,,,,,,,,,
"Noise Crew Go with 1.39"" Display, BT Calling with Metal...","₹1,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/z/f/6/-original-imah759hrk24uyjw.jpeg?q=70,https://www.flipkart.com/noise-crew-go-1-39-display-bt-calling-metal-strap-7-days-battery-life-smartwatch/p/itm0e03c14e438f7?pid=SMWGZW3CCRQGAWW7&lid=LSTSMWGZW3CCRQGAWW7EFOBHP&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_5_197&otracker=search&fm=organic&iid=en_Ixr9uN4VI9m0kbguagTHlmxI-tbz9HC0azc3oHXkYRVGkPU7cxQTS3AGHusBsmAlpL1D63jAbQcFaY_GGqZbAYnfEY2D5bWfIUmTlXs_oiU%3D&ppt=None&ppn=None&ssid=xhxh8wvz2o0000001738113867502&qH=87968ec020b2016b,1/29/2025 2:24,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-crewgo-meshmtl-gld_gld,"Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life",Round,Gold,Stainless steel,Regular,Yes,Yes,1 m,Fitness & Outdoor,Metal,Women,Android & iOS,Gold Link,,"Heart Rate, Accelerometer",,,,Up to 7 Days,Yes,,,,,,,Yes,Yes,,,,v5.3,,10 m,,,,240 x 240 pixel,35.306 mm,TFT,,Yes,Yes,Yes,,Yes,,,Yes,,,Yes,Yes,,,,,,1 Year,Yes,,,,,,,,,,,,1 Year Warranty from the date of purchase,Contact - help@nexxbase.com | support.gonoise.com | 02268056040,Warranty is applicable on manufacturing defects for all the products for 1 Year and accessories (If any) for 3 months from the date of purchase.,"unauthorized tampering, modification or repairs ; physical damage ; water logging or any other damage due to heat, humidity or moisture doing operations",,,Gold,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,1/29/2025 2:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,1/29/2025 2:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹2,299",3.5,Data not available,Image not available,URL not available,1/29/2025 2:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,1/29/2025 2:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,1/29/2025 2:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,1/29/2025 2:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/e/e/p/-original-imah8mtwtmmxa47x.jpeg?q=70,https://www.flipkart.com/boult-drift-bluetooth-calling-1-85-hd-500nits-brightness-150-watchfaces-spo2-smartwatch/p/itm9aab07df7f268?pid=SMWGMH4JA69PG4TF&lid=LSTSMWGMH4JA69PG4TF75UAZN&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_6_201&otracker=search&fm=organic&iid=en_we3CVj1NLciXt2Jqh1V4dH3uo7SLKNrAzJQ2UlvKE0zUoqe8lgns4RFeX6cm7b3I8TuAwfb3TxCDxpix2eklfQ%3D%3D&ppt=None&ppn=None&ssid=39t7b1f1a80000001738113899088&qH=87968ec020b2016b,1/29/2025 2:24,"Smartwatch, User Manual, Charging Cable, Warranty Card",Drift +,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Rectangle,Black,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,,Men & Women,Android & iOS,Jet Black,,"Real Heart Rate, Real SPO2, Pedometer",Smartphone,Lithium Ion,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,,,,,,Yes,Yes,No,No,No,,No,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",,,240 x 280 Pixels,1.85 inch,TFT,No,Yes,Yes,Yes,100+ Workout Modes,Date and Time,No,No,Yes,,"Bluetooth Calling, 1.85inch 500 Nits High Brightness Display, Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 100+ Workout Modes, Sleep Tracking, Weather Details, Find My Phone, Multiple Fun Mini Games",1 Speaker,Yes,Yes,37.28 mm,10.75 mm,44.17 mm,42 g,1 Year,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,"Remote Camera, 150+ Watch Faces with Custom watch faces, 1.85inch 500 Nits High Brightness Display, 100+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie count",,Yes,High Brightness,No,No,"English (Default), Chinese, Traditional Chinese, German, Korean, Spanish, Japanese, French, Russian, Arabic, Ukrainian, Italian, Portuguese",,,,1 Year Warranty from the Date of Purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",,600 Hr,Multicolour,,,,,,,,,,,,,,,
"boAt Wave Call 2 Plus with 1.96’’(4.97cm), BT Calling, ...","₹1,449",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/7/i/p/-original-imah7e8bmv33hsnn.jpeg?q=70,https://www.flipkart.com/boat-wave-call-2-plus-1-96-4-97cm-bt-calling-bilingual-support-ip68-smartwatch/p/itmec5dba40b78b1?pid=SMWH7YFCDFV7DEFV&lid=LSTSMWH7YFCDFV7DEFVEVQBKZ&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_6_205&otracker=search&fm=organic&iid=143c1d1f-15d4-45ad-adb1-24046eb256ef.SMWH7YFCDFV7DEFV.SEARCH&ppt=None&ppn=None&ssid=39t7b1f1a80000001738113899088&qH=87968ec020b2016b,1/29/2025 2:24,"Smart Watch, Charging Cable, User Manual",WA0001,"Wave Call 2 Plus with 1.96’’(4.97cm), BT Calling, Bilingual Support, IP68",Rectangle,Blue,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,,Men & Women,Android & iOS,Teal Blue,,"Heart Rate, SpO2, G-Sensor",,,,7 Days,,,,,,,,Yes,Yes,,,,,,,,,,240 x 282 Pixels,49.7 mm,,,Yes,Yes,Yes,,Yes,,Yes,Yes,,,Yes,Yes,,,,,,1 Year,,,,,,,,,,,,,1 Year Warranty from the Date of Purchase,Reach out to us at info@imaginemarketingindia.com,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,
"boAt Ultima Prism with 1.96"" AMOLED Display,BT Calling,...","₹1,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/n/y/d/-original-imagyxxfbhvhjhqk.jpeg?q=70,https://www.flipkart.com/boat-ultima-prism-1-96-amoled-display-bt-calling-boat-coins-watch-face-studio-smartwatch/p/itm8ffc978121c9f?pid=SMWGRZZFGHU7U7AT&lid=LSTSMWGRZZFGHU7U7ATCAVKC6&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_6_209&otracker=search&fm=organic&iid=143c1d1f-15d4-45ad-adb1-24046eb256ef.SMWGRZZFGHU7U7AT.SEARCH&ppt=None&ppn=None&ssid=39t7b1f1a80000001738113899088&qH=87968ec020b2016b,1/29/2025 2:24,Ultima Prism::‎User Manual::Warranty Card::USB Magnetic Charging Cable,Ultima Prism,"Ultima Prism with 1.96"" AMOLED Display,BT Calling,boAt Coins & Watch Face Studio",Rectangle,Grey,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,,Men & Women,Android & iOS,Warm Grey,,"Heart Rate, SpO2, G-sensor",,,,Upto 7 days,,,,,,,,Yes,Yes,,,,,,,,,,410 x 502 Pixel,1.96 inch,,,Yes,Yes,Yes,,Yes,,Yes,Yes,,,Yes,Yes,,,,,,1 Year,"Text, Call and Social media",,,,,,,,,,,,1 year warranty from the date of purchase,Reach out to us at : info@imaginemarketingindia.com,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,
Titan Zeal-1.85''|AMOLED|700 Nits|AOD|Premium Design|Fu...,"₹3,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/2/g/y/-original-imagwezgfzfthgyc.jpeg?q=70,https://www.flipkart.com/titan-zeal-1-85-amoled-700-nits-aod-premium-design-functional-crown-ai-coach-fashion-smartwatch/p/itmac827af7e0ba1?pid=SMWGV2W5RXSXM6BC&lid=LSTSMWGV2W5RXSXM6BCSKWEWM&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_6_213&otracker=search&fm=organic&iid=143c1d1f-15d4-45ad-adb1-24046eb256ef.SMWGV2W5RXSXM6BC.SEARCH&ppt=None&ppn=None&ssid=39t7b1f1a80000001738113899088&qH=87968ec020b2016b,1/29/2025 2:24,"Watch Head, Watch Strap, Charging Cable, Quick Start Guide, Warranty Card",90196AM02,Zeal-1.85''|AMOLED|700 Nits|AOD|Premium Design|Functional Crown|AI Coach|Fashion,Rectangle,Black,Stainless steel,Free Size,Yes,Yes,,Fitness & Outdoor,Aluminium,Men & Women,Android & iOS,Black,Buckle,Accelerometer,,Lithium Polymer,150 min,Upto 7 Days,Yes,Pogo Pin Charging Cable,,,,,,Yes,Yes,No,No,Yes,v5.3,,,,,,390 x 450 Pixel,46.99 mm,AMOLED,No,Yes,Yes,Yes,"Auto Stress and Mood Monitor, 24*7 HRM, SpO2, Sleep Tracker, Women's Health, Activity Tracker, Multiple Sports Modes",Yes,No,Yes,,1,,Yes,Yes,,43.95 mm,37.58 mm,10.62 mm,85.4 g,,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifictaions, Other App Notification",Ring and Vibration,"Titan Zeal with 1.85"" AMOLED Display with AOD, Industry Best 390x450 Pixel Resolution, Rotatory Encoder, SingleSync BT Calling, 100+ Sports Modes with AI Coach and Auto Multisport Recognition, Auto Stress, 24x7 HRM, SpO2, Sleep Monitor with REM, Calculator, Calendar, In-built Games, AI Voice Assistant, 100+ Watchfaces, Music and Camera Control, Smart Notifications, Weather Display",,Yes,,No,No,English,,No,,1 Year Limited warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,
"ZEPAD DZ09 Smartwatch with Camera, Smartwatch","₹1,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/jydaqa80/smartwatch/3/b/y/dz09-smartwatch-with-camera-sim-sd-card-golden-zepad-original-imafgm89axqnyrqg.jpeg?q=70,https://www.flipkart.com/zepad-dz09-smartwatch-camera/p/itme0fff033454de?pid=SMWFGM8EGQ6BC3BY&lid=LSTSMWFGM8EGQ6BC3BYKRFLDW&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_6_217&otracker=search&fm=organic&iid=en_we3CVj1NLciXt2Jqh1V4dH3uo7SLKNrAzJQ2UlvKE0xa9UxV62HjTEbKY-7kns4_6zSF18hkwSblZJ2TMJBUcA%3D%3D&ppt=None&ppn=None&ssid=39t7b1f1a80000001738113899088&qH=87968ec020b2016b,1/29/2025 2:24,"2 SMARTWATCH, 2 CHARGING CABLE, 2 USER MANUAL","DZ09 Smartwatch with Camera, SIM ,SD Card Golden","DZ09 Smartwatch with Camera,",Rectangle,Brown,Rubber,FREE SIZE,Yes,No,,"Watchphone, Notifier, Fitness & Outdoor, Safety & Security",Stainless Steel,Men & Women,Android & iOS,Brown,,G-SENSOR,"ALL SMARTPHONE, ALL BLUETOOTH",Lithium Ion,120 min,6,Yes,USB,Android & IOS,,,,256 MB,Yes,Yes,,,Yes,4,Yes,10 m,"ACCPECT CALL, REJECT CALL, MAKE CALL",NA,BLUETOOTH,240*240 pixel,40 mm,HD,,Yes,Yes,Yes,"Pedometer, Sleep Monitor, Sedentary monitor, Heart Rate monitor",yes,No,Yes,Yes,1,"Alarm, calculator, sleep monitor, Calling, Volume, Volume Music",yes,YES,Yes,,,,,,"Message Notification, Calling Notification, Alarm Notification, Fitness Notification","Ring + vibration, RING","Answer/ Dial Calls, Contact Sync, Audio Player, Camera, Calculator, Calendar, Alarm, Sedentary Reminder, Anti-Lost, Push Notifications, Text Messaging., Support SD Card, 1.63 inch HD display touch screen high sensitive capacitive., Track Activity such as: sleep monitor, step counter,Calorie Counter, Drink Water Reminder more. Which is conveniently take control of your health., quick charge, campatible with all smartphone",AUTO FOCUS,,Massage Notification,Yes,,MULTI LANGUAGE,,,AUDIO PLAYER,NA,NA,NA,NA,6 hr,72 hr,golden,,2 GB,,MP3,,,,32 GB,,2 MP,97 dB,,,,
