title,price,rating,reviews,image_url,product_url,collection_date,Model Name,Series,Color,Display,Backlight,Panel Type,Resolution,3D,Screen Resolution Type,Processor,Sales Package,Screen Form Factor,HD Standard,Display Screen Coating,Number of Colors,Maximum Refresh Rate,Maximum 3D Refresh Rate,Aspect Ratio,Contrast Ratio,Horizontal Viewing Angle,Vertical Viewing Angle,Response Time,Brightness,Pixel Pitch,Color Gamut,Horizontal Scanning Frequencies,Other Display Features,Touchscreen Support,Touch Response Time,Touch Accuracy,Touch Capabilities,Other Touchscreen Features,Speakers,Headphone Jack,Microphone Jack,Inbuilt Speaker,Number of Speakers,Other Audio Features,Power Output Per Speaker,Power Requirement,Power Consumption,HDMI,DVI,VGA,Display Port,USB,Audio Out,Audio In,Operating Temperature,Non Operating Temperature,Storage Temperature,Operating Humidity Range,Other Operating Requirements,Stand,Stand Tilt,Stand Swivel,Wall Mounting,Wall Mount Standard,Security Lock Slot,Other Mounting Features,Inbuilt Webcam,Controls,OSD Languages Supported,Plug and Play,HDCP Support,System Requirements,Other Features,Width With Stand,Height With Stand,Depth With Stand,Weight With Stand,Width Without Stand,Height Without Stand,Depth Without Stand,Weight Without Stand,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Other Power Features,Other Connectivity Features,Audio Jacks,Part Number
"Acer XV2 68.58 cm (27 inch) WQHD LED Backlit IPS Panel with DCI-P3 95%, VESA DisplayHDR 400, Display W...","₹16,815",4.4,176 Ratings & 20 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/j/l/z/-original-imagydnqbzayjxyz.jpeg?q=70,https://www.flipkart.com/acer-xv2-68-58-cm-27-inch-wqhd-led-backlit-ips-panel-dci-p3-95-vesa-displayhdr-400-display-widget-visioncare-2-0-bluelightshield-pro-2x2w-inbuilt-speakers-black-boost-technology-ergostand-gaming-monitor-xv272u-v3/p/itm88256c9f02f54?pid=MONGY3YWRZZYGUY7&lid=LSTMONGY3YWRZZYGUY7MIEPVO&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_80&otracker=search&otracker1=search&fm=organic&iid=57050edf-51da-4ce8-8f0c-3008dab69db9.MONGY3YWRZZYGUY7.SEARCH&ppt=None&ppn=None&ssid=054pk9q46o0000001738110953324&qH=08b5411f848a2581,1/29/2025 1:35,XV272U V3,XV2,Black,68.58 cm (27 inch) LED Display,LED Backlit Backlight,IPS Panel,2560 x 1440 pixels,,WQHD,,"1 Monitor, Stand, Power Cord, User Manual, HDMI Cable, Warranty Card",Flat,1440p,,16.7 m Colors,"180 Hz (Analog), 180 Hz (Digital)",,16:09,,,,0.5 ms,350 nits (2D),,,,,No,,,,,Yes,,,Yes,,,,AC 150 - 240 V,45 W (Operational),"Yes, 2",,No,Yes,0,Yes,No,,,,,,Tilt,,,,,,,No,,,,,,,614 mm,401 mm,234 mm,6.46 kg,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages,3 Year,,,Audio Out,
ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel Wall Mountable Monitor (ZEB -AC32FHD LED),"₹11,999",4.2,"7,321 Ratings & 791 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/d/s/x/zeb-ac32fhd-led-full-hd-32-2022-zeb-ac32fhd-zebronics-original-imagydzpqfy3tvaq.jpeg?q=70,https://www.flipkart.com/zebronics-81-28-cm-32-inch-curved-full-hd-va-panel-wall-mountable-monitor-zeb-ac32fhd-led/p/itmd0bf3471b1e6f?pid=MONGD4AF6HGGRHCT&lid=LSTMONGD4AF6HGGRHCTBR05JC&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_81&otracker=search&otracker1=search&fm=organic&iid=en_6zPgvq7-6zvPi-PBzNjzQTgOVCEdnn6u_2FBwm9M76xyIgICvLDHq-XYzYdZLVWO-dNvk8X1m3LTQgCPGzYBAQ%3D%3D&ppt=None&ppn=None&ssid=054pk9q46o0000001738110953324&qH=08b5411f848a2581,1/29/2025 1:35,ZEB -AC32FHD LED,,White,81.28 cm (32 inch) LED Display,,VA Panel,1920x1080 pixels,,Full HD,,Monitor-1 unit,Curved,,,16.7 m Colors,"75 Hz (Analog), 75 Hz (Digital)",,16:09,500000:1 (Dynamic),178° (2D),178° (2D),8 ms,250 nits (2D),0.3637 mm,,,,,,,,,,,,,,,,,50 W (Standby),Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,715 mm,515 mm,8 mm,5 kg,,,,,Three year carry into service centre,Manufacturing defect,Any physical damage or accessories,3 Year,,,,
"LG 60.45 cm (23.8 inch) Full HD IPS Panel with 3-Side Borderless Display,Tilt-able Stand, Black Stabil...","₹7,599",4.3,"1,335 Ratings & 141 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/9/n/9/-original-imagyahhmczxzhqw.jpeg?q=70,https://www.flipkart.com/lg-60-45-cm-23-8-inch-full-hd-ips-panel-3-side-borderless-display-tilt-able-stand-black-stabilizer-onscreen-control-ergo-design-monitor-24mr400-ba-ctrrmv/p/itm0e25cac2a60d6?pid=MONGW4N96FVHTT7C&lid=LSTMONGW4N96FVHTT7C1RULRO&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_82&otracker=search&otracker1=search&fm=organic&iid=en_6zPgvq7-6zvPi-PBzNjzQTgOVCEdnn6u_2FBwm9M76xAhVWe7xV-ZZTrA6WoVjaELouZ3GzXS3b_X5UOXuo-Dw%3D%3D&ppt=None&ppn=None&ssid=054pk9q46o0000001738110953324&qH=08b5411f848a2581,1/29/2025 1:35,24MR400-BA.CTRRMV,,Black,60.45 cm (23.8 inch) LED Display,,IPS Panel,,,Full HD,,"1 Monitor, Power Cord, HDMI Cable, Stand Body, Stand Base, Adapter, User Manual, Warranty Card",Flat,,,,"100 Hz (Analog), 60 Hz (Digital)",,16:09,,,,5 ms,200 nits (2D),,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Years Warranty,Manufacturing Defects,Physical and Water Damages,3 Year,,,,
ZEBSTER Z-GV122 55.88 cm (22 inch) HD LED Backlit TN Panel Monitor (Z-GV122 LED),Data not available,Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/0/a/y/z-gv122-led-hd-22-2023-is13252-zebster-original-imah4mfchta9fb2v.jpeg?q=70,https://www.flipkart.com/zebster-z-gv122-55-88-cm-22-inch-hd-led-backlit-tn-panel-monitor-z-gv122-led/p/itmf8b9a0c688aa1?pid=MONH3ZUZFZB7V5MU&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_83&otracker=search&otracker1=search&fm=organic&iid=57050edf-51da-4ce8-8f0c-3008dab69db9.MONH3ZUZFZB7V5MU.SEARCH&ppt=None&ppn=None&ssid=054pk9q46o0000001738110953324&qH=08b5411f848a2581,1/29/2025 1:35,Z-GV122 LED,Z-GV122,Black,55.88 cm (22 inch) LED Display,LED Backlit Backlight,TN Panel,1366 x 768 pixels,No,HD,NO,"Monitor, Base, Stem, HDMI Cable, Power Cord, User Manual",Flat,1080,Anti-Glare,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",,16:09,"500000:1, 500000:1 (Dynamic)",170° (2D),160° (2D),8 ms,220 nits (2D),3 mm,,,"The Zebster Z-E19HD LED monitor features a 18.5-inch display with a high-definition resolution of 1366x768 pixels, ensuring sharp and clear visuals. Its LED backlighting enhances color accuracy and contrast, providing vibrant and lifelike images. The monitor's slim bezel design maximizes the viewing area, offering an immersive experience ideal for multimedia consumption, web browsing, and office tasks.","No, Supported by N/A",,,,N/A,No,No,No,No,,,,,15 W (Operational),Yes,No,Yes,No,,No,No,,,,,,,,,,,,,No,,,Yes,No,,,444 mm,336 mm,21 mm,2.5 kg,,,,,1 Year Domestic Warranty,Technical Problem,Physical Damage,1 Year,,,,
"ViewSonic 60.96 cm (24 inch) Full HD IPS Panel with HDR10, 104 sRGB, Eye Care, Wall Mount, Tilt, 2 x H...","₹8,999",4.4,344 Ratings & 56 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/y/i/a/-original-imah68yjaxtuyzjj.jpeg?q=70,https://www.flipkart.com/viewsonic-60-96-cm-24-inch-full-hd-ips-panel-hdr10-104-srgb-eye-care-wall-mount-tilt-2-x-hdmi-1-display-port-wide-view-angle-gaming-monitor-vx2479-hd-pro/p/itm55cc7957bd35f?pid=MONGUYF3BXPGSS2X&lid=LSTMONGUYF3BXPGSS2XPGFLBH&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_84&otracker=search&otracker1=search&fm=organic&iid=57050edf-51da-4ce8-8f0c-3008dab69db9.MONGUYF3BXPGSS2X.SEARCH&ppt=None&ppn=None&ssid=054pk9q46o0000001738110953324&qH=08b5411f848a2581,1/29/2025 1:35,VX2479-HD-PRO,,Black,60.96 cm (24 inch) LCD Display,,IPS Panel,,,Full HD,,"1 Monitor, 3-Pin Plug, HDMI Cable, AC/DC Adapter, Quick Start Guide",Flat,,,,"180 Hz (Analog), 180 Hz (Digital)",,16:09,,,,1 ms,250 nits (2D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Years Manufacturer Warranty,Manufacturing Defects,Physical Damages,3 Year,,,,
Lenovo 60.45 cm (23.8 inch) Full HD VA Panel 3-Side Near Edgeless with TUV Eye Care Monitor (D24-20/D2...,"₹6,599",4.3,"4,603 Ratings & 506 Reviews",https://rukminim2.flixcart.com/image/312/312/ko8xtow0/monitor/t/a/y/d24-20-66aekac1in-lenovo-original-imag2qwzazcdmqtb.jpeg?q=70,https://www.flipkart.com/lenovo-60-45-cm-23-8-inch-full-hd-va-panel-3-side-near-edgeless-tuv-eye-care-monitor-d24-20-d24-40/p/itm7a2d267d21c3f?pid=MONFV5HRNF4QFVG4&lid=LSTMONFV5HRNF4QFVG4ATFEMN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_85&otracker=search&otracker1=search&fm=organic&iid=57050edf-51da-4ce8-8f0c-3008dab69db9.MONFV5HRNF4QFVG4.SEARCH&ppt=None&ppn=None&ssid=054pk9q46o0000001738110953324&qH=08b5411f848a2581,1/29/2025 1:35,D24-20/D24-40,,Black,60.45 cm (23.8 inch) LED Display,,VA Panel,,No,Full HD,,"1 Monitor, Power Cable, HDMI Cable,Quick Setup Guide",Flat,,,,"75 Hz (Analog), 75 Hz (Digital)",,,,,,4 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Years Manufacturer Warranty,Manufacturing Defects,Physical Damage,3 Year,,,,
"Acer NITRO 68.58 cm (27 inch) Curved Full HD LED Backlit VA Panel with HDR10 Support, Vision Care, Dis...","₹12,699",4.5,348 Ratings & 33 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/k/u/o/-original-imagwdpygtzqzyux.jpeg?q=70,https://www.flipkart.com/acer-nitro-68-58-cm-27-inch-curved-full-hd-led-backlit-va-panel-hdr10-support-vision-care-display-widget-1500r-curvature-gaming-monitor-ed270r-s3/p/itmdcecac4812504?pid=MONGU6RM7XZMH8YA&lid=LSTMONGU6RM7XZMH8YAZRJUBC&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_86&otracker=search&otracker1=search&fm=organic&iid=57050edf-51da-4ce8-8f0c-3008dab69db9.MONGU6RM7XZMH8YA.SEARCH&ppt=None&ppn=None&ssid=054pk9q46o0000001738110953324&qH=08b5411f848a2581,1/29/2025 1:35,ED270R S3,NITRO,Black,68.58 cm (27 inch) LCD Display,LED Backlit Backlight,VA Panel,1920 x 1080 Pixels pixels,No,Full HD,,"Monitor, stand, power cord, manual, HDMI & DP cable",Curved,,,,"180 Hz (Analog), 180 Hz (Digital)",,,,178° (2D),178° (2D),1 ms,250 nits (2D),,,,"1500R Curvature, Matchless Full HD 27 Inch VA Panel Backlit LED Curved Display I 180Hz Refresh Rate, 1MS VRB I HDR 10 Support I Zero Frame Design I Wide View Angle of 178 Degree., 180Hz Blazing Fast Refresh Rate means that even when the action heats up, your gameplay will be smooth and lag-free I 1MS VRB for Faster Response time for for blur free gaming, AMD Free Sync Premium Tecnnology Enable smooth gameplay, Eliminating screen tearing, Minimizing lag and latency I With FreeSync, the monitor’s frames are synced with the graphics card’s frames, which eliminates screen tearing and delivers very smooth gaming experiences., Acer VisionCare Technology incorporates several features like Bluelight Shield, Flickerless, Comfyview.",No,,,,,No,,,No,,,,,,"Yes, 2 x 2.0 Port",,,Yes,,,,,,,,,,,,,,,VESA Wall Mount Support,,,,,,,,,,,,,,,,3 years manufacturer warranty,Manufacturing Defects,Physical Damages,,,"Connectivity Options of 2 x HDMI (2.0) 1 x Display (1.2) Ports with Inbox HDMI & DP Cable, VESA Wall Mount Support",,
"ZEBRONICS 39.62 cm (15.6 inch) Full HD IPS Panel with 180-degree Adjustable Stand, 16:9 Aspect Ratio, ...","₹9,999",4.2,11 Ratings & 6 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/d/t/m/zeb-pixigo-a16-zeb-kpm-2-full-hd-15-6-2024-zeb-pixigo-a16-zeb-original-imah8mhubfkxh5eg.jpeg?q=70,https://www.flipkart.com/zebronics-39-62-cm-15-6-inch-full-hd-ips-panel-180-degree-adjustable-stand-16-9-aspect-ratio-300nits-brightness-16-7m-colors-dual-input-type-c-mini-hdmi-built-in-speakers-portable-monitor-zeb-pixigo-a16-zeb-kpm-2/p/itmc6a4627a657b1?pid=MONH7BV6AG8FMXD3&lid=LSTMONH7BV6AG8FMXD3IV2K5K&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_87&otracker=search&otracker1=search&fm=organic&iid=en_6zPgvq7-6zvPi-PBzNjzQTgOVCEdnn6u_2FBwm9M76w8V9lZ-M_74erMpsZrbD1VmGo9i7VLVXtICLnrQHLEPg%3D%3D&ppt=None&ppn=None&ssid=054pk9q46o0000001738110953324&qH=08b5411f848a2581,1/29/2025 1:35,(Zeb-Pixigo A16 (Zeb-KPM 2)),,Black,39.62 cm (15.6 inch) LED Display,,IPS Panel,1920 x1080 pixels,,Full HD,,"Monitor - 1unit, Mini HDMI Cable - 1unit, Type C DP Cable - 1unit, Power Adapter - 1unit, User Manual - 1unit",Flat,,,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",,16:09,,,,25 ms,300 nits (2D),,,,,,25 ms,,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5 mm,22.2 mm,1.7 mm,0.804 kg,,,,,1 year carry into service center,Any manufacturing defect,Any physical damage or accessories,,,,,
"ZEBRONICS 81.28 cm (32 inch) Curved Full HD VA Panel 80 cm, Wall Mountable, Slim Gaming Monitor (ZEB-A...","₹15,999",4.2,890 Ratings & 82 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/x/d/t/zeb-ac32fhd-led-full-hd-32-2022-zeb-ac32fhd-zebronics-original-imagydzr5hfmbk28.jpeg?q=70,https://www.flipkart.com/zebronics-81-28-cm-32-inch-curved-full-hd-va-panel-80-cm-wall-mountable-slim-gaming-monitor-zeb-ac32fhd-led/p/itm502967395ff52?pid=MONGD4AZBPZ24JGH&lid=LSTMONGD4AZBPZ24JGHESEKQA&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_88&otracker=search&otracker1=search&fm=organic&iid=en_6zPgvq7-6zvPi-PBzNjzQTgOVCEdnn6u_2FBwm9M76xZEeeT5rAcGX2LK3vIcsrZV4ueieofNGJ1ThatZq0oKg%3D%3D&ppt=None&ppn=None&ssid=054pk9q46o0000001738110953324&qH=08b5411f848a2581,1/29/2025 1:35,ZEB-AC32FHD LED,,Black,81.28 cm (32 inch) LED Display,,VA Panel,1920x1080 pixels,,Full HD,,Monitor-1 unit,Curved,,,16.7 m Colors,"165 Hz (Analog), 165 Hz (Digital)",,16:09,500000:1 (Dynamic),178° (2D),178° (2D),12 ms,300 nits (2D),0.3637 mm,,,,,,,,,Yes,Yes,,Yes,,,,,50 W (Standby),Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,715 mm,515 mm,8 mm,5 kg,,,,,Three year carry into service center,Manufacturing defect,Any physical damage or accessories,3 Year,,,,
SAMSUNG 60.96 cm (24 inch) Full HD LED Backlit VA Panel Gaming Monitor (LS24AG300NWXXL),"₹11,899",4.6,85 Ratings & 5 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/q/e/c/ls24ag300nwxxl-full-hd-24-2023-ls24ag300nwxxl-samsung-original-imah2tzjzb8wbg5c.jpeg?q=70,https://www.flipkart.com/samsung-60-96-cm-24-inch-full-hd-led-backlit-va-panel-gaming-monitor-ls24ag300nwxxl/p/itm66c27f2ed11cb?pid=MONGZS3TZM8VGP7S&lid=LSTMONGZS3TZM8VGP7SUJGW69&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_89&otracker=search&otracker1=search&fm=organic&iid=57050edf-51da-4ce8-8f0c-3008dab69db9.MONGZS3TZM8VGP7S.SEARCH&ppt=None&ppn=None&ssid=054pk9q46o0000001738110953324&qH=08b5411f848a2581,1/29/2025 1:35,LS24AG300NWXXL,,Black,60.96 cm (24 inch) LED Display,LED Backlit Backlight,VA Panel,,No,Full HD,,1 monitor,Flat,,,,"144 Hz (Analog), 144 Hz (Digital)",,,3000:01:00,,,1 ms,2502 nits (2D),,,,,No,,,,,No,Yes,,No,,,,AC 100 - 240 V,27 W (Operational),Yes,,,,,,,,,,,,,,,,,,,No,,,Yes,,,,,,,,,,,,3 Years Domestic Warranty,Manufacturing Defects Only,Physical Damages will Not Covered in Warranty,3 Year,,,,
"SAMSUNG Odyssey G5 68.58 cm (27 inch) UWQHD VA Panel with HDR10, Height Adjustable Stand, Flat Gaming ...","₹19,500",4.4,181 Ratings & 11 Reviews,https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/g/m/v/-original-imah5c94zgtsfsha.jpeg?q=70,https://www.flipkart.com/samsung-odyssey-g5-68-58-cm-27-inch-uwqhd-va-panel-hdr10-height-adjustable-stand-flat-gaming-monitor-ls27cg510ewxxl/p/itm4720d5fd11eb3?pid=MONGZ75ZNTKDEFUV&lid=LSTMONGZ75ZNTKDEFUVYCX50S&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_90&otracker=search&otracker1=search&fm=organic&iid=57050edf-51da-4ce8-8f0c-3008dab69db9.MONGZ75ZNTKDEFUV.SEARCH&ppt=None&ppn=None&ssid=054pk9q46o0000001738110953324&qH=08b5411f848a2581,1/29/2025 1:35,LS27CG510EWXXL,Odyssey G5,Black,68.58 cm (27 inch) LED Display,,VA Panel,2560 x 1440 pixels,,UWQHD,,"1 Unit Monitor, Power Cable, HDMI Cable",Flat,,,,"165 Hz (Analog), 165 Hz (Digital)",,16:09,,,,1 ms,300 nits (2D),,,,,,,,,,,,,,,,,AC 100 - 240 V,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Years Domestic Warranty,Manufacturing Defects Only,Physical Damages will Not Covered in Warranty,3 Year,,,,
Frontech - 43.18 cm (17 inch) HD LED Backlit VA Panel Monitor (MON-0065),"₹2,469",3.8,"5,144 Ratings & 433 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/r/y/p/mon-0065-hd-17-2023-mon-0065-frontech-original-imah8nybhchfkhmy.jpeg?q=70,https://www.flipkart.com/frontech-43-18-cm-17-inch-hd-led-backlit-va-panel-monitor-mon-0065/p/itmbc6d42fed6553?pid=MONGS24EAHXVJZMQ&lid=LSTMONGS24EAHXVJZMQACRRSN&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_91&otracker=search&otracker1=search&fm=organic&iid=en_6zPgvq7-6zvPi-PBzNjzQTgOVCEdnn6u_2FBwm9M76yInbA_lfr8wRmoOVFhPHvJ0PXO9Pulw9_QxjXpMTEYpg%3D%3D&ppt=None&ppn=None&ssid=054pk9q46o0000001738110953324&qH=08b5411f848a2581,1/29/2025 1:35,MON-0065,-,Black,43.18 cm (17 inch) LED Display,LED Backlit Backlight,VA Panel,1280x1024 pixels,,HD,-,"1 Monitor, 1 Power Cable, 1 Signal Cable, 1 Stand, 1 Manual",Flat,1080p,-,16.7 m Colors,"60 Hz (Analog), 60 Hz (Digital)",,5:04,"1000000:1, 1000000:1 (Dynamic)",130° (2D),90° (2D),5 ms,250 nits (2D),0.264 mm,sRGB,"60 kHz (Analog), 60 kHz (Digital)","Slim Design, Support Wall Mount","No, Supported by - with -",,-,-,-,"No, 0 Speaker  with 0 W Power Output Per Speaker",No,No,No,0,NA,0,AC 180 - 255V,18 W (Operational),"Yes, 1 x 1.4 Port",,"Yes, 15 Pin",Yes,0 x 0 Port,No,No,-,-,-,,-,Yes,3-12 Degree,-,215 x 205 x 165 mm,Yes,-,-,No,"Auto, Menu, Up, Down, Power",,Yes,No,"Windows 10, Windows 8, Windows 7",-,370 mm,375 mm,370 mm,2.8 kg,200 mm,370 mm,370 mm,2.7 kg,1 Year Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,-,-,,
"DELL S Series 60.45 cm (23.8 inch) Full HD IPS Panel with 3-Years warranty, 99% sRGB, Low Blue Light t...","₹9,799",4.5,"4,090 Ratings & 530 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/n/r/g/-original-imagyr8vrpzzgrac.jpeg?q=70,https://www.flipkart.com/dell-s-series-60-45-cm-23-8-inch-full-hd-ips-panel-3-years-warranty-99-srgb-low-blue-light-technology-hdmi-x2-tilt-adjustment-ultra-thin-bezel-monitor-s2421hnm-s2421hn/p/itm60f8947b5f259?pid=MONGYDFQTN8ZTEHG&lid=LSTMONGYDFQTN8ZTEHGUGWX0A&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_92&otracker=search&otracker1=search&fm=organic&iid=en_6zPgvq7-6zvPi-PBzNjzQTgOVCEdnn6u_2FBwm9M76y2IZ4gLiPqZndBM0fA-uvPW5SwbbnBPMBKBYXaBFdbk_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=054pk9q46o0000001738110953324&qH=08b5411f848a2581,1/29/2025 1:35,S2421HNM / S2421HN,S Series,Grey,60.45 cm (23.8 inch) LED Display,,IPS Panel,1920 x 1080 pixels,,Full HD,,"1 Monitor, HDMI Cable",Flat,1080p,Anti Glare,,"75 Hz (Analog), 75 Hz (Digital)",,16:09,,178° (2D),178° (2D),4 ms,,0.3114 mm,,,,No,,,,,No,Yes,,No,,,,,,"Yes, 2 x HDMI 1.4 Port",,,,,,,,,,,,,,,,,Yes,,No,,,No,No,,"LED Edgelight System, 72% NTSC (CIE 1931) Colour Gamut, BFR/PVC-free, Mercury Free, Arsenic-free Glass, Dell Easy Arrange, Dell Comfort View, Low Blue Light Technology, 3-sided Bezel Less",,,,5 kg,,,,6 kg,3 Years Warranty,Manufacturing Defects,Physical Damage,3 Year,,Audio Line-out,,
"SAMSUNG 60.96 cm (24 inch) Full HD LED Backlit IPS Panel with 3-Sided Borderless Display, Game & Free ...","₹7,499",4.4,"18,371 Ratings & 2,049 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/k/l/b/-original-imagsgh8zzgbu2tf.jpeg?q=70,https://www.flipkart.com/samsung-60-96-cm-24-inch-full-hd-led-backlit-ips-panel-3-sided-borderless-display-game-free-sync-mode-eye-saver-mode-flicker-monitor-ls24c310eawxxl/p/itm0d866ef2b889d?pid=MONFYGGACKSJX4MS&lid=LSTMONFYGGACKSJX4MSSUIOO3&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_93&otracker=search&otracker1=search&fm=organic&iid=57050edf-51da-4ce8-8f0c-3008dab69db9.MONFYGGACKSJX4MS.SEARCH&ppt=None&ppn=None&ssid=054pk9q46o0000001738110953324&qH=08b5411f848a2581,1/29/2025 1:35,LS24C310EAWXXL,,Black,60.96 cm (24 inch) LED Backlit Display,LED Backlit Backlight,IPS Panel,1920 x 1080 pixels,,Full HD,,"1 Monitor, Warranty Card",Flat,,,,"75 Hz (Analog), 75 Hz (Digital)",,16:09,,,,5 ms,250 nits (2D),,,,,No,,,,,,,,,,,,AC 100 - 240 V,,"Yes, 1",,,,,,,,,,,,Simple,-2 to 20 Degree,,100 x 100 mm,,,,,,,,,,,539.2 mm,425.3 mm,232 mm,2.7 kg,539.2 mm,322.8 mm,39.4 mm,2.4 kg,3 Years Warranty on Product From Manufacturer,"Defect Arising Out of Faulty, Defective Material or Workmanship are Covered in Warranty","Warranty does not Cover Any External Accessories (Such as Battery, Cable, Carrying Bag), Damage Caused to the Product due to Improper Installation by Customer, Normal Wear and Tear to Magnetic Heads, Audio, Video, Laser Pick-ups and TV Picture Tubes, Panel, Damages Caused to the Product by Accident, Lightening, Ingress of Water, Fire, Dropping or Excessive Shock, Any Damage Caused due to Tampering of the Product by An Unauthorised Agent, Liability for Loss of Data, Recorded Images or Business Opportunity Loss",3 Year,,,,
SAMSUNG 55.88 cm (22 inch) Full HD IPS Panel Monitor (LS22C310EAWXXL),"₹7,599",4.4,"18,371 Ratings & 2,049 Reviews",https://rukminim2.flixcart.com/image/312/312/xif0q/monitor/v/s/3/-original-imah5c932bkwsuvt.jpeg?q=70,https://www.flipkart.com/samsung-55-88-cm-22-inch-full-hd-ips-panel-monitor-ls22c310eawxxl/p/itmac31067559ef1?pid=MONGAQTQKCEZGVSC&lid=LSTMONGAQTQKCEZGVSCYY2BL2&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_4_94&otracker=search&otracker1=search&fm=organic&iid=57050edf-51da-4ce8-8f0c-3008dab69db9.MONGAQTQKCEZGVSC.SEARCH&ppt=None&ppn=None&ssid=054pk9q46o0000001738110953324&qH=08b5411f848a2581,1/29/2025 1:35,LS22C310EAWXXL,,Black,55.88 cm (22 inch) LED Backlit Display,,IPS Panel,1920 x 1080 pixels,,Full HD,,"1 Monitor, Power Cable",Flat,,,16.7 m Colors,"75 Hz (Analog), 75 Hz (Digital)",,16:09,1000:01:00,178° (2D),178° (2D),5 ms,250 nits (2D),,"NTSC, 72%",,"Synchronized Action with FreeSync, Refresh Rate: 75 Hz Max, Flicker Free Gaming Experience, Connect to More With Both HDMI and D-sub Ports, Multiple Devices can be Plugged Straight into Your Monitor for Complete Flexibility. 1.67M Colors",,,,,,,,,,,,,AC 100 - 240 V,0.3 W (Standby),"Yes, 1",,,Yes,,,,10 - 40° C,,,10 - 80 %,,,-2 to 20 Degree,,100 X 100 mm,,,,,Eco Saving Plus,,,,,,488.8 mm,396.9 mm,232 mm,2.3 kg,488.8 mm,294.4 mm,39.4 mm,2 kg,3 Years Domestic Warranty,Manufacturing Defects Only,Physical Damages will Not Covered in Warranty,3 Year,,,,
