title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Brand,Graphics Engine,GPU Clock,Bus Standard,Model ID,Part Number,Memory,VGA/D-SUB Output,DVI and HDMI Interface,HD Content Support,Supported OS,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Service Type,Maximum Resolution,Processors and Cores,GPU Manufacturing Process,Graphics Technologies Supported,Other Interface,Shader,Cooling and Heatsink,Power Supply Required,Software Included,Dimensions,Weight,Additional Features,3D Support,Mini HDMI,Memory Bandwidth,RAMDAC Clock Speed,Other System Requirements
GIGABYTE NVIDIA GV-N3050WF2OC-6GD GeForce RTX 3050 WIND...,"₹17,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/s/d/3/3050-wf-oc-gigabyte-original-imah6ekprahhyztf.jpeg?q=70,https://www.flipkart.com/gigabyte-nvidia-gv-n3050wf2oc-6gd-geforce-rtx-3050-windforce-oc-6-gb-gddr6-graphics-card/p/itm46efb61433e52?pid=GRCH2M7GAHPJWEZR&lid=LSTGRCH2M7GAHPJWEZRGEAQUP&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_1_37&otracker=search&fm=organic&iid=bd598483-3db1-4ee3-91e6-5914a47634e4.GRCH2M7GAHPJWEZR.SEARCH&ppt=None&ppn=None&ssid=2y28z6j95s0000001738114587680&qH=ae2a487734c75ca2,2025-01-29 02:36:26,"Graphics Card, User Manual",GIGABYTE,NVIDIA GeForce RTX™ 3050,1477 MHz,PCI-Express x8,GV-N3050WF2OC-6GD GeForce RTX 3050 WINDFORCE OC,GV-N3050WF2OC-6GD,"96-bit, 6 GB GDDR6 Memory",,,,,3 YEARS,MANUFACTURING DEFECT,Physical Damage or Burnt,CARRY IN,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-29 02:36:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-29 02:36:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,₹429,3.6,Data not available,https://rukminim2.flixcart.com/image/300/300/kq2o2vk0/graphics-card/v/o/0/16x-to-1x-powered-pcie-riser-adapter-card-60cm-usb-3-0-extension-original-imag4669dqdfhx5g.jpeg?q=90,URL not available,2025-01-29 02:36:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-29 02:36:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-01-29 02:36:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIGABYTE NVIDIA GV-N3050WF2OC-6GD GeForce RTX 3050 WIND...,"₹17,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/s/d/3/3050-wf-oc-gigabyte-original-imah6ekprahhyztf.jpeg?q=70,https://www.flipkart.com/gigabyte-nvidia-gv-n3050wf2oc-6gd-geforce-rtx-3050-windforce-oc-6-gb-gddr6-graphics-card/p/itm46efb61433e52?pid=GRCH2M7GAHPJWEZR&lid=LSTGRCH2M7GAHPJWEZRGEAQUP&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_41&otracker=search&fm=organic&iid=a54263b1-9abb-4664-9c66-cce374930305.GRCH2M7GAHPJWEZR.SEARCH&ppt=None&ppn=None&ssid=e40iar9u8g0000001738114617777&qH=ae2a487734c75ca2,2025-01-29 02:36:57,"Graphics Card, User Manual",GIGABYTE,NVIDIA GeForce RTX™ 3050,1477 MHz,PCI-Express x8,GV-N3050WF2OC-6GD GeForce RTX 3050 WINDFORCE OC,GV-N3050WF2OC-6GD,"96-bit, 6 GB GDDR6 Memory",,,,,3 YEARS,MANUFACTURING DEFECT,Physical Damage or Burnt,CARRY IN,,,,,,,,,,,,,,,,,
ZOTAC NVIDIA GeForce GT 1030 2 GB DDR5 Graphics Card,"₹7,263",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/ji6b2q80/graphics-card/d/t/p/zotac-geoforce-gt-1030-2gb-64-bit-ddr5-original-imaf5z44asuf5pzm.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-geforce-gt-1030-2-gb-ddr5-graphics-card/p/itmb186d18d99c5b?pid=GRCF5Z58PYCYEDTP&lid=LSTGRCF5Z58PYCYEDTPN38L2T&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_45&otracker=search&fm=organic&iid=a54263b1-9abb-4664-9c66-cce374930305.GRCF5Z58PYCYEDTP.SEARCH&ppt=None&ppn=None&ssid=e40iar9u8g0000001738114617777&qH=ae2a487734c75ca2,2025-01-29 02:36:57,"Graphic Card, CD",ZOTAC,NVIDIA GeForce GT 1030,1468 MHz,PCI Express 3.0,GeForce GT 1030,ZT-P10300A-10L,"64-bit, 2 GB DDR5 Memory",,,,,"Standard Warranty: 2 years, Extended warranty: +3 years; Total Warranty: 5 years total",Warranty is covered on complete product.,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry in.� EMail ID :�technical@zotac.com,,384 CUDA Cores,,,,,Single Slot Heatsink + fan,,,,,,,,,,
MSI NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,"₹4,150",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/k2dm7bk0/graphics-card/h/k/p/msi-geforce-gt-710-original-imaegdxtjv6htwnz.jpeg?q=70,https://www.flipkart.com/msi-nvidia-geforce-gt-710-2-gb-ddr3-graphics-card/p/itm9f559f6fe3c97?pid=GRCEGG4HHC5DHHKP&lid=LSTGRCEGG4HHC5DHHKPNSG4NS&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_49&otracker=search&fm=organic&iid=a54263b1-9abb-4664-9c66-cce374930305.GRCEGG4HHC5DHHKP.SEARCH&ppt=None&ppn=None&ssid=e40iar9u8g0000001738114617777&qH=ae2a487734c75ca2,2025-01-29 02:36:57,Graphic card,MSI,NVIDIA GeForce 710,1600 MHz,PCI Express 2.0,GeForce GT 710,2GD3H,"64-bit, 2 GB DDR3 Memory with 1600 MHz",1xVGA DSub Output,1 x HDMI Output Out,,,3 year limited manufacturing warranty,Warranty of the product is limited to manufacturing defects only,Warranty does not covered under any physical damage,offsite,,954 CUDA Cores,,,"HDMI™ x 1(Supports 4K@30Hz as specified in HDMI™ 1.4), Dual-link DVI-D x 1, D-Sub x 1",,,300 W,,146 x 19 x 69 mm,178 g,"Support in-game video recording., Support wireless control by Android/iOS handheld devices, Support built-in DX12 effect test.",,,,400 MHz,
ZEBRONICS NVIDIA Zeb GT 730 4 GD3 4 GB DDR3 Graphics Ca...,"₹2,691",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/c/8/n/zeb-gt-730-4-gd3-zebronics-original-imah5yyv6fgtyrgc.jpeg?q=70,https://www.flipkart.com/zebronics-nvidia-zeb-gt-730-4-gd3-gb-ddr3-graphics-card/p/itmf61a7bd412193?pid=GRCH5YYVEYX3MHFG&lid=LSTGRCH5YYVEYX3MHFGVOHBNK&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_53&otracker=search&fm=organic&iid=a54263b1-9abb-4664-9c66-cce374930305.GRCH5YYVEYX3MHFG.SEARCH&ppt=None&ppn=None&ssid=e40iar9u8g0000001738114617777&qH=ae2a487734c75ca2,2025-01-29 02:36:57,Pack of 1 graphics_card,ZEBRONICS,NVIDIA GT730,144 MHz,SERIAL,Zeb GT 730 4 GD3,1234,"64-bit, 4 GB DDR3 Memory with 1333 MHz",,,HDTV Support,,1,1,DAMAGES,1,,,,,,Clock speed of 1333 MHz,yes,450 W,,,,,,,,,
gigabtye NVIDIA ?GV-N4060AORUS E-8GD 8 GB GDDR6 Graphic...,"₹38,412",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/x/g/b/gv-n4060aorus-e-8gd-gigabtye-original-imagsvx8tfezk25q.jpeg?q=70,https://www.flipkart.com/gigabtye-nvidia-gv-n4060aorus-e-8gd-8-gb-gddr6-graphics-card/p/itmb452a3a37ee3f?pid=GRCGSVXJKUXEPX8E&lid=LSTGRCGSVXJKUXEPX8ETAYGLQ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_57&otracker=search&fm=organic&iid=a54263b1-9abb-4664-9c66-cce374930305.GRCGSVXJKUXEPX8E.SEARCH&ppt=None&ppn=None&ssid=e40iar9u8g0000001738114617777&qH=ae2a487734c75ca2,2025-01-29 02:36:57,"GRAPHIC CARD, USERS MANUAL",gigabtye,NVIDIA GeForce RTX™ 4060,2640 MHz,PCI-E 4.0,?GV-N4060AORUS E-8GD,?GV-N4060AORUS E-8GD,"128-bit, 8 GB GDDR6 Memory",,,,,3 Years Warranty (Online Registration Required),Manufacturing Defects,Physical Damages will Not Covered in Warranty,On-site,,3072 CUDA Cores,,,,,,,,,,,,,,,
ZEBRONICS NVIDIA ZEBGT730 4 GB GDDR3 Graphics Card,"₹3,249",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/r/o/4/zebgt730-zebronics-original-imagz6umer5h8dvf.jpeg?q=70,https://www.flipkart.com/zebronics-nvidia-zebgt730-4-gb-gddr3-graphics-card/p/itma9dbce22e203e?pid=GRCGZ6UMFDRYHGXP&lid=LSTGRCGZ6UMFDRYHGXPFBDHGW&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_61&otracker=search&fm=organic&iid=a54263b1-9abb-4664-9c66-cce374930305.GRCGZ6UMFDRYHGXP.SEARCH&ppt=None&ppn=None&ssid=e40iar9u8g0000001738114617777&qH=ae2a487734c75ca2,2025-01-29 02:36:57,"Pack of 1 graphic card, Pack of 1 manual card",ZEBRONICS,NVIDIA NVIDIA,700 MHz,PCI,ZEBGT730,1234,"64-bit, 4 GB GDDR3 Memory",,,,,1,Actually the warranty cover,Demaged,Services Centre,,,,,,,,,,,,,,,,,
Colorful NVIDIA Battle AX Mainstream 8 GB GDDR6 Graphic...,"₹39,000",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/j/y/1/battle-ax-mainstream-colorful-original-imah3q58tzrutt4v.jpeg?q=70,https://www.flipkart.com/colorful-nvidia-battle-ax-mainstream-8-gb-gddr6-graphics-card/p/itma2ecc3aab3396?pid=GRCH3PVZ45BXH2QZ&lid=LSTGRCH3PVZ45BXH2QZB2J8JP&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_65&otracker=search&fm=organic&iid=a54263b1-9abb-4664-9c66-cce374930305.GRCH3PVZ45BXH2QZ.SEARCH&ppt=None&ppn=None&ssid=e40iar9u8g0000001738114617777&qH=ae2a487734c75ca2,2025-01-29 02:36:57,"1 Graphics Card, User Manual, Warranty Card",Colorful,NVIDIA RTX 4060,1830 MHz,PCI Express 4.0,Battle AX Mainstream,G-C4060-NBDUO8G,"128-bit, 8 GB GDDR6 Memory",,,,,3 Years Warranty,Manufaturing Defects,Physical Damages,Carry-in,,3072 CUDA Cores,,,,,,450 W,,,,,,,272 Gbps,,
ZOTAC NVIDIA GeForce GT 730 4GB Zone Edition 4 GB DDR3 ...,"₹7,263",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/h/g/b/geforce-gt-730-4gb-zone-edition-zotac-original-imagqdygfpzy9jnn.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-geforce-gt-730-4gb-zone-4-gb-ddr3-graphics-card/p/itm7e86ee36fca42?pid=GRCGQDYGFEQK49EV&lid=LSTGRCGQDYGFEQK49EVKD49IJ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_69&otracker=search&fm=organic&iid=a54263b1-9abb-4664-9c66-cce374930305.GRCGQDYGFEQK49EV.SEARCH&ppt=None&ppn=None&ssid=e40iar9u8g0000001738114617777&qH=ae2a487734c75ca2,2025-01-29 02:36:57,"ZOTAC GeForce GT 730, 1 x Low-profile bracket [VGA], 1 x Low-profile bracket [DVI + HDMI], User manual, Driver disc",ZOTAC,NVIDIA GeForce GT 730,902 MHz,PCI Express 2,GeForce GT 730 4GB Zone Edition,GT 730,"64-bit, 4 GB DDR3 Memory",,,,,5 Years Warranty : 2 Years Standard and 3 Years Extended Warranty on Registration,Complete Product Warranty,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry-in Warranty,,384 CUDA Cores,,,,,,300 W,,,,,,,,,
Jack and Rex NVIDIA NGFF M.2 M key to USB 3.0 Adapter C...,₹249,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kubk70w0/graphics-card/a/s/i/ngff-m-2-m-key-to-usb-3-0-adapter-card-extender-m2-to-usb3-0-original-imag7gp9qg7bq6kw.jpeg?q=70,https://www.flipkart.com/jack-rex-nvidia-ngff-m-2-m-key-usb-3-0-adapter-card-extender-m2-usb3-0-converter-pci-e-riser-graphics-gpu-mining-miner-package-ships-anti-electrostatic-bags-prevent-damage-1-gb-ddr2/p/itmb7d16aa5d9b7d?pid=GRCG7GPAZRMFPCXD&lid=LSTGRCG7GPAZRMFPCXDM0TXA5&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_2_73&otracker=search&fm=organic&iid=a54263b1-9abb-4664-9c66-cce374930305.GRCG7GPAZRMFPCXD.SEARCH&ppt=None&ppn=None&ssid=e40iar9u8g0000001738114617777&qH=ae2a487734c75ca2,2025-01-29 02:36:57,1,Jack and Rex,NVIDIA nvidia,120 MHz,Express 3.0,NGFF M.2 M key to USB 3.0 Adapter Card Extender M2 to USB3.0 Adapter Converter for PCI-E Riser Card Graphics GPU Mining Miner Package ships in Anti-electrostatic bags to prevent damage.,JAR_NGFF_M.2,"192-bit, 1 GB DDR2 Memory",,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
